note,velocity,time,anomalies
82,80,60,2
77,50,0,2
76,69,60,1
79,43,127,1
72,63,127,1
71,48,127,1
74,69,127,2
66,87,0,3
74,37,127,1
87,44,127,2
57,17,127,3
74,49,0,1
66,20,127,3
74,49,127,0
76,86,127,2
72,22,127,2
62,55,127,2
71,25,0,2
72,81,127,1
73,63,127,0
74,66,127,0
76,38,127,2
77,91,127,2
78,89,127,2
86,38,127,2
60,59,127,1
63,53,127,1
67,83,0,2
76,20,127,2
79,31,0,2
71,85,124,3
79,48,60,0
72,89,127,1
76,27,127,1
77,63,60,0
90,102,127,3
73,55,0,2
67,35,60,2
79,63,127,1
74,41,126,2
80,46,127,2
77,94,127,2
77,65,0,1
76,33,120,1
62,39,81,3
74,62,30,1
90,66,127,2
77,93,127,2
80,89,127,3
72,52,0,1
71,58,127,1
80,90,0,3
72,18,127,1
76,74,0,2
89,50,60,1
68,36,0,2
71,43,60,1
72,73,127,1
64,48,127,1
63,42,0,2
77,50,1,1
60,1,60,2
82,65,60,2
75,14,127,3
74,11,127,1
72,55,127,0
87,70,127,3
76,17,127,1
72,49,127,0
69,51,127,0
71,80,127,1
72,59,0,1
73,62,127,0
74,66,127,0
75,23,127,2
77,65,127,0
74,63,127,0
72,60,127,1
62,57,127,1
69,93,127,2
67,18,0,2
81,35,60,2
78,56,0,2
83,11,60,2
93,83,60,2
69,55,45,2
85,82,127,3
88,97,0,3
81,66,60,0
85,57,127,2
81,57,0,1
71,98,127,1
76,83,127,2
81,68,0,1
79,98,127,2
66,63,0,2
89,28,120,2
74,35,127,2
76,58,0,2
76,59,127,0
77,56,120,0
69,27,120,1
72,52,127,1
71,20,127,2
74,77,120,1
79,56,127,1
76,27,29,2
78,20,127,2
86,88,60,2
79,93,60,1
85,96,127,3
78,58,127,2
86,56,127,1
76,82,120,1
69,99,0,3
79,28,0,3
67,23,127,3
67,54,0,2
76,66,127,0
80,59,0,2
85,93,127,3
63,19,120,2
90,102,127,2
81,99,127,3
84,65,21,1
83,94,127,2
80,43,127,1
81,29,0,2
83,44,0,2
83,65,120,1
89,109,127,2
78,68,127,0
68,92,127,3
81,31,127,2
87,74,127,1
74,70,0,2
76,62,127,1
74,90,120,1
83,63,60,0
96,75,60,1
83,30,60,1
77,109,60,2
69,36,127,2
82,113,0,3
81,33,60,1
73,71,60,1
81,84,127,2
72,64,60,1
78,59,127,0
70,70,127,1
79,68,127,0
81,36,0,2
94,97,127,2
82,67,0,2
89,81,127,2
76,63,127,0
69,96,127,2
70,59,127,2
74,62,120,0
81,31,120,2
72,32,120,1
69,16,0,2
65,56,127,2
67,54,127,1
69,56,127,1
71,58,120,0
72,59,127,1
63,97,0,3
70,62,120,1
72,45,120,1
79,41,120,2
83,72,120,1
77,75,127,1
65,98,120,2
76,27,0,2
77,71,120,0
79,99,32,2
81,56,0,2
90,45,60,2
67,66,127,2
91,33,127,3
70,59,127,1
76,42,60,0
92,89,60,2
76,76,60,1
71,43,60,1
59,76,127,3
70,22,127,2
74,42,60,0
77,22,127,2
74,1,127,2
73,74,60,2
71,41,127,0
82,49,30,2
72,94,0,2
74,24,0,2
76,54,127,0
81,47,127,1
57,87,0,3
71,28,127,2
72,58,127,0
86,95,0,3
74,66,127,1
76,19,0,2
77,63,127,0
86,56,127,1
72,100,127,1
62,23,127,2
69,86,127,1
57,51,120,1
80,33,0,3
83,54,0,2
89,45,0,2
79,45,126,1
83,53,127,2
76,76,127,1
77,62,127,1
77,27,60,2
63,16,0,3
74,18,0,3
71,88,127,2
74,66,127,0
81,104,127,1
79,40,127,2
85,67,127,2
69,92,0,3
66,56,127,1
73,60,127,2
76,100,127,1
83,93,0,3
69,27,127,2
73,29,120,2
71,58,0,1
74,50,120,0
59,56,127,1
77,24,127,2
65,23,127,3
77,90,127,1
82,50,120,1
64,80,0,3
68,47,127,1
77,53,127,0
69,47,120,1
84,109,127,2
81,89,60,2
86,68,0,2
76,56,60,0
81,44,127,2
60,42,127,3
74,62,60,0
76,33,0,3
81,92,60,2
85,34,60,2
71,62,0,1
80,42,120,1
81,37,120,1
76,54,127,1
74,85,0,3
66,52,120,1
84,64,120,1
60,35,115,2
56,56,127,2
70,52,120,0
85,68,127,2
75,80,115,2
73,56,60,0
79,56,0,2
76,71,120,0
60,59,127,2
82,93,127,3
83,79,60,2
87,94,120,2
66,55,60,1
66,71,120,1
76,95,60,1
76,72,127,1
75,62,60,0
84,78,127,1
64,56,127,1
89,66,127,1
83,66,127,1
77,62,120,1
76,41,0,2
69,33,127,3
66,94,0,3
76,61,0,1
92,89,127,3
80,97,120,1
90,45,127,3
76,29,127,2
66,26,0,3
83,59,0,2
80,103,120,2
71,63,0,1
73,62,127,2
73,37,0,3
83,106,120,1
89,62,127,2
66,94,127,3
65,59,120,1
72,93,127,2
76,25,127,2
86,92,120,2
88,59,0,2
81,87,120,1
90,62,120,1
72,42,127,2
69,59,120,0
61,70,127,1
72,1,0,2
81,75,127,3
72,34,0,1
76,76,60,1
69,0,0,2
72,50,120,0
71,39,60,0
74,87,60,1
71,33,60,0
70,71,127,3
69,20,120,2
71,48,120,0
58,90,127,3
63,52,127,0
54,57,127,1
64,88,120,1
88,38,127,2
87,99,0,2
89,38,127,2
88,95,127,2
86,73,127,1
84,29,120,2
88,97,120,1
79,28,115,2
86,104,127,2
93,97,90,2
84,67,60,0
82,27,120,2
83,71,0,1
87,26,120,2
81,68,0,1
79,57,60,0
79,45,127,2
77,32,127,2
74,65,127,2
76,57,60,0
74,33,127,3
77,56,127,2
70,90,127,3
72,16,0,2
70,101,120,1
71,54,120,1
84,57,120,1
60,33,120,2
69,60,127,1
80,56,127,2
74,66,127,2
68,45,0,2
74,62,120,0
59,62,120,1
65,26,0,3
69,66,127,0
68,70,120,0
81,63,120,1
62,43,127,3
68,59,120,0
69,66,127,0
68,66,0,1
60,30,0,3
71,60,120,0
68,54,127,1
81,93,127,3
76,37,120,1
82,64,120,1
69,37,120,1
71,77,0,1
77,95,127,2
74,106,127,2
76,59,127,2
76,11,60,1
79,50,60,0
86,36,60,1
93,5,60,2
58,40,127,2
76,48,70,1
74,3,127,2
77,50,127,1
82,37,127,2
77,18,127,2
71,41,127,0
74,20,127,1
60,91,127,2
74,87,127,1
71,32,0,3
72,47,0,1
69,84,127,1
85,53,127,1
72,28,127,2
85,62,127,1
80,66,127,1
76,78,31,2
77,62,0,1
67,89,127,2
72,67,0,1
74,62,0,2
78,26,127,2
74,24,120,2
76,19,0,2
82,50,60,1
76,12,60,1
79,20,60,1
72,15,127,2
76,48,127,0
77,62,127,1
81,62,0,1
