note,velocity,time,anomalies
73,87,127,1
58,46,127,0
51,88,127,1
73,25,127,1
60,47,127,0
67,77,127,1
68,51,127,0
68,78,116,1
56,11,127,1
56,68,127,1
54,18,127,1
57,78,127,1
59,80,127,1
63,81,127,1
52,78,127,1
64,82,127,1
63,81,127,1
67,84,0,1
53,14,26,1
56,48,120,0
61,71,0,1
57,67,127,1
58,50,127,0
53,83,127,1
60,36,60,0
68,11,0,1
68,35,60,0
59,12,127,1
70,46,127,0
68,15,127,1
73,48,127,0
79,16,127,1
76,88,127,1
87,20,0,1
82,56,127,0
75,50,127,0
84,14,39,1
77,50,127,0
71,78,127,1
74,14,0,1
63,85,0,1
69,18,97,1
61,8,127,1
73,50,127,0
73,85,65,1
73,11,0,1
68,48,120,0
67,48,120,0
58,16,127,1
64,11,0,1
60,19,127,1
72,50,127,0
69,75,0,1
79,51,120,0
88,76,127,1
71,87,127,1
87,30,127,1
74,21,0,1
77,48,120,0
64,83,127,1
80,46,120,0
80,15,0,1
76,16,0,1
75,57,127,0
73,15,127,1
83,23,127,1
74,55,30,0
83,78,0,1
74,54,30,0
81,99,127,1
86,33,0,1
65,26,37,1
65,55,127,0
67,54,30,0
65,54,30,0
64,53,30,0
62,15,127,1
68,58,60,0
72,23,127,1
60,67,127,1
83,9,0,1
79,75,127,1
71,70,0,1
79,78,0,1
79,52,127,0
87,15,0,1
67,74,127,1
74,47,60,0
71,9,127,1
70,23,0,1
78,67,127,1
70,15,127,1
66,18,0,1
56,15,0,1
66,9,0,1
63,49,127,0
60,23,127,1
55,49,120,0
50,12,0,1
55,49,120,0
44,84,127,1
57,17,127,1
56,71,127,1
53,39,127,0
50,87,127,1
65,16,127,1
56,72,127,1
50,36,127,0
59,72,127,1
70,83,127,1
48,6,14,1
63,10,127,1
55,49,127,0
51,16,127,1
63,49,60,0
63,49,120,0
62,44,115,0
63,10,0,1
66,82,0,1
60,53,120,0
59,47,115,0
59,53,120,0
50,21,127,1
67,25,127,1
58,50,127,0
54,67,127,1
58,46,127,0
63,50,127,0
72,8,127,1
56,68,127,1
54,81,0,1
68,31,95,1
79,77,0,1
61,28,127,1
76,6,127,1
79,72,127,1
58,50,127,0
59,9,0,1
61,46,60,0
76,30,0,1
57,48,127,0
70,14,127,1
60,48,120,0
71,28,127,1
56,48,120,0
55,48,120,0
65,79,127,1
70,77,48,1
47,89,85,1
56,87,0,1
68,50,127,0
71,47,127,0
69,67,127,1
78,66,0,1
67,51,127,0
82,13,0,1
65,84,127,1
71,47,127,0
70,47,127,0
71,67,127,1
68,51,127,0
71,71,127,1
62,88,0,1
72,87,127,1
70,61,127,0
68,27,0,1
66,73,127,0
78,86,127,0
75,85,80,0
76,116,0,1
74,50,127,1
83,96,127,0
80,93,80,0
76,93,80,0
89,111,0,1
91,84,127,1
75,127,0,1
88,72,127,1
71,81,120,0
96,60,127,1
53,108,127,1
63,53,127,1
59,66,127,1
74,58,0,1
64,86,120,0
70,74,29,1
59,78,127,1
72,80,127,1
60,24,0,1
56,73,127,1
57,69,127,1
74,85,127,1
72,26,0,1
60,8,0,1
59,7,0,1
57,22,127,1
52,73,0,1
75,95,127,1
62,53,127,0
61,59,127,0
64,111,0,1
60,12,127,1
57,73,127,1
66,24,127,1
61,48,127,0
66,84,0,1
63,49,127,0
68,51,127,0
75,24,127,1
70,76,127,1
75,69,0,1
58,72,127,1
58,50,127,0
74,73,0,1
61,46,60,0
63,50,127,0
61,13,101,1
61,50,127,0
59,30,127,1
48,68,127,1
58,46,80,0
66,82,127,1
54,81,127,1
55,47,80,0
54,64,127,1
58,50,127,0
60,81,127,1
57,65,127,1
66,60,127,1
75,15,0,1
76,74,127,1
70,46,127,0
64,30,127,1
73,48,127,0
75,9,127,1
75,49,127,0
75,28,0,1
81,77,0,1
68,20,127,1
76,55,127,0
84,30,127,1
79,96,127,1
82,95,127,1
59,25,127,1
88,81,127,1
79,10,127,1
67,29,16,1
73,48,80,0
72,47,80,0
65,18,0,1
70,48,80,0
68,46,80,0
67,69,127,1
65,74,127,1
79,29,127,1
75,50,127,0
76,50,60,0
77,55,127,0
75,51,80,0
80,84,127,1
73,81,127,1
70,53,80,0
54,74,127,1
79,28,0,1
80,15,127,1
70,51,60,0
67,50,60,0
77,78,127,1
70,45,26,0
79,71,87,1
67,39,26,0
59,70,0,1
72,46,20,0
56,78,127,1
87,50,127,0
72,66,0,1
88,50,60,0
62,63,0,1
89,55,127,0
79,22,0,1
80,73,127,1
68,11,0,1
85,53,80,0
73,45,80,0
85,16,127,1
86,11,127,1
72,21,127,1
70,44,80,0
80,50,80,0
68,42,80,0
67,43,80,0
67,19,127,1
68,76,127,1
82,73,127,1
67,44,80,0
93,27,0,1
81,86,127,1
68,44,127,0
75,52,30,0
82,24,0,1
72,55,80,0
70,17,0,1
77,58,80,0
77,93,0,1
67,14,0,1
85,21,127,1
72,54,30,0
63,86,127,1
70,64,80,0
59,32,127,1
70,52,80,0
81,85,29,1
72,52,80,0
70,52,80,0
67,14,127,1
62,87,0,1
68,25,127,1
57,48,80,0
58,48,80,0
61,50,80,0
56,24,127,1
55,84,28,1
56,35,120,0
42,8,0,1
45,5,0,1
46,6,127,1
44,28,127,0
62,0,127,1
56,35,127,0
