note,velocity,time,anomalies
60,50,127,0
58,46,127,0
63,50,127,0
61,48,127,1
60,47,0,1
63,49,36,1
82,51,127,1
70,90,0,2
51,50,127,1
64,46,127,0
51,28,127,2
52,79,127,3
60,46,60,0
61,79,60,1
63,50,127,0
64,48,127,2
61,50,127,1
60,20,0,2
55,20,0,3
51,87,18,3
43,48,127,2
55,40,127,0
52,50,127,2
57,50,127,1
60,36,127,1
63,35,60,0
68,35,60,0
72,50,127,0
77,46,127,1
75,72,127,2
73,9,127,1
82,47,127,1
75,74,127,1
88,76,127,3
84,27,37,3
75,50,127,1
65,17,127,3
77,50,127,0
78,21,0,3
72,68,60,1
73,46,127,1
75,26,127,1
69,13,127,1
73,50,127,0
65,48,0,2
60,88,127,3
68,48,120,0
67,48,0,1
70,50,127,1
80,88,127,2
60,69,0,2
72,50,127,0
80,50,120,0
79,51,120,0
79,88,120,2
84,54,127,0
80,50,120,0
79,50,120,0
77,48,120,0
72,52,127,1
80,46,120,0
66,80,0,3
77,51,120,0
75,57,127,0
74,53,127,0
82,55,0,2
86,24,0,3
66,54,30,1
74,15,127,2
84,96,127,2
80,55,127,2
75,86,127,1
65,55,0,1
67,54,30,0
65,54,30,0
64,84,30,1
65,53,30,0
68,58,0,1
58,51,127,2
71,7,40,1
72,45,40,0
74,45,40,0
72,49,60,0
70,45,60,0
65,25,127,3
77,50,60,0
70,11,60,2
74,72,60,1
72,46,60,0
70,74,60,1
64,65,60,2
72,47,0,1
70,46,60,0
56,13,60,2
65,16,127,2
64,49,0,2
56,22,127,3
55,49,0,1
58,45,120,0
67,70,127,3
38,81,120,2
44,64,127,3
56,72,127,2
53,39,127,0
57,10,127,3
53,65,127,1
56,50,127,0
50,36,127,0
51,41,127,1
56,76,127,1
46,36,127,0
51,13,127,2
55,49,127,0
66,49,127,1
63,49,60,0
63,49,120,0
62,44,0,1
62,9,120,1
60,45,0,1
61,53,120,1
59,47,115,0
59,53,120,0
58,49,115,0
55,50,127,0
58,50,127,0
49,77,127,3
58,46,127,0
63,26,127,2
74,48,127,1
65,15,0,3
63,49,127,0
68,51,73,1
67,56,127,1
54,17,127,2
64,46,127,0
52,70,127,2
58,71,127,1
60,81,60,1
61,46,60,0
63,50,127,0
71,86,127,2
75,50,127,1
60,48,120,0
58,26,0,2
56,80,120,1
55,86,120,1
45,68,127,2
55,50,127,1
56,50,127,0
68,81,127,2
68,50,127,0
60,19,127,3
80,47,127,2
68,74,127,2
64,51,0,2
73,47,127,0
68,23,127,1
71,47,127,0
70,47,0,1
76,46,127,1
68,51,127,0
67,87,79,2
75,76,127,3
71,56,127,0
70,61,0,1
61,36,127,2
79,35,0,3
78,86,127,0
75,109,80,1
61,110,80,2
64,42,127,3
72,68,127,2
80,59,80,1
87,124,127,3
76,116,0,2
88,104,127,0
85,92,80,0
82,92,80,0
68,55,0,3
83,96,0,1
58,73,120,1
57,73,120,0
59,86,120,0
63,64,0,2
64,86,120,0
64,14,127,1
68,47,127,1
66,47,127,0
50,46,127,1
63,78,33,2
69,47,127,1
64,78,127,2
61,47,127,1
64,47,127,0
63,69,127,1
62,75,127,2
55,15,127,3
62,56,127,0
72,53,127,1
61,59,127,0
61,72,127,0
60,50,127,0
58,46,127,0
75,89,127,3
61,80,127,1
48,75,127,3
64,49,127,2
55,51,127,2
70,56,127,0
63,50,127,0
64,46,127,0
56,29,127,3
58,26,127,1
60,11,60,1
61,78,127,2
63,50,127,0
57,80,127,1
50,50,127,2
61,52,80,0
60,46,80,0
70,46,80,1
58,51,80,0
66,47,0,2
68,47,80,1
46,40,127,1
71,21,127,2
66,50,127,1
60,36,60,0
65,35,127,2
68,35,60,0
58,23,127,2
80,18,127,2
75,90,127,2
70,68,127,3
72,47,127,0
75,49,127,0
79,51,127,1
82,56,0,1
75,50,127,0
76,55,127,0
76,89,127,2
58,37,127,2
72,19,60,1
84,18,60,2
75,60,127,1
60,20,127,3
73,50,127,0
73,68,0,2
72,47,80,0
70,47,60,0
72,75,80,2
68,46,80,0
59,46,80,1
60,52,127,0
67,74,0,3
70,50,127,2
65,50,60,1
77,77,127,2
75,51,0,1
73,51,80,0
72,52,0,1
74,53,127,2
68,54,80,0
54,84,60,2
73,29,60,1
70,51,60,0
72,50,127,2
68,52,80,0
70,45,127,1
68,66,127,2
61,39,26,1
68,44,60,0
72,46,127,1
56,46,127,2
87,75,16,2
84,42,127,1
86,50,60,1
76,42,127,1
89,55,127,0
77,46,127,0
90,88,80,2
75,43,11,1
85,53,127,1
76,14,127,3
83,85,80,2
72,45,80,0
82,52,80,0
73,5,80,2
66,87,0,3
68,77,80,1
62,43,80,1
90,85,80,2
73,42,80,0
85,50,127,1
67,44,0,1
79,52,80,0
88,90,127,2
68,44,54,1
78,86,30,2
73,63,80,0
72,28,80,1
73,55,0,1
69,58,0,2
81,55,80,1
73,54,80,0
72,79,0,2
61,87,127,3
71,67,127,2
70,64,80,0
69,13,0,2
70,52,127,1
73,54,80,0
72,52,80,0
70,52,127,1
59,46,0,2
60,31,30,1
58,64,127,1
57,74,127,2
58,48,80,0
61,50,80,0
60,47,80,0
58,44,0,1
56,35,120,0
48,28,127,1
51,0,120,1
56,70,120,1
40,28,127,1
48,28,127,0
57,35,127,1
