note,velocity,time,anomalies
57,50,127,0
60,50,127,0
65,42,127,0
69,50,127,0
74,54,127,0
62,54,127,0
72,50,127,0
67,50,127,0
60,50,127,0
58,45,127,0
70,45,127,0
55,26,127,2
67,50,127,0
69,45,127,0
57,45,127,1
65,45,127,0
53,45,127,0
57,45,127,1
67,37,127,0
70,37,127,0
60,11,127,2
58,37,127,0
60,28,127,0
57,28,127,0
69,28,82,1
65,28,127,0
60,21,127,0
59,18,127,2
60,18,60,0
59,25,127,0
60,18,60,0
61,18,60,0
60,21,120,0
57,46,127,0
60,46,127,0
65,46,127,0
69,50,127,0
74,61,127,0
69,61,127,0
62,61,127,0
74,60,127,0
69,60,127,0
62,60,127,0
65,65,127,0
77,65,127,0
81,69,127,0
69,69,127,0
70,74,127,0
69,110,127,3
82,74,127,0
73,71,127,0
82,71,127,0
70,71,127,0
81,52,127,0
69,28,127,1
72,52,127,0
79,46,127,0
72,46,127,0
70,46,127,0
69,42,127,0
77,42,127,0
60,21,127,0
61,18,60,0
60,18,60,0
59,25,127,0
60,18,60,0
61,18,60,0
60,21,120,0
55,46,127,0
60,46,127,1
64,46,127,0
67,50,127,0
58,61,127,0
61,61,127,0
70,61,127,0
58,56,127,0
62,56,127,0
65,56,127,0
74,96,127,3
70,73,127,0
74,73,127,0
65,73,127,0
62,73,127,0
63,77,127,0
66,77,127,1
76,41,127,2
74,70,127,0
65,70,127,0
62,70,127,0
60,71,127,0
65,71,127,0
72,95,127,1
61,77,127,0
64,77,127,0
73,77,127,0
72,67,127,0
65,67,127,0
60,67,127,0
57,51,127,0
69,51,127,0
65,51,127,0
60,50,127,0
72,50,127,0
67,50,127,0
58,45,127,0
70,45,127,0
55,50,127,0
67,50,127,0
58,45,127,2
57,45,127,0
65,45,127,0
53,45,127,0
49,71,127,2
67,39,127,0
61,3,127,2
64,39,127,0
56,32,65,2
57,32,127,0
65,32,127,0
60,21,127,0
61,18,60,0
60,18,60,0
59,25,127,0
60,18,60,0
61,18,60,0
60,21,120,0
72,50,127,0
84,50,127,0
79,50,127,0
70,45,127,0
82,45,127,0
67,50,127,0
79,50,127,0
81,45,127,0
72,73,127,2
77,45,127,0
65,45,127,0
69,45,127,0
79,39,127,0
67,39,127,0
76,39,127,0
65,32,127,0
77,32,127,0
72,21,127,0
73,18,60,0
72,18,60,0
71,25,127,0
72,18,60,0
73,18,0,1
72,21,120,0
65,40,127,0
66,34,60,0
65,34,60,0
64,48,127,0
65,38,60,0
66,3,0,2
65,51,127,0
63,45,60,0
61,52,60,0
60,63,127,0
61,53,60,0
63,55,60,0
61,71,127,0
59,25,60,2
58,67,60,0
57,75,127,0
58,71,60,0
60,71,60,0
58,87,127,0
56,76,60,0
54,86,60,0
53,69,127,0
56,82,127,0
61,82,127,0
53,61,127,0
61,72,127,0
56,72,127,0
61,65,127,0
56,55,127,0
65,94,127,1
61,66,120,0
56,56,120,0
52,66,120,1
65,69,127,0
61,58,127,0
68,69,127,0
68,61,127,0
65,51,127,0
73,61,127,0
68,62,120,0
65,52,120,0
73,62,120,0
68,69,127,1
63,58,127,0
73,69,127,0
72,62,127,0
53,68,127,0
58,68,127,0
61,68,127,0
44,30,127,2
65,60,127,0
61,60,127,0
61,60,120,0
65,60,120,0
58,60,120,0
65,67,127,0
58,67,127,0
61,67,127,0
70,86,127,2
61,58,127,0
65,58,127,0
70,58,120,0
61,58,120,0
65,58,120,0
70,66,127,0
60,66,127,0
65,66,127,0
68,62,127,0
58,68,127,0
49,57,127,0
54,57,127,0
61,60,127,0
47,19,0,3
54,51,127,0
50,33,120,2
58,51,120,0
54,51,120,0
61,67,127,0
54,56,127,0
58,56,127,0
58,49,127,0
61,49,127,0
66,58,127,0
58,49,120,0
61,84,52,2
66,58,120,0
66,70,127,0
58,84,0,2
61,59,127,0
70,66,127,0
61,56,127,0
63,56,127,1
70,66,120,0
61,56,120,0
66,56,120,0
66,63,127,0
70,75,127,0
61,63,127,0
70,60,127,0
73,71,127,0
66,60,127,0
70,62,120,0
73,74,120,0
66,62,120,0
70,68,127,0
73,81,127,0
66,68,127,0
73,61,127,0
78,72,127,0
70,61,127,0
73,63,120,0
78,75,120,0
70,63,120,0
70,71,127,0
73,71,127,0
78,84,127,0
75,112,127,2
70,66,127,0
73,66,127,0
78,78,127,0
78,38,127,2
70,66,120,0
73,66,120,0
82,78,127,1
80,95,127,0
73,80,127,0
85,95,127,0
73,74,127,0
87,66,127,2
71,74,127,0
80,88,127,0
63,66,127,1
70,66,127,0
82,78,127,0
78,78,127,0
70,66,120,0
78,78,120,0
73,66,120,0
82,78,120,0
85,95,127,0
73,80,127,0
80,95,127,0
83,88,127,0
71,74,127,0
73,74,127,0
80,88,127,0
73,66,127,0
71,78,127,1
82,78,127,0
70,66,127,0
70,66,120,0
78,78,120,0
82,78,120,0
73,66,120,0
88,101,127,0
90,75,127,2
82,52,127,2
79,98,127,1
74,83,127,0
82,98,127,0
82,92,127,0
75,78,127,0
87,54,127,2
82,92,120,0
75,78,120,0
87,92,120,0
85,127,127,3
82,101,127,0
76,85,127,0
86,98,127,0
74,83,127,0
82,98,127,0
82,92,127,0
75,78,127,0
87,92,127,0
82,92,120,0
75,78,120,0
87,92,120,0
82,92,127,0
63,50,127,3
88,92,127,0
76,79,127,0
88,94,127,0
82,94,127,0
76,56,127,1
88,97,127,0
82,97,127,0
76,85,127,0
88,100,127,0
82,100,127,0
83,90,127,0
77,90,127,0
86,106,127,0
89,106,127,0
86,106,127,0
89,106,127,0
83,90,127,0
77,90,127,0
90,111,127,0
81,94,127,0
87,111,127,0
84,94,127,0
78,94,127,0
87,127,127,2
84,95,127,0
78,95,127,0
81,95,127,0
90,112,127,0
91,113,120,0
79,96,120,0
86,113,120,0
83,96,120,0
79,86,120,0
79,46,127,2
67,81,127,0
79,69,127,0
79,61,120,0
67,61,127,0
78,14,127,2
79,45,120,0
67,59,127,0
79,50,127,0
79,45,120,0
67,56,127,0
79,45,127,0
79,45,120,0
67,54,127,0
79,42,127,0
79,43,120,0
67,50,127,0
79,39,127,0
79,39,120,0
67,50,127,0
83,72,127,3
79,39,120,0
76,48,127,0
79,40,127,0
79,40,120,0
79,50,127,0
70,39,127,1
84,12,0,2
84,48,127,0
88,39,127,0
88,39,120,0
88,54,127,0
93,43,127,0
93,11,120,1
93,54,127,0
91,44,127,0
91,41,120,0
91,20,127,1
89,42,127,0
89,42,120,0
97,86,127,2
86,42,127,0
86,42,120,0
86,48,127,0
88,42,127,0
88,42,120,0
76,48,127,0
84,43,127,0
84,43,120,0
90,48,127,1
84,42,127,0
84,42,120,0
83,48,127,0
103,43,127,2
89,44,127,1
91,48,127,0
89,42,127,0
89,41,120,0
99,40,120,1
72,26,127,0
76,26,127,0
77,23,60,0
76,23,60,0
75,29,127,0
65,2,127,3
77,22,60,0
76,26,120,0
76,48,127,0
79,40,127,0
79,40,120,0
79,50,127,0
84,39,127,0
84,39,120,0
84,52,127,0
88,43,127,0
88,43,0,1
77,56,127,1
93,46,127,0
93,46,120,0
76,60,127,0
81,56,127,0
81,52,120,0
81,98,127,1
84,55,127,0
84,55,120,0
84,68,127,0
88,63,127,0
74,96,120,2
88,87,127,0
80,72,127,0
89,72,127,0
77,72,127,0
80,72,120,0
77,72,120,0
89,72,120,0
89,76,127,0
77,76,127,0
80,76,127,0
79,65,127,0
89,58,80,0
88,49,80,0
77,58,0,1
88,51,80,0
86,48,80,0
84,50,127,0
76,50,127,0
72,21,127,0
76,26,127,0
77,23,60,0
76,23,60,0
75,29,127,0
76,22,60,0
77,22,60,0
76,26,120,0
67,22,127,1
72,40,127,0
72,40,120,0
72,50,127,0
76,39,127,0
76,39,120,0
76,52,127,0
79,43,127,0
79,43,120,0
73,56,127,0
70,56,127,0
79,56,127,0
82,46,127,0
82,46,120,0
70,55,120,0
73,55,120,0
70,67,127,0
74,56,127,0
78,52,0,2
74,61,127,0
77,55,127,0
77,55,120,0
77,68,127,1
82,63,127,0
82,64,120,0
82,88,127,0
86,79,127,0
77,79,127,0
74,40,127,1
74,79,120,0
77,79,120,0
86,79,120,0
87,96,127,0
75,96,127,0
78,96,127,0
77,65,127,0
87,58,80,0
86,49,80,0
77,58,127,0
86,84,127,2
84,48,127,1
85,93,127,0
73,93,127,0
76,93,127,0
72,65,127,0
85,58,80,0
84,49,80,0
72,58,127,0
82,51,80,0
81,48,80,0
86,54,127,0
84,44,127,0
84,41,120,0
84,51,127,0
92,42,127,1
82,42,120,0
82,50,127,0
79,42,127,0
79,42,120,0
79,48,127,0
81,42,127,0
81,42,120,0
75,19,127,2
77,43,127,0
77,43,120,0
79,48,127,0
77,42,127,0
77,42,120,0
76,48,127,0
82,43,127,0
82,44,120,0
84,48,127,0
82,42,127,0
82,41,120,0
81,40,120,0
69,26,127,0
65,21,127,0
70,23,60,0
69,23,60,0
67,29,127,2
69,22,60,0
70,22,60,0
69,26,120,0
98,54,127,0
96,44,127,0
96,41,120,0
96,51,127,0
94,42,127,0
94,42,120,0
94,50,127,0
91,42,127,0
91,42,120,0
91,48,127,0
93,42,127,0
93,42,120,0
81,48,127,0
89,43,127,0
89,43,120,0
91,48,127,0
89,42,127,0
89,42,120,0
92,48,127,2
91,43,0,1
91,44,120,0
104,87,127,3
93,42,127,0
91,41,120,0
89,40,120,0
65,21,127,0
69,26,127,0
70,23,60,0
69,23,60,0
68,29,127,0
69,22,60,0
70,22,60,0
69,26,120,0
72,32,127,0
73,27,60,0
72,27,60,0
71,38,127,0
72,27,60,0
73,27,60,0
72,32,120,0
71,50,127,0
72,14,60,1
73,46,60,0
72,68,127,0
70,56,60,0
68,57,0,1
67,73,127,0
68,60,60,0
70,60,60,0
68,70,127,0
67,66,60,0
65,58,60,0
60,50,127,0
72,58,127,0
74,53,60,0
76,53,0,1
77,63,127,0
79,58,60,0
81,64,60,0
73,76,127,0
70,76,127,0
82,76,127,0
82,37,50,0
73,32,127,0
84,32,50,0
82,36,50,0
84,32,50,0
82,36,40,0
84,32,40,0
82,36,40,0
84,32,40,0
81,36,60,0
82,32,60,0
88,45,127,0
82,40,120,0
81,37,50,0
72,37,127,0
82,32,50,0
81,36,50,0
82,32,50,0
73,36,40,1
82,32,40,0
81,11,0,2
82,32,40,0
80,36,60,0
81,32,60,0
84,45,127,0
81,40,120,0
58,64,127,3
87,37,50,1
81,32,50,0
79,36,50,0
81,32,127,1
74,58,40,2
81,32,40,0
79,36,40,0
81,32,40,0
78,36,60,0
79,32,60,0
82,45,127,0
79,40,120,0
72,32,127,0
73,27,60,0
72,27,60,0
71,38,127,0
72,27,60,0
59,27,0,2
72,32,120,0
71,50,127,0
72,46,60,0
73,46,60,0
72,68,127,0
70,56,60,0
68,57,60,0
74,73,127,1
68,60,60,0
70,60,60,0
68,70,127,0
67,66,60,0
65,58,60,0
54,37,127,2
75,67,127,0
77,59,60,0
79,59,60,0
77,69,127,1
82,70,60,0
84,76,60,0
85,83,127,0
76,83,127,0
73,83,127,0
76,40,127,0
85,47,50,0
87,40,50,0
85,46,50,0
87,40,50,0
85,45,40,0
81,4,127,3
85,45,40,0
87,40,40,0
84,45,60,0
85,40,60,0
91,53,127,0
85,50,120,0
84,47,50,0
75,40,127,0
85,40,50,0
84,46,50,0
85,40,50,0
84,45,40,0
85,40,40,0
84,45,127,1
85,40,40,0
83,45,60,0
84,12,60,1
87,53,127,0
84,50,120,0
75,40,127,0
82,47,50,0
84,40,50,0
82,46,50,0
84,40,50,0
82,45,40,0
96,10,40,2
82,82,0,2
84,40,40,0
81,45,60,0
82,40,60,0
85,53,127,1
82,50,120,0
76,54,127,3
67,21,127,0
66,60,60,2
70,23,60,0
69,29,127,0
70,22,60,0
72,22,60,0
70,26,120,0
58,71,127,0
51,99,127,3
70,84,127,0
61,38,127,0
70,44,50,0
72,38,50,0
70,43,50,0
72,38,50,0
70,43,40,0
72,38,40,0
70,43,40,0
72,38,40,0
69,43,60,0
70,38,60,0
76,54,127,0
70,48,120,0
60,44,127,0
69,44,50,0
70,38,50,0
69,43,50,0
68,13,50,2
69,43,40,0
70,38,40,0
69,43,40,0
70,38,40,0
68,43,60,0
69,38,60,0
72,54,127,0
69,48,120,0
46,44,127,2
67,44,50,0
69,38,50,0
67,43,50,0
69,38,50,0
67,43,40,0
69,38,40,0
67,43,40,0
69,38,40,0
66,43,60,0
67,38,60,0
70,54,127,1
67,48,120,0
60,40,127,0
57,40,127,0
65,33,127,0
69,40,127,0
74,43,127,0
62,43,127,0
72,40,127,0
64,40,127,0
60,40,127,0
58,36,127,0
60,8,127,2
55,40,127,0
75,40,127,2
69,36,127,0
57,36,127,0
65,36,127,0
53,36,127,0
57,36,127,0
67,29,127,0
58,29,127,0
64,29,127,0
57,22,127,0
65,22,127,0
57,22,127,0
65,22,127,0
65,20,127,0
63,0,127,2
