note,velocity,time,anomalies
82,54,127,0
81,81,127,1
90,10,127,3
79,51,127,0
81,46,0,1
82,47,120,0
77,19,0,3
86,50,0,1
96,83,127,2
84,54,120,0
82,47,120,0
81,51,120,0
79,47,120,0
77,30,60,1
89,20,0,3
77,50,60,0
78,61,127,0
90,57,127,0
94,21,60,2
91,65,127,0
83,51,127,1
93,76,0,3
81,53,60,0
94,8,30,1
93,52,120,0
91,51,120,0
101,52,127,1
80,54,127,2
84,45,30,0
75,30,127,3
81,82,127,2
82,51,120,0
70,34,120,0
69,40,120,1
77,2,0,2
70,34,120,0
74,3,127,2
77,58,120,1
74,41,120,0
70,34,120,0
77,35,120,0
72,35,120,1
81,9,120,2
79,35,120,0
81,0,127,3
74,61,120,1
79,34,120,0
70,34,120,0
74,6,120,1
66,34,0,2
70,73,127,2
74,44,120,0
80,35,70,2
70,34,120,0
74,41,0,1
77,34,120,0
74,78,127,2
70,1,127,2
77,34,120,0
65,73,0,3
69,39,127,1
77,35,120,0
64,10,120,2
69,34,120,0
77,37,120,0
75,14,0,2
69,34,120,0
77,35,120,0
83,38,120,1
64,20,120,2
81,35,0,1
57,34,0,2
79,41,127,2
81,35,0,1
60,34,127,2
66,41,127,2
86,65,0,3
65,44,120,1
65,37,127,2
82,35,120,0
75,34,0,2
87,68,127,3
81,35,120,0
70,34,120,0
76,10,120,2
79,35,127,1
68,9,120,1
74,41,120,0
63,0,0,3
68,34,120,0
74,41,120,0
84,35,120,1
74,41,120,0
58,12,127,3
77,35,120,0
75,41,120,0
67,7,120,1
81,35,120,1
68,9,0,3
67,34,120,0
79,35,120,0
86,41,0,2
67,73,127,2
82,80,0,2
80,50,0,1
79,81,120,1
77,52,120,0
93,22,127,3
82,56,60,0
79,49,60,0
77,56,120,0
76,52,120,0
77,36,127,2
84,58,127,0
82,30,120,1
80,54,120,0
78,58,0,2
77,97,120,1
94,27,0,3
70,20,0,3
72,56,127,0
68,71,120,1
72,44,120,0
62,65,0,3
68,0,120,1
72,45,120,0
75,38,120,0
68,38,120,0
72,45,120,0
75,78,0,2
68,37,120,0
77,44,120,0
80,11,127,2
82,39,127,2
71,47,0,2
80,39,120,0
68,41,120,0
84,49,120,1
69,68,127,3
68,37,127,1
72,44,120,0
75,38,120,0
69,6,127,3
72,77,120,1
64,34,120,1
68,34,120,0
72,40,120,0
72,33,127,2
67,31,120,0
73,37,120,0
75,71,127,2
67,31,120,0
73,38,120,0
67,0,120,2
67,54,120,1
73,38,120,0
75,32,120,0
68,26,60,1
72,47,60,0
81,85,60,2
73,48,60,0
66,56,0,2
70,52,127,1
72,23,127,1
75,56,60,0
72,48,60,0
70,29,0,2
58,52,120,1
74,81,127,3
77,58,127,0
66,36,120,2
73,31,0,2
72,58,0,1
69,81,120,2
77,21,127,1
65,84,127,1
65,56,0,1
80,37,120,1
75,44,0,2
80,39,120,0
73,38,120,0
87,45,127,2
80,16,43,2
73,38,120,0
68,11,0,3
85,73,127,3
73,37,120,0
82,44,120,0
85,39,120,0
84,39,127,2
81,47,127,2
85,39,120,0
80,69,127,3
82,49,0,1
85,43,120,0
73,0,127,2
69,76,127,3
71,38,127,2
73,35,120,0
79,42,120,1
79,73,127,3
73,70,0,2
77,40,120,0
80,33,120,0
77,0,120,2
78,37,120,0
80,57,127,2
64,31,120,1
78,38,127,1
71,31,127,2
72,31,120,0
78,38,120,0
80,32,120,0
73,31,127,0
82,0,0,3
81,70,127,2
73,40,127,0
84,5,127,3
88,21,0,3
78,40,120,0
77,17,120,1
75,40,120,0
73,65,0,2
68,40,127,0
72,19,127,1
75,49,0,1
75,3,127,3
63,40,120,1
70,40,127,1
68,10,0,2
60,66,127,2
77,40,0,1
68,86,0,3
78,79,120,1
69,45,0,2
68,47,127,2
73,51,120,0
85,57,127,1
82,57,60,0
78,57,127,1
77,15,127,3
82,51,60,0
73,51,60,1
78,51,60,0
82,51,60,0
85,25,60,1
65,18,127,1
68,54,0,2
66,41,127,0
65,41,127,0
63,48,0,1
65,20,0,2
66,41,120,0
76,43,120,1
70,44,127,1
72,52,127,0
74,50,127,2
72,46,120,0
82,15,0,3
70,73,127,3
77,53,0,1
70,45,123,2
85,44,0,2
73,40,127,0
83,3,69,3
80,51,120,0
78,60,120,1
77,60,0,2
75,40,120,0
73,64,127,2
68,12,127,1
72,40,127,0
75,22,120,1
83,12,120,2
80,15,120,2
65,65,120,2
68,40,120,0
71,1,127,3
77,10,127,2
84,53,120,1
76,13,120,2
63,45,127,2
75,47,120,0
73,51,120,0
85,57,60,0
81,57,60,0
67,57,0,2
78,51,0,1
95,51,0,2
85,74,60,1
78,81,60,1
81,89,60,1
85,51,60,0
73,93,127,1
76,38,60,0
86,17,127,2
73,45,127,0
58,87,0,3
73,22,120,1
74,45,127,1
79,47,120,1
78,48,120,0
80,89,127,2
78,53,120,0
80,43,120,0
81,46,120,0
83,49,120,0
82,20,0,3
85,49,60,0
85,48,60,0
73,53,0,1
81,9,15,2
73,74,15,1
82,78,127,2
84,45,127,2
74,45,120,0
73,47,120,0
81,75,127,3
74,52,60,0
74,52,60,0
74,51,60,0
96,52,60,1
88,79,127,3
87,48,60,1
74,53,0,1
79,45,60,1
72,45,60,1
74,52,0,1
77,45,120,0
76,45,120,0
74,47,120,0
77,48,120,0
84,52,127,2
74,52,60,0
80,52,60,1
86,52,60,0
86,49,60,0
86,48,60,0
74,56,127,0
73,15,127,2
74,52,127,0
75,56,127,2
85,20,127,1
86,52,127,0
82,83,127,1
81,47,127,0
82,48,127,0
81,51,127,1
81,26,120,1
82,74,120,1
97,51,120,1
90,52,9,2
85,57,127,1
84,58,120,0
82,51,127,1
81,56,120,0
79,51,120,0
77,61,0,1
77,56,60,0
89,56,60,1
78,69,127,0
90,99,127,1
99,67,127,2
91,76,127,0
79,91,127,2
79,61,60,0
81,65,60,0
94,62,30,0
93,65,120,0
91,62,120,0
102,28,0,3
88,68,60,1
84,61,30,0
82,63,120,0
82,60,120,1
81,65,127,2
72,78,120,2
72,25,120,2
82,46,120,0
75,45,120,0
79,53,127,1
