note,velocity,time,anomalies
63,46,127,0
68,77,127,2
70,60,127,2
63,34,127,0
68,46,127,0
73,66,127,3
63,34,127,0
70,39,127,0
61,61,127,2
63,66,127,2
68,20,127,2
61,57,127,1
67,77,127,2
55,0,127,2
84,37,127,2
70,46,127,0
63,38,127,0
68,51,127,0
56,71,127,2
55,39,127,1
70,52,127,0
63,40,127,0
60,40,127,0
72,55,127,0
65,80,127,2
72,104,127,1
56,49,78,2
63,49,127,0
60,83,127,2
65,24,127,3
72,67,127,0
61,75,127,1
73,57,127,0
63,42,127,0
63,48,127,0
72,65,127,0
60,19,127,1
58,43,127,0
73,63,127,2
70,58,127,0
72,52,127,0
50,61,127,2
60,39,0,1
58,41,127,0
63,1,0,2
70,80,127,1
63,39,127,0
68,52,127,0
56,39,127,0
72,66,31,2
51,49,127,2
70,49,127,0
73,59,120,0
55,1,127,3
74,50,127,2
63,37,127,0
75,56,127,1
75,57,127,1
72,1,127,1
76,85,127,3
75,34,127,1
72,34,127,0
80,97,127,2
79,50,127,1
73,71,127,2
90,28,0,3
75,34,127,0
79,57,127,0
75,34,127,1
73,34,127,0
82,57,127,0
82,84,127,2
79,98,127,2
75,14,127,2
73,37,127,0
83,62,127,2
75,37,127,0
75,40,127,0
72,40,127,0
84,66,127,0
67,34,127,3
84,73,127,0
75,44,127,0
80,44,127,2
75,44,127,0
72,65,127,2
78,74,127,1
85,47,127,1
82,15,27,3
87,58,127,2
71,2,127,2
76,36,127,0
72,36,127,0
86,52,127,1
89,77,127,3
72,36,127,1
82,28,127,1
82,1,127,2
80,23,127,2
68,34,127,1
77,12,127,2
82,52,80,0
80,52,80,0
79,52,80,0
80,52,80,0
73,76,127,1
81,7,127,2
74,36,0,3
82,27,120,1
80,25,127,1
72,36,127,0
63,46,127,0
60,34,127,0
55,8,127,2
68,46,127,0
68,46,127,0
52,0,127,3
63,34,127,0
70,39,127,0
61,34,127,0
64,22,127,2
63,34,127,0
67,46,127,1
75,0,127,2
57,64,127,2
67,70,127,2
70,46,127,0
75,38,127,1
68,51,127,0
63,39,49,1
47,68,127,2
70,52,0,1
72,55,127,0
63,40,127,0
52,40,127,2
63,18,127,2
60,49,127,0
56,49,127,1
72,66,127,0
69,20,127,2
60,50,127,0
75,67,127,1
63,42,127,0
61,42,127,0
73,57,127,0
60,48,127,0
63,18,127,1
72,93,127,1
81,58,127,1
63,76,127,1
58,43,127,0
72,52,127,0
63,39,127,0
67,39,127,1
58,17,127,1
71,41,127,2
73,89,127,2
43,79,127,2
59,8,127,2
70,52,127,1
77,56,127,1
63,49,127,0
75,66,127,0
73,60,120,0
63,37,127,0
78,37,127,2
72,50,127,0
75,56,127,0
80,54,127,0
72,34,127,2
72,34,127,0
72,66,127,2
80,29,127,2
75,34,127,1
85,92,127,2
73,2,127,1
89,27,127,2
62,6,100,3
73,34,127,0
79,57,127,0
86,9,127,3
70,57,90,2
82,57,127,0
74,35,127,1
80,59,127,1
75,37,127,0
82,62,127,1
73,37,127,0
69,40,127,1
72,19,127,2
89,66,127,2
75,40,127,1
72,44,127,1
84,96,127,1
75,44,127,0
75,44,127,0
84,74,127,0
72,44,127,1
85,65,127,0
84,58,127,0
68,37,127,1
72,5,127,2
82,52,127,0
90,2,127,2
72,1,127,1
84,92,127,1
77,36,127,0
82,81,127,1
64,66,127,2
80,47,29,1
72,34,127,0
77,34,127,0
68,52,127,2
80,89,127,2
86,27,80,2
80,52,80,0
84,18,127,2
84,67,127,1
79,0,127,1
82,63,120,0
72,36,127,0
80,91,127,2
58,97,127,2
68,68,127,0
75,80,127,0
63,77,127,1
86,91,127,1
68,77,127,0
62,74,127,2
63,113,127,1
75,88,127,0
63,106,127,2
61,80,127,1
49,68,127,1
63,77,127,0
72,91,127,1
46,77,127,1
60,73,127,1
58,100,127,3
72,86,127,0
56,103,127,3
68,79,127,0
60,67,127,0
65,67,127,0
68,79,127,0
53,67,127,1
61,68,127,0
67,97,25,3
70,80,127,0
64,43,127,2
61,97,127,2
57,68,127,1
73,54,127,2
70,68,127,1
72,108,127,1
60,68,127,0
54,105,127,3
68,50,127,1
77,124,127,2
60,79,127,2
68,79,127,0
65,85,127,0
77,100,127,1
68,85,127,1
68,115,127,1
65,107,127,2
77,100,127,0
73,93,127,0
61,43,127,3
68,79,0,1
62,51,127,3
65,85,114,2
73,100,127,0
65,85,127,0
76,106,127,3
73,100,127,0
65,79,127,0
68,93,127,0
68,99,127,0
78,84,127,2
77,84,0,2
69,84,127,0
67,122,0,3
66,84,127,0
68,119,127,3
69,84,127,0
73,84,127,1
80,75,127,3
65,61,127,2
73,84,127,1
73,84,127,0
78,125,127,2
66,86,127,0
73,55,127,2
78,103,127,0
85,108,127,2
79,110,127,3
76,93,127,2
67,51,127,0
71,51,127,1
75,61,127,0
73,60,127,0
61,57,120,0
68,68,127,1
70,100,127,2
61,57,127,0
70,63,127,2
59,35,127,2
62,35,127,2
68,35,60,0
68,21,127,1
62,26,127,2
71,52,127,0
70,82,127,1
68,53,127,0
53,65,127,2
63,40,127,0
56,34,127,0
63,40,127,0
55,34,127,0
58,34,127,0
63,40,127,0
57,65,127,3
67,40,127,1
53,40,127,1
68,46,127,0
63,34,127,1
60,34,127,0
68,46,127,0
70,67,127,2
60,34,127,0
73,39,127,1
63,34,127,0
61,34,127,0
68,23,127,2
66,34,127,2
73,63,127,2
56,22,127,3
70,37,127,0
70,46,127,0
63,38,127,0
80,73,127,2
63,39,127,0
66,87,127,2
61,39,127,0
63,79,127,2
72,55,127,0
60,40,127,0
63,52,127,0
63,76,127,2
60,53,127,0
72,72,127,0
72,35,127,2
63,53,127,1
46,25,127,2
59,51,127,1
67,51,127,1
70,70,127,0
65,53,127,3
58,56,127,0
54,33,127,2
60,53,127,0
69,71,127,0
71,29,127,3
48,50,127,2
58,50,127,1
70,67,127,0
61,52,127,0
70,102,127,2
62,17,127,2
55,38,127,3
57,80,127,3
64,43,127,1
67,60,127,0
55,44,127,0
58,44,127,0
60,43,127,0
63,59,127,2
56,43,127,1
75,17,127,2
79,20,127,2
76,64,127,2
75,34,127,1
80,57,127,0
66,12,127,2
72,34,127,0
69,52,127,1
80,57,127,0
73,34,127,0
75,34,127,0
76,0,127,3
73,6,127,2
76,29,127,3
82,57,127,0
82,57,127,0
80,59,127,1
75,35,127,1
82,37,127,2
75,37,127,0
73,37,127,1
75,40,127,1
72,40,127,1
84,66,127,0
75,72,127,1
75,20,127,2
84,72,127,0
61,92,127,2
72,53,127,0
75,31,127,2
84,93,127,2
82,70,127,0
86,81,127,2
70,51,127,0
70,78,127,2
82,75,62,1
73,56,127,0
81,71,127,1
69,53,127,1
72,88,127,2
79,37,0,3
70,50,127,0
73,50,127,0
70,52,127,0
73,52,127,0
82,71,127,0
80,59,127,0
72,43,127,0
68,43,127,0
92,60,127,2
67,18,127,2
79,84,127,2
68,43,127,0
80,28,127,1
72,43,127,0
76,80,0,2
63,68,127,0
67,28,127,3
63,117,127,1
68,77,127,0
68,63,71,3
60,74,127,1
75,88,127,0
68,74,127,0
69,108,0,3
63,68,127,1
72,80,127,1
60,77,127,0
72,62,127,1
63,77,127,0
62,86,127,2
74,73,127,2
47,73,127,2
68,79,0,1
71,67,127,1
46,94,127,2
60,67,127,0
65,67,127,1
68,79,127,1
63,68,127,0
61,68,127,0
63,112,127,2
58,96,127,2
70,68,127,0
73,80,127,0
63,68,127,1
67,68,127,0
72,80,127,0
69,48,127,3
54,68,127,1
78,80,127,1
68,79,127,1
65,79,127,1
84,93,0,2
68,85,127,1
62,85,127,1
74,100,127,1
65,85,127,0
64,78,127,3
60,85,127,1
65,79,127,0
73,93,127,0
69,99,127,3
63,85,127,1
68,63,85,2
73,100,127,0
73,100,127,0
68,85,127,0
65,85,127,0
65,79,127,0
62,53,0,3
56,63,0,3
65,84,127,0
73,99,127,1
69,84,127,0
70,84,127,2
78,99,127,1
66,59,127,1
69,124,127,1
73,99,127,0
65,84,127,1
68,84,127,1
73,108,127,2
77,99,127,0
68,107,127,2
78,81,127,1
63,46,127,2
80,103,127,1
66,87,127,1
66,64,127,3
76,61,127,0
81,51,127,2
67,51,127,0
85,29,127,3
69,36,127,3
61,57,120,0
68,68,120,0
61,57,127,0
68,68,127,0
70,58,127,2
68,35,60,0
67,35,60,0
70,35,60,1
79,74,127,3
62,52,127,1
71,52,127,1
70,53,127,0
68,23,127,2
65,34,127,1
53,73,127,2
60,34,127,0
63,3,127,1
61,40,127,1
58,34,127,0
67,34,127,1
62,61,127,2
63,40,127,0
60,16,127,2
68,72,127,2
68,46,127,1
63,34,127,0
59,57,127,2
50,0,127,3
64,46,127,2
70,39,127,1
63,34,127,0
61,0,127,2
68,46,127,0
69,6,127,3
64,61,127,2
63,34,127,0
77,61,127,2
70,11,127,1
63,38,127,0
66,13,127,3
61,13,127,1
70,52,127,0
75,9,127,2
63,40,127,1
60,40,127,0
72,55,127,0
63,28,127,2
68,104,127,2
63,53,127,0
70,53,127,2
60,53,127,0
63,53,127,1
72,38,127,2
70,70,127,0
61,51,127,0
58,51,127,0
58,16,127,2
61,56,127,0
70,75,127,0
68,71,127,2
60,76,127,1
57,53,127,0
61,50,127,0
70,44,127,2
58,50,127,0
61,52,127,0
58,52,127,0
70,71,127,0
60,43,127,0
68,59,127,0
56,43,127,1
58,44,127,0
55,44,127,0
59,100,127,2
60,43,127,1
68,59,127,0
60,68,127,2
75,56,127,0
75,14,127,2
80,54,127,0
72,8,127,2
72,34,127,0
72,67,127,2
80,57,127,0
68,52,127,1
75,34,127,0
73,34,127,0
80,57,127,0
73,34,127,0
92,57,127,2
75,34,127,0
78,57,0,2
82,57,127,0
75,35,127,0
77,84,127,2
75,37,127,0
73,37,127,0
82,62,127,0
84,30,127,2
75,72,127,1
72,40,127,1
75,44,127,2
80,33,127,3
82,82,127,3
84,72,127,1
84,72,127,0
75,53,127,0
67,53,127,2
70,51,127,0
73,51,84,1
82,35,127,1
76,75,35,2
73,56,127,0
70,94,127,1
72,28,127,1
81,71,127,0
69,24,127,1
76,15,0,3
70,50,127,1
87,68,127,2
82,71,127,0
56,30,127,2
80,17,127,2
80,59,37,1
68,43,127,0
74,64,0,3
59,11,127,2
79,60,127,0
67,45,127,0
72,44,127,1
80,91,127,2
68,5,127,1
56,52,127,0
53,87,127,1
63,25,0,3
61,47,127,0
65,31,127,2
49,52,127,2
56,10,127,1
53,52,127,0
56,77,127,1
51,89,127,3
56,52,127,0
61,50,127,0
52,28,0,3
68,24,0,2
59,24,127,2
63,49,127,1
56,52,127,0
61,50,127,0
79,50,127,1
57,21,127,2
68,49,38,2
73,75,127,2
63,74,127,1
69,52,127,1
57,52,127,1
63,54,127,0
66,57,127,0
62,57,127,1
60,63,127,0
64,78,127,3
70,55,0,1
60,52,127,0
65,49,127,0
68,50,127,0
60,18,98,2
63,49,127,0
66,49,127,0
65,75,127,1
63,49,127,1
73,28,127,1
77,59,127,0
71,50,127,1
68,52,127,0
65,52,127,0
68,50,127,1
75,23,0,3
68,52,127,0
73,49,22,1
89,70,127,3
77,59,127,1
77,70,127,1
87,50,127,2
68,52,127,0
73,77,127,1
77,49,127,0
74,52,127,0
77,50,127,0
80,30,127,1
71,76,127,2
78,49,127,0
80,49,127,0
75,14,127,1
78,30,127,1
81,59,127,0
72,63,127,0
70,58,127,2
82,55,127,0
72,52,127,0
77,88,127,1
80,75,127,1
72,52,127,0
75,49,127,0
78,49,127,0
72,51,127,0
77,16,0,3
74,19,127,2
56,49,127,1
73,44,127,0
88,21,127,2
68,46,127,0
72,43,127,0
77,43,127,0
68,44,127,0
70,40,127,0
64,41,127,1
66,41,127,0
70,38,127,0
75,65,127,1
65,39,127,0
70,34,127,0
73,34,127,0
52,36,127,1
68,66,127,1
