note,velocity,time,anomalies
73,40,60,0
72,31,127,2
72,45,120,0
73,39,120,0
72,46,60,0
73,40,60,0
79,49,127,2
72,44,120,0
73,36,120,0
72,42,60,0
70,60,60,2
71,52,60,0
71,47,120,0
74,40,120,0
72,45,120,0
71,36,120,0
72,46,60,0
76,39,127,1
72,46,60,0
67,72,127,2
72,46,127,1
77,46,127,2
68,39,120,0
69,39,120,1
65,43,127,0
67,46,120,0
70,38,120,0
67,46,120,0
70,40,120,0
64,46,120,0
67,40,120,0
65,46,15,1
68,59,120,1
72,42,120,0
77,47,120,0
80,52,120,0
82,57,120,0
86,94,60,2
79,92,127,3
85,46,120,0
97,17,127,3
97,80,127,3
72,85,0,3
84,52,120,0
88,81,120,2
84,50,60,0
89,61,120,1
83,20,0,2
89,20,127,2
83,48,0,1
89,54,120,0
83,6,120,1
84,55,60,0
79,46,127,0
84,57,60,0
87,46,60,1
84,55,120,1
82,55,127,0
80,72,120,1
79,46,120,0
77,51,127,0
79,55,120,0
82,45,120,0
76,55,120,1
94,48,127,2
77,55,120,1
79,18,0,2
77,55,127,0
65,68,120,0
67,69,120,0
68,71,120,0
70,40,120,1
72,74,60,0
60,68,60,0
83,51,0,3
60,60,127,1
72,74,0,1
60,95,0,2
70,59,60,0
67,59,60,0
65,46,120,0
68,46,120,0
64,20,120,1
67,46,120,0
68,83,0,2
65,46,120,0
70,46,120,0
67,25,127,2
67,52,127,0
64,52,127,0
72,74,60,0
53,68,60,1
72,75,127,0
73,77,127,1
61,62,60,0
73,74,60,0
68,52,120,0
72,52,120,0
61,7,127,3
62,82,120,2
73,19,0,3
78,44,120,1
67,42,120,0
70,42,120,0
68,40,120,0
65,40,120,0
64,38,120,0
67,38,120,0
65,49,127,0
77,74,120,0
79,75,120,0
80,78,120,0
82,80,120,0
84,81,60,0
72,74,60,0
84,82,60,0
72,66,60,0
84,81,60,0
72,66,0,1
82,64,60,0
79,64,60,0
80,50,120,0
77,50,120,0
79,50,120,0
76,50,120,0
80,50,120,0
77,16,120,1
84,29,120,2
79,50,120,0
79,79,127,2
69,36,127,3
84,81,60,0
72,74,60,0
84,82,127,0
85,84,127,0
73,68,60,0
85,81,60,0
73,77,120,1
79,31,0,3
71,46,120,0
68,6,120,1
70,44,120,0
70,44,120,1
78,74,0,3
71,42,120,0
70,40,120,0
57,61,120,2
65,38,120,0
68,38,120,0
66,46,65,1
70,46,120,0
70,16,127,2
69,64,120,2
70,6,127,2
66,38,120,0
71,50,120,0
65,42,0,1
68,50,120,0
78,51,120,1
65,43,120,0
57,27,120,2
77,17,120,2
71,56,120,0
65,47,120,0
80,59,120,0
83,59,127,1
77,50,120,0
71,82,120,2
80,64,120,0
83,64,120,0
83,70,120,0
80,70,0,1
77,59,120,0
92,62,120,0
101,40,0,3
94,66,120,0
91,56,120,0
92,73,120,0
89,61,120,0
105,55,120,1
108,64,0,2
92,73,120,0
89,61,120,0
91,64,120,0
88,55,120,0
89,73,120,0
65,68,120,0
67,69,120,0
68,91,127,2
70,73,120,0
72,53,60,1
60,68,60,0
72,75,60,0
60,60,60,0
72,74,60,0
60,60,60,0
67,91,0,2
70,59,0,1
65,46,120,0
74,80,127,3
58,46,120,1
64,46,120,0
68,46,120,0
65,46,120,0
67,46,120,0
70,26,127,2
64,86,127,2
67,52,127,0
72,74,60,0
60,68,60,0
72,75,127,0
73,77,127,0
61,62,60,0
73,74,60,0
68,52,120,0
72,52,120,0
56,8,120,2
73,46,120,1
68,44,0,1
65,44,120,0
67,42,120,0
70,42,120,0
65,40,120,0
68,1,120,1
67,38,120,0
64,38,120,0
65,49,127,0
77,44,120,1
79,75,120,0
80,78,120,0
82,109,127,2
82,116,60,2
72,74,60,0
84,82,60,0
72,66,60,0
84,81,60,0
72,66,60,0
82,64,60,0
79,95,60,1
77,50,120,0
84,12,0,3
79,50,120,0
76,50,127,1
69,73,0,3
80,50,0,1
79,50,120,0
82,50,120,0
89,81,127,3
76,57,127,0
84,81,60,0
72,74,60,0
84,82,127,0
85,84,127,0
76,68,0,2
85,81,60,0
73,52,120,0
82,52,127,2
68,46,120,0
61,67,127,3
66,44,120,0
70,44,120,0
68,42,120,0
71,42,127,1
66,40,120,0
70,40,120,0
68,38,120,0
65,38,120,0
66,46,120,0
70,46,120,0
66,38,120,0
70,11,127,2
70,38,120,0
66,38,120,0
60,81,127,3
68,50,120,0
65,42,120,0
68,51,120,0
71,51,120,0
65,43,120,0
68,90,120,1
71,56,120,0
65,47,120,0
83,59,120,0
80,59,120,0
77,50,120,0
83,64,120,0
70,97,127,3
77,54,120,0
77,59,120,0
80,70,120,0
83,70,120,0
99,108,120,2
92,41,120,1
94,66,120,0
95,56,120,1
87,40,120,2
89,61,120,0
91,21,120,1
94,64,120,0
79,90,0,3
92,73,120,0
91,64,120,0
88,55,120,0
89,73,120,0
91,73,60,0
92,93,60,1
91,58,60,0
92,54,60,0
88,90,60,2
92,52,60,0
91,58,60,0
106,89,127,3
105,58,0,2
92,52,60,0
91,83,80,1
92,86,80,1
87,58,80,1
90,29,60,1
91,56,60,0
92,69,120,0
91,61,120,0
89,81,120,0
79,73,60,0
80,38,60,1
79,58,60,0
80,54,60,0
79,58,60,0
80,52,60,0
91,34,60,2
80,52,60,0
79,58,60,0
70,52,60,1
79,58,80,0
67,54,127,2
85,58,0,2
78,87,60,1
72,56,60,1
80,97,127,2
90,83,120,2
63,111,120,2
91,73,60,0
92,67,60,0
91,93,60,1
97,54,0,2
91,58,60,0
92,52,60,0
91,58,60,0
92,52,60,0
83,30,60,2
91,53,127,1
92,54,60,0
81,23,0,3
96,57,60,0
97,58,60,0
100,60,60,0
101,62,60,0
100,63,40,0
97,62,40,0
96,61,40,0
107,61,127,2
92,60,40,0
91,59,40,0
89,81,120,0
79,73,60,0
80,53,60,0
79,58,60,0
80,54,60,0
79,78,0,2
80,52,60,0
79,58,60,0
80,52,60,0
65,33,48,2
79,53,48,0
80,54,48,0
83,26,48,2
84,57,48,0
85,58,48,0
88,97,100,2
87,62,127,2
91,62,48,0
96,62,48,1
88,63,33,0
71,63,0,2
84,62,33,0
82,61,33,0
80,61,33,0
79,60,33,0
77,59,42,0
76,58,60,0
73,55,60,0
72,53,60,0
70,51,60,0
68,69,0,2
67,47,60,0
66,79,60,1
67,42,60,0
68,40,40,0
69,40,40,0
70,39,40,0
71,39,40,0
72,37,40,0
73,37,40,0
72,56,60,0
72,45,120,0
75,62,30,3
72,46,60,0
73,40,60,0
72,49,60,0
72,44,120,0
73,65,127,2
72,42,60,0
72,40,120,0
83,52,60,1
71,47,120,0
74,40,120,0
72,45,120,0
71,36,120,0
72,46,60,0
53,10,127,2
58,46,60,1
65,39,60,1
83,74,60,2
70,46,127,0
68,39,120,0
72,39,120,1
57,9,127,2
67,46,120,0
70,38,120,0
58,81,0,3
70,40,120,0
64,46,120,0
67,40,120,0
65,46,120,0
68,37,120,0
72,42,120,0
77,47,120,0
87,26,66,3
70,57,120,1
74,65,60,1
84,54,120,0
85,46,120,0
84,55,60,0
85,48,60,0
84,64,60,0
84,52,120,0
88,64,0,3
84,50,60,0
84,61,120,0
83,48,120,0
89,77,127,2
89,28,0,3
89,54,0,1
83,43,120,0
84,55,60,0
79,46,127,0
84,57,60,0
79,78,0,2
84,55,60,0
82,62,127,0
80,49,127,1
79,49,120,0
77,57,127,0
82,61,60,0
77,48,60,0
82,57,60,0
80,63,127,0
79,50,120,0
69,50,120,1
75,55,127,0
80,64,60,0
75,49,60,0
84,37,60,2
81,63,60,0
75,75,60,1
81,61,60,0
82,75,60,0
84,100,60,2
77,49,0,2
86,80,60,0
82,71,60,0
77,71,60,0
89,83,60,0
82,73,60,0
86,73,60,0
92,78,120,0
104,40,127,3
82,111,0,3
90,62,120,0
87,71,120,0
94,45,0,3
81,61,120,0
78,79,120,1
82,75,60,0
77,69,60,0
74,69,60,0
86,80,60,0
78,108,127,3
82,71,60,0
89,83,60,0
86,73,60,0
82,73,60,0
92,78,120,0
90,66,120,0
89,77,120,0
90,62,120,0
87,69,120,0
84,66,120,0
81,61,120,0
78,52,120,0
82,75,60,0
77,69,60,0
74,69,60,0
83,77,60,0
74,71,60,0
77,71,60,0
86,83,60,0
94,73,60,1
77,47,0,2
84,75,60,0
76,69,60,0
79,69,60,0
88,77,60,0
79,71,60,0
95,102,127,3
91,83,60,0
85,46,0,2
93,73,127,2
88,73,60,0
99,96,0,3
90,43,60,2
84,69,127,1
94,77,60,0
82,71,60,0
96,83,60,0
84,73,60,0
112,58,120,2
89,73,120,0
91,73,60,0
92,67,0,1
83,34,60,2
82,74,0,3
91,58,60,0
92,52,60,0
92,79,127,3
92,20,0,2
91,58,60,0
98,31,60,2
91,58,80,0
92,54,80,0
91,58,80,0
90,54,60,0
91,56,60,0
92,64,120,0
91,58,120,0
100,81,127,2
79,73,60,0
73,67,0,2
79,58,60,0
80,54,60,0
79,58,60,0
