note,velocity,time,anomalies
82,48,127,0
79,48,127,0
87,22,0,3
73,40,127,2
79,70,127,1
77,45,127,0
75,40,127,0
68,74,0,3
72,20,43,2
70,42,0,1
68,48,127,0
67,76,127,1
65,68,127,2
63,13,3,2
62,77,0,2
60,68,127,1
58,48,127,0
60,21,127,2
62,41,127,0
64,48,0,2
54,44,0,2
63,44,127,0
64,83,127,1
63,50,127,0
64,49,127,0
65,55,127,0
74,49,127,1
65,50,127,0
66,60,127,0
65,53,127,0
68,80,127,2
67,54,127,0
74,14,0,3
67,25,127,2
54,48,0,2
67,45,127,0
68,48,127,0
67,48,127,0
70,51,127,0
68,51,127,0
68,50,127,2
74,47,127,1
70,26,127,1
72,88,127,2
74,14,127,1
75,46,127,0
74,28,127,3
84,49,127,0
74,26,127,2
80,48,127,0
93,7,0,3
77,11,127,2
79,15,127,2
68,45,127,1
74,6,127,2
70,47,127,1
79,77,127,2
75,45,127,0
83,18,127,3
72,45,127,1
82,4,127,3
68,48,127,0
67,43,127,0
65,45,127,1
63,48,127,0
78,81,127,2
58,43,127,1
64,75,127,3
70,51,127,0
72,55,127,0
85,59,0,2
75,55,127,0
77,58,127,0
76,32,0,3
82,92,127,1
80,84,127,1
66,23,127,3
77,57,127,0
64,54,0,2
75,86,33,3
72,59,127,0
70,58,127,0
68,63,57,1
67,20,127,2
54,86,127,3
63,63,127,0
64,93,0,3
60,16,0,2
58,63,127,0
65,33,127,3
62,51,127,0
63,63,127,0
62,21,127,1
56,17,127,2
64,63,127,0
63,25,127,1
52,54,127,1
65,98,127,1
64,59,127,0
65,82,127,1
75,44,0,3
65,61,127,0
52,93,0,3
81,64,127,2
52,25,127,2
54,82,127,2
68,63,127,0
74,30,127,2
68,57,127,0
67,63,127,0
70,60,127,0
68,58,127,0
71,89,127,2
68,60,127,0
62,60,127,2
79,35,127,2
74,58,127,0
75,31,127,1
77,63,127,0
84,90,127,1
82,58,127,0
80,64,127,0
79,84,127,1
77,57,127,0
75,63,127,0
74,60,0,1
72,57,0,1
75,84,127,2
77,63,127,0
83,58,127,2
74,63,127,0
75,59,127,0
77,59,127,0
67,63,127,2
80,59,127,0
82,59,127,0
64,91,0,3
82,93,127,3
79,59,127,0
80,63,127,0
82,58,127,0
84,83,127,1
86,63,127,0
87,58,127,0
89,30,127,1
91,67,127,0
94,63,127,0
83,91,54,3
91,67,127,0
89,63,127,0
87,59,127,0
86,64,127,0
84,59,127,0
82,56,127,0
80,63,127,0
69,30,127,3
64,79,127,2
75,63,127,0
79,59,127,2
63,56,127,2
67,103,0,3
77,59,127,1
84,59,127,1
73,88,127,3
88,92,127,3
73,40,127,3
86,102,127,2
75,24,44,2
76,31,127,1
77,70,127,1
76,66,127,0
77,38,20,2
78,72,127,0
77,67,127,1
78,65,127,0
83,102,127,3
78,65,127,0
79,63,127,0
80,25,127,2
79,61,127,0
80,61,127,0
91,63,127,1
69,37,0,3
80,59,127,0
67,40,127,2
80,59,0,1
82,59,127,0
84,63,127,0
86,60,127,0
75,60,127,2
89,64,127,0
96,62,127,0
81,59,127,1
92,62,127,0
91,56,127,0
89,25,127,1
95,59,127,1
86,58,127,0
81,53,127,1
94,14,0,3
83,55,127,2
87,89,127,1
86,54,127,0
84,53,127,0
82,48,127,0
80,77,127,2
79,50,127,0
77,49,127,0
75,48,63,1
79,47,127,0
77,46,127,0
76,45,56,2
74,19,127,1
72,44,127,0
64,10,127,2
69,42,127,2
54,41,0,2
66,40,127,0
59,18,127,2
67,60,127,2
66,41,127,0
61,37,127,1
63,32,127,0
61,41,127,0
46,37,0,2
69,0,127,2
59,41,127,0
63,39,127,0
68,39,0,1
71,22,127,2
63,37,127,0
68,30,127,0
66,14,127,2
63,35,127,0
66,0,83,2
65,41,127,0
71,37,127,0
70,32,127,0
70,41,127,2
66,37,127,0
65,31,50,1
63,36,0,1
51,8,127,2
59,31,127,0
51,8,127,2
61,68,127,1
69,30,127,1
70,44,127,0
61,38,127,0
66,70,127,1
65,36,127,0
61,34,127,0
65,31,127,1
70,40,127,1
77,79,127,3
68,73,127,1
66,41,127,1
65,37,127,0
63,31,127,0
61,0,127,1
59,72,127,1
59,56,62,3
56,41,127,0
51,62,127,2
65,37,127,0
68,44,127,0
59,39,127,0
65,33,127,0
63,37,127,1
59,33,127,0
59,55,0,3
62,41,56,1
68,37,127,0
66,37,127,0
65,41,127,0
63,38,127,0
62,33,127,0
59,76,127,2
58,35,127,0
56,35,127,0
54,15,127,1
58,37,127,0
63,39,127,1
56,44,127,2
58,35,127,0
59,3,0,3
61,40,127,0
62,35,127,2
50,35,127,2
59,41,127,0
65,38,127,2
75,38,127,1
65,72,127,2
58,37,127,1
60,37,127,1
76,74,127,3
63,12,127,1
66,36,127,0
57,19,127,3
53,74,127,3
62,69,127,1
70,7,127,1
65,41,127,0
62,41,0,1
74,47,127,0
68,19,127,1
65,41,127,0
75,47,127,0
78,39,127,0
77,39,127,1
75,42,127,0
73,36,127,0
71,36,127,0
70,64,127,2
68,37,127,0
70,73,127,2
66,39,127,0
62,71,127,2
68,36,127,0
66,39,127,0
65,36,127,0
76,3,127,2
70,39,127,1
59,36,127,0
58,36,127,0
59,40,127,0
62,40,127,0
71,37,127,1
71,44,127,0
65,40,127,0
62,37,0,1
65,20,127,1
61,37,127,0
59,37,127,0
58,40,127,0
70,16,0,2
68,36,127,0
66,40,127,0
65,40,127,0
63,38,127,0
61,40,127,0
59,58,60,2
58,35,127,0
61,67,0,3
68,11,127,3
65,36,127,0
71,45,127,0
65,73,127,2
62,37,127,0
65,40,127,0
61,40,127,0
59,6,0,2
61,40,127,0
70,37,127,2
82,13,127,3
73,45,127,0
70,40,127,0
66,36,127,0
65,39,127,1
59,8,127,3
64,38,127,0
63,39,127,0
68,39,127,0
61,5,127,2
75,79,127,2
71,62,127,1
68,38,127,0
78,3,127,2
68,39,127,0
66,73,127,1
65,6,127,1
66,40,127,0
69,11,127,2
68,5,127,2
70,75,127,1
71,67,127,1
73,65,127,1
75,40,127,0
77,39,127,0
78,39,0,1
82,45,127,0
80,42,127,0
92,19,127,2
77,41,127,0
75,40,127,0
73,40,0,1
71,40,127,0
70,39,127,0
68,40,127,0
61,38,127,1
57,5,127,2
74,71,127,2
66,37,127,0
