note,velocity,time,anomalies
83,74,120,1
93,1,120,2
83,40,127,1
80,34,90,0
80,68,0,2
83,34,0,1
80,67,0,2
75,34,90,0
89,40,120,1
80,0,120,1
75,63,0,2
57,64,0,3
79,10,2,3
75,34,127,1
61,40,0,2
68,65,0,2
68,9,120,1
71,69,0,2
61,65,0,3
75,34,120,1
67,64,127,1
61,36,127,1
79,40,127,2
86,34,120,1
83,40,120,0
78,70,90,2
94,40,127,2
83,34,127,1
85,40,127,2
75,34,90,0
78,72,120,2
73,34,127,2
63,40,0,2
61,34,0,2
77,76,0,3
75,64,127,2
74,4,127,3
67,34,90,1
72,69,0,3
71,34,120,0
56,40,120,1
64,1,120,2
67,30,74,1
57,69,127,2
65,59,127,2
70,7,127,2
67,69,0,2
70,31,127,0
74,31,127,1
67,36,127,0
70,36,127,0
83,36,127,1
67,17,127,1
70,37,127,0
76,37,127,0
67,56,127,1
82,6,127,3
69,8,127,3
65,31,127,1
70,31,127,0
70,9,85,3
81,40,120,1
78,0,120,2
82,2,120,2
80,34,127,1
88,40,120,1
83,0,0,2
66,40,0,2
81,62,90,2
89,40,120,1
80,70,120,1
69,63,120,2
71,0,0,2
66,13,120,2
75,14,120,1
71,80,0,2
68,34,90,0
71,40,127,2
73,5,120,2
68,71,120,1
58,34,0,2
53,0,127,3
76,75,60,3
86,40,120,1
89,34,127,2
73,40,0,2
80,34,127,1
73,2,127,3
81,34,0,2
80,2,0,2
75,64,90,1
75,2,120,1
82,0,127,3
80,80,127,3
71,66,90,1
71,40,127,1
75,34,0,1
71,40,127,1
68,34,90,0
68,9,120,1
71,34,120,0
68,65,120,1
63,70,120,1
70,73,127,1
67,53,127,1
68,31,127,0
70,31,125,2
85,31,127,2
73,31,127,1
57,3,0,3
66,69,0,2
70,36,127,0
63,4,127,2
66,15,127,1
70,37,127,1
76,37,127,0
75,0,127,2
70,5,55,2
61,0,127,2
70,54,127,1
67,31,127,1
60,0,127,3
87,20,120,1
90,20,120,1
87,82,120,1
83,77,127,2
83,77,127,2
82,42,120,1
75,50,120,1
78,4,90,1
73,50,120,1
83,71,120,1
78,16,120,1
75,82,127,2
75,29,120,1
65,69,127,3
75,50,120,0
82,42,0,2
78,50,120,1
75,17,127,2
71,77,120,1
66,9,127,2
70,37,127,1
73,45,0,1
82,16,120,2
90,42,120,0
98,50,0,2
80,2,90,2
69,50,120,1
81,42,120,1
96,50,127,2
78,42,90,0
78,50,120,0
75,42,127,2
92,14,0,3
75,20,90,1
75,82,120,1
78,8,127,2
75,50,120,0
71,13,127,2
75,82,120,2
82,17,120,2
73,18,120,2
66,73,120,1
70,13,127,2
73,45,127,0
82,41,127,1
74,41,41,2
70,27,127,1
81,47,127,1
86,18,127,2
80,75,127,1
73,48,127,1
76,88,127,3
82,88,127,3
73,86,127,2
75,73,127,3
68,68,127,2
70,39,72,1
75,8,127,2
88,39,127,1
82,78,127,2
90,50,0,2
91,4,46,3
86,50,120,0
77,15,127,3
83,50,120,0
86,18,120,1
71,50,0,2
83,76,127,3
68,50,127,2
75,6,66,3
78,81,120,1
74,70,90,1
81,81,120,2
90,14,24,3
74,50,127,1
71,21,127,2
80,72,36,3
74,16,120,1
