note,velocity,time,anomalies
68,42,127,0
72,46,127,0
48,72,127,3
67,17,127,1
61,42,127,0
73,46,127,0
68,42,127,0
72,46,127,0
60,42,127,0
73,37,127,0
61,34,127,0
67,34,127,0
72,46,127,0
60,42,127,1
68,42,127,0
61,42,127,0
67,76,127,2
73,46,127,0
60,42,127,1
72,46,127,0
68,42,127,0
67,35,127,0
58,35,127,0
70,40,127,0
68,42,127,0
70,42,127,1
72,46,127,0
67,42,127,0
73,46,127,0
61,42,127,0
72,46,127,0
60,42,127,0
68,42,127,0
75,20,0,3
60,36,127,0
72,61,127,2
61,45,127,0
67,45,127,0
68,27,127,2
60,47,127,0
70,26,127,2
68,47,127,0
68,58,127,0
63,58,127,0
75,97,127,1
75,43,120,0
63,37,120,0
73,43,127,0
67,37,127,0
61,37,127,0
60,35,120,0
68,75,0,2
72,39,0,1
60,32,127,0
65,36,127,2
68,32,127,0
67,35,127,0
58,35,127,0
70,11,127,1
71,39,127,0
59,35,127,0
68,35,127,0
79,35,127,2
70,39,127,0
58,35,127,1
70,10,127,2
47,35,127,1
67,35,127,0
68,35,127,0
59,35,127,0
71,1,127,1
59,35,127,1
63,0,127,2
70,39,127,0
71,61,127,0
65,56,127,0
68,56,127,0
63,27,127,0
67,1,127,1
70,27,127,0
58,41,127,0
77,41,127,1
70,45,127,0
71,45,127,0
68,41,127,0
59,41,127,0
70,17,127,1
66,41,127,0
58,7,0,2
70,45,127,0
58,40,127,0
66,40,127,0
63,48,127,0
70,48,127,0
75,53,127,0
54,60,127,2
77,105,32,2
75,60,127,0
75,64,127,0
66,64,127,0
78,73,127,0
78,74,120,1
66,49,120,0
77,45,127,0
65,41,127,0
74,41,127,0
63,27,120,0
80,0,0,3
64,31,127,2
63,27,127,0
72,35,127,0
51,30,127,2
68,30,127,0
61,30,127,0
74,0,127,3
73,35,127,0
60,30,127,0
72,35,127,0
68,30,127,0
67,25,127,0
61,25,127,0
73,28,127,0
68,30,127,0
67,60,127,2
72,0,127,1
68,8,23,3
63,31,127,0
60,30,127,0
73,7,127,2
72,35,127,0
58,25,127,0
70,28,127,0
67,46,127,1
68,29,127,0
74,29,127,1
72,34,127,0
67,29,127,0
61,29,127,0
73,34,127,0
68,29,127,0
72,34,127,0
60,0,127,1
72,30,127,0
60,27,127,0
68,27,127,0
83,44,0,2
79,39,127,2
56,39,127,2
63,41,127,0
75,47,127,0
68,41,127,0
63,46,127,0
75,51,127,0
73,7,127,2
75,52,120,0
63,47,120,0
60,24,127,3
61,47,127,0
67,47,127,0
72,27,120,0
60,24,120,0
70,24,120,1
60,24,127,0
68,24,127,0
72,27,127,0
58,39,127,0
70,44,127,0
67,39,96,1
71,44,127,0
59,39,127,0
68,0,127,2
67,39,127,0
58,39,127,0
70,44,127,0
67,39,127,0
70,44,127,0
54,39,127,1
54,67,127,2
59,39,127,0
71,44,127,0
63,44,127,2
58,39,127,0
67,67,0,2
70,61,127,2
68,61,127,0
83,105,127,3
77,67,127,0
66,94,127,2
71,60,127,0
75,42,120,0
75,79,127,2
68,38,127,1
80,1,127,2
67,25,127,0
70,28,127,0
60,30,127,0
66,30,127,0
75,35,127,0
69,30,127,0
77,35,127,0
75,35,127,0
69,30,127,0
60,30,127,0
66,30,127,0
68,30,127,0
66,30,127,0
75,35,127,0
57,30,127,2
72,35,127,0
73,35,127,0
65,30,127,0
68,30,127,0
68,56,127,0
73,62,127,0
65,56,127,0
75,62,127,0
65,56,127,0
68,56,127,0
73,62,127,0
75,62,127,0
66,56,127,0
73,63,120,0
66,57,127,0
73,63,60,0
73,71,120,0
78,43,127,2
56,45,127,3
73,67,127,0
77,62,120,0
75,21,120,2
72,45,127,0
66,45,127,0
71,51,127,1
65,39,120,0
73,42,120,0
65,39,127,0
73,42,127,0
73,36,127,0
59,13,127,3
73,58,127,1
74,46,127,0
76,41,127,0
74,40,127,0
74,44,127,0
73,39,127,0
73,41,127,0
79,39,127,1
59,7,127,3
73,36,127,0
69,44,127,0
68,52,127,0
78,61,127,0
65,52,127,1
67,42,127,2
71,35,127,0
69,34,127,1
68,28,127,0
69,26,127,0
71,25,127,0
73,36,127,0
73,8,127,2
73,57,127,0
74,66,127,0
74,53,120,0
78,50,127,0
74,48,127,0
74,48,127,0
60,44,127,1
73,44,127,0
71,38,127,0
73,44,127,0
73,52,127,0
69,52,127,0
68,52,127,0
71,47,127,0
69,44,127,0
68,36,127,0
73,45,127,0
73,52,120,0
78,70,127,0
69,60,127,0
68,60,127,0
69,52,127,0
68,52,127,0
71,52,127,0
69,49,127,0
68,48,127,0
73,51,127,2
73,52,127,0
73,52,127,0
73,52,127,0
64,24,127,3
73,44,127,1
73,44,127,0
72,66,127,3
87,60,127,1
75,52,127,0
75,51,127,0
75,50,127,0
64,49,0,2
75,48,127,0
75,48,127,0
75,47,127,0
74,46,127,2
72,43,127,0
60,37,127,0
68,37,127,0
61,8,127,2
61,37,127,0
67,37,127,0
72,43,127,0
60,37,127,0
68,63,127,1
72,10,127,2
67,30,127,0
73,34,127,0
60,37,127,0
72,43,127,0
68,37,127,0
67,37,127,0
61,37,127,0
73,43,127,0
68,37,127,0
60,37,127,0
72,43,127,0
67,31,127,0
71,35,127,2
58,31,127,0
72,46,127,0
54,21,127,2
68,42,127,0
73,46,127,0
61,42,127,0
67,42,127,0
60,42,127,0
68,42,127,0
58,46,127,2
60,36,127,0
72,42,127,0
68,36,127,0
68,49,127,0
66,29,127,3
77,56,127,0
75,59,127,0
63,51,127,0
68,51,10,0
68,58,127,0
75,43,127,1
63,58,127,0
77,16,120,2
74,60,120,2
67,57,127,2
73,43,127,0
61,37,127,1
68,67,120,1
60,27,120,0
72,31,120,0
67,0,127,2
60,27,127,0
72,31,127,0
67,39,127,0
70,44,127,0
48,39,0,2
68,39,127,1
59,39,127,0
71,44,127,0
80,44,0,2
58,39,127,0
65,11,127,2
58,39,127,0
67,39,127,0
70,44,127,0
71,39,127,2
68,39,127,0
71,18,80,2
67,39,127,0
58,39,127,0
70,44,127,0
68,38,127,1
71,69,127,0
65,62,127,0
63,30,127,0
70,24,127,0
67,24,127,0
66,47,127,0
71,52,127,0
63,17,127,2
59,53,127,2
63,48,127,0
66,48,127,0
71,53,127,0
65,18,127,2
73,58,127,0
71,48,127,0
74,61,127,0
71,49,59,1
75,55,127,0
70,15,127,3
76,66,127,0
64,59,127,0
71,59,127,0
78,70,127,0
66,63,127,0
61,63,127,1
80,77,127,0
68,34,127,2
71,68,127,0
76,66,127,1
68,51,127,0
75,59,127,0
65,51,127,0
70,47,127,1
71,47,127,0
75,85,127,2
70,30,127,0
73,35,127,0
71,0,127,2
80,34,127,0
65,0,127,2
76,35,127,1
68,30,127,0
65,30,127,0
89,35,0,2
71,31,127,0
75,60,127,1
66,52,127,1
70,26,127,0
73,29,127,0
73,13,127,2
63,48,127,0
64,91,0,3
70,52,127,0
73,52,127,0
63,47,127,0
72,55,127,0
73,69,127,0
75,75,127,0
63,66,127,0
73,63,127,0
67,57,127,0
68,50,127,0
72,57,0,1
65,47,127,0
72,52,127,0
63,21,127,3
73,52,127,0
64,47,127,0
68,11,127,1
63,39,127,0
61,66,65,2
67,39,120,0
67,39,127,0
61,35,127,0
60,33,120,0
81,37,120,1
68,37,127,0
60,33,127,0
72,35,120,0
50,30,127,2
68,30,127,1
60,30,127,0
68,30,127,0
72,35,127,0
61,30,127,0
73,74,0,2
67,30,127,0
68,30,127,0
60,30,127,0
72,35,127,0
67,27,127,0
61,27,127,0
73,7,127,2
67,30,120,0
70,35,120,0
58,30,120,0
70,35,127,0
58,30,127,0
67,30,127,0
82,5,127,2
60,30,127,0
68,30,127,0
58,30,127,0
67,30,127,1
57,2,127,2
60,27,127,0
72,30,127,0
64,27,127,1
63,6,127,2
63,35,127,0
65,42,127,0
63,44,127,0
65,45,127,0
63,44,120,0
63,44,0,1
68,44,127,0
60,39,127,0
70,44,127,0
61,39,127,1
79,39,127,1
68,35,120,0
60,30,120,0
68,35,127,0
60,30,127,0
75,29,120,0
75,29,127,0
63,30,120,0
68,35,120,0
70,74,127,2
63,1,127,2
65,30,127,0
70,35,127,0
63,30,127,0
68,35,127,0
70,30,127,0
65,27,127,0
75,27,120,0
75,0,127,2
77,65,127,3
61,1,127,2
53,9,127,2
67,35,127,0
68,35,127,0
63,0,127,1
75,65,127,2
65,30,127,0
68,30,127,0
63,27,127,1
75,39,120,0
75,73,127,1
63,35,120,0
63,35,127,0
65,82,127,2
63,44,127,0
57,1,127,2
68,45,127,0
63,79,0,2
63,18,127,2
72,44,127,0
75,51,127,1
61,45,127,1
79,51,127,0
75,45,127,0
80,49,120,0
68,69,120,1
75,45,120,0
75,45,127,0
77,45,127,1
80,74,127,2
78,70,120,0
81,88,120,0
69,70,120,0
81,97,127,0
69,77,127,0
78,77,127,0
78,76,127,0
81,67,127,2
69,76,127,0
82,96,127,0
70,76,127,0
88,76,127,2
80,65,127,3
71,70,127,0
74,70,127,0
74,70,120,0
83,88,120,0
71,70,120,0
73,76,127,1
85,96,127,0
76,76,127,0
74,70,127,1
71,70,120,0
83,88,120,0
74,56,127,2
71,76,127,0
83,117,127,2
73,70,127,1
81,88,0,1
74,42,0,3
81,96,127,0
69,76,127,0
73,76,127,0
80,79,120,0
57,25,120,2
71,24,120,1
69,66,127,0
73,66,127,0
81,83,127,0
73,77,127,0
85,97,127,0
81,78,127,1
78,62,120,0
69,62,120,0
80,78,127,0
68,62,127,0
77,62,127,0
90,99,127,0
78,79,127,0
81,79,127,0
69,56,120,0
81,70,120,0
78,56,120,0
68,56,127,0
80,70,127,0
84,56,127,2
71,70,127,0
69,63,127,0
68,58,127,0
69,55,127,0
71,53,127,0
73,51,127,0
73,51,127,0
73,52,127,0
74,34,127,1
74,41,127,1
78,41,127,1
74,41,127,0
74,41,127,0
73,41,127,0
73,41,127,0
71,44,127,0
60,44,127,1
73,52,127,0
69,52,127,0
68,52,127,0
71,47,127,0
69,44,127,0
68,36,127,0
73,45,127,0
73,52,120,0
78,70,127,0
70,62,127,0
68,62,127,0
70,61,127,0
68,61,127,0
71,60,127,0
70,57,127,0
80,26,127,3
68,62,127,2
86,72,127,3
65,45,127,2
73,44,127,0
73,46,127,0
73,44,127,0
73,44,127,0
72,0,120,2
76,52,127,0
75,77,127,1
75,17,127,1
75,45,127,0
76,14,127,3
88,63,127,3
75,41,127,0
75,40,127,0
75,39,127,0
72,30,127,0
68,48,127,2
60,27,127,0
67,27,127,0
73,30,127,0
61,27,127,0
72,30,127,0
60,27,127,0
68,27,127,0
73,22,127,0
61,40,127,2
67,19,127,0
60,30,127,0
68,30,127,0
72,35,127,0
63,35,127,0
75,39,127,0
76,30,127,1
72,35,127,0
60,30,127,0
70,28,127,0
58,25,127,0
67,25,127,0
72,34,127,0
55,29,127,1
68,29,127,0
61,29,127,0
67,29,127,0
73,34,127,0
60,29,127,0
77,34,0,2
68,29,127,0
68,27,127,0
60,0,127,1
72,30,127,0
68,42,10,0
65,42,127,0
77,48,127,0
75,51,127,0
68,45,10,0
63,18,127,1
75,56,127,0
63,50,127,0
68,50,127,0
75,52,120,0
63,47,127,1
73,47,127,1
61,47,127,0
73,52,127,0
68,24,120,0
60,24,120,0
72,27,120,0
68,24,127,0
65,49,127,2
53,49,127,2
70,44,127,0
58,39,127,0
67,39,127,0
68,39,127,0
59,39,127,0
71,44,127,0
58,39,127,0
67,39,127,0
70,44,127,0
58,39,127,0
70,44,127,0
67,39,127,0
80,17,0,3
59,39,127,0
68,39,127,0
74,39,127,1
58,39,127,0
70,44,127,0
68,61,127,0
71,88,127,2
65,38,127,1
68,62,127,0
77,69,127,0
71,62,127,0
75,42,120,0
68,38,127,0
72,71,127,2
75,42,127,0
67,54,127,1
70,28,127,0
75,35,127,0
69,30,127,0
52,30,127,1
69,30,127,2
66,35,127,2
66,30,127,0
75,35,127,0
60,9,0,2
69,30,127,0
75,35,127,0
61,30,127,0
68,30,127,0
66,30,127,0
86,35,127,1
68,30,127,0
65,30,127,0
73,35,127,0
75,68,127,0
72,68,127,0
80,77,127,0
82,77,127,0
72,68,127,0
80,77,127,0
75,68,127,0
82,77,127,0
73,68,127,0
80,77,120,0
80,77,60,0
73,68,127,0
80,77,120,0
80,81,127,0
85,91,127,0
76,44,127,2
84,77,120,0
84,57,127,1
69,57,127,2
79,51,127,0
72,83,127,2
80,50,120,0
72,45,120,0
77,50,127,2
72,6,127,2
60,30,120,0
72,35,120,0
68,30,120,0
68,30,127,0
48,30,127,2
72,35,127,0
67,30,127,0
61,50,127,1
73,35,127,0
68,30,127,0
72,35,127,0
60,54,127,1
73,30,127,0
61,27,127,0
