note,velocity,time,anomalies
68,72,127,0
59,72,127,1
80,81,127,0
79,77,120,0
68,69,120,0
67,31,120,2
73,37,127,3
60,89,120,2
68,98,120,1
71,40,127,2
88,51,127,3
72,112,127,2
68,70,120,0
72,78,0,1
74,78,120,1
68,32,120,1
77,81,127,0
73,106,127,1
70,72,127,0
59,77,127,2
70,69,120,0
70,68,120,0
73,76,120,0
71,115,127,2
68,72,127,0
72,72,127,0
68,49,17,1
77,55,120,1
68,49,0,1
72,26,120,1
72,48,127,0
55,13,127,3
67,6,127,2
68,43,120,0
80,48,120,1
56,77,120,2
65,40,120,0
83,45,0,2
54,10,127,2
72,24,127,1
68,40,127,1
68,43,120,0
60,4,120,1
73,48,120,1
50,8,120,2
72,45,120,0
68,40,127,1
73,45,127,0
83,40,127,2
65,40,127,0
80,48,120,1
61,43,120,0
70,3,0,2
59,60,0,3
70,70,120,1
79,7,120,2
57,12,127,3
65,40,127,0
72,24,127,1
60,40,120,0
80,45,127,2
71,40,0,2
60,40,120,0
68,40,120,0
72,66,120,1
65,70,127,0
71,78,127,0
58,70,127,2
71,74,32,1
68,66,120,0
65,34,127,3
68,105,120,1
72,107,0,3
62,66,127,1
63,104,127,1
62,109,111,3
67,75,127,0
60,70,120,0
67,70,120,0
78,78,120,1
75,78,120,1
67,50,120,1
60,105,127,2
62,74,127,0
74,55,127,1
67,74,27,1
71,38,120,2
71,78,120,0
55,70,0,2
62,78,120,1
76,70,0,2
57,49,127,3
79,74,127,2
63,74,127,1
68,123,127,3
63,37,120,1
72,48,120,1
57,72,120,1
77,52,120,2
56,72,120,1
65,108,120,2
64,119,127,2
77,68,127,2
75,87,127,2
67,78,0,1
79,87,127,1
67,78,120,0
67,105,127,1
78,92,127,0
92,58,0,3
74,81,0,2
67,81,120,0
79,90,0,1
79,97,127,0
67,87,127,1
80,123,0,2
68,121,127,1
77,125,127,1
87,97,127,1
77,87,127,1
68,87,127,0
70,61,127,2
77,87,127,0
80,97,0,1
80,97,127,1
81,87,127,1
68,87,127,0
73,87,127,0
85,97,127,0
80,87,127,0
85,90,127,0
80,81,127,0
73,81,127,0
80,46,127,2
85,95,120,0
73,85,120,0
85,64,127,2
83,87,0,2
80,87,120,0
87,99,127,0
85,118,127,3
75,89,127,0
75,84,120,0
98,124,120,2
84,84,120,0
87,91,120,0
87,81,0,2
75,81,120,0
73,80,127,0
85,56,127,1
83,61,127,1
80,57,0,2
71,82,127,0
77,82,127,0
88,114,127,2
73,82,127,1
77,82,127,0
72,82,127,0
79,82,127,0
72,82,127,0
79,82,127,1
88,92,127,1
72,66,20,1
62,29,127,2
80,74,127,0
69,71,0,2
72,100,120,1
68,63,120,0
77,70,120,0
72,63,120,0
68,41,127,2
77,74,127,1
72,66,127,0
68,66,127,0
68,64,127,1
72,72,120,0
68,64,120,0
72,72,120,0
77,75,127,0
73,67,127,0
70,37,127,2
70,64,120,0
60,72,0,2
78,64,13,2
67,39,0,3
85,76,127,2
72,35,127,1
66,68,127,1
68,17,0,2
76,30,120,2
61,48,120,1
72,54,120,0
68,43,127,0
72,48,127,1
67,18,0,2
69,18,120,2
72,48,0,1
65,40,120,0
56,40,120,1
72,45,120,0
58,66,127,3
