note,velocity,time,anomalies
79,82,127,2
81,57,127,2
79,22,127,1
62,17,127,2
64,37,127,2
93,70,127,1
69,57,127,2
72,37,127,2
79,57,127,1
72,57,0,1
83,68,127,2
80,91,127,2
81,19,127,3
81,83,127,3
72,54,127,0
89,29,127,3
77,94,127,2
79,65,127,0
76,51,93,1
59,18,127,2
72,51,127,0
89,74,127,2
67,60,127,0
72,87,127,1
67,82,127,1
72,20,127,1
67,22,127,1
72,45,127,0
68,55,127,1
69,55,127,0
63,45,127,2
69,45,127,1
75,76,127,2
62,46,127,1
82,54,127,1
77,54,127,2
65,4,127,1
81,43,127,1
67,5,127,1
78,43,127,2
76,18,127,3
70,34,127,2
64,34,127,1
64,14,127,2
64,54,0,2
64,45,0,1
65,45,127,1
79,30,127,1
72,57,127,0
71,57,127,1
79,19,0,2
58,30,127,3
95,70,127,2
79,57,127,0
58,35,127,2
69,84,0,3
79,57,127,0
85,99,127,2
86,68,127,1
61,24,127,3
77,54,127,1
72,54,127,1
88,54,127,2
82,67,0,2
89,43,127,2
72,22,127,2
76,51,127,1
65,17,0,3
79,79,127,2
67,63,127,0
72,91,127,2
78,45,127,1
67,77,127,2
80,7,127,2
72,22,127,1
72,56,127,1
69,80,127,1
67,45,127,1
72,9,127,1
72,46,127,0
67,71,127,1
72,55,127,0
63,55,127,2
58,43,0,2
65,10,127,2
67,43,127,1
65,13,127,2
67,28,127,2
67,34,127,1
53,34,127,2
67,74,0,2
62,71,127,2
68,46,127,2
64,67,127,2
67,46,127,1
64,46,127,1
74,21,127,2
72,46,127,0
77,46,0,2
73,70,127,3
69,55,127,0
70,81,127,2
64,75,127,1
70,47,127,1
64,47,127,1
72,85,127,2
72,11,127,1
54,8,127,2
71,14,0,3
56,57,0,2
58,20,127,2
71,57,127,1
77,19,127,3
67,32,127,1
77,75,127,3
72,54,127,0
73,54,0,2
81,90,127,2
70,45,127,2
73,67,127,0
67,67,127,0
64,23,127,2
67,30,127,2
74,36,0,2
74,19,127,1
67,31,0,2
73,57,127,2
77,104,127,2
81,73,127,2
58,45,127,3
77,21,127,2
69,59,127,0
70,38,127,3
78,59,127,1
69,59,127,0
91,34,127,2
70,61,127,1
76,82,127,1
67,108,109,2
72,63,127,1
65,63,127,0
74,63,127,0
75,101,127,2
65,87,127,2
84,63,127,1
70,114,127,3
79,83,127,1
64,83,127,1
64,47,127,3
65,68,127,0
60,99,127,3
69,69,127,0
60,41,127,2
74,69,127,0
66,87,127,1
72,87,127,1
63,87,127,1
65,75,127,0
64,75,127,1
72,75,127,0
65,75,127,0
62,75,127,0
72,75,127,0
65,51,127,1
71,68,127,2
62,127,127,1
64,73,127,1
67,50,127,1
67,112,0,2
79,97,0,3
72,91,127,0
69,91,127,1
67,40,127,1
72,76,127,0
72,56,127,1
67,108,127,2
67,91,127,0
80,91,127,1
64,65,127,2
74,116,127,2
70,51,127,2
65,60,127,1
72,118,127,1
68,44,127,2
60,81,127,1
84,96,127,1
67,96,127,0
72,84,127,0
67,84,127,0
64,122,127,1
86,84,127,1
66,84,127,1
64,84,127,0
59,120,127,3
67,99,127,0
64,63,127,3
64,76,127,0
72,107,127,2
67,76,127,0
64,108,127,2
67,76,127,0
72,98,127,1
51,58,127,2
72,92,127,0
67,113,127,1
69,96,127,2
58,76,106,2
79,76,127,2
51,76,127,2
83,36,127,2
67,76,127,1
67,56,127,1
59,91,63,2
60,91,127,0
72,75,127,1
59,54,127,3
67,75,127,1
71,49,127,2
62,99,127,1
77,75,127,2
72,91,127,1
70,91,127,1
67,127,127,2
72,74,127,1
57,100,127,3
60,112,127,2
72,100,127,2
60,74,127,1
72,92,127,0
60,126,127,1
67,11,127,2
64,15,127,1
72,79,127,1
72,86,127,1
64,46,127,0
67,46,127,1
69,17,127,2
62,56,127,1
71,84,127,2
70,84,127,2
64,25,127,1
75,47,127,1
72,47,127,0
57,47,127,1
73,27,127,2
70,58,127,0
60,58,127,1
65,91,127,1
70,91,127,2
67,54,127,0
81,54,127,1
72,54,127,0
67,54,127,1
70,54,127,0
70,67,127,0
77,104,127,3
67,67,127,1
79,95,127,3
67,84,127,1
74,37,127,2
74,96,127,1
67,57,127,0
64,94,127,2
70,73,127,0
64,73,127,1
75,103,127,2
89,98,85,3
71,59,127,2
74,33,5,2
74,59,127,0
65,27,127,2
70,59,127,1
67,82,127,2
76,113,127,1
67,82,127,0
75,41,127,3
71,63,127,1
81,97,127,2
69,63,127,0
65,63,127,0
74,88,127,1
69,83,127,1
73,44,0,2
77,110,127,2
83,68,127,2
65,47,127,1
78,68,127,2
69,69,0,1
65,69,127,0
74,109,127,1
78,112,127,2
74,87,127,2
63,87,127,1
65,75,127,1
64,75,127,2
73,75,127,1
68,75,127,1
75,40,44,3
58,41,127,2
65,89,127,0
71,89,127,0
62,89,127,1
76,73,127,2
67,110,127,2
67,101,127,1
72,73,127,0
72,62,127,1
60,91,127,1
55,76,127,1
84,76,127,2
80,42,127,2
67,47,127,2
70,123,127,3
68,91,127,1
64,51,127,1
72,81,127,0
67,53,127,1
67,81,127,2
72,81,127,0
80,119,0,3
72,58,127,2
74,73,127,3
67,98,127,0
72,111,127,2
67,57,127,2
64,106,127,2
72,63,127,1
67,84,127,0
71,84,0,2
72,72,127,1
67,98,127,0
56,127,127,2
64,79,127,0
72,79,127,0
62,79,127,2
64,79,127,0
67,79,127,0
72,79,127,0
62,95,127,1
65,63,89,3
80,58,127,2
64,79,127,0
67,100,127,2
72,79,127,0
65,79,127,2
72,105,127,1
67,79,127,1
74,72,127,3
72,95,127,0
60,95,127,0
86,77,127,1
66,77,127,1
67,105,127,1
73,104,127,2
62,44,127,1
67,103,127,1
72,95,127,0
64,57,127,1
64,127,127,2
59,107,127,3
80,42,127,3
49,76,127,2
72,103,127,2
56,76,127,2
68,127,127,2
58,95,127,2
