note,velocity,time,anomalies
64,9,127,1
65,37,127,0
72,26,127,1
48,16,127,1
66,77,0,1
60,79,0,1
73,88,0,1
73,0,0,1
60,42,127,0
64,13,127,1
43,4,105,1
62,43,127,0
56,71,127,1
60,50,127,0
49,67,0,1
60,44,127,0
48,13,0,1
64,79,127,1
62,37,120,0
68,13,127,1
58,45,127,0
60,72,127,1
56,10,0,1
74,4,127,1
49,65,0,1
74,71,127,1
58,67,0,1
76,2,127,1
63,30,30,0
72,5,0,1
67,39,127,0
55,59,127,1
71,7,127,1
75,13,127,1
55,54,127,0
53,54,127,0
65,23,127,1
68,17,127,1
55,87,127,1
56,97,127,1
60,59,127,0
53,55,127,0
59,55,127,0
48,73,127,1
47,100,0,1
47,36,127,1
70,92,0,1
63,61,48,0
73,101,127,1
64,39,0,1
65,98,127,1
77,45,127,1
56,80,127,1
65,60,48,0
74,23,0,1
68,47,0,1
58,22,127,1
66,20,127,1
52,90,127,1
73,16,127,1
74,24,127,1
62,53,48,0
62,103,127,1
67,63,127,0
78,39,127,1
77,21,127,1
66,31,0,1
74,64,48,0
70,66,127,0
75,66,127,0
74,58,48,0
75,60,48,0
77,62,48,0
82,33,0,1
69,90,127,1
74,93,127,1
57,92,127,1
70,60,48,0
73,37,127,1
79,86,0,1
79,29,127,1
75,66,127,0
82,20,127,1
74,54,60,0
62,85,0,1
77,48,60,0
83,11,127,1
74,16,127,1
78,45,127,0
75,38,127,0
73,5,127,1
66,31,127,0
67,4,127,1
59,67,127,1
55,35,48,0
56,37,48,0
59,1,127,1
59,41,48,0
58,35,127,0
70,0,127,1
63,35,48,0
52,76,0,1
65,70,127,1
76,20,0,1
56,17,127,1
76,84,127,1
60,3,0,1
58,34,127,0
54,26,127,0
56,35,127,0
63,35,127,0
66,14,127,1
68,4,127,1
54,2,0,1
59,41,48,0
58,6,127,1
74,64,127,1
48,63,0,1
54,8,0,1
63,39,48,0
65,41,48,0
80,22,127,1
63,45,127,0
58,26,127,0
67,50,127,1
49,0,127,1
55,58,127,1
60,0,127,1
72,4,127,1
57,0,127,1
65,0,127,1
63,26,127,0
65,33,127,0
58,26,127,0
67,52,127,1
71,0,127,1
73,0,127,1
58,50,68,1
79,10,127,1
83,89,127,1
70,56,127,0
58,83,0,1
63,29,127,1
49,11,127,1
74,56,127,0
48,1,127,1
66,19,0,1
55,60,127,1
81,71,0,1
70,40,127,0
58,30,127,0
67,78,127,1
74,30,56,1
70,56,127,0
76,29,127,1
72,54,30,0
62,48,127,0
80,35,127,1
60,43,120,0
70,21,127,1
49,65,0,1
70,50,127,0
67,27,127,1
71,21,49,1
87,20,127,1
65,40,120,0
75,58,127,0
65,22,15,1
58,20,0,1
89,84,0,1
74,83,127,1
76,74,127,1
76,28,127,1
64,74,127,1
79,68,127,0
69,25,31,1
77,56,120,0
65,47,120,0
74,32,127,1
73,28,127,1
60,59,127,0
68,20,127,1
79,39,127,1
65,35,127,0
82,84,127,1
54,75,127,1
54,3,0,1
65,18,127,1
69,64,127,1
68,53,127,0
73,5,127,1
68,47,127,0
68,37,30,0
70,35,30,0
72,48,127,0
70,35,120,0
81,15,127,1
81,75,127,1
54,14,127,1
58,37,127,0
61,1,127,1
62,41,127,0
59,69,127,1
60,50,127,0
62,66,127,1
52,74,102,1
56,82,0,1
63,50,127,0
57,10,127,1
69,18,127,1
65,63,0,1
66,73,127,1
53,33,127,0
75,19,0,1
72,0,127,1
60,50,127,0
62,35,120,0
70,4,0,1
57,81,127,1
63,50,127,0
53,73,127,1
65,44,127,0
58,17,127,1
71,57,29,1
65,42,127,0
62,37,127,0
65,50,127,0
60,31,120,0
70,74,0,1
67,57,127,1
74,29,127,1
62,37,127,1
58,37,120,0
67,0,0,1
65,44,127,0
56,55,127,0
51,71,127,1
67,49,127,0
56,25,26,1
60,43,120,0
66,28,127,1
65,20,127,1
67,55,127,0
69,0,0,1
69,52,120,0
65,37,127,0
73,34,18,1
72,58,127,0
58,57,0,1
54,74,127,1
64,23,127,1
52,70,127,1
57,37,127,0
73,76,127,1
64,44,127,0
69,57,127,0
54,62,127,1
60,61,127,1
83,73,127,1
83,90,0,1
71,53,120,0
61,37,120,0
64,27,127,1
