note,velocity,time,anomalies
62,51,127,1
67,55,127,1
82,36,127,3
70,78,0,2
62,61,127,2
61,17,31,3
71,87,127,3
71,16,127,1
72,60,127,1
72,82,127,2
77,42,127,1
75,64,127,0
87,71,127,1
86,77,127,1
96,37,127,2
94,67,127,1
69,66,127,1
82,101,127,1
81,99,127,1
69,56,127,0
82,30,127,1
86,53,0,2
69,50,127,1
48,35,0,2
59,65,127,3
63,31,127,2
65,31,127,1
65,31,127,0
62,31,112,1
62,31,127,1
65,31,127,0
50,52,0,2
55,55,127,1
47,17,127,3
64,52,127,2
55,59,127,0
53,55,127,0
55,57,127,0
57,31,127,2
59,66,127,0
62,61,127,0
56,72,127,1
55,70,127,0
60,42,127,1
61,95,127,2
72,70,127,0
70,67,127,0
53,74,127,1
69,70,127,0
67,23,127,1
68,58,127,1
57,74,0,2
70,58,127,1
66,54,33,2
57,50,127,0
58,21,127,1
59,52,127,1
55,33,127,2
57,56,127,0
60,75,127,1
55,59,127,0
53,55,127,1
55,57,127,0
57,60,127,0
66,40,73,3
62,82,127,1
56,72,127,1
43,70,127,1
60,72,127,0
58,77,127,2
72,72,127,0
70,67,127,1
62,42,127,1
69,70,127,1
67,58,127,0
56,20,127,2
56,50,127,2
52,56,127,1
57,53,127,0
60,20,127,2
62,46,127,1
71,33,127,3
65,64,127,0
57,11,127,1
61,0,127,1
57,34,127,0
61,34,127,0
64,84,127,2
65,28,127,3
62,53,120,0
64,55,127,1
65,58,120,0
59,60,120,1
69,63,120,0
77,43,0,3
74,68,120,0
89,100,120,2
62,88,127,1
79,64,127,2
52,72,127,2
61,36,127,0
57,34,127,0
61,34,127,1
64,58,127,0
61,51,120,0
64,15,120,2
64,55,0,1
65,58,120,0
68,60,127,1
72,38,120,2
84,66,127,2
82,88,0,3
92,73,120,1
62,57,127,1
65,36,127,1
57,36,127,1
57,1,127,1
64,58,127,1
57,34,127,0
61,4,127,2
48,75,120,2
62,73,0,2
64,55,120,0
65,58,17,1
68,60,120,0
74,63,120,1
73,66,120,0
74,38,120,1
77,74,69,1
62,58,127,0
51,63,127,2
61,36,127,0
57,36,127,0
72,90,0,3
64,34,0,2
61,34,127,0
61,51,120,0
67,90,127,3
71,21,120,2
65,21,120,1
65,60,120,1
69,63,120,0
73,66,120,0
65,35,120,2
81,74,120,0
86,85,127,0
74,72,127,0
57,79,127,2
62,54,120,0
63,78,120,1
64,59,120,0
67,100,127,1
51,84,0,3
65,46,127,2
60,42,120,0
60,42,0,2
65,59,127,0
82,74,127,1
70,36,127,2
57,18,127,2
58,79,120,1
67,52,120,1
73,55,120,1
74,58,127,2
53,66,120,1
70,81,0,3
48,42,127,2
67,62,127,1
58,58,127,2
73,41,127,1
67,58,127,1
46,30,127,1
73,0,127,3
84,43,127,2
69,32,127,2
62,72,127,1
58,36,0,1
68,41,127,1
50,35,127,1
58,67,127,2
66,67,10,3
81,98,103,2
69,82,127,1
76,15,0,3
63,84,127,2
64,26,127,2
65,51,127,1
61,54,127,2
73,52,0,2
62,39,127,0
58,71,127,1
55,36,127,1
53,0,127,3
58,32,127,2
65,36,127,1
55,55,127,2
65,64,127,0
61,36,16,1
57,36,127,0
69,58,127,1
71,0,68,3
61,34,127,0
74,74,127,3
61,22,120,2
64,23,0,2
65,58,127,1
68,60,127,1
70,63,127,2
73,87,120,1
74,68,120,0
67,107,127,3
62,58,127,0
64,64,127,2
57,60,127,1
58,36,127,1
61,34,0,1
64,58,127,0
53,34,0,2
61,16,120,1
65,75,127,3
67,35,127,3
62,58,120,1
68,60,120,0
68,63,0,2
79,105,120,2
88,97,13,3
81,74,120,0
62,84,127,2
54,36,127,2
61,36,127,0
66,36,127,2
64,58,80,1
54,67,127,2
61,6,0,2
57,51,120,1
62,53,120,0
64,35,120,1
65,58,120,0
74,100,120,2
79,63,0,2
69,44,0,3
78,68,120,1
77,73,120,0
62,58,127,0
76,90,127,2
61,36,127,0
57,3,127,2
52,58,127,1
64,34,127,2
71,54,127,2
63,72,127,3
75,92,120,2
64,26,120,1
63,92,0,3
68,37,32,2
58,63,120,1
66,66,0,2
66,68,0,2
85,51,120,2
98,86,127,2
85,72,127,1
60,92,127,1
62,54,120,0
63,90,127,2
