note,velocity,time,anomalies
55,12,0,1
85,74,90,1
77,73,127,1
79,23,110,1
71,49,127,0
64,45,127,0
70,49,127,0
50,75,127,1
54,18,0,1
63,7,127,1
62,73,127,1
72,19,127,1
61,44,127,0
54,76,127,1
51,73,0,1
80,23,0,1
53,69,127,1
51,78,127,1
66,49,127,0
64,46,127,0
69,8,3,1
64,49,127,0
58,45,127,0
58,47,127,0
60,81,0,1
46,67,127,1
61,50,127,0
59,47,127,0
62,47,120,0
74,47,120,0
71,47,120,0
82,79,127,1
71,49,120,0
76,78,127,1
74,46,120,0
75,24,0,1
63,14,127,1
69,7,0,1
52,83,127,1
59,45,120,0
72,16,0,1
62,12,0,1
61,11,0,1
59,46,120,0
61,69,127,1
74,47,120,0
71,47,120,0
76,84,127,1
81,15,127,1
64,49,120,0
58,75,0,1
59,83,0,1
85,66,127,1
63,15,0,1
66,47,120,0
70,22,0,1
56,47,120,0
64,46,120,0
61,46,120,0
65,8,127,1
53,17,52,1
61,10,0,1
61,6,0,1
66,89,0,1
65,46,127,0
76,17,127,1
69,11,127,1
76,9,127,1
64,45,127,0
62,45,127,0
67,73,122,1
68,79,127,1
49,82,127,1
80,27,127,1
66,7,127,1
56,86,127,1
66,49,127,0
63,7,127,1
59,46,127,0
66,49,127,0
60,45,127,0
55,72,127,1
55,86,127,1
65,74,28,1
64,11,127,1
52,26,127,1
62,52,127,0
61,50,127,0
58,45,127,0
64,17,127,1
61,85,127,1
71,47,120,0
87,27,127,1
74,49,120,0
62,70,0,1
64,49,120,0
75,76,0,1
71,46,120,0
59,6,127,1
66,45,120,0
60,19,127,1
56,45,120,0
71,78,0,1
67,8,127,1
53,76,0,1
46,12,127,1
62,46,120,0
70,89,127,1
62,50,120,0
74,50,120,0
64,53,120,0
71,53,120,0
72,30,0,1
65,58,127,0
71,58,127,0
82,19,127,1
63,98,127,1
71,62,127,0
81,97,13,1
71,68,127,0
62,35,127,1
90,99,127,1
64,31,127,1
73,69,127,0
70,69,127,0
72,20,0,1
78,45,127,0
89,8,127,1
78,45,127,0
78,75,127,1
73,24,3,1
82,49,127,0
77,8,127,1
80,26,127,1
73,45,127,0
62,74,127,1
82,88,127,1
80,8,127,1
92,14,0,1
83,100,127,1
78,39,112,1
71,64,127,0
62,25,0,1
78,42,127,1
83,29,127,1
60,106,127,1
79,24,0,1
76,101,0,1
72,64,127,0
69,44,0,1
67,104,127,1
48,42,127,1
62,84,13,1
74,90,0,1
73,44,0,1
62,94,0,1
57,66,120,0
64,70,120,0
59,70,120,0
47,107,127,1
73,89,0,1
88,55,127,0
82,52,127,0
90,12,127,1
88,55,127,0
88,75,127,1
95,24,127,1
84,14,0,1
79,89,0,1
89,88,127,1
86,25,127,1
71,16,127,1
89,25,127,1
83,89,127,1
77,62,127,0
79,104,71,1
76,64,127,0
77,62,127,0
95,96,127,1
59,99,0,1
83,89,127,1
56,29,70,1
71,64,127,0
83,35,29,1
72,88,0,1
68,98,127,1
68,31,127,1
65,64,127,0
66,85,0,1
68,58,127,0
62,98,127,1
62,12,0,1
69,58,127,0
57,77,75,1
69,56,127,0
65,13,127,1
54,70,127,1
62,79,127,1
63,19,127,1
63,92,127,1
74,24,0,1
64,51,127,0
70,86,127,1
60,51,127,0
78,82,81,1
64,85,47,1
46,9,127,1
67,80,127,1
54,32,127,1
57,49,127,0
67,81,127,1
72,58,127,0
74,61,127,0
68,83,127,1
65,54,127,0
65,28,94,1
72,63,127,0
76,63,127,0
54,75,127,1
72,59,127,0
64,88,127,1
71,57,127,0
74,13,127,1
72,58,127,0
59,95,0,1
60,52,127,0
64,18,127,1
76,62,127,0
58,18,127,1
64,80,127,1
82,88,127,1
82,31,127,1
67,54,127,0
82,41,123,1
82,94,127,1
91,107,127,1
69,78,127,1
79,103,127,1
78,94,127,1
71,57,127,0
79,44,0,1
85,97,0,1
83,69,127,0
74,62,127,0
85,67,127,0
82,60,127,0
78,21,127,1
74,65,127,0
83,72,127,0
91,43,127,1
77,46,7,1
72,58,127,1
81,100,127,1
83,119,127,1
89,38,127,1
90,81,127,0
96,106,127,1
86,42,0,1
78,74,127,0
98,55,72,1
96,106,104,1
86,80,127,0
90,36,33,1
90,80,127,0
92,56,127,1
83,107,89,1
84,44,29,1
79,48,11,1
90,82,127,0
65,104,127,1
83,100,127,1
74,41,127,1
78,69,127,0
67,39,127,1
85,114,127,1
88,112,127,1
76,79,127,0
79,47,127,1
78,79,127,0
76,79,127,0
74,33,127,1
74,40,127,1
75,101,127,1
76,77,127,0
80,97,127,1
58,45,127,1
66,101,26,1
58,63,127,0
66,70,127,0
78,108,127,1
58,63,127,0
68,37,127,1
63,93,127,1
47,30,127,1
66,45,127,0
71,49,127,0
56,78,0,1
71,78,90,1
80,19,127,1
70,49,127,0
60,69,10,1
62,45,127,0
79,73,127,1
65,76,127,1
55,66,127,1
54,80,127,1
71,81,0,1
66,47,127,0
74,23,0,1
66,49,127,0
59,46,127,0
66,49,127,0
60,45,127,0
66,7,127,1
55,9,127,1
58,45,127,0
64,49,127,0
48,68,70,1
75,30,127,1
61,50,127,0
58,45,127,0
57,81,0,1
62,47,120,0
57,26,127,1
74,47,120,0
82,84,0,1
78,11,0,1
54,76,127,1
87,67,127,1
67,18,58,1
61,80,0,1
64,22,0,1
59,45,120,0
49,69,127,1
64,46,120,0
61,46,120,0
58,46,120,0
61,15,0,1
62,46,120,0
71,47,120,0
72,83,0,1
61,82,0,1
71,20,127,1
79,76,127,1
74,49,120,0
65,45,120,0
71,45,120,0
74,45,120,0
58,69,127,1
54,16,127,1
66,10,0,1
60,74,127,1
63,7,0,1
57,9,0,1
47,7,36,1
60,16,127,1
65,69,127,1
69,47,120,0
67,69,127,1
63,19,0,1
64,46,120,0
57,46,120,0
56,14,0,1
64,17,127,1
64,74,0,1
58,32,127,1
73,55,120,0
68,55,120,0
81,78,0,1
61,55,120,0
71,55,120,0
61,55,120,0
53,29,127,1
75,75,127,1
73,66,127,0
81,87,127,1
88,100,0,1
81,90,127,1
85,104,127,1
62,98,127,1
78,72,127,0
76,69,127,0
71,70,127,0
85,40,127,1
77,97,127,1
78,77,127,0
76,78,127,0
65,42,0,1
78,110,0,1
78,82,120,0
73,82,120,0
71,78,120,0
68,118,127,1
71,63,127,1
82,34,127,1
67,74,127,0
90,58,127,1
66,85,0,1
67,63,120,0
76,61,120,0
73,60,120,0
71,59,120,0
55,25,0,1
78,96,127,1
51,25,127,1
60,26,127,1
45,33,0,1
47,86,127,1
61,84,127,1
72,94,0,1
67,88,0,1
76,23,0,1
79,61,120,0
83,26,0,1
65,27,127,1
57,94,127,1
68,81,127,1
52,58,120,0
40,87,0,1
52,81,127,1
71,92,0,1
67,62,120,0
75,29,127,1
47,99,127,1
66,44,0,1
50,34,127,1
66,75,120,0
61,115,127,1
49,107,0,1
78,41,127,1
68,48,0,1
71,103,127,1
70,58,127,1
84,115,0,1
89,118,0,1
77,57,127,1
79,127,127,1
78,81,127,0
64,72,120,0
91,95,120,0
82,122,127,1
76,80,120,0
70,43,127,1
101,119,127,1
76,81,120,0
77,102,0,1
89,64,0,1
70,41,127,1
68,95,127,1
78,85,120,0
74,81,120,0
73,100,0,1
57,29,127,1
93,62,127,1
73,80,120,0
71,106,127,1
90,72,42,1
61,80,120,0
73,118,127,1
85,90,120,0
49,33,127,1
71,99,127,1
72,124,0,1
68,107,127,1
59,53,127,1
46,32,127,1
57,38,0,1
66,73,120,0
51,44,0,1
94,118,127,1
71,82,120,0
72,122,127,1
78,85,120,0
69,107,0,1
79,90,120,0
67,81,120,0
64,114,0,1
84,59,127,1
66,81,120,0
78,91,120,0
62,74,120,0
83,114,0,1
80,112,0,1
53,51,0,1
73,82,120,0
61,73,120,0
51,121,127,1
74,90,120,0
72,54,0,1
72,57,26,1
57,54,127,1
75,55,0,1
69,44,127,1
62,101,69,1
55,80,127,0
67,89,127,0
51,35,127,1
64,72,127,0
68,101,0,1
48,111,127,1
80,44,0,1
71,86,127,0
74,56,120,0
73,56,120,0
61,56,120,0
52,26,0,1
64,90,0,1
74,53,120,0
65,92,8,1
71,18,127,1
73,14,36,1
66,53,120,0
56,20,127,1
53,28,0,1
64,17,41,1
73,27,0,1
66,52,120,0
62,52,120,0
59,52,120,0
66,52,120,0
64,28,127,1
73,54,120,0
57,28,127,1
64,20,0,1
74,20,0,1
55,24,0,1
88,80,0,1
73,51,120,0
64,51,120,0
48,91,127,1
67,17,127,1
59,55,120,0
66,55,120,0
67,17,127,1
58,55,120,0
70,78,0,1
62,52,120,0
57,77,127,1
62,60,120,0
71,66,120,0
66,60,120,0
59,31,127,1
66,57,120,0
49,80,127,1
62,60,120,0
60,20,0,1
84,103,0,1
74,67,120,0
71,61,120,0
70,22,0,1
67,87,0,1
66,58,120,0
81,21,0,1
72,24,0,1
67,99,0,1
65,93,127,1
78,69,120,0
74,63,120,0
82,88,127,1
74,41,0,1
74,61,120,0
66,25,127,1
75,98,127,1
73,95,127,1
57,41,0,1
83,73,120,0
78,67,120,0
74,67,120,0
80,36,127,1
82,69,120,0
91,33,5,1
92,35,0,1
78,68,120,0
74,68,120,0
77,51,127,1
83,69,120,0
84,101,127,1
78,63,120,0
94,94,127,1
81,32,0,1
87,50,127,1
75,32,127,1
86,77,120,0
83,71,120,0
89,109,0,1
104,53,0,1
69,38,0,1
98,96,127,1
89,72,120,0
86,73,120,0
90,35,0,1
90,102,0,1
100,106,0,1
87,37,127,1
108,60,127,1
88,41,0,1
93,92,0,1
84,41,0,1
104,62,127,1
90,78,120,0
97,58,0,1
94,48,127,1
77,61,127,1
95,90,120,0
81,122,127,1
102,99,0,1
86,77,120,0
95,93,120,0
74,57,0,1
76,62,8,1
74,81,120,0
78,81,120,0
93,109,127,1
71,89,120,0
66,81,120,0
72,117,127,1
66,42,127,0
74,55,127,0
61,87,127,1
67,20,127,1
79,86,127,1
64,72,127,1
61,12,127,1
58,16,127,1
81,80,127,1
57,16,127,1
67,55,127,0
66,51,127,0
66,51,127,0
83,78,127,1
62,42,127,0
61,85,127,1
56,80,127,1
69,32,127,1
68,76,0,1
75,12,127,1
61,23,127,1
60,18,127,1
59,51,127,0
62,69,127,1
55,85,127,1
61,49,127,0
54,26,127,1
57,47,127,0
72,72,127,1
50,19,127,1
48,83,127,1
67,18,127,1
64,49,127,0
71,49,127,0
69,16,127,1
69,12,127,1
55,82,127,1
58,91,127,1
76,89,127,1
64,28,127,1
69,50,127,0
75,85,127,1
72,35,127,1
83,92,127,1
69,56,127,0
69,32,127,1
68,53,127,0
83,35,47,1
71,60,127,0
69,60,127,0
67,47,127,0
79,92,127,1
69,51,127,0
62,23,127,1
60,84,127,1
80,31,0,1
69,51,127,0
71,47,127,0
69,47,127,0
59,71,127,1
78,77,127,1
54,67,127,1
83,60,127,1
71,49,127,0
77,91,127,1
69,90,127,1
80,86,127,1
69,49,127,0
73,53,127,0
81,81,0,1
70,29,127,1
70,84,127,1
73,49,127,0
66,27,127,1
72,84,127,1
74,45,127,0
74,53,127,0
92,24,127,1
70,84,127,1
75,65,127,0
70,21,127,1
63,24,127,1
76,63,127,0
66,32,127,1
79,28,127,1
78,63,127,0
77,71,127,0
64,33,127,1
78,69,127,0
72,41,127,1
61,87,127,1
71,58,127,0
54,19,127,1
82,43,127,1
67,57,127,0
67,58,127,0
76,78,127,1
87,30,127,1
83,17,127,1
66,42,127,0
60,21,127,1
81,31,127,1
73,74,127,1
57,26,127,1
79,70,127,1
78,62,127,1
71,55,127,0
69,51,127,0
76,9,127,1
67,55,127,0
66,51,127,0
66,51,127,0
69,55,127,0
59,17,127,1
50,79,127,1
70,13,127,1
66,55,127,0
64,51,127,0
55,86,127,1
57,18,127,1
59,42,127,0
52,87,127,1
71,63,127,1
55,89,36,1
75,19,52,1
61,49,127,0
48,77,127,1
69,47,127,0
59,78,127,1
55,22,127,1
54,46,127,0
52,18,127,1
62,49,127,0
64,10,127,1
65,27,127,1
64,26,127,1
69,73,127,1
65,48,127,0
60,30,127,1
69,51,127,0
66,51,127,0
62,26,127,1
62,76,127,1
42,14,127,1
70,5,127,1
47,12,127,1
66,15,127,1
66,6,127,1
62,75,127,1
70,51,127,0
63,60,127,1
59,91,127,1
66,51,127,0
66,51,127,0
56,60,127,1
72,59,127,1
83,87,127,1
64,73,127,1
54,81,127,1
66,43,127,0
62,13,127,1
66,44,127,0
70,44,127,0
78,39,127,0
90,28,127,1
82,51,127,0
