note,velocity,time,anomalies
78,79,127,0
74,79,127,0
81,88,127,0
69,74,127,0
76,84,127,0
70,75,127,0
74,75,127,0
64,69,127,0
81,88,127,0
88,79,127,2
78,79,127,0
69,75,127,0
76,84,127,0
70,75,127,0
74,75,127,0
64,70,127,0
74,72,60,0
77,43,60,2
80,71,127,2
76,67,60,0
78,72,120,0
78,68,120,0
76,73,127,0
67,66,127,0
74,66,127,0
68,36,127,2
73,64,127,0
76,72,127,0
69,68,127,0
81,88,127,0
74,79,127,0
78,79,127,0
82,75,127,1
76,84,127,0
70,75,127,0
74,75,127,0
64,73,127,0
81,88,127,0
74,79,127,0
78,79,127,0
69,75,127,0
76,84,127,0
70,75,127,0
61,75,127,1
52,41,127,3
74,77,60,0
76,73,60,0
74,43,60,1
76,73,60,0
78,107,0,2
78,72,120,0
74,80,60,0
76,80,60,0
78,81,60,0
68,110,127,3
81,85,60,0
82,86,127,0
61,42,120,0
63,42,120,0
61,42,120,0
63,42,120,0
64,24,127,2
61,8,78,3
63,42,127,0
63,46,120,0
65,46,120,0
63,46,0,1
65,46,120,0
62,52,127,0
74,47,127,0
65,41,127,0
62,49,127,0
67,75,127,1
74,41,127,0
65,38,127,0
63,50,127,0
75,43,127,0
67,38,127,0
65,54,127,0
71,38,127,0
79,43,127,0
63,53,127,0
75,45,127,0
67,40,127,0
64,47,0,2
67,47,120,0
65,48,120,0
67,48,120,0
64,53,127,0
76,48,127,0
67,43,127,0
67,53,120,0
69,53,120,0
67,53,120,0
81,53,120,1
78,58,26,2
77,53,127,0
69,47,127,0
64,58,127,0
67,44,127,0
76,49,127,0
56,65,127,2
65,59,127,0
77,52,127,0
69,46,127,0
67,65,127,0
73,46,127,0
81,53,127,0
65,62,127,0
76,35,71,3
69,48,127,0
64,66,127,0
69,50,127,0
75,93,127,2
67,50,127,0
75,42,127,2
77,77,127,1
69,50,127,0
69,70,127,0
78,50,127,0
83,57,127,0
67,67,127,0
79,95,0,2
71,53,127,0
66,46,127,1
71,97,127,2
78,44,127,1
69,57,127,0
67,74,127,0
79,64,127,0
71,35,127,1
71,76,127,1
80,58,127,0
85,65,127,0
69,75,127,0
81,67,127,0
73,60,127,0
72,82,127,0
81,60,127,0
86,69,127,0
71,78,127,0
83,72,127,0
74,65,127,0
84,56,24,3
81,61,127,0
74,93,127,2
71,79,127,0
83,70,127,0
74,61,127,0
88,86,60,0
86,74,60,0
82,80,60,0
81,72,60,0
79,77,120,0
64,74,60,0
62,86,60,1
58,70,60,0
57,64,60,0
55,75,0,1
62,72,127,0
64,72,127,0
57,80,127,1
64,80,127,0
69,80,127,0
58,117,127,2
69,86,127,0
74,86,127,0
78,78,60,0
76,71,60,0
74,73,60,0
73,68,60,0
71,75,127,0
73,66,127,0
61,77,127,0
70,69,127,0
66,69,127,0
52,77,127,2
71,69,127,0
66,69,127,0
61,42,127,2
73,52,120,0
67,59,120,0
71,55,120,0
56,66,127,2
74,38,127,2
66,62,120,0
71,59,120,0
67,73,127,0
79,60,120,0
71,66,120,0
76,59,120,0
66,70,127,0
78,53,120,0
71,58,120,0
74,52,120,0
78,73,60,0
76,67,60,0
74,70,60,0
73,63,60,0
71,75,127,0
73,66,127,0
61,77,127,0
57,69,72,2
66,69,127,0
62,77,127,1
71,69,127,0
66,69,127,0
61,105,127,1
73,52,120,0
67,59,120,0
71,55,120,0
62,66,127,0
74,59,120,0
66,62,120,0
71,59,120,0
67,73,127,0
79,60,120,0
71,66,120,0
76,80,120,1
66,70,127,0
78,53,120,0
71,58,120,0
74,52,120,0
59,79,127,1
62,48,127,0
59,52,127,0
62,52,127,0
59,51,127,0
62,51,127,1
59,44,60,0
62,44,60,0
78,27,127,3
57,22,127,3
69,60,60,0
68,55,0,1
67,62,60,0
68,63,127,0
73,72,127,0
71,60,127,0
63,62,127,0
64,56,60,0
61,48,127,0
64,48,127,0
48,90,127,3
64,52,127,0
61,51,127,1
64,51,127,0
61,44,120,0
61,20,120,2
73,64,60,0
72,58,60,0
71,60,60,0
70,55,0,1
69,62,60,0
70,63,127,0
74,37,127,1
73,60,127,0
78,62,127,2
66,28,60,1
71,83,60,0
73,74,60,0
74,80,60,0
76,73,0,1
79,85,60,1
74,70,127,0
71,70,127,0
67,70,127,0
75,53,127,2
65,84,127,1
77,78,127,0
66,85,127,0
78,102,127,2
71,83,60,0
75,51,127,3
74,59,0,2
76,75,60,0
78,85,60,0
67,70,127,0
71,70,127,0
74,70,127,0
77,58,127,2
65,84,127,0
77,78,127,0
66,47,127,1
78,77,127,0
74,83,60,0
76,74,60,0
78,80,60,0
79,75,60,0
81,61,0,2
70,71,127,0
82,81,127,0
77,96,127,1
74,71,127,0
73,55,127,2
80,78,127,0
69,85,127,0
81,77,127,0
74,83,60,0
76,75,60,0
78,80,60,0
79,75,60,0
81,85,60,0
67,71,127,2
82,81,127,0
70,71,127,0
74,36,0,2
68,84,127,0
80,78,127,0
69,85,127,0
81,77,127,0
68,84,127,0
80,78,127,0
69,85,127,0
71,55,127,2
70,62,127,1
82,78,127,0
64,85,127,0
76,77,127,0
70,121,127,3
79,78,127,0
52,53,127,3
70,77,127,0
62,84,127,0
74,78,127,0
46,124,127,2
69,77,127,0
51,69,127,0
52,61,127,0
56,87,127,1
57,60,120,0
63,72,127,0
64,64,127,0
68,70,127,0
69,64,120,0
75,74,127,0
76,64,127,0
80,74,127,0
92,90,127,3
87,77,127,0
88,67,127,0
97,114,127,3
103,47,120,2
81,88,127,0
74,79,127,0
78,79,127,0
69,72,127,0
74,75,127,0
70,75,127,0
82,84,127,2
71,70,127,2
78,79,127,0
64,110,127,3
81,88,127,0
69,74,127,0
86,48,127,2
70,75,127,0
76,84,127,0
64,70,127,0
74,107,127,2
76,67,60,0
74,70,60,0
76,66,60,0
78,72,120,0
78,68,120,0
74,66,127,0
67,66,127,0
72,96,127,2
79,69,127,0
73,64,127,0
76,72,127,0
69,68,127,0
81,88,127,0
74,79,127,0
78,79,127,0
69,73,127,0
76,84,127,0
70,75,127,0
74,75,127,0
70,39,16,3
81,88,127,0
74,79,127,0
78,79,127,0
69,73,127,0
76,84,127,0
70,75,127,0
74,75,127,0
64,102,127,1
74,77,60,0
76,71,60,0
74,77,60,0
76,70,60,0
77,80,120,1
78,72,120,0
74,80,60,0
76,80,60,0
78,81,60,0
79,83,60,0
81,85,0,1
82,86,127,0
61,42,120,0
63,42,120,0
61,42,120,0
63,42,120,0
60,47,127,0
72,42,127,0
63,42,127,0
63,46,120,0
65,46,34,1
63,46,120,0
65,46,120,0
62,52,127,0
74,47,127,0
65,41,127,0
62,49,127,0
65,38,127,0
74,41,127,0
67,38,127,0
63,50,127,0
75,43,127,0
67,38,127,0
65,54,127,0
74,38,127,1
79,43,127,1
63,53,127,0
75,45,127,0
67,40,127,0
65,47,120,0
67,47,120,0
65,48,120,0
67,48,120,0
64,53,127,0
76,48,127,0
67,43,127,0
67,53,120,0
69,53,120,0
67,53,120,0
69,53,120,0
65,87,127,2
77,53,127,0
74,10,127,2
64,58,127,0
67,44,127,0
76,49,127,0
69,44,127,0
65,59,127,0
77,52,127,0
69,46,127,0
67,65,127,0
73,46,127,0
81,53,127,0
65,62,127,0
77,55,127,0
69,48,127,0
64,66,127,0
67,50,127,0
76,57,127,0
69,50,127,0
65,66,127,0
77,57,127,0
69,50,127,0
69,70,127,0
78,50,127,0
83,57,127,0
72,67,127,2
79,59,127,0
71,53,127,0
66,71,127,0
71,57,127,0
78,64,127,0
80,22,127,2
67,74,127,0
79,64,127,0
79,58,127,1
71,76,127,0
80,58,127,0
85,95,127,2
69,75,127,0
82,95,127,2
73,60,127,0
72,82,127,0
77,60,127,1
83,69,127,1
71,78,127,0
83,72,127,0
74,65,127,0
61,83,0,2
81,61,127,0
86,70,127,0
71,79,127,0
81,70,127,1
74,61,127,0
88,86,60,0
86,74,60,0
82,78,60,0
81,75,60,0
79,100,127,2
64,74,60,0
