note,velocity,time,anomalies
66,83,127,1
68,52,127,0
69,48,120,0
68,55,127,0
54,36,127,1
59,30,127,0
84,45,127,2
75,55,127,2
63,29,127,2
68,52,127,0
71,62,127,0
80,56,127,1
73,95,127,1
64,18,127,2
66,49,127,2
81,59,127,1
75,18,127,2
69,49,127,0
73,69,127,0
74,68,127,1
76,66,120,0
81,66,127,1
73,55,127,0
66,46,127,0
83,34,127,3
71,42,127,0
53,65,127,3
74,57,127,0
66,58,127,0
68,55,127,0
69,51,120,0
63,46,127,0
84,50,127,1
64,45,38,2
62,40,127,0
71,42,127,1
66,55,127,0
68,54,127,1
69,90,120,1
68,55,127,0
55,8,127,3
59,37,127,0
71,45,127,0
73,17,127,3
69,55,0,1
68,52,127,0
71,62,127,0
67,34,127,3
73,67,127,0
59,19,127,2
71,49,127,0
73,61,127,2
74,38,127,2
69,54,127,0
73,75,127,1
88,94,49,3
76,68,120,0
64,53,127,0
78,73,127,1
60,59,127,2
66,36,127,2
63,82,94,2
66,43,127,0
71,58,127,0
55,58,127,1
73,76,127,0
68,111,127,2
76,70,120,0
60,89,127,2
60,33,127,3
73,58,127,0
71,62,127,1
77,69,127,3
63,68,127,1
73,106,0,2
64,59,127,0
69,93,127,3
75,75,127,0
76,71,120,0
70,41,127,2
76,64,127,0
75,39,127,2
73,62,127,0
73,55,127,0
56,12,127,2
73,44,127,1
50,66,127,2
61,58,127,0
66,52,127,0
59,56,127,0
59,39,127,0
64,45,127,0
65,31,127,3
73,50,127,0
71,19,120,1
63,80,127,1
66,51,127,0
69,40,127,0
64,39,127,0
73,46,127,2
61,41,0,1
66,50,127,0
54,31,127,2
68,39,127,0
47,62,127,2
66,84,127,1
77,38,0,2
48,30,0,2
59,37,127,0
72,72,127,3
74,54,127,0
73,50,127,0
71,47,120,0
63,43,127,0
77,51,0,2
69,40,127,0
64,39,127,0
63,46,127,1
61,76,74,2
56,77,0,3
60,31,127,0
62,39,127,2
61,73,127,1
66,50,127,0
68,38,127,0
60,55,127,2
59,37,127,0
67,80,127,2
64,46,127,0
70,87,127,2
66,12,127,3
72,50,127,0
70,56,127,0
64,10,127,2
63,41,127,0
72,17,127,2
63,42,127,0
68,51,127,0
68,51,127,0
74,95,127,2
71,66,127,3
76,20,127,2
74,32,127,2
68,53,127,0
67,47,127,0
76,97,127,2
72,52,127,1
66,44,127,0
63,37,127,0
63,30,127,2
67,38,127,0
74,59,127,0
77,55,127,1
88,81,127,3
72,44,127,0
68,44,127,1
90,59,127,1
61,31,127,3
74,86,127,1
77,49,127,0
67,44,127,0
67,45,127,1
76,59,127,0
58,41,127,1
66,49,127,0
72,59,127,0
64,33,127,0
67,42,127,0
74,67,127,0
54,56,127,2
76,88,0,2
67,49,127,0
72,69,0,2
70,59,127,0
83,102,127,3
69,25,127,1
78,64,127,0
73,71,0,2
68,59,127,0
67,52,127,0
68,98,44,3
67,59,127,0
69,100,127,2
64,27,127,3
75,64,127,0
70,65,127,0
63,25,127,2
73,22,127,2
66,42,127,0
82,55,0,2
63,42,0,1
67,37,127,1
76,69,127,0
60,52,127,1
76,63,127,2
77,58,127,1
76,34,127,3
75,52,127,1
72,33,127,2
66,70,90,3
66,33,127,0
63,56,127,1
64,56,127,0
73,20,127,1
66,30,127,0
63,30,127,0
71,41,127,0
58,34,127,0
61,41,127,0
66,48,127,0
59,36,86,1
66,54,127,0
68,51,127,0
69,47,120,0
64,36,127,0
59,64,55,2
68,55,127,0
71,44,127,0
70,86,127,2
69,56,127,0
68,52,127,0
69,25,127,2
73,66,127,0
69,80,127,1
77,59,127,1
59,73,127,2
64,85,127,1
69,49,127,0
73,57,127,1
73,69,127,0
74,68,127,0
76,88,120,1
73,55,127,0
68,46,62,2
78,92,127,2
65,34,127,2
74,57,127,0
75,83,127,2
73,74,127,3
66,79,127,1
68,52,127,0
82,46,127,2
63,84,127,2
73,54,127,0
70,44,35,1
69,6,127,3
71,42,127,0
71,55,0,2
68,54,127,0
69,47,120,0
64,59,127,1
59,61,127,2
68,55,127,0
71,45,127,0
52,27,127,2
62,77,127,2
68,52,127,0
83,62,127,1
73,67,0,1
69,85,127,2
76,61,127,0
71,51,127,0
64,47,127,1
69,54,127,0
75,35,127,3
74,44,127,2
77,70,127,1
74,39,120,2
68,74,127,0
64,50,127,0
73,60,127,0
63,47,127,1
70,47,127,2
71,66,127,0
71,60,127,0
64,99,127,2
82,46,127,3
75,70,8,1
76,92,0,2
64,89,127,1
68,74,127,0
73,62,0,1
71,66,127,0
66,47,127,0
63,47,127,1
74,48,127,2
57,74,127,3
76,61,127,0
74,52,127,0
72,44,127,0
71,24,127,1
70,42,0,1
55,38,80,0
59,34,80,0
64,36,80,0
69,39,127,1
54,34,0,2
64,34,80,0
70,38,80,0
71,34,80,0
76,34,80,0
66,70,127,3
67,34,80,1
83,72,0,2
88,40,120,0
64,48,127,0
67,48,127,0
85,61,127,1
74,55,127,0
72,46,127,0
71,50,127,0
56,41,127,1
55,38,80,0
59,57,80,1
64,15,80,1
65,39,80,1
67,34,80,0
64,34,80,0
64,48,127,0
67,48,127,0
76,61,127,0
74,53,127,0
72,45,127,0
71,51,127,0
62,44,127,1
55,0,127,2
59,34,80,0
64,36,80,0
59,39,80,1
67,34,0,1
64,34,80,0
70,38,80,0
71,73,80,1
76,34,80,0
78,71,0,2
79,34,80,0
83,34,80,0
88,40,120,0
64,48,127,0
77,48,127,2
76,61,127,1
74,57,127,0
67,88,127,2
71,57,127,0
70,51,127,0
76,58,127,0
64,45,127,0
67,59,127,1
74,29,0,2
72,60,127,0
71,69,127,0
70,69,0,1
69,34,127,2
61,62,80,0
65,80,80,1
68,57,80,0
70,74,127,1
61,62,80,1
59,95,0,3
67,55,80,0
77,34,127,2
60,62,80,0
73,22,80,2
68,57,70,0
70,97,127,2
58,62,80,0
61,57,80,0
65,57,80,0
55,66,127,2
68,58,127,0
56,41,127,2
63,41,127,0
72,85,127,1
70,76,0,2
77,71,127,0
61,62,80,0
65,57,80,0
54,57,0,2
81,73,79,2
58,62,80,0
72,28,0,3
72,55,80,1
75,75,127,0
51,101,80,2
63,57,80,0
68,57,80,0
80,76,127,0
65,62,80,0
67,85,80,2
72,57,80,0
74,74,127,0
62,62,80,0
67,55,80,0
71,55,80,0
79,75,127,0
67,89,80,2
67,57,80,0
72,57,80,0
71,71,50,1
54,58,80,1
59,55,80,0
57,55,0,2
70,68,127,0
76,64,127,2
56,45,127,1
75,95,127,2
76,58,127,0
74,47,127,2
71,71,127,0
61,58,80,0
59,55,80,0
65,55,80,0
64,68,127,2
71,58,90,0
56,98,127,2
72,64,127,1
79,102,127,2
76,30,127,1
63,63,127,1
71,41,127,2
61,58,80,0
59,55,127,1
65,55,80,0
70,69,127,0
71,64,127,0
72,51,127,2
70,21,127,2
76,65,127,0
72,49,127,0
58,41,127,2
61,58,80,0
59,55,80,0
59,78,80,2
70,70,127,0
71,58,90,0
64,88,0,3
72,58,30,0
71,52,30,0
70,58,30,0
62,52,127,2
80,92,127,2
79,63,127,0
77,63,80,0
77,79,127,1
68,58,0,2
67,55,80,0
72,55,80,0
76,52,127,1
75,64,80,0
76,53,127,1
79,53,127,1
78,52,80,0
79,46,80,0
84,18,127,2
60,82,127,3
67,48,127,0
76,26,127,1
76,53,127,1
59,21,82,3
69,29,127,2
70,40,127,0
54,60,80,2
59,34,80,0
64,36,80,0
69,39,0,1
67,5,80,1
64,34,80,0
81,66,127,3
71,34,80,0
76,72,80,1
78,38,80,0
79,72,0,2
83,34,80,0
97,61,127,3
64,48,127,0
67,48,127,0
86,100,127,3
61,87,127,3
72,44,127,0
71,51,127,0
70,42,127,1
55,76,80,1
59,0,127,2
69,36,80,1
69,39,0,1
67,34,80,0
64,34,127,1
64,48,127,0
67,48,127,0
76,61,127,0
82,56,0,2
72,45,127,0
71,50,82,1
70,72,127,1
55,38,80,0
59,34,80,0
64,36,80,0
69,16,0,2
67,34,80,0
70,4,80,2
70,38,80,0
71,34,80,0
76,34,80,0
69,38,80,1
79,34,80,0
83,34,80,0
88,40,120,0
76,64,127,0
74,61,127,2
67,13,127,2
74,96,127,1
72,48,127,0
71,53,127,0
70,51,127,0
76,92,127,2
64,37,127,0
73,44,127,1
68,65,127,0
69,67,127,0
70,106,127,1
78,73,127,0
63,62,80,0
67,57,80,1
58,57,127,2
74,73,127,0
59,62,80,0
62,55,80,0
67,55,127,1
75,107,127,1
59,62,80,0
63,57,80,0
66,36,70,1
71,71,127,2
59,92,80,1
61,57,80,0
72,57,80,1
70,70,127,0
71,64,127,1
76,67,127,3
66,13,127,1
75,69,127,1
81,30,0,3
64,71,127,1
63,62,80,0
66,57,80,0
71,57,80,0
74,74,127,1
73,99,80,2
62,55,127,1
67,55,80,0
63,75,127,2
59,62,80,0
63,57,80,0
66,57,70,0
65,103,127,2
62,35,127,3
61,57,0,1
65,57,80,0
70,68,127,0
72,57,127,2
68,37,127,1
66,43,127,0
75,69,127,1
73,54,127,0
78,74,127,0
63,62,80,0
66,29,0,2
60,94,80,2
74,74,127,0
59,90,80,1
62,55,80,0
67,55,80,0
75,75,127,0
62,62,80,1
49,35,80,2
66,57,70,0
67,73,127,0
72,57,127,2
58,36,80,2
66,74,127,1
62,55,80,0
49,55,80,1
55,75,127,1
47,57,80,0
50,57,70,0
54,76,127,0
53,68,100,0
66,103,127,3
55,71,127,0
56,62,127,0
47,65,127,1
58,57,127,1
59,62,127,0
55,63,127,2
62,59,127,0
63,62,127,0
64,76,0,2
64,42,127,1
66,0,127,1
66,50,127,0
68,49,127,0
68,46,120,1
59,34,127,0
64,41,127,0
68,51,127,0
79,46,127,1
64,55,127,0
69,54,127,0
68,52,127,0
71,62,127,0
69,56,127,0
73,66,127,0
77,14,127,3
59,73,127,2
76,61,127,0
69,49,127,0
73,37,127,1
73,69,127,1
74,68,127,0
76,66,120,0
66,46,127,0
73,55,127,0
78,66,127,0
83,21,127,3
71,19,127,2
71,42,127,1
63,57,127,1
66,56,127,0
59,52,127,1
69,48,120,0
63,46,127,0
73,52,127,0
70,85,127,1
62,36,127,0
71,58,127,1
66,55,127,0
68,50,127,0
69,46,120,0
59,34,127,0
64,41,127,0
68,90,127,1
71,48,127,0
64,102,127,2
69,55,127,1
63,74,127,2
71,97,0,2
66,87,127,2
77,37,0,3
64,48,127,0
71,27,127,2
76,61,127,0
69,54,127,0
73,63,127,0
73,75,127,0
71,70,0,2
76,67,120,0
64,50,127,0
68,74,0,1
70,64,127,1
62,43,127,1
66,18,127,1
71,62,127,0
71,62,127,0
64,62,127,0
72,81,127,2
75,75,127,0
76,71,120,0
72,50,127,2
68,73,127,0
73,63,127,0
63,43,127,0
66,43,127,0
71,62,127,0
71,59,127,0
64,59,127,0
73,77,127,0
75,44,127,1
76,64,120,0
80,74,127,0
76,62,127,0
75,66,127,0
73,101,127,2
63,44,127,0
66,44,127,0
73,55,127,0
63,44,127,0
66,55,127,0
61,19,127,1
59,48,127,0
59,50,127,0
64,50,127,0
83,54,36,2
66,22,127,3
71,47,120,0
63,43,127,0
66,51,127,0
69,56,127,2
64,15,127,1
68,46,127,0
51,79,127,3
66,50,127,1
60,31,127,0
68,39,127,0
61,41,127,0
73,76,127,2
60,30,127,0
60,38,127,1
59,37,127,0
64,42,127,0
66,22,127,2
69,90,127,2
71,47,120,0
76,78,127,2
66,51,127,0
69,74,127,1
64,14,127,1
68,46,127,0
49,41,127,1
60,50,127,2
60,0,127,2
68,39,127,1
59,17,0,3
74,79,0,3
60,30,127,0
68,0,127,1
59,37,127,0
64,42,127,0
64,75,127,1
78,56,0,2
63,39,0,1
61,10,5,3
64,46,127,0
56,80,127,2
63,38,127,0
72,46,127,0
73,42,127,2
68,51,127,0
68,51,127,0
85,84,127,2
67,46,127,0
76,56,127,0
59,53,127,1
74,62,127,0
67,47,127,0
77,84,127,2
63,37,127,0
66,44,127,0
58,52,127,1
64,30,127,0
67,1,127,1
70,55,127,2
68,36,127,3
77,47,127,1
81,44,127,2
67,44,127,1
76,59,127,0
68,55,127,0
77,28,127,2
77,49,127,0
68,78,127,2
67,44,127,0
81,59,127,2
53,73,0,3
66,49,127,0
72,59,127,0
64,33,127,0
67,42,127,0
68,56,127,0
74,67,127,0
72,46,127,0
80,21,48,3
76,59,127,0
70,59,127,0
86,47,127,3
69,52,127,0
78,64,127,0
66,35,127,2
63,43,127,3
67,19,127,1
76,64,127,0
67,59,127,0
76,71,127,0
80,79,127,2
61,32,127,2
70,64,127,0
64,63,127,0
73,80,127,2
59,13,34,3
71,55,127,0
66,75,127,1
67,31,127,1
76,69,127,1
66,48,127,0
75,58,127,0
70,57,127,0
64,58,0,1
83,45,0,2
77,3,127,2
64,42,127,1
66,33,127,0
70,54,127,0
72,26,127,2
73,41,127,0
63,30,127,0
81,73,0,3
66,30,127,0
58,28,127,0
61,41,127,0
66,48,127,0
59,12,127,2
66,94,127,1
68,51,127,0
69,46,120,0
59,30,127,0
64,36,127,0
77,55,127,2
71,73,127,1
62,95,127,2
83,36,0,3
68,52,127,0
71,62,127,0
69,56,127,0
73,66,127,0
64,9,127,1
66,49,127,1
76,59,127,0
58,79,127,3
73,57,127,1
73,69,127,0
74,68,127,0
74,66,120,1
63,8,127,2
82,55,127,2
86,98,127,2
73,63,127,1
55,71,127,2
76,22,127,2
74,59,127,1
80,58,127,1
68,55,127,0
69,48,120,0
71,9,127,2
73,55,127,0
70,44,127,0
62,40,127,0
71,42,127,0
66,55,127,0
61,33,127,3
69,47,120,0
59,30,127,0
64,36,127,0
68,55,127,0
71,51,127,0
64,55,127,1
82,26,127,3
60,73,127,2
70,62,127,1
69,57,127,0
73,67,127,0
64,12,127,2
69,81,127,3
70,61,127,2
69,54,127,0
73,63,127,0
73,72,127,0
71,71,127,1
76,90,0,2
66,54,127,0
73,54,127,0
78,69,127,0
73,39,127,1
78,71,127,2
71,30,127,2
74,90,127,2
74,75,127,0
76,73,127,0
78,69,120,0
73,47,127,1
84,56,127,2
80,71,127,0
64,100,127,3
57,73,127,2
73,54,127,0
76,98,127,1
76,73,127,0
78,68,29,1
80,64,120,0
91,46,0,3
80,86,22,2
83,65,127,1
76,59,127,0
74,63,127,0
69,63,127,0
81,43,113,2
63,52,127,0
69,52,127,1
75,52,127,0
50,60,127,1
73,60,127,0
76,60,127,0
64,74,127,2
68,45,120,0
60,74,127,3
59,36,127,0
62,36,127,0
64,42,127,0
57,41,127,0
61,41,127,0
66,42,127,0
68,38,120,0
71,64,127,2
55,29,127,1
62,29,127,0
64,0,127,2
57,40,0,1
61,41,127,0
62,79,127,3
68,45,120,0
69,52,127,0
43,36,127,1
61,36,127,0
51,39,127,0
57,5,127,2
60,39,127,1
41,36,127,2
57,36,127,0
61,42,127,0
54,33,127,0
65,7,127,2
62,46,127,0
56,41,127,0
51,41,127,1
40,6,18,3
63,34,80,1
57,36,80,0
51,6,0,2
64,34,80,1
57,34,80,0
60,38,80,0
61,34,80,0
63,34,127,2
69,45,127,0
57,34,127,0
67,44,127,0
65,70,127,2
64,44,127,0
63,40,127,0
64,38,80,1
60,34,80,1
