note,velocity,time,anomalies
62,53,0,1
64,80,127,1
66,56,127,1
67,88,127,2
69,39,127,1
75,61,127,1
68,63,127,1
74,65,127,0
79,34,127,1
69,66,127,1
88,31,125,3
74,53,127,0
74,32,127,2
60,31,127,2
78,39,127,3
67,0,127,1
72,51,127,0
63,45,0,2
68,82,127,2
60,83,127,2
66,83,127,2
72,22,127,3
74,33,127,2
81,49,127,2
69,47,127,1
67,83,127,2
58,25,127,2
64,93,127,1
60,48,127,0
66,95,127,1
67,81,127,1
62,80,0,3
59,59,127,2
63,61,127,2
72,63,127,0
74,68,127,1
79,63,0,1
75,40,127,0
71,38,127,2
72,36,127,0
65,4,127,1
72,35,84,3
66,70,127,2
74,55,127,0
65,46,127,0
72,38,127,3
67,50,127,1
63,83,127,1
74,28,127,1
75,63,127,0
77,58,127,0
72,60,127,0
63,85,127,2
71,50,127,1
75,55,127,1
81,60,127,2
74,16,0,2
69,72,127,2
71,37,127,1
75,50,127,0
60,11,127,2
52,44,127,2
76,88,127,3
66,54,127,2
63,13,127,1
69,35,127,0
72,56,127,0
74,52,127,0
84,90,127,3
72,0,127,2
56,35,127,1
70,7,127,1
48,32,127,1
69,50,127,0
67,23,127,1
64,35,127,0
56,25,127,2
63,29,127,1
66,32,24,1
69,39,127,0
62,40,127,0
67,48,127,0
67,67,127,0
69,49,127,1
70,66,0,1
65,99,127,3
74,105,127,2
75,72,127,0
77,74,127,0
78,75,127,1
87,72,127,2
82,79,127,0
84,77,127,0
79,44,127,3
77,73,127,0
79,75,127,0
74,73,127,1
75,70,127,0
76,35,127,2
77,71,127,0
93,28,127,2
74,60,127,0
62,89,127,2
69,33,127,1
70,30,127,1
72,38,127,1
74,70,127,0
79,35,127,2
68,105,0,3
77,103,127,2
81,72,127,0
82,106,127,2
84,77,0,1
61,75,127,2
74,73,127,1
76,44,108,2
78,72,0,1
79,77,127,0
80,67,127,1
70,70,127,1
79,67,127,1
78,63,127,0
72,61,127,1
70,32,127,2
65,61,127,2
80,37,127,3
63,90,120,2
62,45,60,1
74,17,127,2
73,63,127,0
74,60,127,1
68,63,127,1
74,60,127,0
70,32,0,2
58,20,127,3
74,35,127,1
74,88,127,1
52,53,127,2
64,54,0,1
66,94,127,1
67,30,127,2
69,59,127,0
70,61,127,0
72,63,127,1
74,65,127,0
90,38,127,2
78,66,127,0
79,64,127,0
65,53,127,2
60,36,127,3
57,59,127,1
63,65,127,1
67,31,127,0
84,56,127,2
70,53,127,0
62,45,127,0
65,72,0,3
70,53,127,1
66,57,0,1
60,46,127,1
69,53,127,0
53,53,127,1
58,47,127,0
62,52,0,1
55,48,127,1
75,54,127,2
66,55,127,0
49,90,127,2
70,34,127,2
69,59,127,0
64,61,127,1
63,93,127,2
82,108,127,2
79,96,127,2
54,56,127,3
75,40,127,1
61,36,127,1
68,90,127,3
79,23,127,2
83,46,127,2
65,46,127,0
74,55,127,0
77,87,127,1
63,50,127,0
75,97,0,2
66,50,127,1
74,90,127,1
77,58,127,0
69,50,127,0
63,29,127,1
72,60,127,1
70,21,127,3
57,37,127,1
72,38,127,0
62,37,127,1
74,56,127,0
75,50,0,1
56,19,127,2
67,44,127,0
70,53,127,0
65,54,127,1
72,56,127,0
74,74,127,2
69,35,127,0
74,52,127,0
66,0,127,3
72,55,127,1
62,14,127,2
57,51,127,2
69,88,0,2
58,4,127,2
67,80,127,1
71,24,127,3
64,35,127,1
63,29,127,0
66,32,127,0
69,17,127,1
62,34,120,1
68,48,127,1
62,8,127,2
74,50,127,1
71,44,127,0
67,7,127,2
61,13,127,3
74,88,127,2
72,44,127,0
76,27,127,1
69,47,127,0
63,0,127,2
67,62,127,1
71,47,127,0
