note,velocity,time,anomalies
67,56,60,0
67,52,40,0
77,82,127,3
67,25,0,2
66,57,127,0
69,44,120,0
67,52,120,0
70,57,120,0
74,64,120,0
78,69,120,0
79,68,127,0
78,60,120,0
74,61,127,0
55,6,127,2
58,37,127,0
62,41,127,0
62,42,127,0
60,42,127,0
57,38,127,0
62,49,127,0
58,42,127,0
62,42,127,0
57,38,127,0
60,58,127,1
67,56,60,0
67,52,40,0
69,48,40,0
67,48,40,0
65,61,127,1
60,22,127,3
67,58,120,0
70,62,120,0
74,33,120,1
78,69,120,0
79,73,127,0
87,40,127,3
82,67,127,1
67,44,127,0
75,58,127,0
72,52,127,0
74,62,127,0
72,68,127,2
67,46,127,0
72,68,90,0
76,36,127,3
67,62,90,0
69,58,90,0
62,46,127,2
70,58,127,0
66,20,127,2
62,46,120,1
67,72,0,2
62,11,127,1
58,37,127,0
74,64,127,0
74,63,25,0
75,63,25,0
74,33,127,2
69,55,120,0
70,56,60,0
61,58,127,2
60,84,60,2
75,66,60,0
77,67,0,1
78,68,60,0
82,70,60,0
93,88,60,2
81,64,20,0
84,77,127,0
82,67,90,0
82,68,20,0
86,75,127,1
86,101,127,3
82,67,20,0
96,75,127,2
89,38,60,2
87,68,127,2
86,75,120,0
79,68,127,0
75,47,0,3
78,64,127,0
74,68,127,1
79,64,6,2
79,31,127,2
74,55,25,0
75,58,0,1
74,67,127,0
69,17,120,1
70,22,0,2
73,58,60,0
74,62,60,0
75,86,60,1
73,67,0,2
78,68,60,0
88,92,0,3
81,68,60,0
69,26,0,3
83,41,127,3
82,67,90,0
75,95,0,3
82,73,127,1
78,67,60,0
78,63,20,0
84,41,0,3
79,64,60,1
78,62,20,0
81,70,120,0
74,60,127,0
79,61,127,1
74,57,20,0
74,43,127,3
69,58,60,0
74,57,20,0
70,64,60,0
56,30,60,2
74,56,20,0
69,98,127,1
67,64,127,0
64,58,0,2
62,50,25,0
63,50,25,0
62,62,127,0
57,60,120,0
58,62,60,0
61,63,60,0
62,64,60,0
77,45,127,3
65,67,60,0
66,106,60,1
70,70,60,0
69,68,60,0
69,99,127,2
79,50,127,3
74,67,0,2
70,61,20,0
74,72,60,0
69,64,60,0
70,60,20,0
74,73,60,0
69,62,60,0
69,39,127,2
74,70,120,0
62,64,127,1
67,61,90,0
62,61,20,0
67,97,60,1
48,63,0,2
62,57,20,0
67,68,60,0
61,62,60,0
62,58,20,0
60,68,127,2
57,52,127,0
66,54,120,0
62,49,40,0
59,26,40,2
62,49,40,0
61,57,127,0
58,55,60,1
66,66,0,1
68,62,30,0
69,64,30,0
80,45,0,3
74,69,127,0
79,66,60,0
79,58,20,0
81,58,0,1
79,58,20,0
70,28,127,2
79,63,60,0
86,35,127,2
69,64,127,2
71,40,0,2
64,27,40,2
63,52,40,0
62,52,40,0
61,61,127,0
62,57,60,0
66,30,30,1
68,61,30,0
69,64,30,0
73,68,30,0
74,73,127,0
79,84,60,1
78,22,0,3
81,59,20,0
79,37,0,2
78,65,127,0
84,85,60,2
86,76,120,0
74,54,127,0
62,35,120,0
75,100,0,3
79,59,20,0
81,59,20,0
86,20,127,3
78,65,127,0
79,65,60,0
89,107,0,3
74,64,127,0
62,41,120,0
73,63,127,0
61,41,120,0
74,98,127,1
62,41,120,0
73,59,127,0
61,41,120,0
74,57,127,0
51,66,120,2
74,55,127,0
62,38,118,0
67,56,60,0
67,49,40,0
69,49,40,0
75,17,0,3
66,61,127,0
69,53,120,0
79,25,120,2
70,41,127,2
74,66,120,0
78,68,120,0
79,68,127,0
78,64,120,0
74,62,127,0
69,12,0,3
55,37,127,0
62,13,127,1
67,65,127,3
60,42,127,0
62,77,0,2
58,42,127,0
62,29,127,2
57,38,127,0
52,2,127,2
62,42,127,0
67,56,60,0
67,52,40,0
73,16,40,2
55,52,40,1
66,61,127,0
69,53,120,0
80,54,127,2
70,57,120,0
74,60,120,0
78,63,120,0
79,66,127,0
77,57,120,0
77,56,127,0
86,87,127,2
72,46,127,0
67,40,127,0
74,60,127,0
67,41,127,0
72,41,127,0
68,79,90,2
57,85,90,2
64,54,0,2
69,85,127,2
60,37,127,0
70,46,127,0
66,37,127,0
69,80,120,1
62,36,127,0
67,42,127,0
58,35,127,0
67,46,60,0
71,41,40,1
69,41,40,0
67,41,40,0
66,48,127,0
69,4,0,2
67,42,120,0
70,46,120,0
74,49,120,0
78,50,120,0
79,55,127,0
73,16,0,3
60,45,127,2
62,74,127,2
69,29,127,2
58,29,120,0
60,1,120,1
57,28,120,0
62,33,120,0
55,3,0,2
58,33,120,0
62,10,120,1
48,62,0,3
46,0,127,3
60,28,120,0
58,0,127,3
58,28,120,0
57,25,120,0
62,28,120,0
60,51,120,1
58,63,120,1
62,33,120,0
62,28,120,0
57,25,120,0
60,25,120,0
56,29,127,2
58,24,127,0
55,0,127,1
62,26,127,0
55,22,127,0
62,22,127,1
66,0,80,3
55,20,92,1
62,25,127,0
58,18,80,1
62,23,127,0
42,38,127,3
