note,velocity,time,anomalies
87,36,127,3
71,62,127,0
76,42,127,1
68,44,127,0
84,66,127,3
92,98,127,2
83,63,127,1
85,69,127,0
83,62,10,1
80,64,127,0
83,44,127,2
68,44,127,1
87,63,127,1
61,30,127,2
74,36,127,2
78,59,127,0
68,62,127,1
66,44,127,1
80,79,127,3
73,61,127,1
71,57,127,0
78,41,127,1
76,57,0,1
65,58,127,1
66,44,127,1
64,70,127,1
76,82,127,2
80,59,127,1
73,68,127,0
81,62,25,2
75,63,127,1
68,44,127,0
79,44,127,1
87,28,127,3
83,63,127,0
98,108,127,3
83,25,127,1
80,97,127,2
67,44,127,2
71,44,127,0
76,98,105,2
73,60,125,1
62,63,0,2
75,59,127,0
83,62,127,0
75,12,127,1
71,10,127,1
82,61,127,0
77,87,69,3
76,57,127,1
70,44,127,1
67,8,127,1
75,26,127,2
71,26,127,2
63,57,127,1
63,40,127,0
77,67,127,3
62,75,127,2
58,37,127,1
75,14,127,2
67,38,127,2
68,52,127,0
72,27,127,2
52,97,127,3
66,102,127,1
61,17,0,2
66,39,120,0
69,10,0,2
78,43,127,2
76,63,127,1
76,67,0,1
74,91,127,2
79,66,127,2
63,39,120,0
66,39,0,1
69,42,120,0
73,93,127,1
71,67,127,0
68,64,127,2
65,88,127,2
66,64,127,0
61,46,120,0
65,23,120,2
69,55,120,0
85,68,127,1
90,64,0,2
74,32,57,3
73,68,0,2
63,35,0,1
69,35,127,0
75,60,127,0
73,103,127,2
64,35,127,0
69,35,127,0
80,59,127,2
81,37,127,2
71,56,127,0
65,70,0,2
70,33,127,1
71,62,127,2
67,87,0,3
69,96,127,2
65,91,127,2
66,64,127,0
74,39,0,2
66,39,120,0
69,42,120,0
78,67,127,0
76,63,127,1
65,107,0,3
74,35,127,2
64,31,127,2
63,39,120,0
66,39,120,0
59,42,127,2
73,67,127,0
71,104,127,1
77,92,0,3
66,80,127,2
63,64,127,1
48,14,0,3
66,50,120,0
69,55,120,0
81,101,0,2
80,37,0,2
76,40,127,3
76,37,0,2
63,35,127,0
82,0,127,2
67,36,127,2
80,64,127,0
92,61,127,2
76,33,127,2
75,94,63,2
52,64,127,2
66,59,127,1
70,29,0,2
78,63,127,0
76,60,127,0
65,33,127,3
84,93,0,3
76,69,127,2
63,37,0,2
61,97,127,2
72,103,127,3
71,73,127,0
64,42,127,0
68,42,127,0
73,84,127,0
62,79,127,2
71,45,0,2
75,85,127,2
73,86,127,0
61,83,76,3
75,55,127,2
71,89,127,0
73,88,127,0
61,70,127,0
47,84,127,3
71,81,0,1
71,44,127,2
69,108,127,2
72,69,127,1
68,69,127,1
68,69,127,0
71,69,127,0
80,66,127,1
66,69,127,1
57,98,127,2
76,38,68,2
80,66,127,0
83,112,127,1
76,39,127,1
85,89,127,0
80,70,127,0
87,46,127,2
83,81,127,0
82,85,127,2
68,103,127,1
71,101,127,1
76,66,127,0
80,83,127,1
68,66,127,0
76,112,127,1
71,100,127,2
64,66,127,0
71,89,127,1
69,78,127,1
68,28,127,1
74,61,127,1
68,96,127,1
80,120,127,1
71,66,127,0
66,61,127,0
65,44,127,2
67,96,127,3
60,81,127,2
66,64,127,0
69,64,127,0
64,62,127,1
66,62,127,0
69,104,127,3
83,26,0,3
63,58,127,0
65,85,127,2
70,73,127,2
71,61,127,1
78,77,127,0
68,61,127,1
66,101,127,1
64,58,98,1
76,73,0,1
64,59,127,0
64,100,127,3
68,59,127,1
68,31,127,3
68,62,106,1
72,79,0,2
64,26,0,2
45,30,127,2
70,32,127,2
71,77,0,1
65,44,127,2
73,88,127,0
62,70,127,1
68,43,127,1
59,64,0,1
71,81,127,0
64,64,127,1
68,64,0,1
64,69,127,0
90,52,127,3
68,69,127,0
71,107,127,1
55,69,127,1
71,69,127,0
82,86,127,1
76,69,127,1
66,66,127,1
76,106,127,1
80,89,127,1
83,82,127,0
80,70,127,0
67,49,72,3
73,70,127,0
99,89,127,2
71,64,127,0
83,81,127,0
79,36,127,2
80,62,127,1
65,39,127,3
66,66,127,1
67,92,127,3
84,111,127,2
68,93,127,1
64,39,86,2
61,61,127,0
73,78,127,0
77,22,127,3
65,61,127,2
67,33,127,2
71,40,127,1
82,109,127,2
69,77,127,1
66,23,127,2
61,64,127,0
80,64,127,1
73,81,127,0
60,64,127,2
61,62,127,1
61,62,127,2
69,91,127,2
73,112,127,1
66,78,127,1
63,58,127,0
71,49,0,2
66,100,127,1
78,116,127,1
63,61,127,1
71,61,0,1
64,22,127,1
76,73,127,0
68,36,127,2
71,96,127,1
64,59,127,0
52,82,127,3
51,59,127,1
70,94,127,2
64,59,127,1
66,91,127,2
64,58,127,0
68,58,127,0
71,37,127,2
64,96,127,2
67,91,127,3
64,26,59,2
57,58,3,2
73,72,40,1
81,67,127,1
58,52,127,1
59,52,127,0
51,89,127,2
71,34,127,1
68,16,127,2
67,76,127,2
64,10,127,1
68,44,127,0
70,91,127,2
73,7,127,2
71,53,127,0
71,16,127,2
64,42,127,0
61,71,127,2
73,75,127,1
64,1,127,1
61,69,127,2
53,57,127,2
56,28,127,3
64,37,127,0
69,47,127,2
68,5,127,1
59,37,127,0
48,39,127,2
64,67,127,0
69,69,127,0
72,93,127,2
81,62,0,2
51,60,127,1
62,29,127,2
78,47,127,2
71,62,60,0
69,31,60,1
59,63,120,1
67,109,0,2
48,22,120,2
61,62,120,1
85,32,0,3
78,68,0,2
67,103,120,1
72,68,0,1
66,75,120,1
67,66,120,0
72,66,127,1
78,46,120,2
78,69,127,2
57,41,127,2
74,103,127,1
68,64,127,0
71,85,127,2
65,81,120,1
69,71,120,1
83,66,120,1
68,59,127,2
72,95,120,1
83,55,30,0
65,97,0,3
89,91,120,2
83,57,0,2
83,55,127,1
97,29,127,3
78,58,120,0
70,55,120,1
83,19,30,1
79,23,0,3
78,85,127,2
58,64,127,1
71,64,127,0
73,81,120,1
74,71,120,0
77,39,0,3
71,59,120,0
72,55,127,1
83,23,127,2
78,59,120,0
98,28,120,2
72,84,120,1
83,15,0,2
84,58,120,0
69,79,0,3
72,78,120,1
83,55,0,1
84,59,120,0
65,59,120,1
67,64,127,1
69,28,127,2
81,81,120,1
75,103,120,2
66,66,120,1
71,59,0,1
60,62,127,0
64,100,127,1
69,69,127,0
72,73,127,0
72,62,127,0
60,31,127,1
63,38,127,3
84,68,127,2
71,89,127,2
69,32,0,2
62,63,0,1
55,71,120,1
62,62,120,0
80,93,120,2
74,70,120,0
64,99,120,1
73,96,120,2
63,68,120,1
76,75,120,0
67,66,120,0
72,66,120,0
72,106,0,3
67,69,127,1
71,69,127,0
70,53,127,2
71,86,0,2
81,107,0,3
74,71,120,0
76,96,127,3
71,39,127,2
66,17,0,3
74,59,120,0
71,59,120,0
77,39,120,2
79,55,30,0
67,86,120,2
78,21,0,2
71,36,120,1
79,55,30,0
74,59,2,1
78,81,0,2
71,59,127,1
68,64,126,2
76,118,120,1
70,102,120,2
70,66,0,2
78,23,120,2
75,55,0,2
74,59,120,0
71,91,120,1
82,96,0,3
79,35,30,1
74,29,0,2
69,58,120,1
71,95,120,1
79,55,30,0
74,30,127,2
78,83,120,1
71,33,32,2
61,64,127,1
76,81,120,0
79,71,0,2
73,43,127,2
71,22,120,1
76,17,30,2
74,93,127,3
62,33,0,2
69,59,127,1
63,82,30,2
66,58,120,0
69,58,0,1
55,35,120,2
68,35,127,3
66,59,0,1
63,33,120,2
60,59,120,0
61,64,127,0
69,101,127,1
67,34,127,2
66,66,127,0
64,59,127,0
62,60,127,1
61,68,127,0
59,66,127,0
57,70,127,0
50,47,127,1
42,64,36,2
60,92,0,3
45,61,0,1
60,62,127,0
59,88,127,2
69,69,127,0
72,73,127,0
72,92,127,2
69,99,127,3
66,83,127,1
