note,velocity,time,anomalies
65,44,127,0
69,49,127,0
77,52,127,0
69,49,127,0
73,77,127,2
76,53,127,0
65,36,127,0
69,42,127,0
74,52,127,0
81,76,127,2
60,50,0,2
55,42,127,1
61,42,127,2
88,52,127,2
67,75,0,3
67,47,127,0
66,90,127,2
70,86,127,1
72,87,127,2
60,44,127,0
66,57,127,0
58,36,127,0
62,36,127,0
67,57,127,0
67,36,127,0
64,34,127,0
76,27,127,1
74,58,127,0
64,36,127,0
67,36,127,1
74,81,127,1
73,56,127,0
69,58,0,1
68,75,60,3
73,57,127,0
64,40,127,2
76,64,127,1
81,68,127,0
79,61,0,2
71,57,127,0
73,61,127,0
83,38,127,2
89,31,127,3
81,72,127,1
62,67,127,1
79,69,127,0
77,65,127,0
76,64,100,0
74,62,30,0
76,62,30,0
74,69,127,0
73,64,127,0
74,95,127,2
77,69,127,0
76,63,127,0
74,57,127,1
73,68,127,0
72,58,127,0
71,66,127,0
80,29,127,3
75,42,127,3
65,55,127,0
64,50,127,1
65,50,30,0
65,27,127,3
71,83,0,3
69,49,127,0
76,53,127,2
73,57,127,0
88,73,127,3
80,54,127,2
72,53,127,0
70,84,127,1
69,13,127,1
71,57,127,1
62,53,127,1
74,67,127,0
82,95,127,2
80,37,33,3
67,57,127,0
68,56,127,0
69,55,127,0
64,53,127,0
72,69,127,0
74,92,0,2
76,73,127,0
77,43,127,1
79,67,0,1
72,36,127,2
64,71,0,2
71,96,127,1
73,73,127,0
82,70,0,2
76,94,0,2
55,114,127,2
64,71,100,0
65,70,100,0
67,71,100,0
55,99,100,2
70,71,127,1
70,71,127,0
78,31,127,3
68,69,127,0
75,89,127,2
62,68,127,1
65,22,127,2
63,66,127,0
64,61,127,0
53,4,127,1
57,38,127,0
61,55,127,0
61,55,127,0
62,50,127,0
67,58,127,0
82,58,127,2
70,18,127,1
71,60,0,1
72,63,0,1
77,67,127,0
76,63,127,0
76,65,127,0
83,28,127,2
74,64,127,0
64,54,127,1
65,54,127,0
66,56,127,1
72,67,127,0
81,85,0,3
68,56,127,0
70,102,127,1
69,56,127,2
71,56,127,0
74,61,127,0
63,78,127,3
72,79,127,2
61,26,127,2
66,30,127,2
70,57,127,0
71,92,127,2
72,96,127,1
77,67,127,0
62,90,127,2
76,96,127,2
74,63,127,1
74,64,127,0
64,31,127,2
63,54,127,0
64,56,127,0
73,46,127,2
77,25,127,2
64,56,127,0
68,67,127,1
65,30,127,2
73,62,127,0
69,54,127,0
90,68,127,2
88,22,127,2
88,68,127,1
67,60,127,0
66,22,127,1
67,70,127,0
76,70,127,0
69,60,127,0
67,26,127,1
74,72,127,0
77,67,127,0
62,91,70,2
67,54,127,0
73,63,127,1
75,100,127,3
81,57,127,0
81,65,127,0
80,35,127,1
82,70,127,0
81,64,0,1
83,67,127,1
79,59,127,1
78,61,127,0
95,62,127,1
79,94,100,1
79,65,127,0
90,63,0,2
81,67,127,0
79,64,127,0
93,69,127,2
77,66,127,0
76,64,127,0
65,104,127,2
77,36,100,1
77,65,127,0
76,89,127,1
77,70,127,1
84,35,0,3
77,69,127,0
88,66,127,1
74,64,127,0
77,69,127,0
65,87,127,3
74,65,127,0
72,61,0,2
75,62,127,1
70,96,0,2
77,62,127,0
76,58,127,0
74,64,127,0
73,61,127,0
70,33,127,2
62,62,127,1
73,21,127,2
81,55,127,0
82,74,0,3
82,58,127,0
81,54,127,0
81,56,127,0
84,52,0,2
78,50,127,0
81,59,127,0
75,85,0,3
79,91,0,2
78,53,127,0
81,58,127,0
68,23,127,2
79,57,127,0
77,56,127,0
76,77,0,2
79,58,127,0
83,52,127,2
77,75,127,1
76,56,127,0
79,59,127,0
77,56,127,0
77,58,127,0
71,31,0,3
74,27,127,1
74,58,127,1
76,56,127,0
74,55,127,0
78,55,127,1
69,56,127,0
62,79,127,2
77,56,127,0
76,52,127,0
74,57,127,0
73,55,127,0
84,53,0,2
73,56,127,0
69,49,127,1
54,49,127,1
67,51,127,0
66,51,127,0
69,54,127,0
67,52,127,0
61,41,127,0
56,49,0,2
55,49,127,1
67,51,127,0
74,51,127,2
69,54,127,0
67,52,127,1
48,68,0,3
61,74,0,3
61,19,127,3
69,49,127,0
64,53,127,2
69,75,127,1
67,44,127,0
76,54,127,0
65,0,127,1
69,13,127,2
74,52,127,0
68,55,127,0
57,52,127,1
67,42,127,1
55,10,127,2
74,16,127,1
72,50,127,0
75,14,127,2
72,20,12,3
70,59,127,0
61,69,127,3
60,71,127,2
58,96,127,2
58,1,127,2
68,12,127,3
67,57,127,0
64,36,127,0
78,56,127,2
76,62,127,0
74,26,127,1
64,36,127,0
67,68,127,1
74,59,127,0
73,56,127,0
69,58,127,0
83,34,127,3
73,61,127,0
64,63,29,2
74,37,127,2
81,68,127,0
69,61,127,0
71,35,0,2
73,61,127,0
74,94,127,2
67,65,127,1
81,33,127,1
85,41,127,2
79,70,127,0
77,99,127,1
76,66,100,0
74,32,30,1
66,62,30,1
74,69,127,0
73,35,127,1
87,64,127,2
77,69,127,0
76,63,127,0
63,57,127,1
73,68,127,0
72,58,127,0
71,66,127,0
70,57,127,0
69,63,127,0
65,55,127,0
64,71,30,1
73,50,30,1
64,56,127,0
60,84,127,3
69,49,127,0
71,53,127,0
73,57,127,0
74,49,127,1
73,54,127,0
61,53,127,2
70,52,127,0
69,51,127,0
67,57,127,0
62,53,127,0
74,67,127,0
70,63,127,1
69,57,127,1
75,31,83,3
61,89,127,3
78,55,127,1
63,28,127,2
72,69,127,0
74,70,127,0
72,41,0,3
85,70,127,1
79,67,127,0
72,74,127,0
69,71,127,0
71,91,127,2
73,73,127,0
81,49,127,3
76,67,127,0
70,74,127,2
77,35,0,3
65,70,100,0
67,71,5,1
75,70,100,1
70,71,127,0
60,35,127,3
69,99,127,2
68,69,127,0
67,106,127,1
66,68,127,0
65,83,127,1
59,90,127,3
64,61,127,0
53,38,127,1
57,38,127,0
75,51,127,1
61,50,127,0
62,45,127,0
64,45,127,0
63,81,127,1
64,8,127,1
65,43,0,1
64,43,127,0
53,28,127,0
62,28,127,2
61,40,127,0
61,45,127,0
54,42,1,2
67,67,127,1
57,82,127,3
66,47,127,1
57,28,127,0
62,51,127,2
55,74,127,2
67,45,127,0
69,49,127,1
64,45,127,1
63,67,127,1
64,45,127,0
65,43,127,0
64,43,127,0
53,28,127,1
57,57,127,2
61,40,127,0
67,18,0,3
62,42,127,0
55,40,127,0
57,41,127,0
58,42,127,0
53,3,127,1
55,40,0,1
57,44,127,0
55,40,127,0
57,41,127,0
58,42,127,0
53,41,0,1
51,6,127,3
57,9,127,2
58,36,127,0
48,39,127,1
57,0,127,1
58,39,127,0
57,34,127,0
54,0,127,3
53,0,127,2
53,12,127,2
58,23,127,0
57,22,127,0
