note,velocity,time,anomalies
58,32,127,2
74,75,127,0
71,73,0,2
62,65,120,0
62,67,127,0
74,75,127,1
72,109,127,3
62,63,120,0
49,40,127,3
74,78,127,0
62,66,127,1
74,112,120,1
84,78,127,1
62,70,127,0
62,44,120,1
74,39,0,2
62,47,127,2
79,108,127,3
74,78,127,0
59,32,127,2
53,50,127,2
74,54,127,1
67,90,127,3
78,78,127,1
74,75,127,0
62,67,127,0
74,76,127,1
62,68,0,1
66,83,127,2
67,83,127,1
62,40,127,3
79,78,127,0
63,99,127,3
81,78,127,2
79,114,120,1
67,68,120,0
86,97,120,0
74,123,0,2
78,87,120,0
86,114,120,1
65,44,120,2
79,108,127,2
86,94,127,0
72,84,127,1
78,84,127,0
49,35,127,2
55,40,127,2
59,67,120,0
81,97,120,2
69,46,0,3
59,67,120,0
76,106,127,2
59,72,127,1
67,75,120,0
71,101,127,3
59,105,120,1
80,74,0,2
56,72,127,2
60,105,127,2
67,66,120,0
71,74,120,0
81,98,120,2
72,80,120,0
67,66,120,0
71,94,127,2
72,72,120,1
66,80,127,2
62,71,120,0
69,52,127,2
74,80,127,1
71,72,127,0
74,75,120,0
71,67,120,0
84,67,127,2
74,115,120,1
71,33,127,2
74,81,127,0
60,75,120,1
84,93,0,3
71,106,120,1
65,74,120,1
72,72,127,1
70,107,51,3
71,69,127,1
74,77,120,0
56,90,120,2
82,77,0,2
68,75,127,1
64,67,0,1
71,75,120,0
69,82,120,0
71,73,0,2
64,104,0,2
57,104,127,3
71,77,120,0
51,89,120,2
55,73,0,2
72,49,0,2
74,64,23,1
76,72,120,1
76,32,120,1
73,59,120,0
82,71,0,2
80,63,127,2
70,104,120,1
70,27,0,3
66,60,120,0
66,62,120,0
71,36,127,2
62,57,120,1
70,64,120,0
70,97,0,3
58,60,0,2
71,41,120,1
88,30,127,3
76,64,120,0
80,72,120,0
70,41,120,2
66,59,120,1
73,63,120,0
81,96,127,3
78,60,120,1
72,67,120,0
75,102,120,1
68,36,120,1
67,69,0,2
78,26,120,2
68,57,120,0
81,89,120,2
73,67,0,1
76,67,120,0
61,60,120,1
81,54,127,1
81,82,127,1
76,49,127,1
79,55,127,1
78,81,127,1
81,90,127,3
69,83,127,1
76,21,127,1
88,78,127,2
81,61,127,0
79,55,127,0
67,79,6,3
74,82,127,2
78,60,127,0
69,25,127,1
76,58,127,0
81,62,127,0
86,55,127,1
83,19,127,2
79,57,127,1
66,56,0,2
78,63,127,0
76,59,50,1
69,77,127,1
78,56,127,0
81,63,127,0
79,59,127,1
80,79,0,3
74,56,127,0
82,63,127,1
69,76,127,1
69,26,127,2
86,44,127,1
83,62,127,0
81,56,127,1
70,63,127,1
83,61,127,1
86,68,127,2
81,98,127,2
66,24,127,2
89,63,127,1
86,71,0,1
77,57,88,2
89,92,127,3
83,69,127,0
79,62,127,0
81,100,127,1
74,59,127,0
100,72,0,2
83,64,127,0
81,88,127,1
84,65,127,0
79,63,0,1
83,71,127,0
81,90,127,1
70,33,127,2
83,65,127,0
86,73,127,0
71,61,127,2
84,68,127,0
83,72,127,0
79,88,127,1
74,70,127,0
79,70,0,2
68,51,127,3
83,102,127,3
79,92,127,0
70,108,0,3
71,77,120,0
79,116,120,1
67,77,120,0
79,86,120,0
71,77,120,0
77,64,127,3
71,83,127,0
62,63,127,3
67,77,120,0
71,77,120,0
79,86,127,1
67,76,120,0
71,76,120,0
88,124,0,3
67,82,127,0
71,113,127,2
72,56,127,3
71,73,120,0
86,82,120,1
70,105,0,3
73,78,127,2
81,87,120,0
84,50,127,2
71,76,120,0
79,85,120,0
83,85,120,0
71,78,0,2
84,49,127,2
90,87,127,2
69,72,127,1
81,55,127,2
84,50,120,2
86,101,127,0
72,114,127,3
81,78,127,2
83,94,0,1
85,116,120,2
86,94,120,0
83,94,120,0
74,84,120,0
86,116,46,2
83,62,127,2
74,91,127,1
90,102,127,1
83,94,120,0
70,84,0,2
86,127,0,2
83,54,120,1
61,107,120,2
86,93,120,0
90,127,120,2
76,83,120,0
98,93,120,1
83,86,120,0
79,77,120,1
86,86,127,1
81,91,120,0
94,56,120,2
72,57,120,1
93,85,127,2
81,41,0,3
74,85,120,0
83,85,120,0
74,84,120,0
81,94,120,0
78,67,58,2
69,84,120,0
71,80,120,0
83,89,120,0
62,51,127,3
87,125,127,3
78,94,120,0
73,77,127,2
79,77,127,2
69,94,0,2
71,115,127,2
67,82,127,0
86,121,127,2
67,53,127,3
64,57,127,3
74,59,127,2
78,77,0,2
87,48,2,3
67,77,0,1
79,93,127,0
67,83,127,0
71,83,127,1
74,109,127,2
59,77,127,1
71,77,127,0
88,85,0,2
67,41,127,1
71,76,127,0
79,92,127,1
67,82,127,0
77,82,127,2
79,82,127,0
71,73,127,0
83,112,127,2
92,87,127,1
72,112,127,2
81,87,127,0
72,48,11,3
65,76,127,1
80,85,127,0
