note,velocity,time,anomalies
48,28,127,0
52,33,127,0
48,0,127,2
52,33,0,1
50,28,127,2
64,34,127,2
58,28,127,2
52,34,127,0
48,28,127,0
46,34,55,2
42,29,0,2
39,35,127,1
57,7,66,3
52,35,127,0
48,30,127,0
52,62,127,1
48,30,127,0
45,69,127,2
48,31,127,0
56,77,0,3
50,32,127,1
47,38,127,1
48,33,127,0
52,39,127,0
48,34,127,0
52,40,127,1
50,13,127,1
54,40,127,0
50,34,127,0
52,60,127,2
50,39,127,1
51,46,127,1
59,40,120,0
57,40,120,0
55,45,120,0
85,84,0,2
76,57,127,2
84,48,120,0
83,47,120,0
81,45,120,0
79,44,127,0
46,29,127,0
39,35,127,2
43,51,127,2
50,35,0,1
46,29,127,0
50,35,127,0
46,30,127,0
51,67,127,3
46,66,127,2
40,71,0,3
57,31,127,2
64,9,127,2
49,32,0,2
50,38,127,1
46,33,127,0
50,39,127,0
46,33,127,0
50,68,0,2
46,34,127,0
37,40,127,2
46,34,127,0
45,40,127,1
59,34,0,2
51,40,127,2
46,34,127,0
50,40,127,0
46,34,127,0
36,40,0,2
48,34,127,0
49,40,127,1
48,34,0,1
52,40,127,0
51,11,127,2
53,24,127,2
57,7,120,1
63,0,127,3
51,15,0,3
83,46,60,0
91,57,127,1
69,50,120,1
80,49,120,0
65,80,120,2
75,46,102,2
79,35,0,3
89,73,127,0
89,74,120,0
89,112,127,3
86,71,120,0
73,70,0,2
83,72,120,0
84,71,120,0
86,72,120,0
95,113,120,2
89,74,120,0
87,72,120,0
86,71,0,1
84,91,120,1
83,72,120,0
98,36,0,3
86,77,120,0
91,80,0,2
96,104,0,3
87,80,120,0
96,107,120,2
84,81,120,0
83,85,120,0
84,89,120,0
86,65,0,2
90,62,0,3
89,100,120,0
87,98,120,0
86,63,0,2
84,94,120,0
83,93,120,0
80,91,120,0
79,89,0,1
77,55,120,1
66,46,127,3
76,83,120,1
72,111,23,2
71,99,127,2
72,93,127,0
67,83,127,0
63,72,127,0
64,64,127,1
55,60,127,0
64,37,119,0
60,33,120,0
64,37,119,0
60,0,120,1
60,66,127,3
47,33,127,2
64,36,119,0
74,9,120,2
64,36,119,0
60,33,120,0
64,37,119,0
60,33,120,0
64,36,119,0
52,33,127,2
64,36,119,0
60,33,120,0
64,37,119,0
60,33,120,0
64,37,119,0
68,67,120,2
64,37,119,0
60,33,0,1
64,4,119,1
60,55,120,1
64,36,119,0
56,57,120,2
64,37,119,0
55,33,120,1
65,9,119,2
70,33,120,1
66,36,119,0
50,4,26,3
67,46,127,0
71,40,120,0
69,9,0,2
67,45,120,0
73,46,127,2
96,57,127,1
85,48,120,1
77,11,127,3
81,45,0,1
79,44,127,0
65,70,119,1
62,75,127,2
58,40,119,1
62,36,120,0
79,40,119,1
62,2,120,1
65,39,119,0
72,2,127,3
65,39,119,0
62,36,120,0
65,41,119,0
62,36,120,0
65,40,119,0
62,37,120,0
65,40,0,1
62,37,120,0
65,41,119,0
62,37,120,0
65,41,119,0
62,37,120,0
65,42,119,0
62,37,120,0
65,41,119,0
62,11,0,2
65,41,119,0
62,38,120,0
65,42,0,1
72,17,127,3
68,41,119,0
64,38,120,0
68,80,119,1
64,38,120,0
69,55,127,0
72,48,120,0
71,77,120,1
69,53,0,1
87,55,60,0
88,68,127,0
86,59,120,0
84,85,127,2
83,57,120,0
81,57,127,0
99,66,60,1
88,85,127,0
86,76,120,0
84,113,0,2
83,71,120,0
82,48,127,2
83,21,127,2
81,54,127,1
79,53,127,0
78,51,127,0
74,80,127,3
78,52,127,0
76,51,127,0
75,50,0,1
79,27,127,3
79,52,127,0
78,27,127,1
76,85,0,2
75,50,127,0
73,49,127,0
71,48,127,0
79,80,127,3
71,12,127,2
73,49,127,0
74,49,127,0
84,50,127,2
