note,velocity,time,anomalies
48,14,0,2
48,41,60,0
57,47,0,1
57,40,127,0
57,12,0,2
75,15,127,3
56,57,47,2
69,36,95,2
59,30,127,1
56,25,127,0
70,66,107,3
56,24,127,0
55,0,127,2
64,0,127,2
59,41,127,0
59,41,60,0
71,74,127,2
52,69,0,3
62,62,60,2
70,7,127,1
65,32,0,2
66,36,127,2
71,36,127,0
66,32,127,0
59,27,127,0
78,32,127,1
59,24,127,1
66,28,127,1
71,61,127,1
65,46,127,1
65,54,60,0
71,60,127,0
71,60,127,0
58,60,127,2
77,70,127,0
90,87,103,3
79,68,127,0
57,69,127,2
70,39,127,0
65,35,127,0
69,42,0,1
66,40,127,2
77,48,0,1
65,30,127,0
69,36,127,0
58,36,127,0
63,36,127,2
67,43,127,0
60,60,0,3
58,34,127,0
64,40,127,0
57,0,127,1
55,7,127,3
65,33,127,0
61,27,127,2
60,27,127,1
73,0,127,2
65,27,127,1
60,27,127,0
70,61,127,2
48,53,0,1
37,53,30,1
48,74,28,1
57,61,127,1
66,20,0,3
57,61,110,0
49,102,110,2
65,101,120,2
60,73,127,0
62,71,127,0
58,48,60,0
53,70,0,3
55,45,120,0
66,48,110,0
67,48,110,0
69,49,110,0
70,33,110,1
78,54,110,0
79,55,110,0
81,31,110,1
84,25,110,2
48,57,127,0
48,57,30,0
48,53,30,0
58,69,0,1
57,63,110,0
58,66,110,0
60,68,110,0
61,110,127,2
62,69,127,0
60,74,127,0
62,55,60,0
66,50,60,1
52,19,120,2
57,44,127,1
68,48,0,1
68,13,0,3
71,49,110,0
68,27,110,2
80,54,110,0
81,55,110,0
83,56,0,1
88,19,0,3
72,31,127,1
62,98,0,3
65,68,127,0
77,101,127,2
83,59,111,2
67,91,127,2
71,31,127,2
79,66,127,0
64,53,127,0
70,85,127,1
82,88,127,3
70,56,25,0
67,83,127,3
69,19,60,1
68,51,60,0
69,51,60,0
75,47,0,2
54,90,127,3
74,62,0,2
77,54,60,0
61,95,127,2
76,89,0,2
79,60,127,0
64,49,127,0
65,27,127,3
70,9,60,1
72,26,127,2
69,58,127,0
58,40,127,1
62,66,127,1
72,48,127,1
55,38,127,1
68,38,127,2
70,10,127,2
48,74,127,1
48,41,60,0
48,47,127,2
51,40,127,1
63,3,60,2
63,50,127,0
73,70,127,2
71,36,57,2
56,70,127,1
64,36,127,0
59,30,127,0
48,58,127,3
64,30,127,0
56,24,127,1
67,28,127,1
64,28,127,0
55,58,127,0
55,63,127,0
55,77,127,2
59,41,127,0
59,41,60,0
80,12,127,2
61,40,127,0
61,40,60,0
67,46,127,2
71,47,127,0
66,32,127,1
59,61,127,1
71,36,127,0
66,32,0,1
59,67,127,1
71,58,84,2
59,27,127,0
66,5,0,2
71,32,127,0
50,23,127,1
53,55,127,0
50,49,0,1
58,25,120,3
57,74,127,2
65,80,0,2
65,48,60,0
71,54,127,0
71,11,127,1
71,54,127,1
77,28,127,1
77,51,127,0
77,88,60,1
80,66,127,0
63,61,127,2
77,61,60,0
94,45,127,2
70,70,127,1
77,70,60,0
89,108,127,1
77,73,127,0
77,66,60,0
102,123,127,2
77,72,127,0
77,74,0,1
89,90,127,0
77,50,127,2
89,93,60,0
74,74,60,0
86,89,60,0
71,101,60,1
88,75,127,2
65,29,0,2
77,72,60,0
62,52,60,0
82,22,60,2
59,69,0,2
71,55,60,0
49,42,60,1
65,48,60,0
53,16,60,2
62,73,0,2
50,54,0,3
59,40,127,0
53,0,127,3
45,25,127,1
53,30,0,1
47,23,127,0
56,51,127,2
53,28,127,0
47,23,127,1
50,23,127,0
39,5,127,2
89,1,127,2
86,40,127,1
76,40,127,0
74,40,127,0
74,40,127,0
79,40,127,0
88,71,75,2
