note,velocity,position,duration,anomalies
60,45,0,935,0
33,17,0,935,0
69,41,440,495,0
36,25,440,495,0
40,17,605,330,0
45,33,715,220,0
55,41,825,770,0
45,25,990,605,0
64,41,990,605,0
67,49,1100,495,0
52,25,1100,495,0
70,49,1210,385,0
61,16,1575,436,3
57,45,1430,165,0
38,25,1595,825,0
57,49,1595,660,0
65,45,1760,660,0
69,41,1870,550,0
50,41,1980,440,0
53,25,2090,330,0
57,25,2255,165,0
53,37,2420,660,0
67,45,2585,495,0
62,37,2585,495,0
69,45,2750,330,0
72,53,2860,220,0
71,53,2970,110,0
52,41,3080,770,0
71,49,3080,660,0
56,33,3245,605,0
83,45,3245,605,0
59,37,3355,495,0
64,37,3465,385,0
74,37,3630,220,0
71,57,3740,275,0
52,45,3850,770,0
56,41,4015,605,0
83,49,4015,605,0
59,45,4180,440,0
62,45,4290,330,0
68,45,4400,220,0
64,41,4510,110,0
45,17,4620,55,0
33,37,4620,880,0
69,49,4620,880,0
72,45,4785,715,0
76,45,4895,605,0
57,37,5060,440,0
60,29,5170,330,0
64,21,5280,220,0
67,37,5555,165,0
65,41,5720,110,0
64,41,5830,110,0
62,41,5940,275,0
60,41,6050,110,0
60,13,6160,55,0
57,80,6612,773,4
33,9,6215,440,0
69,41,6380,275,0
72,41,6545,110,0
36,21,6655,110,0
57,37,6655,55,0
59,25,6655,55,0
57,45,6710,55,0
55,29,6765,55,0
40,17,6765,110,0
64,41,6875,55,0
45,25,6875,110,0
55,29,7040,660,0
37,21,7040,660,0
64,33,7205,495,0
70,33,7315,385,0
51,0,7425,275,2
57,29,7590,110,0
45,29,7700,495,0
55,29,7755,440,0
53,37,7865,330,0
38,13,7865,330,0
57,0,7975,220,1
62,33,8085,165,0
50,12,8195,646,2
53,29,8360,55,0
57,29,8470,165,0
55,33,8635,165,0
69,41,8800,110,0
67,49,8965,220,0
65,53,9075,110,0
57,41,9185,220,0
64,41,9185,220,0
62,45,9295,110,0
35,17,9460,550,0
40,17,9460,550,0
44,21,9460,550,0
62,45,9460,495,0
74,37,9570,440,0
76,37,9735,275,0
52,41,9845,165,0
62,49,9955,55,0
44,29,10065,110,0
64,49,10065,110,0
35,47,10175,1677,2
38,9,10175,825,0
44,17,10175,715,0
62,41,10230,550,0
74,37,10395,605,0
76,33,10505,495,0
52,9,10294,385,2
62,37,10780,220,0
44,29,10890,110,0
64,41,10890,110,0
64,45,11000,825,0
33,13,11000,385,0
69,41,11165,220,0
72,45,11275,110,0
45,33,11385,440,0
48,29,11495,330,0
52,29,11605,220,0
67,41,11880,165,0
64,41,12045,110,0
62,49,12155,110,0
60,49,12265,165,0
59,49,12375,220,0
57,49,12668,110,1
31,17,12650,770,0
59,49,12650,660,0
35,9,12650,770,0
71,45,12815,605,0
62,37,12925,495,0
53,41,13090,330,0
55,33,13200,220,0
64,71,13769,254,4
53,17,13420,715,0
33,17,13420,715,0
29,13,13475,660,0
60,45,13475,550,0
72,37,13640,495,0
65,33,13750,385,0
57,41,13915,220,0
60,45,14025,110,0
45,25,14135,110,0
65,41,14135,165,0
59,25,14300,715,0
35,13,14413,1027,2
65,33,14300,715,0
55,21,14465,330,0
62,29,14575,330,0
53,25,14685,330,0
55,21,14795,220,0
62,29,14905,110,0
36,17,15070,330,0
64,41,15070,550,0
52,17,15070,385,0
55,13,15180,440,0
60,29,15290,330,0
43,21,15400,440,0
48,29,15510,110,0
52,25,15675,165,0
67,86,16117,165,2
64,45,16060,110,0
62,53,16170,330,0
60,53,16280,220,0
59,49,16390,110,0
57,53,16500,715,0
32,17,16555,660,0
35,1,16555,660,0
71,45,16720,495,0
62,37,16830,275,0
59,41,16940,275,0
62,37,17105,110,0
44,33,17215,110,0
64,45,17215,110,0
41,21,17325,605,0
33,13,17325,605,0
65,37,17325,550,0
77,37,17490,440,0
69,37,17600,330,0
60,41,17765,165,0
65,53,17875,110,0
69,49,17985,110,0
45,41,17985,110,0
34,13,18095,660,0
43,17,18150,605,0
70,45,18150,495,0
82,41,18315,440,0
74,37,18425,330,0
67,41,18535,220,0
70,49,18645,110,0
46,37,18755,110,0
74,53,18755,110,0
35,17,18920,605,0
41,21,18920,605,0
47,25,18920,605,0
74,53,18920,605,0
86,33,19085,440,0
77,41,19195,330,0
67,3,19305,220,1
69,49,19470,110,0
47,37,19580,110,0
71,30,19289,430,3
40,29,19690,660,0
48,33,19690,660,0
72,61,19690,550,0
84,45,19855,385,0
76,37,20020,330,0
67,41,20130,220,0
84,41,20240,110,0
72,37,20240,110,0
37,37,20350,110,0
76,53,20350,110,0
64,57,20350,110,0
49,29,20350,110,0
50,45,20460,660,0
40,21,20460,660,0
47,21,20460,660,0
68,57,20515,495,0
80,57,20515,165,0
92,53,20680,440,0
80,33,20680,330,0
83,45,20790,330,0
71,49,20900,220,0
80,45,21010,165,0
68,29,21010,110,0
64,41,21120,165,0
76,49,21120,165,0
40,21,21120,165,0
47,9,21175,110,0
69,37,21340,385,0
41,21,21340,385,0
45,21,21340,385,0
48,17,21340,385,0
81,33,21505,220,0
77,37,21615,110,0
43,29,21725,330,0
71,37,21725,330,0
47,17,21725,330,0
79,37,21835,220,0
74,29,21945,165,0
55,29,21945,770,0
64,29,22110,605,0
48,17,22110,385,0
67,21,22275,440,0
72,29,22385,330,0
48,17,22495,220,0
52,21,22605,110,0
55,29,22715,220,0
80,9,22935,165,1
53,21,22935,605,0
79,33,23100,165,0
78,41,23210,165,0
77,37,23375,165,0
55,17,23485,605,0
76,37,23485,110,0
74,33,23595,495,0
43,9,23650,55,0
48,9,23705,385,0
52,13,23705,385,0
60,29,23760,385,0
72,29,23760,330,0
79,37,23925,165,0
80,45,24035,110,0
52,29,24145,330,0
81,49,24145,110,0
82,49,24255,220,0
55,33,24255,220,0
60,45,24365,110,0
83,53,24365,110,0
53,45,24530,660,0
56,41,24530,660,0
84,53,24530,660,0
60,45,24695,495,0
61,45,24805,385,0
62,53,24915,275,0
63,45,25080,110,0
64,49,25190,385,0
55,25,25190,385,0
79,49,25300,275,0
65,41,25410,330,0
80,45,25520,165,0
53,29,25575,550,0
79,49,25575,55,0
56,29,25685,330,0
77,41,25685,440,0
60,41,25795,330,0
58,49,25905,220,0
56,45,26015,110,0
55,41,26125,165,0
72,41,26125,220,0
53,29,26290,110,0
74,45,26290,165,0
75,45,26400,605,0
51,21,26400,990,0
74,21,26565,440,0
73,41,26675,330,0
55,33,26785,220,0
77,37,26895,165,0
53,9,27005,165,0
75,41,27060,330,0
73,45,27170,220,0
55,13,27170,220,0
56,29,27170,385,0
72,49,27280,165,0
71,45,27390,165,0
55,37,27500,275,0
72,45,27500,275,0
74,41,27665,110,0
76,45,27775,110,0
51,41,27775,110,2
50,37,27885,275,0
53,37,27885,220,0
77,49,27885,220,0
57,41,27885,220,0
76,53,28050,220,0
52,41,28160,110,0
55,41,28160,110,0
77,57,28160,110,0
49,45,28270,275,0
79,53,28270,165,0
52,29,28270,220,0
58,41,28270,220,0
80,57,28380,165,0
48,49,28490,715,0
55,45,28490,165,0
81,61,28490,910,1
53,37,28655,550,0
56,45,28655,550,0
83,57,28655,550,0
80,53,28820,385,0
77,57,28930,275,0
72,45,29040,165,0
71,49,29150,275,0
69,41,29315,660,0
57,25,29425,550,0
77,45,29480,110,0
76,37,29590,165,0
75,41,29700,165,0
76,37,29865,165,0
68,41,29975,275,0
59,13,29975,275,0
71,41,30085,220,0
47,25,30085,165,0
45,13,30250,605,0
52,17,30250,605,0
69,33,30250,605,0
60,21,30250,605,0
64,17,30415,440,0
65,25,30525,330,0
55,17,30635,1155,0
66,37,30635,220,0
59,33,30800,110,0
67,33,30800,110,0
60,17,30910,110,0
69,37,30910,165,0
71,37,31020,165,0
62,21,31020,165,0
69,29,31130,110,0
60,21,31130,165,0
71,25,31240,55,0
69,37,31240,110,0
59,17,31240,165,0
68,37,31295,110,0
69,29,31405,110,0
60,25,31405,110,0
70,41,31515,110,0
61,29,31515,110,0
71,41,31625,55,0
63,37,31625,220,0
72,49,31790,660,0
38,33,32066,1240,3
55,25,32010,330,0
60,37,32120,385,0
79,49,32230,385,0
48,33,32230,385,0
76,49,32340,275,0
55,37,32340,275,0
72,53,32450,165,0
60,37,32505,110,0
51,37,32615,715,0
78,57,32615,495,0
54,33,32776,1286,2
59,41,32890,330,0
47,29,33000,330,0
88,57,32515,1197,3
78,57,33110,220,0
54,33,33110,220,0
59,37,33220,110,0
75,57,33220,165,0
53,49,33330,550,0
81,57,33385,495,0
57,45,33495,385,0
62,49,33605,275,0
50,45,33770,385,0
86,53,33770,165,0
81,49,33880,275,0
62,16,33880,1068,3
57,21,33990,165,0
77,45,33990,165,0
76,37,34155,440,0
64,25,34210,385,0
60,25,34210,330,0
81,41,34320,275,0
83,45,34485,55,0
62,13,34540,275,0
66,25,34595,220,0
76,41,34595,220,0
88,41,34705,110,0
83,41,34815,110,0
62,29,34815,110,0
59,13,34980,330,0
64,17,34980,330,0
54,13,34532,1198,3
76,45,34980,330,0
80,41,35090,220,0
81,45,35200,110,0
64,33,35310,220,0
69,37,35310,220,0
74,53,35310,220,0
86,49,35475,55,0
66,41,35585,110,0
81,53,35585,110,0
74,45,35695,275,0
71,29,35750,220,0
67,17,35750,220,0
83,45,35860,110,0
85,53,35970,165,0
73,37,35970,165,0
69,25,35970,165,0
71,41,36135,220,0
77,53,36135,220,0
74,21,36135,220,0
89,57,36245,110,0
69,45,36355,165,0
72,41,36355,165,0
84,57,36355,165,0
77,53,36520,220,0
71,45,36520,220,0
69,45,36520,220,0
86,57,36630,165,0
68,49,36795,110,0
71,37,36795,110,0
88,53,36795,165,0
69,53,36905,275,0
67,49,36905,275,0
89,57,37297,835,2
88,57,37015,275,0
89,57,37180,110,0
67,49,37180,110,0
64,49,37180,110,0
61,45,37290,275,0
91,57,37345,55,0
70,49,37345,220,0
92,61,37455,165,0
64,49,37565,165,0
70,49,37565,165,0
93,61,37565,165,0
65,49,37730,660,0
69,57,37730,770,0
96,65,37730,165,0
93,49,37895,495,0
89,49,38060,330,0
84,49,38170,220,0
81,53,38280,110,0
89,53,38390,110,0
65,37,38390,165,0
86,45,38555,660,0
58,37,38555,660,0
62,41,38555,550,0
65,37,38720,275,0
70,37,38830,385,0
84,41,38995,220,0
65,33,38995,220,0
62,29,39105,110,0
82,45,39105,110,0
81,45,39215,165,0
58,37,39215,165,0
79,45,39380,385,0
61,37,39380,385,0
55,17,39380,385,0
64,33,39545,220,0
67,33,39655,110,0
77,41,39765,275,0
61,13,39820,220,0
76,37,39930,165,0
64,25,39930,220,0
57,5,40040,110,0
74,37,40040,110,0
50,21,40205,385,0
53,21,40205,385,0
74,33,40205,715,0
65,29,40315,275,0
69,37,40425,495,0
43,3,40233,1023,4
62,33,40700,220,0
65,29,40810,110,0
52,37,40975,220,0
55,33,40975,110,0
77,41,41085,55,0
58,33,41085,275,0
76,37,41140,55,0
62,33,41195,275,0
69,37,41195,55,1
64,62,40868,55,3
77,29,41305,55,0
55,29,41360,330,0
76,41,41360,55,0
75,37,41415,275,0
58,33,41470,220,0
76,45,41470,220,0
62,41,41525,165,0
82,53,41580,110,0
68,53,41540,55,2
53,41,41690,385,0
57,41,41690,385,0
81,57,41690,385,0
62,49,41800,275,0
65,49,41965,110,0
57,49,42075,330,0
62,53,42185,220,0
69,49,42295,110,0
55,49,42405,385,0
74,37,42515,55,0
58,49,42570,220,0
76,41,42570,110,0
78,53,42625,165,0
64,49,42680,110,0
79,49,42680,110,0
81,53,42735,55,0
58,49,42790,275,0
82,53,42790,275,0
84,57,42845,220,0
62,45,42900,165,0
86,57,42900,165,0
88,57,42955,110,0
67,53,43010,110,0
89,61,43010,165,0
91,65,43065,110,0
49,53,43120,440,0
52,33,43120,440,0
58,49,43120,440,0
93,61,43175,165,0
94,61,43285,275,0
93,57,43340,55,0
93,53,43395,55,0
93,53,43450,110,0
55,45,43560,330,0
91,57,43560,165,0
58,49,43670,220,0
93,45,43670,220,0
91,49,43725,55,0
64,29,43780,110,0
91,53,43780,55,0
91,53,43835,55,0
89,49,43890,165,0
67,29,43945,385,0
91,41,44055,110,0
73,13,44055,275,0
89,37,44110,165,0
91,33,44165,165,0
76,21,44220,110,0
89,21,44275,55,0
88,41,44330,440,0
33,21,44330,440,0
49,29,44495,275,0
52,25,44605,165,0
45,33,44770,330,0
49,41,44880,220,0
55,41,44990,110,0
57,57,45155,825,0
43,1,45155,825,0
73,45,45320,660,0
55,37,45320,660,0
74,88,45711,1213,3
53,33,45430,550,0
75,53,45430,550,0
76,57,45485,495,0
52,37,45540,440,0
77,57,45595,385,0
78,61,45595,385,0
50,37,45650,330,0
79,61,45650,330,0
80,69,45760,220,0
81,69,45815,165,0
49,49,45815,165,0
82,65,45870,110,0
53,33,45980,385,0
83,57,45980,220,0
38,21,45980,385,0
45,21,45980,385,0
84,45,46145,220,0
83,49,46200,110,0
83,49,46310,55,0
83,41,46365,55,0
48,37,46420,385,0
50,33,46420,385,0
