note,velocity,position,duration,anomalies
84,54,10,505,0
86,49,546,477,0
65,42,884,2199,0
79,42,926,1142,0
74,74,969,2114,2
88,56,1054,1014,0
77,56,1054,2029,0
91,52,2069,1014,0
79,42,2992,2065,1
86,52,3084,2065,0
67,42,3084,2065,0
74,56,3084,2065,0
84,25,5150,1443,2
60,50,5150,474,0
67,49,5655,479,0
79,44,6165,479,0
84,58,6165,509,0
76,52,6165,1455,2
86,49,6675,504,0
76,49,6675,2570,0
86,50,7180,1011,0
84,54,8196,511,0
86,49,8738,477,0
84,42,9246,1014,0
88,56,9246,1014,0
53,50,9246,474,0
60,49,9751,479,0
91,52,10261,479,0
69,52,10261,1014,0
85,49,10999,956,3
86,42,11276,1011,0
91,56,11276,1011,0
55,50,11276,474,0
62,49,11781,476,0
79,46,12292,1049,0
86,60,12292,1049,0
71,54,12292,1049,0
79,53,13342,1398,1
86,48,13342,1014,0
48,50,13342,474,0
67,89,13847,479,2
83,55,14357,479,0
86,50,14357,509,0
62,52,14357,479,0
88,49,14867,504,0
64,49,14867,474,0
84,42,15372,1011,0
88,56,15372,1011,0
67,50,15372,2065,0
84,67,16388,511,0
86,62,16930,477,0
84,55,17438,1014,0
88,69,17438,1014,0
53,63,17438,474,0
60,62,17943,479,0
84,57,18453,479,0
91,71,18453,509,0
69,65,18453,1014,0
93,62,18963,474,0
83,55,19468,2065,0
86,65,19468,2065,0
55,63,19468,474,0
62,62,19973,476,0
71,67,20484,1049,0
79,55,21534,1014,0
84,69,21534,1014,0
57,63,21534,474,0
64,62,22039,479,0
79,57,22549,479,0
84,67,22549,509,0
71,32,22674,972,3
86,62,23059,474,0
64,62,23059,474,0
88,63,23564,474,0
72,63,23564,474,0
86,62,24069,476,0
64,62,24069,476,0
79,59,24580,511,0
84,73,24580,541,0
71,67,24580,511,0
83,62,25122,477,0
64,62,25122,477,0
77,55,25630,1014,0
81,69,25630,1014,0
53,63,25630,474,0
60,62,26135,479,0
83,65,26645,479,0
69,65,26645,1014,0
