note,velocity,position,duration,anomalies
81,62,1682,223,1
70,54,1629,2206,3
65,54,1769,1958,2
68,46,1843,1918,3
74,22,1922,492,1
85,95,1922,895,3
79,36,2414,954,2
74,104,2889,964,2
79,97,3365,1372,2
71,85,3762,1457,3
64,59,3462,1145,2
67,48,3591,967,2
72,59,4249,370,1
86,106,3490,476,4
67,98,3841,1110,4
86,54,4570,952,1
82,68,4570,952,0
70,65,4809,1445,1
81,89,5522,223,1
60,54,5682,1998,0
64,17,5722,1958,1
69,37,5762,1918,1
79,67,5762,1237,1
79,102,6015,429,2
77,88,6254,765,2
89,26,6977,225,3
76,65,6730,475,0
72,63,7205,475,0
53,67,7682,239,0
69,100,7682,1386,2
60,44,7936,224,0
60,13,8557,1139,4
69,31,8618,677,3
67,37,9289,236,3
74,95,9322,223,2
71,62,9121,223,2
58,27,9602,370,1
70,51,9439,785,2
66,107,9118,1312,4
65,54,9972,358,0
79,28,9972,1052,3
70,46,10330,478,0
81,77,10330,385,3
77,68,10330,478,0
76,35,10694,223,2
72,63,11046,222,1
81,62,11282,223,0
72,18,11522,431,3
82,39,11522,492,2
87,73,11961,492,2
76,17,11678,713,3
66,63,11661,475,2
67,94,12489,561,2
74,65,12489,476,0
60,17,12729,1507,2
79,63,12835,475,2
46,16,13242,1158,1
53,44,13282,1118,0
58,37,13322,1078,1
65,50,13538,1047,1
70,79,13642,1346,3
74,41,13442,967,1
58,96,14409,951,1
65,71,14409,951,0
67,40,14211,1283,4
66,98,15122,947,3
88,62,15588,114,2
48,67,15362,239,0
68,33,15064,728,3
76,73,15362,728,0
58,62,15954,224,2
60,63,15854,222,0
64,62,15922,1726,2
84,62,16090,478,0
90,62,16649,223,2
77,63,16327,222,2
79,87,16990,434,3
34,28,17282,239,2
69,99,17282,179,3
92,43,17282,253,2
68,15,17535,225,2
86,84,17182,239,2
98,68,17535,239,0
71,54,17774,624,2
86,55,17774,475,0
98,69,17774,475,0
56,30,18011,224,2
51,56,18249,225,1
81,57,18465,1020,2
81,92,18249,917,3
54,53,18976,655,2
81,54,18488,474,0
89,91,18154,474,3
47,54,19156,222,1
54,53,18962,223,0
78,54,18962,238,0
90,68,18962,238,0
71,95,19558,657,4
78,59,19089,1232,2
90,73,19202,492,0
62,81,19922,813,3
63,54,19694,222,1
74,94,19969,1060,3
86,69,19694,236,0
46,27,19930,904,3
74,54,19930,1431,0
86,64,19930,2045,1
56,91,19789,224,3
48,90,20190,705,4
59,82,20646,1203,2
63,84,20882,223,2
40,55,21122,239,0
48,70,21122,644,2
52,53,21375,225,0
88,54,21375,146,2
104,80,21757,434,4
99,99,21375,450,3
56,86,21614,933,2
86,55,21614,475,0
92,31,21678,1231,3
112,69,21481,475,2
59,53,21851,224,0
64,56,22089,225,0
83,57,22089,239,0
95,71,22089,239,0
73,53,22328,1187,2
77,14,22328,529,3
95,68,22328,474,0
64,89,22566,222,1
59,53,22802,223,0
79,34,22802,1050,2
91,68,22802,442,1
43,58,23042,239,0
78,59,23042,492,1
91,103,23526,492,2
62,91,22897,792,4
55,78,23534,222,1
76,83,23534,236,1
88,69,23419,236,1
57,74,23770,225,2
63,21,23389,2387,4
88,64,23770,2109,1
55,78,24010,224,1
50,53,24249,296,1
43,54,24486,222,0
50,53,24722,457,1
37,31,25306,426,3
49,53,25418,686,2
85,54,25215,239,0
97,68,25215,239,0
56,56,25882,1037,2
81,93,25454,475,2
97,33,25223,1056,3
61,53,25744,355,2
56,94,25604,892,3
89,22,26337,425,4
93,71,25434,1037,2
63,33,26162,359,3
81,54,26168,474,0
93,68,26525,474,1
56,54,26400,222,0
35,53,26637,722,2
65,54,26642,238,1
90,68,26955,571,2
45,59,26815,549,2
81,95,26507,492,3
90,73,26882,492,0
38,55,27217,483,3
49,56,27285,554,3
88,94,27643,236,3
85,30,27374,236,2
61,55,27610,225,0
76,54,27610,1920,0
88,64,27610,1920,0
57,94,27850,224,1
52,55,28089,222,0
45,56,28009,692,2
41,32,28861,511,4
45,19,28973,1194,3
58,19,29294,475,2
57,65,29530,239,0
38,25,29472,1058,3
57,94,29769,239,1
62,83,29769,239,1
63,99,29769,239,2
45,57,29747,1122,2
48,58,30008,184,2
62,58,29933,237,1
70,68,30008,341,2
63,58,30245,768,2
68,98,29912,1167,4
62,80,30674,840,3
70,50,30245,791,3
57,29,30482,1167,2
65,72,30408,834,3
43,33,30985,657,3
49,62,30975,960,2
57,58,30828,1209,2
64,68,30975,296,1
54,97,31214,769,3
57,25,31214,236,1
64,73,31214,236,0
50,62,31450,225,0
51,93,31298,239,3
62,103,31649,239,2
43,26,31689,353,2
57,61,31495,239,1
60,75,31742,1209,3
50,62,31928,223,0
57,58,32263,935,2
73,91,32206,474,3
66,51,32266,749,3
55,63,31833,222,1
55,62,32402,432,2
68,88,32859,846,4
71,111,32644,796,4
47,67,32642,239,0
54,37,32895,1349,2
62,68,32895,239,0
58,61,33312,951,2
62,75,33134,951,0
54,43,33486,223,2
50,103,34085,746,2
46,109,34085,223,2
47,34,34519,1044,3
