note,velocity,position,duration,anomalies
74,80,0,564,2
80,44,647,455,2
78,104,960,614,2
60,80,1440,1367,1
59,52,2880,455,2
78,80,3360,455,0
67,80,3651,455,2
76,80,4320,911,0
76,52,5460,911,2
67,59,6240,597,3
83,103,6685,560,4
72,111,6720,1349,3
76,106,6272,1203,3
64,80,7200,119,0
87,80,7200,352,2
64,101,7018,119,2
76,46,7031,119,2
60,57,7959,119,3
87,80,7973,867,3
64,80,7920,119,0
76,80,7920,1050,1
73,80,7860,1995,3
64,80,8160,341,0
68,46,8160,341,1
57,80,8089,113,2
64,55,8640,455,1
57,116,9240,225,3
67,80,9300,174,2
68,80,9360,128,1
69,80,9400,37,0
76,80,9365,123,3
83,60,9777,120,4
75,116,9520,293,2
76,47,9560,280,1
78,80,9600,37,0
83,80,9434,170,3
86,80,9515,37,2
83,109,9720,37,1
92,80,9760,129,2
87,53,9800,37,1
64,80,9840,950,2
80,80,9840,583,2
69,80,10080,119,0
86,103,10080,119,2
76,114,10291,119,2
69,80,10754,227,1
72,80,10440,554,1
76,101,10740,227,2
63,80,10680,113,1
72,80,10680,113,0
76,59,10680,451,2
69,119,10920,670,2
82,60,11160,650,3
74,102,11487,490,3
64,41,10683,59,3
79,45,11218,143,4
83,80,11400,1198,2
78,110,11400,175,2
69,80,11640,113,0
72,80,12038,1021,3
78,80,11760,437,1
69,80,11592,119,1
72,80,12000,119,0
70,105,12191,874,4
69,116,12506,624,3
68,45,12118,1054,4
76,105,12360,389,2
86,51,12926,37,2
85,42,12520,37,1
83,108,12689,37,2
73,80,12600,888,2
89,48,12892,739,4
78,80,12680,37,0
76,80,12720,37,0
74,80,12941,704,2
86,51,12671,496,4
71,80,12489,37,1
69,80,12880,37,0
64,111,12803,472,4
69,111,12558,56,3
64,80,12670,56,1
49,80,13447,59,2
62,80,13385,59,1
56,119,13612,59,3
74,55,13200,59,1
62,80,13320,59,0
66,80,13055,59,1
74,80,13320,885,1
62,80,13440,455,0
76,106,13440,910,3
74,80,13740,1416,2
65,101,13920,886,3
69,80,13920,701,1
68,56,14160,113,2
57,80,13916,366,3
76,80,14423,113,2
52,52,14551,113,3
52,60,14292,113,3
59,108,14993,113,3
69,84,14792,693,3
74,42,15305,758,3
78,32,15000,59,1
76,102,15240,802,3
74,64,15479,227,1
67,25,15240,854,3
72,64,15241,947,3
72,40,15480,501,3
75,33,15480,432,3
60,80,15840,624,1
75,107,15840,119,2
67,80,16080,113,0
53,105,15807,473,4
64,80,16320,113,0
64,102,16822,113,2
60,40,16560,866,2
62,80,16680,590,1
69,27,17353,1022,3
74,43,16920,59,1
82,64,16468,59,2
65,95,17160,227,2
74,41,17160,227,1
78,64,17160,602,1
69,36,17400,633,2
74,64,16940,113,1
68,64,17400,866,2
59,51,17604,119,3
61,50,18001,119,3
67,47,17553,113,2
67,43,18120,113,1
64,58,18240,252,2
64,49,18004,113,2
62,54,18480,494,2
64,104,18494,113,3
62,80,18720,1114,1
62,108,18960,113,1
74,58,19080,227,1
76,80,18652,356,3
81,54,19080,227,1
86,46,19080,227,1
78,119,18964,578,4
74,80,19257,584,2
78,80,19320,113,0
81,80,19680,119,1
86,80,19680,512,2
76,80,20160,119,1
69,80,20321,212,2
72,80,20040,513,1
67,116,20103,838,4
72,80,20300,1022,2
74,105,20723,113,3
78,80,20818,113,2
71,118,20520,113,2
69,57,20402,610,3
74,108,20679,205,3
88,80,20760,1044,2
69,80,21187,149,2
74,80,20714,111,2
78,80,20415,59,1
69,80,21000,59,0
71,48,21000,435,3
76,115,20736,59,3
74,119,20663,1353,3
72,80,21120,547,2
82,80,21120,892,2
86,48,21120,1435,2
75,41,21455,119,3
72,80,21600,119,0
94,101,21600,119,2
67,80,21840,119,0
79,49,21840,1058,2
64,51,22080,113,1
75,80,22080,113,1
64,112,22200,1097,2
76,80,21737,812,2
50,80,22389,113,2
86,54,22057,113,3
60,45,22575,113,2
72,80,22170,113,1
62,48,22560,752,2
73,80,22560,113,1
74,80,22386,113,1
53,91,22608,1051,4
66,91,22680,59,1
58,92,23305,227,3
63,101,22920,227,2
62,64,23160,799,1
76,91,23571,113,3
69,80,23249,369,2
76,101,23882,957,4
84,102,23520,619,3
74,119,23347,1012,4
81,44,23527,113,2
67,80,23760,113,0
82,47,23760,444,3
67,80,23880,113,0
79,80,23880,931,1
64,40,24000,273,2
86,106,24000,119,2
73,80,24016,113,2
81,49,24374,560,4
65,43,24270,190,4
72,100,24360,113,1
65,117,24874,113,3
66,80,24480,113,0
68,80,24480,113,1
53,59,24600,752,3
71,109,24720,1111,3
83,55,24720,113,2
74,80,24840,1030,1
91,80,24396,173,3
74,110,24840,615,3
72,45,25440,872,3
72,80,25440,119,0
75,113,24966,119,3
61,80,25680,448,2
79,80,25382,113,1
64,80,25514,787,2
76,80,26102,113,1
64,80,25777,113,1
76,80,26130,512,2
56,80,26160,398,2
74,54,25981,113,2
60,118,26748,959,3
72,80,26280,113,0
58,54,26895,313,4
66,80,26400,227,0
83,80,26143,227,2
60,55,26640,113,1
72,80,27010,113,1
62,56,26760,1037,2
64,104,26455,320,4
54,80,26621,592,3
62,48,26588,113,3
62,80,27120,434,1
74,44,26731,113,2
62,111,27240,936,2
