note,velocity,position,duration,anomalies
84,52,2408,221,0
86,49,2643,669,1
69,3,2882,1438,1
76,55,2882,1438,0
88,49,2882,1438,0
62,41,4076,1528,1
66,41,4262,1498,0
69,41,4292,649,1
74,30,4622,1438,2
86,34,4322,490,1
81,70,4812,476,1
86,77,5375,835,3
74,49,5616,67,1
91,81,5688,76,2
75,41,5762,1939,2
76,55,5762,1438,0
81,20,5443,966,3
79,76,6454,472,3
62,41,7112,1528,0
66,66,7142,2356,2
69,41,7172,28,0
87,26,7202,1438,2
81,16,7202,1438,1
52,54,8314,785,2
79,26,8642,490,1
59,49,8895,223,0
64,24,9242,1913,3
78,50,9132,389,1
79,72,9159,1411,3
36,25,9962,980,4
78,54,9611,1107,3
57,49,9881,325,2
64,49,10572,1747,2
78,70,10386,476,2
79,88,11048,472,1
51,41,11346,1518,2
57,41,11482,2273,1
64,55,11172,1438,1
74,28,11522,1023,3
76,52,12155,1075,3
48,8,12592,2329,3
66,41,12922,1478,1
60,55,12962,1438,0
76,49,13159,1389,2
76,52,13928,221,0
78,49,14245,222,1
48,54,14402,1047,1
87,49,14159,966,2
55,50,14892,476,0
60,52,15368,472,0
83,52,15368,472,0
90,18,15423,1440,3
50,86,16306,490,2
74,41,15842,966,0
65,41,15842,3475,2
62,29,16332,868,2
71,44,17247,472,2
75,54,16405,2742,3
66,93,17282,674,3
80,50,17772,621,2
65,52,18473,964,2
44,54,18404,700,3
75,60,18722,490,0
54,29,19212,796,2
78,73,19212,476,1
59,52,20024,406,2
75,78,19206,627,4
71,41,20072,2496,0
75,41,20102,2466,0
78,16,20132,2821,2
47,18,20162,1078,1
83,51,20162,2406,0
35,68,21240,2039,2
60,54,22170,221,2
75,51,22526,222,1
48,35,23132,238,3
80,26,22791,490,3
59,51,23773,223,1
56,76,23750,948,3
76,52,23984,1274,2
76,54,24008,399,1
84,51,24243,734,2
49,56,24482,238,0
91,56,24482,683,2
56,51,24735,223,0
61,51,24972,948,0
87,74,24884,948,3
45,56,25922,238,0
76,82,25497,490,2
79,56,25780,1356,3
52,51,26175,223,0
57,52,26213,224,1
73,51,26412,948,1
81,15,26118,808,3
61,91,26651,223,1
80,51,26533,504,2
75,54,26888,725,2
90,81,26888,537,3
76,19,27123,237,1
58,76,27157,238,3
83,56,27362,763,2
54,51,27219,223,1
73,51,27615,72,1
78,51,27692,73,0
80,86,27770,255,2
62,83,27852,224,2
78,52,27852,1392,1
63,51,28091,223,0
59,17,27868,221,2
78,54,28328,221,0
54,29,28771,222,2
72,86,28668,222,3
47,56,28415,369,3
73,81,29104,490,2
83,56,28310,490,2
52,51,29055,223,0
57,52,29292,224,0
75,52,29567,812,3
81,52,29156,640,2
48,13,29531,507,3
57,54,29768,221,0
76,54,29768,472,0
81,26,29840,918,3
49,51,30276,951,3
81,81,30003,72,1
94,15,30080,934,3
81,73,30158,224,2
38,56,30178,238,2
69,59,30182,490,2
73,23,30242,490,2
59,89,30495,223,1
70,83,30397,224,3
71,32,31081,688,3
89,50,30732,476,1
56,81,30745,953,4
70,80,30933,221,3
76,27,31346,717,3
59,51,31443,708,1
80,51,31443,222,0
63,8,31602,808,2
76,48,31561,1046,2
43,56,31682,1116,2
78,62,32098,728,1
57,51,32215,755,2
53,52,32172,1031,2
74,71,32410,954,3
62,54,32242,472,1
71,23,32648,1017,2
74,89,32648,235,2
76,30,33246,975,3
50,31,33122,929,3
60,68,33122,966,2
76,62,33197,953,2
54,51,33375,572,1
59,91,33764,1090,3
75,58,33612,476,0
58,76,33475,857,4
47,54,34088,472,0
71,54,34088,221,0
75,51,34323,237,0
71,16,34482,1243,2
75,48,34522,38,0
56,20,34562,238,2
76,62,34562,490,0
53,83,34625,953,4
64,72,35120,224,2
76,21,35052,1169,2
67,51,35424,780,3
71,89,35291,223,1
64,54,35528,472,0
89,54,35528,347,2
78,83,36193,222,2
49,77,36002,925,2
71,48,36002,490,0
76,21,36279,490,2
87,90,35537,1064,4
56,51,36255,223,0
51,52,36411,545,3
71,43,36492,948,0
76,43,36492,948,0
78,27,36860,1084,4
58,31,36731,223,2
61,54,36968,221,0
42,11,37203,222,2
45,56,37442,238,0
65,56,37442,490,1
69,56,37442,490,1
56,51,37428,223,2
61,84,37932,224,2
73,51,38062,1398,2
81,52,37932,224,0
61,51,38107,309,2
75,51,38171,223,1
64,54,38408,794,1
78,54,38408,221,0
76,29,38643,686,2
47,34,39301,238,2
71,80,39211,1738,3
89,56,39053,292,3
57,22,38774,894,4
64,51,39394,752,3
85,51,39251,628,2
59,52,39372,224,0
78,52,39372,476,0
63,51,39611,418,1
59,76,39848,221,1
71,87,39848,893,2
72,54,39613,559,3
54,51,40083,222,0
67,28,40083,1076,3
45,56,40322,238,0
73,56,40753,1074,2
81,56,40322,991,1
52,51,40575,223,0
57,27,41169,224,2
66,52,41110,913,3
87,52,40745,476,2
61,51,41285,223,1
57,54,41288,221,0
72,30,40888,472,3
75,80,41288,221,2
58,51,41523,222,1
83,51,41293,621,2
40,55,42012,238,1
76,97,41762,927,2
80,54,41696,490,1
33,17,42445,223,3
62,12,42252,164,3
82,95,41808,476,3
80,19,42252,476,1
56,51,42588,223,1
52,54,42343,782,2
76,54,42728,221,0
47,51,42754,222,1
80,51,42963,222,0
38,55,43202,238,0
71,80,42928,728,2
61,84,43202,907,3
78,92,43202,1175,2
45,51,43455,223,0
50,16,43692,1441,2
58,40,43692,476,1
51,85,43692,476,2
70,78,43774,645,4
58,42,43726,750,3
57,19,44168,472,1
62,82,44168,472,1
83,54,44614,603,3
86,51,44894,155,3
71,43,44218,1056,1
76,43,44582,1026,0
78,43,44612,996,0
42,35,44319,732,4
83,78,44642,1634,2
54,51,44895,223,0
59,52,44639,757,2
61,51,45371,1137,1
63,77,45323,1038,3
75,59,45608,472,0
70,48,45518,328,2
68,24,46022,586,2
77,48,45765,219,3
49,56,45738,468,2
67,62,46082,253,1
56,51,46335,223,0
80,51,46181,223,2
63,51,46141,1402,3
73,52,46746,224,1
71,51,46811,223,0
68,16,47205,21,3
66,51,47168,108,0
59,73,46917,188,4
66,30,47399,114,1
45,82,47779,238,2
68,82,47522,1063,3
55,79,47775,223,2
57,77,47677,636,3
52,51,48251,513,1
45,54,48488,472,0
61,54,48488,221,0
75,51,48248,237,2
51,43,48872,1003,2
64,43,48532,1031,2
64,43,48851,996,2
42,56,48962,443,1
71,57,48962,966,0
45,51,49215,223,1
54,52,49168,1170,2
53,51,49434,602,3
57,54,50167,472,1
69,77,49928,614,2
86,51,50163,501,2
52,86,50491,808,3
64,48,50362,768,0
58,34,50662,870,4
68,62,50402,728,0
41,51,50201,1177,3
59,52,50892,238,0
