note,velocity,position,duration,anomalies
65,67,970,224,0
67,64,719,674,2
69,65,1446,474,0
62,56,1842,1523,0
65,56,1882,1483,0
72,70,1922,1443,0
65,65,3365,475,0
60,61,3842,967,0
67,38,3603,967,3
74,67,4809,713,0
72,64,5049,749,2
74,44,5394,1106,3
72,64,5762,1443,0
69,65,7205,223,0
66,24,7888,479,3
59,27,7936,1218,3
63,43,8630,1309,4
65,64,8888,110,0
70,64,9005,1097,1
72,65,9126,113,0
68,102,8797,109,3
82,30,9003,109,2
84,64,9479,121,0
77,56,9546,1443,1
78,56,9602,1443,1
90,86,9515,2150,4
89,70,9602,1443,0
89,65,11045,475,0
76,61,11522,967,0
73,61,11522,1850,2
88,75,11522,967,0
72,59,12489,951,0
76,59,12489,951,0
84,73,12489,951,0
74,84,13442,2144,2
79,56,13442,2345,1
100,108,13442,1680,2
74,17,15122,493,1
88,32,15455,1186,4
86,101,15122,1394,2
74,56,15615,239,0
79,56,15615,239,0
86,106,15227,239,2
74,57,16101,1546,2
79,57,15472,1188,1
86,34,15389,2003,3
62,44,17160,236,2
64,64,17017,275,2
65,69,17282,239,0
60,37,17133,460,3
66,56,17526,1171,3
71,87,18011,839,3
67,64,18488,460,0
62,90,19080,1207,2
63,41,20169,476,2
51,65,20587,475,2
69,61,21122,239,1
65,75,21122,253,0
57,102,21837,783,4
62,56,21851,463,0
65,66,21851,477,0
74,86,22133,1167,4
62,64,22802,1207,0
62,59,24009,476,0
74,97,24009,1144,2
65,57,24485,475,0
77,41,24022,475,2
72,61,25267,1273,2
69,61,24962,1262,2
84,75,24962,728,0
63,56,26036,1093,3
80,22,25690,1275,3
74,102,25690,1190,2
85,101,27329,1204,4
86,61,26882,728,0
91,39,26882,728,1
74,56,27610,715,0
70,85,27432,991,4
83,99,27678,1217,4
77,57,28325,1444,0
81,57,28325,1444,0
89,71,28325,1444,0
64,80,29341,1258,3
67,59,29769,951,0
76,73,29769,951,0
62,61,30722,1476,1
67,87,30722,967,1
74,75,30722,967,0
50,59,31689,1334,2
67,35,31403,1670,3
72,73,31689,951,0
73,95,32642,528,3
60,40,32642,412,3
77,35,32262,253,2
