note,velocity,position,duration,anomalies
30,127,1920,90,1
34,113,1920,211,2
30,127,1941,65,2
50,123,2183,762,3
30,115,2307,60,0
42,127,2307,54,1
44,109,2433,120,2
42,72,2788,48,2
59,109,2553,95,0
62,127,2676,1071,2
64,105,2799,57,0
40,78,2924,142,2
48,57,2924,754,3
66,111,3351,142,1
59,83,3456,430,3
59,95,3173,70,0
62,89,3173,57,0
66,105,3173,63,0
54,90,3297,83,0
62,87,3297,63,0
66,101,3297,63,0
66,108,3413,78,0
59,93,3417,83,0
62,72,3537,237,2
54,93,3534,111,0
62,96,3545,127,0
67,98,3927,172,2
59,101,3660,74,0
62,106,3794,632,1
80,124,3572,168,2
40,127,3914,111,2
52,98,4041,74,0
62,92,4041,80,0
64,127,4519,63,3
57,98,4503,330,2
66,103,4169,58,0
62,127,4175,310,2
66,103,4284,90,0
52,96,4290,84,0
62,83,4559,53,1
57,99,4060,612,2
68,96,4416,701,2
62,76,4008,38,2
39,99,4582,103,2
61,127,4311,136,2
64,106,4425,181,2
57,76,4650,71,1
59,105,4778,172,0
62,114,4778,187,0
43,116,4422,120,1
59,118,5022,72,1
62,103,5022,63,0
50,89,5034,66,0
59,97,5147,164,1
72,93,5147,838,2
55,95,5151,1072,1
39,75,5270,810,3
55,127,4787,75,3
64,115,5391,455,3
50,114,5192,128,3
43,93,5519,669,2
66,116,5525,276,1
55,127,5639,606,2
66,116,5760,218,0
62,105,5766,152,0
42,113,5880,125,0
49,67,5766,857,3
61,93,6349,625,2
64,127,5840,7,3
54,95,6067,111,1
54,95,5780,135,2
64,116,6144,171,0
49,93,5978,152,1
46,101,6390,80,1
59,108,6452,86,1
49,93,6522,84,0
51,93,6180,769,3
62,127,6641,911,2
49,53,7081,536,3
50,105,6646,58,2
66,118,7328,378,2
47,127,6896,133,1
54,96,6980,632,3
60,120,7013,88,2
65,92,7139,46,1
53,55,7143,0,3
62,82,7143,33,0
54,93,7262,781,1
61,105,7266,0,2
62,83,7274,34,0
59,96,7475,737,2
66,65,6951,949,3
71,111,7410,27,2
54,96,7512,102,0
64,124,7918,731,4
57,127,7517,175,2
