note,velocity,position,duration,anomalies
85,69,485,2042,3
97,89,0,1823,0
85,89,1920,227,0
97,89,1920,227,0
83,89,2160,227,0
95,89,2160,227,0
77,89,2724,227,2
94,89,2400,227,0
80,89,2640,911,0
92,89,2640,911,0
77,89,3406,113,1
78,89,3720,113,0
73,89,3840,683,0
77,89,3840,683,0
80,89,3840,683,0
71,89,4560,119,0
77,89,4560,119,0
82,89,4560,119,0
71,89,5040,119,0
77,89,4962,378,2
83,89,5040,119,0
70,89,5520,455,0
73,89,5520,455,0
82,89,5520,455,0
78,54,6160,650,3
77,89,6240,227,0
73,89,6480,455,0
89,89,6960,113,0
90,89,7080,113,0
89,89,7531,786,2
91,89,7320,902,2
78,89,7440,227,0
66,89,7680,227,0
80,116,7680,921,3
75,89,7680,227,0
78,89,7680,227,0
77,89,7920,227,0
65,121,7782,462,4
75,89,8122,455,1
78,89,8400,455,0
85,89,8400,455,0
77,89,8880,227,0
78,89,9120,227,0
78,89,9360,455,0
85,89,9360,455,0
89,114,9454,227,2
90,55,10080,227,1
62,89,10135,1255,3
78,117,10238,813,3
85,89,10320,683,0
68,89,11280,113,0
70,89,11400,113,0
71,89,11520,227,0
70,89,11760,113,0
71,89,11880,113,0
73,89,12000,227,0
71,118,12066,113,2
73,89,12360,113,0
75,89,12480,227,0
73,51,12720,113,1
75,89,12840,113,0
67,55,12960,119,2
68,89,13200,683,0
73,89,13200,683,0
78,89,13430,1155,2
77,89,13920,113,0
65,89,14040,113,1
68,89,14160,1139,0
73,89,14160,1139,0
65,68,14406,1139,3
80,89,14160,1139,0
70,73,15360,227,0
76,73,15360,227,0
75,73,15600,75,0
89,100,16125,75,3
75,73,15760,75,0
73,73,15840,227,0
71,73,16080,455,0
70,73,16560,227,0
71,73,16800,227,0
73,73,17040,455,0
58,73,17196,878,3
68,33,17932,1213,3
64,72,18000,455,0
70,73,18480,227,0
76,40,18480,227,2
70,73,18720,227,0
61,68,18720,227,0
71,93,18960,227,1
63,42,18485,227,3
73,73,19200,683,0
86,48,20242,1287,4
74,73,19706,1884,3
78,73,21840,227,0
70,73,22080,620,2
75,73,22320,227,0
73,73,22560,227,0
71,73,22800,227,0
71,73,23040,455,0
70,73,23520,227,0
70,73,23760,455,0
61,40,24240,425,3
73,61,24480,227,0
71,61,25056,227,1
70,61,24960,455,0
71,61,25440,227,0
73,61,25680,455,0
66,73,26160,455,0
68,112,26438,227,2
70,73,26880,227,0
68,73,27120,227,0
70,73,27360,227,0
68,73,27600,227,0
70,73,28320,227,0
67,73,28560,651,2
70,34,28800,227,1
68,73,29040,227,0
66,73,29520,227,0
66,95,29865,227,2
73,73,30480,227,0
73,73,30720,455,0
79,75,30864,1135,3
70,77,31842,455,1
71,80,32160,455,0
70,82,32640,227,0
68,58,32880,481,2
68,86,32880,194,2
65,89,33840,227,0
70,89,33840,227,0
70,89,34080,227,0
73,89,34320,862,2
71,68,34320,536,2
67,89,34560,290,2
60,60,34560,227,2
73,68,34941,877,3
66,113,35280,1348,2
70,89,35280,1139,0
79,64,35397,1571,4
56,74,36480,455,0
61,34,36480,455,1
65,74,36480,455,0
78,89,37200,227,0
77,89,37440,227,0
75,89,37680,227,0
73,89,37920,227,0
74,63,38339,1219,4
61,89,38400,455,0
65,89,38400,455,0
73,67,38400,1244,2
61,89,38880,227,0
75,89,39286,742,3
63,89,39120,119,0
82,89,39120,119,1
63,89,39120,880,2
65,89,39600,119,0
68,89,39600,119,0
77,89,39600,119,0
66,89,40080,455,0
70,89,40080,455,0
78,89,40080,455,0
76,42,40560,227,2
75,75,40800,227,0
73,75,41040,455,0
66,89,41520,455,0
68,89,42000,227,0
59,89,42240,227,0
59,53,42240,977,3
70,89,42240,227,0
55,89,42480,809,2
70,89,42720,227,0
68,89,42960,227,0
66,89,43315,1020,2
65,64,43680,954,3
68,89,43920,227,0
58,89,44160,227,0
48,89,44347,1196,3
70,89,44160,227,0
68,89,44400,227,0
64,89,45081,869,3
66,89,45360,455,0
73,89,45840,227,0
61,89,46080,455,0
66,89,46080,455,0
73,89,46080,1088,1
63,89,46560,455,0
75,89,46560,455,0
61,122,47135,455,2
66,66,47226,1230,3
73,89,47040,455,0
56,112,47215,608,4
78,89,47520,455,0
66,89,48000,455,0
70,89,48000,455,0
77,89,47807,455,2
78,89,48000,455,0
65,89,48480,227,0
77,89,48480,227,0
65,89,48720,455,0
68,89,48720,455,0
77,89,48720,455,0
58,75,49200,227,0
62,75,49440,227,0
65,113,49997,513,3
63,75,49920,227,0
66,75,49920,227,0
63,108,50160,227,1
63,75,50160,227,1
75,127,50400,227,1
63,75,50400,119,0
66,75,50400,119,0
73,114,50312,657,3
75,89,50880,455,0
63,75,51120,119,0
66,45,51120,119,1
75,89,51360,227,0
61,75,51600,683,0
65,75,51600,1448,1
75,122,51600,1131,2
65,89,52320,455,0
68,56,52320,455,1
77,89,52320,455,0
66,89,52800,455,0
73,89,52800,455,0
78,89,52800,455,0
68,89,53280,455,0
73,89,53280,455,0
80,89,53280,455,0
69,75,53760,912,2
65,75,53760,227,0
61,75,54000,227,0
65,75,54000,227,0
73,89,54240,227,0
61,75,54240,119,0
65,75,54240,119,0
71,89,54480,227,0
73,89,54720,683,0
58,103,55238,795,4
65,104,54960,638,2
81,123,55440,227,2
65,75,55440,683,0
82,89,55680,1213,2
68,89,56160,227,0
73,75,55713,455,2
70,89,56810,1971,2
63,89,58080,455,0
71,89,58080,455,0
63,60,58560,650,2
71,89,58560,455,0
71,89,59040,227,0
61,89,59280,683,0
65,89,59280,683,0
69,127,59280,683,2
65,90,60000,455,0
70,90,60000,455,0
65,91,60480,455,0
71,91,60480,455,0
65,93,60960,227,0
73,127,60960,227,1
73,94,61200,227,0
72,119,61925,1010,4
66,94,61440,227,0
75,94,61440,227,0
50,127,61680,227,2
66,95,61680,227,0
75,95,61680,227,0
56,127,62160,783,3
73,97,62160,227,0
63,97,62400,227,0
66,97,62400,227,0
75,97,62400,227,0
63,98,62252,227,1
66,98,62640,227,0
75,98,62640,227,0
63,99,63120,227,0
75,99,63120,227,0
63,100,63360,455,0
66,100,63360,1145,1
75,100,63360,455,0
65,102,63840,455,0
77,102,63840,455,0
66,103,64320,227,0
78,103,64320,227,0
66,104,64560,227,0
78,104,64560,227,0
66,105,64665,1410,2
64,105,65178,455,2
78,105,64800,455,0
63,105,65280,494,1
61,105,65520,227,0
58,105,65760,227,0
66,105,66227,772,2
65,105,66240,227,0
69,105,66480,553,2
65,117,66720,227,0
83,68,66720,227,2
77,117,66720,227,0
66,84,66960,1306,2
68,75,67128,455,2
85,117,66694,1406,3
68,117,67440,227,0
70,105,67440,227,0
66,127,67831,227,3
71,105,67680,227,0
70,127,68362,227,2
61,115,68400,227,0
73,115,68400,227,0
66,115,68640,227,0
78,115,68640,227,0
71,127,68981,577,4
80,115,68880,227,0
71,115,69120,227,0
83,115,69120,227,0
70,77,69360,227,1
73,115,69360,227,0
82,115,69360,227,0
61,115,69840,227,0
73,115,69840,227,0
71,115,70080,227,0
83,115,70080,227,0
70,115,70320,227,0
73,115,70320,227,0
92,115,70371,227,2
70,115,70800,227,0
82,115,70800,227,0
70,115,71040,683,0
75,115,71040,683,0
82,115,71040,683,0
80,115,71760,113,0
78,115,71880,113,0
68,115,72000,455,0
71,115,72000,455,0
80,115,72000,455,0
61,115,72720,1225,1
73,115,72720,227,0
70,115,72960,227,0
82,115,72960,227,0
68,115,73200,227,0
73,127,73132,227,2
80,115,73200,227,0
47,92,73590,726,4
73,115,73928,809,2
70,115,73920,227,0
82,127,74263,227,2
71,115,74235,403,3
73,115,74160,227,0
76,127,73698,592,4
73,76,74640,128,3
78,127,74873,227,2
65,115,74880,455,0
68,115,74880,455,0
77,115,74880,455,0
63,115,75360,455,0
75,115,75360,455,0
65,115,75840,455,0
68,115,75840,455,0
77,115,75840,455,0
66,115,76320,455,0
78,115,76320,455,0
73,115,76800,683,0
78,115,76800,683,0
85,115,76800,683,0
66,115,77520,227,0
78,115,77520,227,0
66,127,77359,765,3
64,127,77760,455,2
78,115,77760,455,0
66,115,78480,227,0
78,115,78480,227,0
73,115,78720,683,0
77,115,78720,683,0
84,127,78720,1608,3
66,115,79440,227,0
78,115,79440,227,0
66,115,79680,455,0
73,115,79680,455,0
78,115,79680,455,0
66,115,80400,227,0
74,91,80400,870,3
63,115,80640,455,0
66,115,80640,455,0
75,115,80640,455,0
65,115,81120,455,0
77,115,80827,1167,2
66,115,81600,455,0
71,115,81600,455,0
79,75,81600,1390,3
68,115,82080,455,0
94,115,82020,767,3
70,115,82560,683,0
75,115,82560,683,0
83,115,82437,1407,3
77,127,83767,394,4
73,115,83280,455,0
80,115,83280,455,0
61,115,83760,227,0
70,87,84066,462,4
69,80,84488,552,4
78,115,84000,227,0
62,88,84659,988,4
80,115,84240,227,0
71,115,84480,227,0
72,115,84212,227,2
70,115,84720,227,0
73,115,84720,227,0
94,115,84627,227,2
61,127,84898,227,2
73,115,85200,227,0
71,115,85440,726,1
83,115,85440,227,0
70,115,85680,227,0
73,115,85680,227,0
82,115,85680,227,0
70,85,86160,227,1
82,115,86160,227,0
70,115,86400,683,0
75,115,86400,683,0
82,115,86400,683,0
80,115,87120,113,0
78,115,87240,113,0
68,115,87360,455,0
76,115,87260,1387,3
80,115,87360,455,0
61,115,88080,227,0
73,115,88080,227,0
59,115,88522,227,2
82,115,88320,227,0
68,115,88560,227,0
73,115,88560,227,0
80,115,88560,227,0
61,115,89040,227,0
73,115,89040,227,0
67,115,89702,227,2
82,115,88869,227,1
73,115,89520,996,2
73,115,89520,227,0
80,115,89520,227,0
66,115,90000,227,0
78,115,90000,227,0
65,115,90240,455,0
63,127,90564,648,4
77,115,90240,455,0
66,115,90720,455,0
77,127,90260,1065,4
68,115,91200,455,0
70,95,91200,455,2
90,127,91200,891,3
70,115,91680,227,0
82,115,92014,476,2
70,115,91920,1139,0
75,115,91920,1139,0
70,115,91545,1994,3
70,115,93360,227,0
82,115,93360,227,0
73,115,93600,227,0
85,115,93600,227,0
81,115,93840,1317,2
77,115,93840,455,0
80,115,93840,732,2
70,115,94320,227,0
82,115,94320,227,0
79,127,94646,227,3
80,87,94560,814,2
56,127,94305,797,4
73,115,94800,683,0
78,115,94800,683,0
61,115,95760,227,0
73,115,95760,227,0
61,115,96000,455,0
66,115,96000,455,0
73,115,96000,455,0
63,84,96480,1021,2
75,115,96480,622,1
66,115,96960,455,0
70,115,96960,455,0
78,115,96960,455,0
68,115,97440,455,0
80,115,97440,455,0
70,115,97920,227,0
73,115,97920,227,0
82,115,97920,227,0
68,114,98160,227,0
66,114,98160,471,2
80,114,98160,227,0
65,81,98640,477,3
78,112,98640,227,0
70,110,98880,227,0
73,110,98880,227,0
82,110,98880,227,0
68,109,99120,227,0
73,109,99120,227,0
80,72,99120,431,2
66,107,99600,227,0
78,107,99600,227,0
78,105,99840,2120,1
66,105,99840,227,0
70,105,99840,227,0
76,105,99840,227,0
76,53,99651,75,3
64,127,100160,6,3
75,89,100240,874,1
73,89,99870,227,1
71,89,100560,455,0
65,89,101040,679,2
71,89,101280,227,0
73,89,101520,455,0
66,89,102000,227,0
55,64,101844,846,4
64,89,102480,455,0
63,89,102960,227,0
61,124,103200,1067,2
59,89,103440,227,0
68,117,103915,683,2
70,117,103680,683,0
78,117,103680,683,0
65,117,104400,683,1
70,117,104400,683,0
78,117,104400,683,0
66,117,105120,227,0
70,117,105120,227,0
78,117,105120,227,0
66,117,105360,3875,0
70,127,104904,3875,2
73,117,105360,3875,0
78,117,105601,3875,1
54,80,0,1823,0
49,52,0,2254,3
70,80,0,1823,0
53,80,1920,1367,0
53,103,2191,2324,4
65,80,1920,1989,2
53,72,3360,113,0
56,72,3480,113,0
61,72,3600,113,0
63,47,3986,113,2
46,117,3840,455,2
65,80,3840,455,0
58,102,4818,947,3
50,58,4975,531,4
68,80,4560,119,0
62,80,5040,119,0
68,80,5040,119,0
65,45,5776,694,4
67,80,6013,455,2
63,80,5520,455,0
65,80,6000,227,0
66,80,6240,227,0
61,80,6480,455,0
58,80,6960,227,0
70,80,6960,227,0
54,80,7200,455,0
66,80,7200,455,0
57,71,7680,455,1
59,101,7499,677,3
59,71,8160,227,0
66,37,8400,1067,2
71,71,8400,683,0
51,71,9031,227,2
59,71,9360,227,0
46,71,9600,455,0
58,71,9600,455,0
66,71,9273,875,2
73,71,9600,455,0
64,71,10080,227,1
66,71,10320,455,0
70,71,9883,455,1
58,71,10800,227,0
54,71,11040,455,0
52,69,11520,455,0
59,69,11520,455,0
68,42,11602,455,3
52,104,12000,1006,2
59,47,11900,683,2
76,39,12240,1465,3
49,69,13200,455,0
56,69,13200,455,0
63,69,13200,455,0
49,69,13680,227,0
56,69,13920,227,0
