note,velocity,position,duration,anomalies
55,74,1821,1667,4
66,46,1955,1501,2
70,90,1313,1694,3
73,61,2312,808,1
78,36,1882,1532,2
82,75,1922,728,0
84,64,2650,110,1
59,56,2767,1856,2
93,66,2425,1073,2
71,44,3226,1656,3
65,44,2955,1267,2
71,37,2436,1006,4
67,54,3389,492,2
59,81,3591,1505,4
80,98,3842,644,2
65,50,4334,475,0
82,98,4711,923,3
78,64,4394,598,1
61,32,4809,682,2
56,50,5285,853,2
73,43,5454,82,3
71,33,4947,526,3
70,64,5600,686,1
56,49,5762,1918,0
65,69,5474,1121,3
71,64,6015,110,0
78,64,6133,596,0
81,67,6599,1463,3
82,65,7205,475,0
71,61,7902,1301,2
75,61,7633,777,0
78,61,7652,976,1
49,16,7345,1855,3
83,75,7682,728,0
66,74,8410,110,0
78,115,7952,117,2
80,48,8413,703,4
82,49,8527,269,3
38,77,8649,476,0
43,92,8411,558,3
69,77,9056,1019,2
81,65,8885,239,2
71,103,8888,57,2
83,112,9169,1040,3
83,100,9104,227,3
69,88,9005,975,2
40,75,9125,475,0
52,90,8650,692,2
58,74,9246,109,1
73,108,9246,19,3
54,47,9362,926,3
69,88,9470,238,2
42,41,9295,130,2
66,121,9602,912,3
49,73,9739,109,0
73,80,9739,109,0
54,73,9856,109,0
76,80,9661,109,2
49,47,9973,114,1
78,80,10080,468,2
54,74,10094,114,0
73,81,10094,114,0
37,73,10706,108,2
66,120,10703,860,3
40,73,10487,820,3
78,112,9999,795,3
49,73,10447,115,0
60,55,10447,115,2
42,76,10570,570,1
78,60,10570,1040,2
63,73,10530,108,2
73,80,10693,108,0
54,73,10809,109,0
55,80,10371,109,2
49,103,10675,113,2
65,80,11094,646,3
54,74,11046,113,0
73,81,11046,113,0
41,73,11590,290,3
66,80,11166,109,0
54,48,11282,30,2
68,72,10882,223,1
74,86,11282,238,1
41,51,10943,488,4
47,78,11522,130,0
70,54,11635,130,2
82,122,11522,137,1
65,95,11480,206,4
75,80,11659,109,0
69,34,12031,1053,4
70,80,12191,109,1
43,98,11744,114,3
94,110,12390,671,4
67,44,12014,114,2
78,81,12246,114,2
54,73,12135,108,0
61,105,12135,519,3
59,40,12145,337,3
82,80,11950,655,2
44,100,12025,746,4
65,103,12530,769,4
47,108,12490,116,1
82,83,12490,116,0
68,49,12768,108,3
78,110,12613,108,2
59,42,12729,109,1
70,80,12729,109,0
48,73,13006,113,2
82,80,12845,1096,1
59,41,12966,113,1
75,81,12966,113,0
60,73,13086,109,1
84,80,12912,342,3
59,73,13630,939,2
70,72,13527,298,2
80,86,13202,238,1
40,73,13319,297,2
47,78,13442,902,2
75,41,13442,130,2
84,127,12957,499,4
56,73,13579,109,0
70,54,13579,109,2
61,38,13510,109,2
68,80,13696,109,0
56,94,13813,114,1
80,80,13813,114,0
61,74,13934,114,0
84,101,13739,1106,4
70,46,13813,747,4
65,44,14125,108,3
48,73,14171,184,2
80,80,14561,109,1
57,73,14287,612,2
59,80,14459,115,2
49,109,14231,116,2
80,83,14410,116,0
56,105,14267,359,3
63,80,14262,108,2
47,97,15067,901,4
66,108,14649,109,2
56,112,14527,694,3
70,110,14765,523,3
61,74,14886,575,1
73,81,14886,113,0
52,93,15127,1083,4
68,80,15154,116,1
61,98,15122,109,1
70,52,15359,804,4
71,110,15237,374,4
56,73,15239,114,0
53,78,14935,130,2
68,39,15656,253,2
86,87,15362,253,1
60,41,15499,109,2
63,73,15615,110,0
68,72,15820,239,1
80,82,15615,869,1
46,73,15285,114,2
63,74,15854,114,0
68,73,15854,114,0
70,49,15854,958,3
58,73,15975,1000,1
70,35,15975,732,2
93,126,15975,115,2
64,103,16090,110,2
80,72,15899,225,2
80,86,15809,643,2
58,73,16383,115,1
63,47,16543,476,2
87,83,16329,784,1
85,80,16414,73,0
84,80,16275,308,2
68,80,16569,72,1
80,80,17006,465,2
79,53,16724,76,1
51,81,17051,1250,2
77,81,16392,77,1
63,55,17025,73,3
76,40,17173,504,4
72,109,17042,73,1
70,80,17120,72,0
68,80,17198,77,0
32,44,17282,370,1
51,107,17560,738,3
55,74,17282,239,0
60,94,17282,253,1
58,118,17535,732,2
52,35,18030,1133,4
58,88,17774,236,0
51,67,17650,232,2
59,121,18010,463,3
41,102,17760,675,4
34,89,18249,356,0
46,97,18333,297,3
58,60,18488,237,1
46,67,18605,241,0
61,88,19013,237,2
46,39,18846,232,1
58,87,18962,223,0
45,88,19078,115,2
49,109,19202,130,2
63,92,18790,759,2
30,44,19487,109,3
46,38,19456,486,3
59,67,19572,454,2
63,64,19572,115,1
55,36,19694,114,1
45,60,19747,353,3
51,89,19815,108,1
41,67,19535,1184,3
60,126,19666,659,4
33,120,20170,413,3
56,115,20170,973,2
41,67,20293,108,0
46,100,20409,109,1
36,79,20525,357,0
55,86,20525,120,0
55,110,20645,475,1
42,51,21049,749,4
35,79,20999,114,1
32,83,20692,642,2
51,122,21383,239,2
65,123,21122,253,2
65,53,21375,838,3
44,64,21281,243,1
58,88,21614,236,0
47,64,21802,1146,3
55,87,22299,239,2
34,64,22040,652,3
41,82,22089,356,1
59,70,22089,239,2
46,55,22328,981,3
46,88,22445,533,2
68,108,22419,358,4
46,64,22686,232,0
53,66,22658,1215,4
46,64,22918,115,0
30,84,23446,130,2
66,52,23042,370,2
43,64,23368,109,1
48,64,23140,674,2
51,64,23089,1114,2
63,47,23412,115,1
55,106,23449,114,2
58,88,23534,353,0
51,38,23655,108,1
51,42,23771,832,3
53,111,24137,115,3
36,82,24457,555,3
61,110,24250,355,3
41,67,24133,442,1
46,67,24249,905,1
36,92,24365,357,1
56,81,24365,113,0
58,127,24127,1047,3
46,67,24942,929,2
34,79,24736,432,2
32,91,24962,370,0
65,86,24962,409,2
62,72,24841,497,4
63,87,25215,117,0
44,68,25332,243,0
69,87,25332,122,1
64,120,25588,1009,4
45,41,25352,232,3
63,87,25690,239,0
44,68,25807,115,0
37,82,25929,356,1
67,90,25929,679,2
75,87,26607,1138,3
46,68,26516,540,2
44,64,26340,319,4
46,98,26944,232,2
58,87,26268,1088,2
53,100,26758,454,3
36,84,26882,1069,1
58,78,26882,783,1
61,113,26882,824,3
