note,velocity,position,duration,anomalies
80,67,10,271,0
30,50,10,4085,0
42,68,10,4085,0
78,62,297,233,0
86,62,282,233,2
83,100,631,243,3
77,93,1054,242,1
78,62,1706,231,1
85,62,1559,232,0
78,62,1807,246,0
80,65,2069,247,0
78,62,2332,231,0
73,94,2579,232,2
72,89,2827,937,3
66,30,3084,241,2
78,62,3341,232,0
77,96,3589,232,2
82,62,3837,1073,2
78,67,3833,277,1
46,67,3996,729,2
77,62,4393,233,0
66,83,5000,233,3
54,62,4642,477,0
77,62,4891,243,0
79,63,5150,985,2
61,63,5584,936,2
77,62,5655,232,0
78,62,5903,771,0
47,65,6165,479,0
80,62,6675,247,0
69,35,6675,933,3
80,62,6923,761,0
74,42,7180,1892,3
78,62,7685,232,0
80,62,7933,243,0
82,67,8196,511,0
49,67,8196,277,0
50,62,8489,756,1
69,98,8738,233,2
78,62,8987,763,0
61,23,9246,1014,1
77,62,9751,232,0
78,62,9999,2029,0
42,65,10261,479,0
54,62,10771,474,0
41,88,11657,474,2
53,62,11781,476,0
78,67,12292,277,0
51,66,11895,602,3
77,62,12585,233,0
78,62,12834,233,0
46,62,13084,477,1
77,62,13083,243,0
78,63,13342,474,0
51,25,13342,1014,1
81,62,13720,232,2
78,62,14095,771,0
35,63,14357,1014,0
80,62,14867,750,1
80,62,15115,761,0
73,85,15099,1460,4
68,28,15511,1033,4
80,62,16567,243,1
49,54,16218,3249,0
57,16,16114,3164,3
84,106,16388,1049,2
61,68,16388,3079,0
75,83,17438,752,2
65,65,18573,246,2
70,80,18908,1124,3
82,72,18453,509,0
71,60,18963,232,0
83,74,18963,247,0
70,29,19211,1297,2
84,53,18815,911,4
61,46,19468,1076,2
63,85,19725,465,2
80,77,19500,1228,2
66,65,20221,258,0
78,79,20221,258,0
66,72,20371,511,1
78,82,20484,541,0
34,70,20484,511,0
46,86,20484,541,0
80,75,21026,233,0
58,75,21026,477,0
68,114,21275,243,2
78,76,21534,242,0
54,76,21534,1014,0
73,75,21792,231,0
85,75,22039,232,0
78,100,22079,1730,3
35,76,22549,757,0
68,105,23059,1320,2
58,75,23307,241,0
66,76,23564,474,0
55,76,23311,802,3
68,109,23808,917,3
44,75,24456,476,2
78,53,24859,511,2
37,34,24580,511,1
49,86,24580,541,0
80,75,25122,233,0
56,75,25122,477,0
73,75,25371,243,0
78,76,25630,242,0
61,76,25630,1014,0
86,104,26156,231,3
86,75,26082,652,3
78,75,26383,771,0
42,70,26645,757,0
54,84,26645,757,0
67,98,27097,965,4
54,75,27403,241,0
65,76,27660,474,0
48,95,27660,1265,3
53,82,27660,674,1
61,75,28165,476,0
51,96,28413,542,2
78,80,28676,511,0
39,71,28676,1049,0
51,86,28676,1049,0
80,75,29465,233,1
73,75,29467,243,0
78,76,29726,242,0
58,68,29726,1014,0
63,82,29663,914,2
73,75,29984,231,0
85,75,30231,232,0
78,75,30479,771,0
43,99,30349,757,3
49,84,30741,757,0
68,75,31251,907,1
61,75,31499,241,0
66,76,31756,474,0
56,110,31834,1011,2
72,104,32661,506,3
68,72,32772,2064,0
80,86,32772,2064,0
45,110,32772,1196,3
42,75,33065,233,0
47,74,33314,233,0
51,74,33563,243,0
54,73,33822,242,0
59,72,34080,231,0
61,71,34327,232,0
59,70,34575,246,0
66,62,34379,2831,2
78,76,34837,2026,0
47,70,34837,247,0
51,69,35100,1135,1
68,68,35479,232,2
59,67,35595,241,0
61,66,35690,241,1
59,66,36109,680,1
59,65,36206,232,2
51,87,36605,243,1
78,63,36868,277,0
60,63,36868,511,1
77,62,37161,233,0
78,62,37410,233,0
54,62,37410,477,0
77,62,37659,243,0
87,92,37418,1134,4
61,63,37993,1545,2
77,62,38423,232,0
78,62,38671,771,0
47,65,38933,479,0
89,62,39443,703,2
66,86,39443,474,2
80,62,39691,761,0
63,42,39948,1011,1
78,62,40453,232,0
80,41,40848,535,3
82,33,40964,1263,2
49,33,41122,277,2
56,62,41257,756,0
89,38,41506,233,2
87,62,41755,1445,2
61,63,42014,1014,0
72,62,42519,1001,2
92,62,42574,2029,2
42,65,43029,479,0
52,62,43539,474,1
40,63,44044,474,1
53,62,44549,476,0
78,67,45060,277,0
39,66,45060,511,0
88,82,45353,233,2
68,62,45869,776,3
46,62,46071,1089,2
77,62,45851,243,0
78,63,46110,474,0
59,98,46110,1014,2
77,62,46615,232,0
78,62,46863,771,0
35,32,47125,1014,1
73,62,47635,247,0
73,27,48254,1267,3
59,63,48140,1011,0
78,62,48645,232,0
94,99,48893,1222,3
73,59,49156,1049,0
78,73,49156,1049,0
49,67,49597,511,1
56,62,49698,477,0
77,63,50206,752,0
61,63,50206,1014,0
81,99,50491,1144,4
81,65,50973,757,2
61,102,51484,463,2
56,62,51731,1009,0
77,62,51979,256,0
77,63,52236,752,0
49,62,52741,476,0
52,72,53252,277,1
70,51,53702,641,4
23,105,52806,1049,3
39,111,53521,1049,2
65,67,53545,233,0
77,81,53545,248,0
66,67,53794,233,0
78,81,53794,248,0
65,67,54043,243,0
77,81,54043,258,0
66,68,54302,1019,1
78,82,54302,504,0
51,76,54302,1014,0
65,67,54807,232,0
77,44,54616,247,2
66,67,55055,771,0
78,81,55055,771,0
29,66,55317,1014,0
41,84,55317,1014,0
61,67,55753,247,2
80,81,55827,247,0
68,67,56075,761,0
80,81,56075,761,0
53,76,56332,1011,0
66,67,56837,232,0
78,81,56837,247,0
68,67,57085,243,0
94,120,57085,1052,3
61,92,57784,459,4
82,86,57348,541,0
36,102,57033,1871,4
45,86,57664,1609,3
68,67,57890,233,0
80,81,57890,248,0
55,67,58470,950,3
87,120,58139,1220,3
54,76,58398,242,0
48,95,58818,756,3
65,67,58903,232,0
77,81,58903,247,0
66,67,59151,1019,0
78,81,59414,1128,2
42,78,59413,247,0
49,75,59676,231,0
55,75,59866,232,2
50,46,60171,241,2
63,68,60428,1011,0
68,82,60428,1011,0
49,105,60060,1043,4
49,75,60685,232,0
53,75,60933,232,0
41,75,61181,243,0
66,48,61444,277,1
78,86,61591,292,1
27,67,61444,1049,0
39,85,61444,1049,0
65,104,61946,1142,3
77,81,61737,248,0
66,67,61986,233,0
78,112,61986,1215,2
65,67,62235,243,0
77,113,61772,643,3
66,104,62715,474,2
78,82,62977,1345,2
51,76,62494,1014,0
65,67,62999,232,0
72,109,62770,1157,4
66,67,63247,771,0
78,81,63247,771,0
35,76,63509,1014,0
61,67,64106,247,1
86,81,64019,247,1
61,67,64267,761,0
73,81,64267,761,0
59,38,64524,1011,1
66,67,65029,232,0
78,81,65029,247,0
68,67,65277,243,0
94,42,65277,258,2
70,72,65540,511,0
82,86,65540,541,0
37,71,65540,1049,0
40,112,65540,1049,2
68,67,66082,233,0
80,81,66082,248,0
66,67,66331,763,0
88,81,66331,825,2
61,76,66590,242,0
56,75,66848,756,0
65,89,67095,397,2
77,41,67555,247,2
66,67,67343,494,0
78,81,67343,524,0
42,78,67605,479,0
78,67,68115,474,0
90,81,68115,504,0
49,75,68115,474,0
89,68,68134,474,2
102,104,68380,1461,4
67,76,68620,1910,2
85,67,69021,2373,2
97,81,69125,2065,0
45,42,69215,1432,4
54,59,70686,1014,0
73,49,71191,479,0
78,52,71701,479,0
51,52,71701,247,0
58,49,71964,231,0
77,49,72211,474,0
63,49,72211,1516,0
78,50,72716,504,0
78,49,73221,1052,0
49,54,73732,277,0
56,49,74025,233,0
78,81,74274,477,1
65,19,74025,1522,3
71,50,74586,474,2
73,86,75287,1512,2
47,52,75797,247,0
54,49,75563,1127,2
71,49,76307,474,0
61,49,76307,1516,0
70,50,76812,241,0
71,49,77517,499,2
73,49,77317,2065,0
42,54,77828,511,0
