note,velocity,position,duration,anomalies
73,98,503,505,2
26,49,10,4251,1
38,67,10,4085,0
69,62,546,477,0
78,39,795,474,2
78,62,1801,479,2
73,65,2069,479,0
69,62,2579,474,0
78,63,3084,474,0
69,62,3589,476,0
73,67,4100,511,0
50,67,4100,2064,0
59,62,4642,477,1
72,63,4666,552,3
61,99,5655,479,2
66,29,6026,1683,3
45,65,6165,2026,0
68,63,7180,1011,0
66,67,8192,187,0
38,66,8196,511,0
69,57,8359,345,0
72,62,8932,477,2
45,62,8738,477,0
69,63,9246,474,0
50,63,9246,474,0
66,100,10165,479,2
54,62,9751,479,0
75,65,10261,479,1
57,65,10261,479,0
71,62,10771,979,0
63,62,10771,1516,1
66,62,11781,476,0
69,96,12292,588,2
27,38,11931,511,3
66,40,12834,477,1
45,100,12834,702,2
69,63,13342,474,0
50,63,13342,474,0
66,62,13847,479,0
63,98,13847,386,3
69,65,14357,479,0
57,65,14357,479,0
71,62,14867,474,0
62,62,14867,1516,0
64,63,15372,504,0
64,62,15877,506,0
64,67,15893,189,1
45,67,16388,511,0
66,57,16553,1367,0
49,62,16930,477,0
52,63,17438,474,0
64,62,17943,2029,0
57,62,17943,989,0
52,62,18963,474,0
57,101,19468,474,1
52,62,19973,476,0
78,67,20480,187,0
45,67,20484,511,0
80,57,20785,345,1
76,62,21026,477,1
49,62,21026,477,0
94,63,21192,757,3
66,92,21180,474,3
76,62,22039,479,0
57,62,22039,479,0
66,30,22081,1014,2
61,65,22549,1014,0
68,63,23564,1011,0
63,63,23564,1991,2
66,67,24576,181,0
52,44,24996,636,4
69,57,24738,350,0
66,62,25122,477,0
45,62,25122,477,0
69,63,25988,743,2
50,63,25630,474,0
66,62,26135,479,0
40,62,26135,1166,2
69,65,26645,479,0
57,65,26542,479,1
71,62,27338,1874,2
62,62,27155,1516,0
66,62,28165,476,0
69,29,28561,840,3
38,66,28676,511,0
66,62,29218,477,0
37,25,29218,477,2
69,87,29726,474,1
50,63,29726,474,0
66,62,30231,479,0
