note,velocity,position,duration,anomalies
59,49,436,227,1
59,49,480,227,0
61,49,480,227,0
66,49,480,227,0
54,76,720,903,3
54,49,1200,480,0
58,49,1440,227,0
60,84,1228,227,3
66,49,1440,227,0
54,70,1680,556,2
60,22,1920,434,3
63,49,2160,227,0
65,49,2400,227,0
66,49,2640,455,0
58,49,3120,659,0
65,49,3360,75,0
66,49,3440,75,0
60,86,3781,928,4
61,49,3600,227,0
59,49,4080,227,0
63,79,4059,227,2
59,49,4560,455,0
63,74,4560,1021,2
71,49,4560,455,0
57,49,5040,227,1
63,49,5280,227,0
68,23,5520,227,2
59,76,5760,1955,3
68,79,5760,1367,1
73,49,5760,1367,0
69,64,7200,750,2
73,64,7320,113,0
83,44,7440,113,2
78,64,7560,341,0
73,64,7920,113,0
78,92,8040,341,1
73,37,8400,113,1
78,64,8520,341,0
73,64,8880,113,0
78,64,8666,227,1
78,28,9360,550,2
78,92,9678,277,3
77,86,9600,901,2
61,64,10264,113,2
74,26,10436,436,4
73,64,10200,113,0
73,27,10732,158,3
61,64,10749,113,2
78,64,10763,113,1
66,64,11160,113,0
78,64,11160,113,0
80,28,11434,113,3
76,88,11280,209,3
68,64,11400,113,0
80,64,11400,113,0
70,64,11520,227,0
82,64,11520,227,0
71,104,11760,737,2
83,64,12220,63,2
70,64,12104,1093,2
82,64,11880,341,0
71,64,12240,113,0
83,64,12240,113,0
63,93,12451,487,4
85,64,12360,341,0
66,64,12720,227,0
92,64,12965,390,3
77,89,13607,113,3
56,64,13320,236,2
76,64,13057,227,2
66,64,13259,698,2
57,64,13874,461,3
66,64,14160,916,1
72,64,14880,227,1
71,27,15618,887,4
64,64,15025,882,3
73,64,15600,113,0
78,92,16066,882,3
73,64,16080,335,1
78,96,15882,341,2
82,64,16560,113,1
82,64,16680,227,0
83,64,17040,371,1
82,64,17160,341,0
78,26,17520,113,2
78,64,17640,227,0
77,64,17880,113,0
78,64,18000,451,1
74,85,18720,227,2
78,64,18960,227,0
70,64,19209,403,3
78,64,19920,227,0
73,64,21339,227,1
73,64,21120,227,0
78,64,21360,227,0
80,64,21600,227,0
78,64,21840,227,0
57,80,22560,1024,2
73,55,22800,2051,0
68,55,22800,836,2
77,33,22526,2112,4
78,113,22920,113,2
71,28,22951,2352,4
70,80,23040,683,0
66,80,23760,113,0
66,80,23880,683,0
57,54,24701,749,4
68,80,24720,113,0
66,105,24429,113,2
66,55,24960,683,0
70,55,24960,683,0
78,55,24960,683,0
78,55,25680,683,0
85,55,25680,683,0
73,55,26400,455,0
66,80,26400,455,0
63,55,26470,840,2
71,55,26880,911,1
77,55,26880,911,0
65,117,26734,480,2
74,80,27876,113,2
68,105,28110,683,2
70,55,27840,911,0
74,34,27840,1584,2
75,41,28440,572,3
65,80,28560,224,1
66,80,28680,341,0
75,55,28800,455,0
78,55,28717,455,1
85,55,29280,227,0
78,55,29520,1139,0
73,53,30240,170,2
61,80,30420,170,0
61,120,31067,385,3
68,80,30868,700,3
75,55,30960,227,1
57,104,30960,113,2
58,80,31080,227,0
73,55,31200,227,0
59,80,31320,113,0
78,55,31440,1139,0
66,80,31440,683,0
64,80,32160,979,2
61,80,32340,170,0
61,40,32800,743,3
61,80,32640,227,0
70,55,33288,227,1
68,80,32880,486,2
68,80,33000,227,0
73,55,33120,227,0
66,80,33240,113,0
78,55,33360,1139,0
66,80,33360,227,0
66,113,34057,286,3
68,80,34363,227,1
70,80,34320,911,0
57,55,34398,885,3
61,55,34560,227,0
66,55,34560,227,0
68,55,35181,494,3
63,28,35464,227,3
78,55,35280,1139,0
66,80,35280,113,0
66,80,35400,1025,0
81,80,36652,226,3
76,55,36510,514,2
80,88,36126,170,2
73,127,36596,906,3
70,96,36960,227,0
73,96,37440,227,0
82,96,37440,227,0
89,96,37440,227,1
70,96,37680,227,0
78,96,37680,227,0
82,67,37355,227,2
68,96,37920,227,0
77,118,37475,297,3
80,96,37920,227,0
66,96,38617,227,1
75,96,38160,1140,1
87,120,38160,282,3
60,96,38835,227,2
80,96,38305,227,2
89,76,38400,227,2
69,96,38532,1166,3
78,127,38640,227,1
82,96,38640,227,0
66,96,39120,227,0
82,96,39207,227,2
78,96,39120,227,0
73,96,39196,227,1
82,96,39360,227,0
85,96,39066,1190,2
70,96,39600,499,1
70,96,39600,227,1
82,96,39600,227,0
68,96,39840,227,0
77,96,39840,227,0
80,96,39351,227,1
63,65,40080,227,2
82,127,39715,227,3
91,96,40080,227,1
68,127,39881,227,2
84,96,40320,309,2
80,96,40117,833,2
81,67,40560,288,3
77,96,40560,227,0
82,96,40560,227,0
56,96,41040,227,1
75,96,41040,227,0
76,125,40836,289,4
73,96,41280,455,0
82,96,41280,455,0
85,96,41280,455,0
65,96,41760,455,0
73,127,41760,1398,2
77,96,41760,455,0
66,96,42454,720,1
75,96,42108,1711,2
78,96,42240,480,0
78,60,42720,887,1
90,81,42775,1386,2
77,107,43440,227,1
89,81,43440,227,0
73,81,43680,227,0
85,101,43352,227,2
72,96,43920,227,1
66,96,43920,227,0
61,96,44160,227,0
68,96,44160,227,0
78,125,44277,867,4
61,96,44520,227,0
58,96,44941,227,2
85,96,45112,281,3
69,72,44880,227,2
66,96,44880,227,1
66,67,45262,113,2
62,96,45807,113,2
70,96,45720,113,0
71,65,45840,227,1
56,127,46080,227,2
66,96,46080,227,0
73,68,45947,307,3
66,96,46320,113,0
63,96,46440,227,0
68,96,46440,227,1
66,96,46680,113,0
66,127,46800,463,2
63,96,46920,341,0
66,96,46920,341,0
61,96,47640,113,0
66,96,47760,227,0
58,73,47632,281,4
61,96,48000,455,0
71,96,47638,455,2
69,96,48077,455,2
66,96,48720,227,0
78,96,48720,227,0
73,96,48960,227,0
85,96,48960,227,0
70,96,49200,227,0
81,96,49438,227,2
68,96,49440,227,0
80,96,49440,227,0
77,65,49680,227,2
78,65,49527,689,3
67,96,49920,127,2
88,96,49920,755,2
80,96,49920,799,1
70,96,50160,227,0
78,64,50629,227,2
82,127,50160,407,2
66,119,50813,227,2
73,96,50640,227,0
78,96,50640,227,0
84,96,50880,227,1
82,96,50880,227,0
98,96,51240,227,2
60,96,50956,618,3
73,127,51120,227,2
82,72,51120,559,2
55,96,51360,976,2
77,96,51360,227,0
80,96,51360,227,0
56,96,51908,227,2
