note,velocity,position,duration,anomalies
73,106,451,710,3
65,80,0,239,1
85,103,154,239,2
61,112,480,455,1
68,80,537,1080,2
73,80,960,455,0
61,80,1440,455,0
67,127,2403,568,4
72,96,1920,239,0
80,96,1809,139,2
77,123,2400,455,2
80,127,2400,1258,2
88,71,2747,530,4
88,121,2880,455,1
70,96,3360,227,1
85,96,3360,227,0
73,96,3600,227,1
83,96,3600,227,0
73,127,3840,227,1
76,96,3840,227,0
71,96,3605,227,2
71,127,4080,842,2
83,75,4080,1108,2
73,60,4709,838,3
76,96,4320,455,0
85,96,4320,455,0
66,122,5040,386,3
80,75,4610,227,3
76,96,5280,119,1
80,96,5280,119,0
73,96,5326,1120,2
76,74,5520,907,2
85,96,5520,455,0
64,96,6000,119,1
86,96,6000,379,2
84,67,6240,455,2
76,59,6337,455,2
78,70,5981,1096,4
73,96,6960,227,0
74,96,6869,1090,3
73,127,7026,119,3
91,96,7394,119,2
76,96,7440,455,0
93,96,7024,1246,3
75,96,7892,455,2
75,96,7920,227,0
87,96,7521,227,1
73,96,8160,119,0
85,61,8029,119,2
86,96,8400,455,1
81,96,8400,455,0
101,61,8716,1198,4
81,73,8682,227,3
87,127,8880,227,1
80,65,8958,659,4
85,96,9120,119,0
78,73,9360,1397,2
74,96,8913,1222,3
88,96,9360,586,2
76,96,9840,227,0
88,96,9840,227,0
70,127,10320,227,2
78,124,10143,736,3
87,96,10320,227,0
73,96,11002,227,1
85,96,10800,227,0
75,96,11040,227,0
75,96,10822,227,2
75,96,11543,762,2
87,96,11280,227,0
76,96,11520,227,0
81,56,11520,227,1
88,122,11850,227,2
73,96,11760,119,1
77,96,11760,546,2
64,127,12000,119,2
85,96,12000,119,0
73,96,12240,718,2
75,96,12240,227,0
83,96,12240,227,0
71,96,12720,227,0
83,96,12720,227,0
68,96,12960,119,0
80,96,12960,119,0
71,127,13200,1011,2
75,96,13200,227,0
85,125,13200,812,3
73,96,13680,227,0
85,96,13680,291,1
75,96,13920,113,0
95,127,14301,113,3
82,69,13743,800,4
85,96,14040,113,0
73,96,14160,227,0
76,127,14421,1082,3
85,96,14160,227,0
73,96,14640,227,0
85,127,14498,1218,3
71,67,14880,227,1
83,96,14565,227,1
73,96,15120,455,0
78,127,15120,455,1
92,96,15120,1034,2
72,62,15304,967,4
96,96,15492,227,2
67,96,15562,1179,3
75,96,15840,227,1
71,64,16080,455,2
77,61,16080,455,2
90,65,16080,455,2
73,96,16288,227,1
85,61,16929,227,2
71,66,16800,1186,2
89,96,16595,377,3
73,68,17225,1985,3
91,127,17040,1139,2
85,67,17257,1247,3
77,40,18500,627,4
64,114,18389,892,4
73,80,18240,119,0
65,80,19218,757,2
68,80,18720,119,0
73,80,18720,119,0
66,64,20160,227,0
69,101,20466,460,3
74,64,20160,227,0
67,64,20400,119,0
71,36,20400,119,2
64,99,20632,119,3
68,64,20880,119,0
71,64,20880,119,0
89,64,20880,119,1
69,80,21600,1067,2
73,80,21600,455,0
70,49,22080,657,3
