note,velocity,position,duration,anomalies
78,90,1920,205,2
71,120,1925,205,0
74,118,1925,240,0
38,113,1930,205,0
45,115,1930,195,0
50,101,2150,150,0
54,95,1938,210,2
71,92,2571,115,3
64,102,2395,55,0
57,67,2543,160,2
80,114,2615,125,0
68,106,2620,115,0
69,95,3284,185,2
83,113,3045,110,1
93,83,3395,100,3
73,115,3050,110,0
57,102,3055,275,0
54,110,3275,65,0
80,90,3665,470,3
68,106,3225,1098,3
76,118,3490,530,0
37,120,3720,230,0
36,127,4005,889,4
56,98,4170,305,0
61,97,4385,125,0
56,116,4600,990,2
69,127,4695,180,3
66,110,4973,436,3
64,101,5101,999,2
61,96,4835,150,0
80,127,5045,92,3
78,115,5470,38,3
95,111,4684,829,3
69,99,5055,265,1
49,64,5270,65,1
88,114,5877,981,2
47,113,5623,215,1
65,118,5234,714,3
80,97,5495,411,2
61,99,5408,586,3
81,113,5940,120,0
48,94,6214,185,2
69,108,5723,45,1
86,127,6165,730,2
74,111,6170,80,0
62,127,6089,190,3
62,127,6390,408,2
54,104,6600,215,0
94,114,6600,105,1
71,74,6687,100,2
70,104,6835,473,2
73,119,7045,270,0
80,116,7045,315,0
71,109,7431,1187,3
85,113,7050,210,0
45,117,7265,340,0
64,127,7945,416,4
52,127,7764,195,2
57,98,7705,175,0
83,89,7940,230,3
83,110,7715,325,0
52,96,7915,380,0
71,106,7930,160,0
87,127,8155,230,2
88,127,8275,230,3
61,106,8588,125,1
57,102,8380,811,1
71,105,8380,100,0
52,108,8595,105,0
73,127,8701,998,3
99,86,8600,888,3
69,118,8825,645,0
73,118,8825,1468,1
81,117,8825,1011,1
38,127,9264,1399,3
42,98,9721,532,3
50,127,9480,185,1
45,96,9700,195,0
54,127,9915,120,1
53,101,9718,195,2
50,110,10077,125,1
62,111,10355,90,0
80,94,10841,85,3
73,122,10580,805,0
48,120,10708,1120,3
37,119,10795,780,0
39,124,11030,230,2
58,107,11361,240,2
39,125,11470,1094,3
52,110,11685,140,0
44,98,11900,210,0
49,110,12269,660,2
62,108,12125,90,0
74,118,12125,115,0
63,127,12345,1315,3
68,123,12345,802,1
76,120,12345,435,0
51,115,12560,1099,2
64,106,12532,180,1
44,127,12448,195,3
71,91,12995,335,2
57,103,13005,195,1
68,113,13005,1005,1
65,114,12886,510,3
51,79,12955,350,3
64,127,13220,180,1
56,111,13430,150,0
71,114,13430,335,0
90,79,13430,340,2
68,110,13435,405,1
52,108,13299,175,1
60,125,13660,801,3
40,101,13870,305,0
76,75,13870,581,2
68,89,13521,427,3
50,127,13885,906,3
68,127,14090,1045,2
64,105,14095,748,1
76,127,14095,310,1
54,110,14416,150,2
40,80,14446,110,2
81,113,14325,886,3
82,113,14515,229,2
51,75,14447,120,3
57,103,14520,105,1
52,109,14525,75,0
40,101,14735,110,0
56,69,15027,115,3
64,104,14735,110,0
68,71,14735,65,1
88,111,14967,90,2
40,103,14955,95,0
58,127,14955,100,2
58,72,14955,738,3
82,111,14872,895,3
68,89,15412,40,2
40,105,15175,105,0
61,117,15377,95,2
