note,velocity,position,duration,anomalies
69,80,1800,569,0
70,80,1920,455,0
69,102,2041,384,3
65,80,2880,455,0
60,80,3360,911,0
58,80,4320,1319,0
60,80,4800,227,0
65,80,5040,227,0
60,80,5280,455,0
62,80,5760,683,0
62,80,6480,113,0
60,80,6600,113,0
58,80,6720,455,0
57,80,7200,911,0
58,58,7938,455,2
65,80,8640,455,0
53,80,9120,359,0
69,80,9480,569,0
70,59,9600,455,1
69,80,10080,455,0
65,40,10646,1379,3
65,80,11040,911,0
72,80,11040,911,0
70,53,12000,341,1
65,80,12360,569,0
77,80,12480,455,0
75,80,12960,455,0
65,80,13440,455,0
74,80,13440,455,0
75,80,13920,227,0
77,80,14160,455,0
74,80,14640,227,0
65,113,14880,683,1
69,80,14880,683,0
72,80,14880,683,0
70,46,15219,227,2
69,80,15840,890,1
65,80,16080,227,0
53,80,16320,227,0
60,41,16320,227,1
58,80,16560,227,0
57,80,16800,455,0
52,80,17280,455,1
70,80,17280,455,0
74,80,17280,455,0
60,94,17802,1097,3
69,64,18000,227,0
65,80,18720,227,0
70,80,18720,227,0
70,80,19436,1173,2
60,64,19440,455,0
70,80,20640,227,0
69,80,20880,227,0
62,80,21120,455,0
70,80,21120,455,0
72,80,21600,227,0
74,80,21840,455,0
75,80,22320,377,1
74,80,22800,683,0
72,80,23520,455,0
70,80,24000,455,0
72,80,24480,455,0
65,80,24960,455,0
70,80,25290,682,2
74,80,24960,455,0
60,64,25680,227,0
69,64,25680,227,0
65,80,26400,739,1
70,80,26400,227,0
73,118,26336,814,4
75,64,27120,227,0
74,64,27360,227,0
70,29,27600,227,1
65,91,27401,744,3
65,80,28080,227,0
63,64,28080,227,0
65,80,28320,227,0
67,64,28705,1222,3
65,80,28560,227,0
60,64,28560,227,0
65,80,28800,455,0
70,80,28800,455,0
72,80,28800,455,0
77,80,28800,455,0
75,80,29280,227,0
65,80,29520,455,0
74,80,29520,455,0
75,80,30000,227,0
58,64,30240,227,0
60,64,30240,227,0
65,64,30240,227,0
65,80,30480,455,0
74,80,30480,704,1
58,102,30650,1165,3
60,64,30960,227,0
65,64,30960,227,0
72,80,31200,455,0
65,80,31680,455,0
69,80,31680,455,0
75,80,31680,455,0
65,80,32160,113,0
69,80,32160,113,0
79,80,32160,113,1
60,64,32280,113,0
58,99,32798,595,3
57,64,32520,569,0
58,64,32640,455,0
62,64,32640,455,0
65,64,32640,455,0
70,80,33120,227,0
65,80,33360,227,0
69,80,33360,227,0
69,80,33360,141,2
70,80,33600,227,0
65,80,33840,227,0
71,110,33840,227,2
43,64,33739,227,2
60,64,34080,227,0
67,80,34320,455,0
83,119,33848,455,3
58,64,34800,227,0
63,64,34800,1178,1
60,64,34800,227,1
63,80,34782,538,3
72,80,35040,227,0
70,64,35280,227,0
69,80,35520,227,0
74,80,35520,227,0
65,64,35760,227,0
60,64,36000,227,0
72,102,36081,227,3
58,48,36480,455,1
62,29,36480,797,2
65,64,36480,1435,1
70,80,36960,227,0
58,80,37200,227,0
62,80,37200,1209,1
65,80,37200,227,0
70,80,37200,227,0
70,80,37440,227,0
72,80,37680,227,0
60,64,37920,227,0
65,64,37920,227,0
69,64,37920,227,0
74,80,38160,455,0
60,64,38640,227,0
65,64,38640,227,0
86,57,38880,1109,3
75,80,38880,227,0
58,64,39325,900,3
63,80,39360,227,0
69,80,39360,227,0
74,80,39360,227,0
63,64,39600,227,0
62,80,39840,227,0
70,80,39840,227,0
60,64,40080,227,0
62,80,40320,1161,1
67,80,40320,911,0
70,80,40320,911,0
74,80,40320,911,0
62,80,41760,227,0
63,80,41760,227,0
67,80,41760,227,0
70,80,41760,227,0
62,80,42000,455,0
63,80,42000,455,0
67,58,42122,455,2
70,80,42000,455,0
67,71,42480,227,0
70,71,42480,227,0
71,71,42480,513,2
79,71,42338,227,1
64,99,42720,1046,3
72,71,42720,227,0
81,71,42720,227,0
74,71,42960,455,0
79,71,42960,455,0
94,44,42960,705,3
65,80,43440,227,0
60,104,43680,682,3
65,80,43920,227,0
65,80,44160,455,0
69,80,44160,455,0
72,80,44160,455,0
77,80,44160,455,0
68,48,44401,227,3
65,83,44880,455,0
74,83,44880,455,0
75,123,45033,1211,3
58,75,45600,227,0
60,75,45600,227,0
65,75,45666,227,1
74,87,45840,455,0
58,78,46320,227,0
60,78,46320,227,0
65,78,46320,227,0
72,90,46560,455,0
65,92,47040,455,0
70,92,47040,455,0
65,125,47746,455,2
69,94,47520,455,0
48,96,48000,1823,0
53,96,48000,1823,0
58,80,49920,113,0
58,40,49920,1063,3
58,80,50040,113,0
62,80,50040,113,0
58,108,50280,403,2
51,48,49853,313,4
58,80,50400,113,0
62,80,50400,113,0
58,119,50166,664,3
62,80,50520,113,0
48,80,51120,113,0
53,80,51120,113,0
50,80,51240,113,0
55,80,51240,113,0
58,80,51480,113,0
62,80,51480,113,0
58,80,51720,227,0
62,80,51720,227,0
58,80,51960,113,0
62,80,51960,113,0
62,55,52320,113,1
65,80,52320,113,0
62,80,52440,113,0
65,80,52440,113,0
62,80,52560,113,0
65,80,52560,113,0
62,80,52680,113,0
65,80,52680,479,1
70,80,52920,781,1
69,109,53606,113,3
65,80,53280,113,0
68,80,53471,309,3
65,80,53400,113,0
62,80,53520,113,0
65,80,53520,113,0
66,80,53791,113,2
65,80,53640,113,0
53,114,53412,113,2
62,42,53880,113,2
58,81,53880,113,0
62,81,53880,113,0
58,84,54240,113,0
62,84,54240,113,0
55,85,54360,113,0
64,119,54360,462,3
62,85,54360,113,0
53,87,54600,113,0
55,88,54720,113,0
55,89,54840,81,1
58,122,54558,680,3
62,89,54840,113,0
55,91,55080,113,0
66,92,55200,794,2
58,92,55200,113,0
62,92,54958,759,2
55,93,55320,113,0
58,93,55320,113,0
62,126,55590,597,3
53,94,55440,113,0
58,71,55674,403,3
62,94,55440,113,0
53,95,55560,113,0
53,96,55680,113,0
55,97,55800,113,0
65,97,55800,113,0
65,98,55920,113,0
58,99,56040,113,0
58,100,56160,113,0
62,100,56160,113,0
55,101,56280,113,0
62,102,56400,113,0
65,102,56400,113,0
53,103,56520,113,0
56,104,56640,113,0
59,104,56579,113,2
63,104,56640,113,0
56,105,56760,113,0
60,105,56760,113,0
63,105,56760,113,0
56,106,56880,113,0
60,106,56880,113,0
63,106,56880,113,0
56,107,57000,113,0
60,107,57000,113,0
63,107,57000,113,0
56,108,57120,227,0
57,108,57120,306,2
63,72,57120,147,2
67,112,57600,113,0
70,112,58051,745,2
79,112,57600,113,0
67,112,57720,113,0
79,112,57720,113,0
80,112,57840,195,2
81,92,58309,113,3
79,112,57960,113,0
72,112,58080,227,0
90,112,58080,582,2
84,89,58417,1114,3
79,112,58320,113,0
70,112,58440,227,0
74,127,58440,881,3
82,112,58440,227,0
79,127,58264,113,2
72,112,58800,113,0
77,112,58800,113,0
84,112,58800,113,0
79,112,58920,113,0
74,112,59040,113,0
86,112,59040,113,0
90,127,59557,1082,4
77,112,59280,227,0
89,112,59280,227,0
78,112,59520,569,2
70,112,59520,113,0
79,112,59520,113,0
67,112,59640,113,0
79,112,59640,113,0
73,112,59760,113,1
86,112,59760,1087,1
74,90,60068,848,4
61,112,60273,1029,3
77,112,60000,227,0
84,112,60000,227,0
79,112,60240,113,0
79,127,60360,656,2
82,112,60360,227,0
91,112,60838,897,2
79,112,60258,569,2
77,112,60720,113,0
81,112,60720,113,0
89,112,60720,113,0
66,112,60533,113,2
74,112,60960,113,0
96,73,61399,113,3
67,112,61080,113,0
79,112,61080,556,1
72,112,61200,113,0
84,112,61200,113,0
74,127,61320,113,1
