note,velocity,position,duration,anomalies
60,64,1922,1918,0
67,56,1922,1443,0
75,70,1922,1443,0
75,65,3365,114,0
67,64,3486,109,0
75,64,3602,223,0
62,64,3842,1918,0
62,78,3842,1578,3
77,70,3842,1443,0
77,26,5776,114,2
57,64,5406,109,1
67,104,5522,223,2
63,64,5762,1918,0
74,79,5762,1983,3
79,70,5762,1443,0
79,65,7205,114,0
61,64,7326,331,2
79,86,7442,400,2
65,69,7682,967,0
68,61,7682,492,0
72,90,7563,492,2
80,115,7682,1060,2
70,57,8508,475,1
75,87,8124,1249,3
82,71,8174,475,0
44,67,8649,225,0
70,59,8649,713,0
75,59,8649,713,0
84,69,9087,713,2
51,54,8889,222,0
56,55,9126,222,0
58,54,9362,223,0
70,74,9362,732,0
60,94,9602,967,1
75,65,10320,213,0
72,64,10520,206,1
74,64,10728,192,0
76,94,10920,432,3
46,64,10925,227,0
53,64,11166,218,0
58,64,11399,253,0
60,64,11659,219,0
62,70,11880,965,0
77,64,11715,1186,3
72,64,12135,225,0
72,34,12360,207,2
74,59,12396,204,0
75,39,12494,218,2
34,64,12845,227,1
67,103,12845,463,2
55,64,12773,218,1
60,64,13319,253,0
62,64,14034,219,1
63,64,13813,474,0
70,64,14055,354,0
60,54,14287,232,0
63,54,14533,827,0
43,44,15362,2518,0
50,54,15362,2518,0
62,57,15362,1376,1
60,45,16329,1540,1
59,34,17282,598,0
74,64,18011,223,0
92,67,18167,864,3
87,64,18483,222,0
52,64,18722,1617,2
86,69,18722,490,0
63,40,19212,476,0
67,66,19212,953,2
74,50,19212,476,0
63,42,20037,723,2
67,42,19688,472,0
74,52,19688,472,0
86,69,20162,238,0
79,64,20415,223,0
89,65,20396,356,1
87,64,21008,113,0
86,67,21128,1477,1
74,64,22442,686,2
79,67,22704,221,1
87,64,22803,222,0
46,64,23042,1438,0
91,61,23042,580,2
86,75,23042,490,0
62,25,23532,476,0
67,39,23532,476,0
67,27,24008,472,0
64,27,23945,472,2
74,41,24008,472,0
86,69,24482,238,0
79,64,24735,223,0
89,65,24972,1170,1
87,64,25328,113,0
86,88,25348,1441,2
86,64,27129,222,0
101,97,27366,836,3
89,64,27602,223,0
64,63,28271,239,2
82,61,27842,967,0
91,75,27842,967,0
67,45,28096,224,0
72,46,28334,222,0
74,45,28571,224,0
75,56,28809,951,0
84,67,28809,560,0
84,65,29379,198,0
84,64,29575,2,0
94,69,29762,239,0
82,32,29796,483,4
91,65,30254,222,0
75,44,30260,979,1
89,64,30491,224,0
79,44,30720,960,0
87,67,30730,224,0
86,64,30969,222,0
87,65,31206,222,0
89,64,31442,223,0
46,51,31682,239,0
86,69,31682,492,0
53,44,31936,224,0
58,45,32174,760,1
96,40,32596,475,3
60,44,32411,224,0
60,39,33070,951,2
62,53,32649,951,0
79,67,32649,476,0
77,65,33125,223,0
86,64,33688,184,1
79,64,33546,191,0
74,69,33742,198,0
75,64,33945,183,0
62,26,34238,709,4
72,42,34331,349,1
62,64,34809,222,0
67,65,35046,222,0
75,64,35282,223,0
50,85,35206,239,3
74,69,35522,967,0
55,53,35776,224,0
60,54,36014,222,0
62,53,36251,224,0
72,95,35996,951,3
74,64,36729,222,0
67,65,36966,222,0
83,64,37202,238,1
70,61,37442,239,0
74,75,37843,566,3
75,64,37695,110,0
74,64,37813,357,0
62,87,37670,1019,4
62,64,38649,222,0
67,65,38886,222,0
75,64,39122,238,0
75,53,39360,0,0
46,97,39102,1081,3
74,59,39480,840,0
55,55,39869,477,2
58,56,39854,222,0
60,55,40091,224,0
44,73,40741,889,4
62,64,40330,950,0
74,64,40569,222,0
67,65,40806,222,0
77,64,41042,238,0
70,61,41282,239,0
77,75,41282,253,0
75,64,41454,906,2
74,64,41653,357,0
60,46,42010,225,0
62,49,42250,224,0
60,46,42489,711,0
74,64,42489,222,0
75,65,42726,222,0
82,64,42962,238,0
44,60,43202,239,0
70,61,43202,967,0
75,61,43202,967,0
82,75,43202,1824,1
51,76,43620,556,3
56,56,43694,222,0
58,55,43931,224,0
60,58,44169,713,0
72,56,44329,302,0
75,56,44369,262,0
80,70,44409,236,0
79,28,44645,1214,2
58,55,44882,223,0
56,86,44949,239,3
70,69,45122,492,1
60,78,45376,224,2
65,55,45614,1426,0
75,65,45614,475,0
75,67,46089,225,0
72,64,46329,222,1
75,65,46566,222,0
77,64,46802,223,0
46,58,47042,239,0
70,61,47042,967,0
71,37,47042,967,2
53,53,47296,224,0
58,54,47534,222,0
60,53,47771,224,0
46,86,47902,1392,4
69,62,47600,1702,3
65,64,48249,222,0
74,65,48486,222,0
65,64,48722,223,0
43,60,48962,239,0
58,64,49102,728,2
74,78,48962,728,0
50,55,49216,224,0
62,55,49454,1426,0
65,33,49690,732,2
78,16,49573,456,4
74,64,49930,238,0
63,84,50389,739,3
75,61,50168,237,0
67,48,50405,223,0
74,62,50405,237,0
63,47,50642,223,0
83,61,50238,482,3
44,60,50882,239,0
65,61,50882,728,0
77,75,50882,728,0
51,55,51136,224,0
56,56,51374,222,0
58,18,51610,619,2
67,55,51610,225,0
70,69,51950,525,3
60,32,51907,951,2
75,66,51849,713,0
72,56,52562,732,0
87,93,52562,732,2
88,44,52190,732,3
46,52,52802,239,0
53,47,53056,224,0
58,48,53294,222,0
87,36,53294,714,2
60,47,53531,224,0
62,50,53770,950,0
74,57,54008,237,0
74,58,54245,223,0
75,57,54482,223,0
48,60,54722,239,0
77,62,54722,728,0
55,55,54976,224,0
60,56,55214,222,0
63,55,55450,225,0
92,57,55450,882,2
65,58,55690,950,0
72,60,55690,475,0
67,56,56165,223,0
72,64,56402,732,0
43,64,56642,239,0
51,50,56896,224,0
55,51,57134,222,0
58,50,57371,224,0
60,62,57610,950,0
75,64,57849,236,0
75,65,58085,223,0
74,64,58322,238,0
42,69,58562,239,0
69,61,58562,967,0
74,75,58562,967,0
52,49,58750,224,2
54,50,59054,222,0
57,64,59291,224,0
60,67,59529,951,0
75,64,59769,236,0
75,65,60005,223,0
74,64,60242,238,0
41,69,60482,239,0
68,61,60482,967,0
74,75,60482,967,0
48,52,60736,224,0
53,53,60974,222,0
56,52,61211,224,0
60,37,61644,951,2
66,85,61831,1174,4
75,65,61821,222,1
77,64,62162,223,0
43,102,62041,715,3
67,61,62402,647,1
75,75,62851,492,1
47,55,62656,224,0
50,56,62894,222,0
70,57,62894,951,0
74,71,62894,951,0
55,55,63131,612,1
52,58,63832,224,2
62,64,63609,222,0
63,50,64126,430,3
67,58,63845,223,0
74,50,63845,969,0
79,41,63845,1347,2
55,50,63847,426,2
62,55,64322,239,0
67,64,64576,238,0
74,65,64814,475,0
67,59,65289,476,0
79,73,65289,476,0
75,57,65765,475,0
95,38,65765,475,2
74,99,66242,492,1
86,98,65999,492,2
77,56,66734,1426,0
89,70,66734,1426,0
47,91,68043,239,3
75,61,68162,967,0
87,75,68162,967,0
43,57,68416,224,0
48,58,68654,222,0
51,57,68891,224,0
55,60,69129,225,0
51,57,69369,222,0
75,56,69369,222,0
87,38,69369,557,2
70,20,69268,223,3
74,57,69605,475,0
86,71,69605,475,0
51,57,69842,223,0
77,61,70002,572,0
82,61,70042,532,0
46,62,70082,239,0
97,75,70082,492,1
55,57,70336,224,0
58,58,70574,222,0
75,57,70574,714,0
87,71,70574,714,0
60,57,70811,224,0
62,60,71050,224,0
61,57,71536,660,3
75,56,71288,223,0
87,70,71288,237,0
57,58,71525,999,2
74,57,71525,223,0
86,71,71525,237,0
60,57,71762,223,0
67,49,71762,223,0
79,70,71762,238,0
70,61,71922,78,1
84,61,71962,532,0
44,62,72002,239,0
91,75,72002,492,0
54,57,72530,224,2
62,58,72494,1205,2
77,57,72494,475,0
84,57,72494,475,0
90,71,72494,870,2
