note,velocity,position,duration,anomalies
93,53,1559,890,3
106,74,1968,257,2
88,33,2155,87,2
91,62,2958,1468,2
91,60,4020,1220,4
97,66,4275,3096,3
78,88,7296,375,2
88,68,7344,384,0
91,76,7807,1278,2
97,82,7528,1053,3
91,81,8037,141,1
102,127,8511,275,3
106,81,8962,1006,3
86,50,9829,889,1
91,64,10108,1034,2
95,81,9911,1543,2
94,24,11768,798,3
100,55,11360,876,1
88,96,11549,1088,3
93,117,13040,179,3
95,80,13665,292,1
91,79,13596,107,1
91,127,13934,556,1
90,56,14586,606,2
88,127,15219,2045,1
98,88,17758,50,3
90,98,18050,910,2
94,127,17617,238,4
93,62,18444,317,1
103,82,18761,500,2
85,99,19362,218,2
83,97,20060,126,1
79,46,20675,1010,1
83,54,20314,622,2
82,76,20775,966,2
67,48,21572,68,2
52,4,21791,66,2
46,64,21809,1771,3
48,28,24381,1030,3
45,86,24381,349,3
59,62,24381,114,0
55,79,24741,1395,2
77,85,27968,240,2
76,68,28127,115,0
77,68,28007,1690,3
76,41,30000,381,1
79,95,30323,108,1
81,68,30494,433,3
89,60,30590,267,2
81,80,31121,1141,2
85,76,31426,1558,2
71,61,33560,1233,3
63,48,32863,732,2
74,60,33176,1332,2
79,63,33342,1497,2
72,51,34533,192,1
60,73,34408,414,3
90,80,34289,135,2
79,111,34847,85,2
67,72,34943,69,0
89,83,35258,93,1
69,39,34883,587,3
71,80,35570,61,1
71,16,35840,1343,2
67,66,36347,1336,3
90,50,35931,1347,3
69,90,36802,475,2
84,36,36707,382,3
81,82,37685,366,1
69,25,37896,90,1
74,36,37905,108,1
81,99,38597,105,1
71,76,38604,161,0
79,81,38705,141,0
76,94,38823,101,1
71,92,38937,1061,1
58,39,40373,854,4
76,110,40578,740,2
84,102,40904,145,3
79,90,40414,70,1
72,48,40795,1119,2
85,72,40881,281,2
81,116,40959,203,2
65,79,41915,2304,2
67,71,41976,2697,2
72,115,41921,2309,2
67,59,43508,695,1
74,45,43851,657,1
79,53,43899,578,1
54,22,45114,234,3
71,60,45162,95,1
88,81,45517,588,3
70,107,45531,86,2
80,61,45536,877,2
67,112,45852,99,2
63,67,46141,78,2
74,75,46181,201,1
67,57,46436,387,0
71,54,46482,302,0
65,107,46538,685,3
65,68,47459,889,3
66,22,47205,69,2
62,58,47173,1116,2
66,104,47691,542,3
76,60,48284,1679,2
71,76,50003,118,3
62,27,49704,687,2
62,19,50084,732,1
63,78,49886,1155,4
89,127,51891,129,2
66,117,51423,216,4
78,125,52235,97,1
66,120,52239,275,2
79,55,52554,708,2
81,87,52318,63,2
69,58,52815,183,0
74,72,52859,202,0
87,96,52905,128,1
87,66,53360,59,3
71,99,53319,50,2
87,88,53078,796,3
64,91,53056,33,2
79,96,53855,264,0
61,114,53653,1101,4
74,81,54685,154,2
81,114,54512,1052,3
59,121,54210,147,3
69,94,55434,380,1
64,88,55427,1207,2
76,96,55151,340,0
56,94,56520,411,3
62,83,56105,0,1
56,86,56587,117,2
57,127,56414,91,2
59,71,57102,77,1
62,85,57102,315,2
54,127,57108,794,3
70,100,58073,258,3
71,77,57735,911,1
64,77,57354,1215,3
79,82,57973,225,2
81,127,58118,81,1
79,125,58250,72,3
62,76,58884,373,4
79,102,58440,972,1
64,79,58767,1239,3
78,127,58767,1040,2
58,96,58715,634,3
66,93,59634,509,3
74,102,59744,644,1
83,127,59744,637,2
71,35,60735,822,3
74,51,60193,1325,3
82,125,60407,1096,3
81,83,61049,180,1
71,71,61055,1046,1
63,30,61616,460,2
73,70,61737,402,2
77,47,61247,563,4
81,54,62064,284,2
69,54,62566,487,3
67,46,61991,107,3
69,99,63051,224,1
67,45,63099,228,2
69,85,63184,260,3
90,81,63144,192,2
96,53,63480,370,3
59,61,63315,963,3
64,117,64153,568,3
67,91,63800,85,1
79,78,64113,277,2
67,125,64035,278,2
78,127,64745,124,1
68,93,64749,116,1
56,101,64749,114,1
60,63,65834,648,3
69,75,65384,782,2
76,127,65384,1274,2
67,102,66356,120,0
62,119,66043,104,2
62,99,66681,240,0
65,87,67011,757,4
59,98,67388,111,0
62,109,67225,608,2
67,74,68387,1176,2
78,76,67618,234,2
