note,velocity,position,duration,anomalies
71,103,0,365,3
88,63,240,227,0
81,30,480,227,2
107,25,720,1715,3
81,63,1733,279,2
88,29,2160,1175,2
86,63,2400,227,0
93,63,2640,1139,0
81,63,3840,227,0
88,63,4080,990,1
100,26,4320,227,2
104,63,4560,455,1
88,63,5040,227,1
88,35,4877,227,3
88,32,5741,227,3
81,63,5760,227,0
88,63,6000,227,0
77,63,6545,1144,3
82,43,6341,1861,4
81,63,7680,227,0
99,63,7556,227,2
75,63,8213,227,2
93,63,8830,1139,1
81,63,9600,452,1
97,37,9729,227,3
86,63,9795,227,1
93,41,10320,1139,1
81,63,11520,227,0
88,84,12258,227,2
86,63,12000,227,0
93,31,11797,455,2
91,92,13060,824,3
90,63,12960,227,0
87,89,12912,788,4
67,90,13440,227,2
88,63,13680,227,0
99,63,13920,1169,2
93,63,14160,1626,1
68,110,15360,2322,3
79,63,15600,227,1
86,27,16270,227,2
91,26,16535,1139,3
76,79,16800,455,0
81,63,17280,227,0
65,79,17581,1823,2
82,63,17520,227,1
86,63,17760,227,0
93,39,17530,1139,2
81,79,19200,1375,0
75,99,19066,227,3
100,101,19680,227,2
93,63,20417,1381,2
91,63,20400,227,0
90,63,20640,810,1
89,118,20640,455,2
79,23,20600,227,3
89,23,20714,227,3
78,79,21120,2198,1
88,63,21360,227,0
86,83,21221,227,2
80,96,21840,1139,2
77,54,23040,2217,3
88,92,22861,227,2
86,63,23520,227,0
93,63,23760,1559,1
90,53,24214,455,3
81,63,24960,227,0
74,79,24781,1837,2
88,63,25200,227,0
86,63,25440,227,0
93,31,25680,1732,2
76,79,26640,113,0
86,59,26855,113,3
94,101,26880,227,2
87,79,26981,1139,2
88,63,27120,227,0
95,63,27192,227,2
80,86,27600,1411,3
78,51,28080,785,2
74,79,28320,227,0
71,79,28201,707,2
81,63,28800,455,0
74,104,28800,1034,2
99,63,29280,455,1
95,63,29760,455,1
76,79,29760,911,0
106,63,30240,455,1
80,89,30816,863,2
83,63,30620,833,2
86,63,30870,1533,2
86,63,30902,777,0
79,63,31680,959,0
88,32,31718,1570,3
88,63,31744,1417,1
74,64,32640,455,0
76,64,32640,455,0
78,86,33021,455,2
85,64,32640,455,1
80,39,33120,1070,3
78,64,33120,1335,2
78,64,33120,1142,1
80,64,33328,386,3
74,64,33600,455,0
68,27,33600,1424,3
70,94,33600,608,3
81,64,33600,455,0
74,24,33995,455,2
76,64,34080,565,1
84,64,33658,981,3
81,64,34080,455,0
74,99,34074,455,2
76,94,34560,727,2
68,64,34560,780,2
81,27,34560,455,1
74,64,35040,455,0
76,64,35040,799,1
66,93,35040,455,2
81,64,35040,704,1
74,100,35640,1136,3
76,64,35520,455,0
78,64,35399,455,1
86,32,35520,455,2
81,64,36148,455,2
76,41,36000,1189,2
78,64,35744,455,1
81,100,35888,455,2
74,64,36583,1452,2
76,92,36480,455,1
78,64,36480,455,0
81,99,36480,455,1
63,64,37345,455,2
76,64,36960,1001,1
66,64,36611,370,3
83,29,37066,1264,4
86,64,37440,455,1
63,64,37827,455,2
90,32,37553,1342,4
81,64,37353,1308,2
74,88,37775,455,2
76,64,37920,455,0
71,27,37920,455,2
81,64,37559,1176,2
65,64,38400,455,1
76,90,38400,1363,2
88,64,38400,540,2
81,31,38763,932,3
73,64,39083,455,1
76,64,39295,455,1
78,64,38412,1018,2
81,64,38880,455,0
73,64,39067,455,1
69,64,39203,455,2
78,35,39569,1371,3
81,64,39790,949,2
66,40,39964,455,3
76,64,39840,455,0
83,64,39840,1304,2
81,64,39840,455,0
74,34,39913,455,2
76,64,40320,455,0
76,85,40320,1265,3
81,37,40320,1276,2
68,102,40800,1203,3
76,44,40371,373,3
83,25,40412,455,3
81,64,40800,455,0
61,90,41280,455,2
76,64,41280,455,0
78,64,41280,455,0
76,94,41280,455,2
74,103,41418,455,2
89,64,41760,399,2
83,64,41830,698,3
81,38,41961,653,3
73,34,42321,455,2
76,64,42240,455,0
78,64,42240,455,0
81,101,42240,455,1
83,64,42720,455,1
76,40,42653,998,3
78,64,42720,455,0
81,64,42720,455,0
71,64,42856,1380,2
67,100,42929,455,3
64,32,42928,455,3
95,64,43474,455,2
71,64,43680,455,0
74,64,43680,455,0
65,42,43289,455,3
81,91,43572,1175,3
84,64,43739,1439,3
74,90,43825,455,2
79,64,44160,1443,1
71,32,44640,528,2
74,102,44202,455,2
79,90,44968,455,2
84,64,45120,455,1
84,100,45120,455,2
81,35,45120,455,1
66,96,45600,1082,3
86,64,45600,744,2
81,64,45600,455,0
76,24,46080,455,2
78,64,46080,455,0
70,64,46507,820,3
81,64,46080,373,1
74,64,46857,455,1
79,64,46833,455,2
79,64,47021,455,1
81,34,46560,986,2
74,64,47040,455,0
78,64,47266,455,1
92,64,47254,834,3
74,64,47817,455,1
88,35,47381,630,4
83,64,47573,1278,2
79,87,48000,1159,3
73,64,48000,455,0
80,43,48100,455,3
81,64,48000,839,1
82,64,48480,1355,2
60,27,48782,455,3
76,34,48480,455,1
81,98,48402,455,2
71,64,48960,455,0
73,64,48847,1271,2
83,95,48960,1315,3
81,96,48960,455,1
67,64,49176,455,2
66,40,49818,455,3
76,101,49440,1161,2
85,64,49827,455,2
61,64,49920,1451,2
73,64,49429,911,1
76,30,50065,1238,3
78,64,49920,911,0
77,41,51028,56,3
78,70,51757,56,2
81,98,51859,613,4
85,82,51540,830,1
86,88,51600,56,0
