note,velocity,position,duration,anomalies
91,89,10,1542,2
72,67,10,1409,1
86,62,465,1582,2
85,63,1054,1014,1
77,62,1559,479,1
105,44,2069,757,2
88,102,2233,1122,4
93,62,2827,761,0
79,88,3084,1961,2
91,62,3092,992,2
84,67,4302,790,2
67,67,4100,1049,0
86,30,4463,1249,3
72,63,5150,1495,2
91,87,5655,479,1
95,31,6530,757,2
68,65,6165,1297,2
106,62,6923,761,1
77,90,7180,1290,3
91,62,7685,506,0
91,67,8196,790,0
71,67,8196,1049,1
86,62,8987,763,0
69,63,9246,1014,0
95,62,9751,479,0
96,65,10261,1702,1
84,90,10261,1014,2
95,28,11087,916,3
69,63,11276,1011,0
98,62,11781,1308,2
93,88,12292,1126,2
64,67,12292,1049,0
91,62,13083,763,0
71,63,13342,1014,0
90,62,13847,479,0
98,41,14357,763,3
76,65,14357,1014,0
93,37,14867,766,3
86,28,15456,241,3
59,63,15726,1348,3
90,83,15629,134,2
86,35,15877,232,1
81,33,16125,454,2
79,67,16388,790,0
60,67,16549,1049,1
77,62,17179,763,1
56,31,17215,1014,3
70,96,17943,745,3
86,65,18896,757,2
72,65,18453,1014,0
83,85,19542,1673,4
71,93,19959,1443,4
79,62,19973,506,0
79,67,20484,790,0
60,42,20944,1049,3
74,62,21595,1513,2
66,63,21534,1806,2
86,35,21827,479,2
79,89,22164,1515,3
68,65,22961,2026,2
68,101,23564,1875,3
74,124,24402,1049,2
78,85,24580,1049,0
87,65,24580,1049,2
34,45,24580,4033,3
38,93,24580,4337,1
50,89,25630,242,0
50,52,25888,1165,3
57,88,26135,232,0
76,88,26383,246,1
56,127,26186,1140,4
82,126,26908,231,2
76,88,26995,232,2
78,111,27403,256,1
85,101,27167,1011,3
78,81,27660,1011,0
84,127,27208,1011,3
64,85,28676,435,1
80,99,28428,435,2
67,81,29726,400,0
84,122,29726,400,2
74,54,30741,479,1
86,77,30323,983,3
67,80,31251,197,0
79,59,31251,313,2
58,46,31756,397,2
79,68,31831,397,2
69,45,33076,1649,4
67,62,32391,1845,4
24,107,33080,511,2
36,62,33041,1151,3
43,88,33314,477,0
48,89,33822,474,0
67,80,33938,1524,1
79,94,34327,1524,0
54,88,34327,479,1
68,60,34837,479,2
60,88,35347,759,1
67,81,35852,1011,0
70,123,35852,1011,2
64,127,36289,1844,3
74,85,36868,1554,0
78,99,36974,1664,2
42,93,37082,925,3
50,88,36927,477,1
62,89,38394,751,3
59,41,38423,1524,2
74,94,38423,1524,0
61,88,38258,479,2
