note,velocity,position,duration,anomalies
69,64,0,113,0
74,100,0,351,2
62,64,120,492,1
82,29,494,705,4
74,64,240,227,0
62,64,480,455,0
74,80,1485,397,2
86,80,1680,455,0
70,80,2160,227,0
82,80,2160,227,0
82,113,2400,447,3
92,40,2217,113,3
86,80,2240,227,2
93,80,2640,227,0
67,96,3356,813,3
87,70,2880,1192,3
74,96,2880,227,1
74,96,3522,227,2
79,96,2885,1159,2
69,62,3673,227,2
74,96,3360,227,0
81,96,3360,227,0
70,96,3600,113,0
83,96,4037,435,3
69,96,3720,1025,0
74,96,3996,1025,1
81,96,3720,1025,0
77,96,4800,911,0
89,96,4800,911,0
76,96,6192,683,1
79,96,5760,683,0
77,127,5760,683,2
63,76,6480,683,2
74,71,6714,1396,3
79,96,6480,683,0
72,96,7200,455,0
62,76,7680,1033,1
67,76,7680,911,0
74,74,7680,911,2
77,96,9117,911,1
89,96,8640,911,0
79,96,9600,455,0
91,96,9600,455,0
64,96,10017,455,2
89,67,9589,382,3
76,96,10560,455,0
86,96,10560,455,1
84,96,11040,455,0
54,96,11520,781,2
74,96,11520,113,0
86,76,11723,328,4
85,58,11880,759,3
74,96,11880,412,2
74,96,11971,341,1
74,96,12720,113,0
63,121,13139,410,4
74,70,12960,568,2
62,121,12620,113,3
74,96,13200,227,0
67,96,13440,113,0
86,127,13440,113,2
90,126,13560,113,2
71,72,14007,113,3
72,96,13800,113,1
76,73,14166,436,3
76,96,14160,113,0
70,117,14280,139,3
76,96,14520,113,0
76,96,14828,113,1
62,123,14760,113,2
86,96,14880,277,2
72,96,15120,227,0
93,56,14750,227,3
63,66,15360,946,3
79,96,15360,455,0
72,96,16080,227,0
78,96,16480,227,2
79,61,15988,305,4
79,96,16320,227,0
74,96,16560,227,0
79,122,17250,1203,4
76,96,17040,227,0
70,96,17185,684,2
77,96,16988,227,1
83,96,17916,612,3
69,63,17710,1050,4
87,127,17527,455,3
81,96,17760,455,0
64,79,18240,227,0
58,79,18656,227,2
65,79,18240,619,2
72,79,18592,688,3
64,79,18444,227,1
74,79,18720,227,1
73,79,18547,677,2
62,118,18960,227,2
76,117,19200,113,2
85,96,19200,1104,2
55,127,19320,350,3
83,71,19386,113,3
65,96,19172,253,2
74,61,19440,575,2
65,96,19560,341,0
74,96,19560,341,0
78,66,19500,113,3
78,127,19980,113,3
62,65,20040,1244,3
74,126,20040,341,1
65,96,20400,113,0
74,73,20109,485,3
65,96,20520,113,0
78,96,20659,821,3
65,96,20640,227,0
74,96,20640,227,0
65,123,20880,227,1
74,96,20880,227,0
63,76,21120,113,2
76,116,20710,62,3
64,96,21680,386,3
76,66,21001,113,2
67,127,21488,1008,3
76,96,21360,113,0
76,96,21480,113,1
76,62,21480,113,1
67,58,21600,758,2
76,57,21340,227,2
79,127,22161,113,3
76,96,22140,113,1
53,127,21788,524,4
76,96,21960,227,0
67,96,22200,113,0
76,96,22200,113,0
67,96,22320,414,1
85,56,22320,113,2
67,96,22440,113,0
76,96,22440,113,0
67,96,22560,227,0
76,96,22151,177,2
69,96,22800,227,0
72,96,22526,227,1
74,76,22636,1120,4
67,96,23040,455,0
67,116,22932,455,3
65,123,23040,1133,3
69,96,23760,227,0
72,96,23953,1144,2
81,96,23848,566,2
67,121,24000,928,2
71,96,24000,227,0
79,96,24337,227,1
62,127,24085,227,2
74,96,24240,227,0
62,117,24697,227,2
74,126,24872,644,3
64,96,24720,227,0
76,96,24720,227,0
65,96,24960,227,0
70,96,24960,227,0
77,96,24960,330,1
67,96,25200,227,0
77,64,25039,952,4
69,96,25440,227,0
72,127,25440,1202,2
81,96,25440,227,0
63,119,25680,227,2
72,96,25680,227,0
62,66,25920,1207,2
56,70,25920,227,2
69,96,26220,160,2
74,96,25920,227,0
60,124,26750,376,4
75,59,26861,780,4
81,119,26701,546,3
93,103,26880,227,1
77,115,27513,455,3
89,80,27360,227,0
79,80,27720,113,0
105,80,27774,1064,3
79,111,27960,113,1
91,46,28130,113,2
76,106,27625,616,3
88,53,28377,482,3
