note,velocity,position,duration,anomalies
55,29,2395,1292,3
74,79,1920,150,0
82,91,1731,203,2
56,52,2058,907,2
76,63,2308,620,3
69,81,2285,48,1
72,79,2290,48,0
79,82,2664,43,0
60,76,2668,805,2
77,81,2904,162,0
53,61,2905,351,0
69,76,2905,164,0
60,31,2957,1101,3
65,16,3149,883,2
67,70,3269,71,0
75,81,3269,72,0
77,74,3611,52,0
55,71,3850,781,0
70,83,3850,223,0
74,104,3523,1032,3
62,90,3524,676,2
66,59,4098,1446,2
69,64,4213,764,1
70,74,4328,262,1
69,76,4441,98,0
70,78,5008,94,1
72,78,4672,54,0
55,69,4910,973,2
67,76,5075,207,1
70,53,4911,87,3
74,76,4796,172,0
72,81,4978,162,0
67,38,5154,66,2
60,48,5283,1369,3
81,60,4812,780,4
74,87,5284,155,0
72,85,5463,160,0
79,76,5746,1023,3
84,68,5356,136,3
74,77,6035,1073,2
51,79,5777,698,0
68,81,6179,589,3
75,62,6015,468,1
81,88,6020,341,2
72,83,6131,48,0
70,77,6460,48,0
79,83,6462,41,0
63,62,6778,727,2
74,87,6685,96,1
69,68,6690,55,0
54,86,7042,615,3
65,62,6927,534,0
84,87,7039,58,0
75,79,7042,56,0
87,125,7388,62,2
72,53,7548,148,0
77,100,7169,121,2
55,69,7620,256,0
84,85,7313,98,1
62,60,7743,147,0
67,69,7850,44,0
86,53,7856,51,1
70,73,7976,48,0
79,50,8285,658,4
84,119,8384,1183,4
95,69,7756,327,3
70,69,8208,79,0
76,34,8324,103,2
55,69,8193,525,3
62,67,8562,960,2
82,82,8564,101,0
76,74,9050,662,3
72,110,9393,818,4
62,86,9040,215,1
82,88,9040,76,0
81,87,8913,144,1
72,41,9378,45,2
77,23,9495,1175,3
75,103,9527,174,1
39,64,10039,204,1
82,50,9810,415,3
38,18,9227,717,4
51,16,10240,63,2
81,91,9916,81,0
58,59,9921,300,0
69,50,9921,127,1
74,112,9504,101,2
63,88,10632,0,3
67,89,10480,40,2
67,82,10271,47,0
65,64,10426,157,0
70,65,10460,135,0
52,47,10618,410,4
77,71,10502,393,2
48,64,10612,104,0
53,61,10728,68,0
63,36,10984,50,2
72,84,11243,55,2
69,67,10964,937,4
57,50,10756,279,1
52,68,11362,686,3
77,114,11185,60,1
65,73,11192,100,1
67,72,11346,880,0
70,61,11382,849,0
43,76,11414,186,0
83,58,11418,1673,3
50,72,11527,104,0
55,69,11640,69,0
57,88,11753,185,2
58,55,11871,98,0
57,47,11991,100,0
71,52,12158,84,2
60,56,12206,151,0
62,40,12326,375,2
74,122,12433,46,1
39,106,12550,993,2
62,79,12550,136,0
67,87,12852,1045,2
74,91,12360,133,1
46,67,12667,79,0
51,71,13034,51,1
74,82,12779,46,0
67,90,12893,57,0
74,98,13297,99,1
67,87,12898,121,2
76,55,13128,27,3
63,78,13003,16,0
80,96,13114,46,1
74,96,13230,543,0
79,127,13230,537,1
86,103,13230,1310,1
51,97,13453,150,0
58,56,13903,113,1
51,33,13679,94,2
58,95,14022,90,2
67,34,13913,52,1
58,26,13605,887,3
76,39,14139,0,3
82,83,14247,54,0
70,71,13778,47,1
41,120,14374,1078,2
69,89,14374,128,0
78,64,14317,919,4
81,92,14818,601,2
48,53,14497,87,0
81,85,14693,1019,2
53,69,14601,56,0
74,81,14361,41,1
75,75,15005,658,3
59,41,15045,111,3
73,87,14714,511,2
74,90,14714,90,0
81,92,14832,67,1
57,78,14828,832,2
82,93,14937,57,0
70,69,14944,30,0
70,92,15058,866,0
74,93,15058,908,0
82,100,15058,1391,1
43,97,15280,252,0
50,75,15399,158,0
55,100,15512,27,1
57,72,15619,26,0
58,78,15732,46,0
55,79,15843,51,0
50,75,15966,76,0
82,118,16067,49,1
43,73,16069,20,0
70,81,16069,45,0
39,121,16413,133,2
84,126,16186,94,1
85,96,16190,94,1
46,72,16223,75,1
62,123,16222,62,3
82,94,16410,64,0
51,80,16415,51,0
64,63,16384,218,2
95,124,16635,0,3
72,127,16714,41,3
75,102,16641,59,2
67,89,16756,30,0
79,96,16756,275,1
81,127,16970,149,2
83,127,16970,716,3
39,97,17091,130,1
46,69,17196,98,0
82,94,17204,60,0
81,44,16753,306,4
51,68,17314,134,1
75,69,17032,477,4
74,94,17425,118,0
70,98,17054,971,3
58,61,17722,208,1
63,40,17543,53,1
67,56,17656,434,2
79,93,18114,126,1
71,91,17875,48,1
67,121,17878,50,1
41,84,17995,147,0
65,101,17999,94,0
70,127,17999,914,3
39,72,17702,104,2
53,110,18168,501,3
63,81,18333,51,0
75,92,18333,50,0
57,45,18116,186,2
75,101,18322,779,2
63,96,18020,804,2
60,116,18455,50,1
77,89,18672,542,1
65,91,18675,43,0
71,117,18969,725,4
60,67,18792,902,3
74,101,18792,213,0
46,92,18908,304,0
54,93,19297,501,4
46,40,19129,474,3
54,114,19241,558,3
46,39,19359,185,1
58,83,19359,169,0
74,101,19359,536,2
61,79,19366,671,2
45,87,20126,72,1
60,103,19819,90,0
57,84,19490,48,1
49,83,20245,48,2
38,91,20101,57,2
81,64,19882,59,3
27,127,20275,112,2
39,100,20275,45,0
73,65,20612,100,3
67,98,20275,91,0
81,127,19780,950,4
46,62,20399,612,1
51,115,20921,334,3
83,91,20388,0,3
55,86,20619,45,0
61,69,20146,735,4
68,127,20371,70,3
74,106,20619,123,0
85,99,20561,48,2
99,127,20969,540,2
84,108,21254,552,2
74,77,21232,1349,3
39,93,21190,728,1
46,68,21309,78,0
51,61,21418,97,0
48,40,21529,709,3
60,41,21441,55,3
46,69,21754,141,0
51,90,22137,267,2
82,61,21973,53,1
70,87,21976,50,0
74,127,22360,764,3
44,91,22094,143,1
69,94,22094,135,0
81,99,22094,135,0
43,72,21876,96,2
84,57,22164,229,4
46,99,22086,56,3
66,127,22314,31,2
74,46,22319,492,2
57,75,22429,97,0
81,91,22429,236,2
74,95,22517,659,2
90,93,21951,926,3
53,48,22537,0,3
82,91,22651,64,0
78,84,22934,792,4
82,108,22775,281,0
70,103,22778,283,0
43,103,23003,933,0
50,74,23123,848,0
55,83,23242,670,0
57,85,23684,861,2
54,90,23860,509,3
57,84,23604,88,0
62,89,23741,135,0
65,92,23897,44,0
55,59,24043,335,0
58,68,24088,310,0
62,78,24255,287,1
43,87,24135,487,0
50,49,24259,1161,3
67,98,24139,244,0
31,58,24835,1023,2
75,97,26343,177,3
76,53,27084,551,3
63,42,27035,245,0
67,60,27107,1155,1
30,83,26899,266,4
74,60,27019,116,1
41,11,26859,147,3
72,79,27362,75,0
55,19,27424,479,2
58,97,27209,32,2
70,69,27567,49,0
63,61,28161,169,1
73,25,27705,949,3
43,66,27732,264,0
65,76,27732,86,1
43,45,27856,330,2
72,79,27929,128,0
55,96,28352,36,2
41,96,27746,422,3
70,95,28120,52,1
74,83,28273,114,0
39,34,27903,924,3
63,100,28279,253,2
67,72,28553,166,1
46,52,28743,97,1
75,102,28686,906,4
51,39,29004,632,3
70,79,28679,63,0
49,24,28683,35,2
74,82,28813,98,0
56,66,28737,100,2
64,70,28817,168,1
80,87,29008,170,1
58,75,29076,49,0
70,75,29287,669,2
43,71,29352,629,0
82,79,29801,168,2
50,40,29480,859,1
67,78,29538,73,0
55,72,30064,1073,2
62,73,29718,46,0
75,52,29840,272,3
67,75,29960,31,0
54,79,30521,214,3
68,33,30073,180,2
43,72,30097,187,0
74,84,30107,129,0
72,83,30578,599,1
41,55,30583,235,0
57,38,30583,238,2
42,51,30674,343,3
