note,velocity,position,duration,anomalies
70,115,10,2538,2
38,60,10,2538,2
54,51,10,2867,3
48,95,10,2568,0
51,88,2949,474,2
57,117,2763,474,2
60,119,3589,476,1
48,53,4100,2544,2
70,85,4567,2574,2
61,95,4100,3218,2
32,85,4570,2544,2
47,85,4100,2544,0
50,76,4182,2881,3
54,64,6963,474,3
66,89,7525,474,2
64,109,7985,476,2
48,80,8077,4091,2
49,120,8196,4280,3
59,127,8196,4091,1
35,40,8496,6254,4
43,80,8196,6764,1
47,94,8196,6160,0
38,57,12776,1429,4
62,122,12553,2039,4
59,99,12292,2048,1
52,41,13472,1828,3
57,95,13342,1014,0
56,52,14357,1014,2
59,121,14798,1546,4
71,127,14357,1014,2
48,112,14704,2559,4
31,83,14792,2026,2
48,77,14357,2751,2
52,51,15372,1011,2
57,93,16394,3187,1
41,85,16394,2538,0
45,85,16394,2538,0
48,68,16323,2568,2
61,88,18963,474,1
55,61,19468,560,3
66,88,19973,476,1
60,85,20292,2710,3
71,59,20484,3447,3
64,119,20972,2574,2
51,85,20484,3214,2
33,85,20484,2544,1
44,99,20213,3233,3
50,58,22603,474,3
69,67,23564,474,2
64,88,24069,476,0
52,80,24580,4091,0
66,48,24580,4091,2
59,90,24108,4577,2
40,112,24580,6160,1
39,105,24580,6160,2
47,94,24580,6160,0
62,85,28676,1049,1
55,111,28676,1049,1
59,127,28318,1049,2
52,105,29726,1828,2
57,95,29860,1428,2
52,45,30289,1509,3
46,112,30379,1014,3
60,118,30741,1083,2
40,82,30741,2026,0
45,120,30741,2139,2
52,97,30903,3024,3
49,109,31354,1011,3
