note,velocity,position,duration,anomalies
60,105,10,1126,3
59,67,546,200,0
63,115,183,839,3
38,76,1054,146,2
59,67,1312,187,0
63,81,1312,187,0
56,63,1807,539,0
59,67,2124,187,1
73,99,2332,187,2
73,67,2827,718,2
63,77,2827,102,0
56,75,3341,232,0
59,67,3589,199,0
63,61,3589,199,1
56,80,4100,511,0
68,67,4758,754,3
63,81,4642,200,0
64,76,5150,242,1
66,89,5000,1096,4
63,81,5408,187,0
64,63,6173,1305,3
59,67,6428,187,0
63,111,6428,187,1
59,42,7281,164,3
63,106,6657,993,3
56,75,7437,696,1
53,104,7685,199,2
63,61,7685,997,2
54,80,8196,511,0
58,33,8738,200,1
61,81,8738,200,0
49,76,9246,242,0
58,67,9504,187,0
61,81,9504,187,0
54,63,9999,539,0
58,67,10524,187,0
61,77,10524,187,0
58,67,11019,102,0
61,77,11080,102,1
63,49,11409,522,4
58,67,11781,199,0
61,81,11781,199,0
54,80,12292,638,1
58,67,12834,200,0
61,81,12834,200,0
49,76,13342,242,0
45,67,13826,1091,3
61,45,13440,964,3
54,63,14095,539,0
58,67,14620,187,0
61,77,14488,334,2
58,67,15115,102,0
61,77,15115,750,1
54,75,15629,232,0
37,49,15629,296,2
49,47,15877,128,3
61,81,15877,199,0
43,75,15877,476,0
56,80,16388,511,0
44,80,16388,511,0
64,46,17049,968,4
63,81,16930,200,0
44,75,17179,243,0
51,114,17438,145,2
39,75,17438,1108,1
59,67,17696,187,0
77,81,17696,187,1
60,63,18191,539,1
44,63,18191,276,0
56,67,18716,1119,2
63,38,18716,677,2
44,63,18716,261,0
56,107,19211,492,3
63,77,19211,682,1
47,94,19211,810,3
25,75,19160,541,3
56,75,19725,232,0
59,67,19973,199,0
63,81,19973,199,0
46,75,19973,476,0
56,80,20484,511,0
42,46,20600,511,3
59,67,21026,200,0
63,81,20631,570,2
44,75,21275,243,0
51,76,21534,242,0
39,75,21534,474,0
59,67,21792,187,0
63,81,21792,187,0
56,63,22287,539,0
44,29,22081,613,3
59,45,22388,515,3
63,77,22812,187,0
44,39,23160,261,2
65,105,23140,102,3
63,77,23583,102,1
44,63,23307,271,0
37,75,23564,806,2
56,75,23821,232,0
59,67,24069,199,0
63,81,24069,199,0
46,98,24244,476,2
54,80,24580,511,0
35,80,24580,511,1
60,67,24895,883,3
65,81,25544,324,3
39,75,25426,243,2
49,76,25630,242,0
37,75,25630,803,1
58,67,25888,187,0
61,81,25888,187,0
54,63,26383,539,0
42,63,26383,276,0
58,44,27375,187,2
55,41,27303,514,4
46,25,26668,572,4
58,67,27403,102,0
61,77,27403,102,0
42,63,27403,271,0
45,75,27202,692,3
54,49,27426,232,2
58,67,28165,633,1
56,43,28452,199,3
44,75,28165,476,0
56,80,28301,511,1
32,77,28676,1049,0
59,28,28790,200,2
63,111,29218,200,1
58,76,29726,257,0
34,101,29726,752,1
58,67,29984,187,0
61,56,29984,608,2
58,63,30479,539,1
35,106,30479,2044,2
63,67,31004,187,0
66,77,31004,547,1
63,67,31499,102,0
66,77,31499,102,0
61,64,31756,504,0
37,75,31756,1011,0
51,78,32673,199,3
65,69,32261,199,0
84,60,33035,996,4
44,80,32772,511,0
47,67,33314,94,0
51,81,33314,94,0
34,75,33976,825,3
85,76,33822,752,0
39,75,33822,242,0
47,67,34080,187,0
51,81,34080,187,0
80,75,34575,2288,0
44,53,34575,246,1
47,67,35100,92,0
51,77,35100,92,0
47,67,35595,102,0
51,77,35595,102,0
39,75,35852,474,0
43,67,36233,199,2
51,81,36357,199,0
78,80,36868,1049,0
44,80,36868,511,0
47,67,37515,700,2
51,56,37410,848,2
54,75,37659,243,1
85,76,37918,752,0
39,37,37918,242,1
47,67,37750,187,1
51,81,38176,187,0
73,75,38671,2288,0
44,75,38671,246,0
47,67,39196,480,1
51,77,39196,92,0
47,67,39691,102,0
51,77,39691,102,0
39,99,39765,286,2
46,75,40205,277,0
44,75,40453,277,0
30,43,41136,288,3
73,80,40964,1049,0
42,70,40964,463,0
52,36,41506,94,2
49,102,41451,94,2
55,108,41911,243,3
77,76,42014,752,0
33,36,42288,592,4
46,107,42272,788,2
49,81,42272,187,0
85,75,42767,1781,0
42,75,42767,246,0
46,67,43292,92,0
55,77,42908,92,2
46,67,43787,102,0
48,77,43787,351,2
37,75,44044,474,0
87,75,44549,476,0
45,67,44712,705,3
60,118,44549,661,3
85,80,45060,1049,0
42,80,45060,511,0
46,67,45602,94,0
49,81,45602,94,0
50,50,45487,558,4
80,76,46523,752,1
37,75,46110,242,0
46,67,46368,187,0
63,81,46368,1185,2
78,75,46863,524,0
44,112,46633,1117,4
78,75,47388,276,0
46,67,47388,92,0
39,108,47388,167,3
80,75,47635,277,0
82,75,47883,286,0
46,67,47883,102,0
49,77,47883,102,0
94,55,48391,286,3
79,75,48397,277,0
37,74,48397,277,0
75,75,48645,277,0
42,97,49109,602,3
66,106,48572,288,3
46,75,49050,288,2
61,43,49234,1001,3
51,109,49156,463,2
47,67,49698,94,0
51,81,49698,94,0
44,75,49947,243,0
85,76,50206,752,0
39,75,50206,242,0
47,67,50464,187,0
51,118,50464,187,1
80,75,50959,2288,0
44,75,50959,246,0
47,67,51484,92,0
51,77,51484,92,0
47,67,51979,102,0
51,77,51979,102,0
39,75,52236,474,0
41,67,52741,199,1
54,81,52741,199,1
78,80,53252,1049,0
45,80,53252,1387,2
47,67,53794,94,0
51,81,53878,94,1
44,75,54043,243,0
85,76,54302,1144,1
39,75,54302,242,0
47,67,54560,187,0
51,81,54560,187,0
81,75,55055,737,2
48,75,54890,1141,3
73,46,55799,276,2
41,37,55580,92,2
51,77,55580,92,0
78,97,55827,462,2
80,75,56075,286,0
53,99,56156,988,4
51,53,56075,634,2
82,53,56332,650,2
39,75,56332,474,0
80,75,56589,277,0
78,75,56837,277,0
56,67,56837,547,2
46,57,56837,529,3
75,75,57085,288,0
68,62,57348,1049,0
73,76,57348,1049,0
