note,velocity,position,duration,anomalies
74,62,718,507,1
86,28,747,1440,4
74,62,1900,679,2
70,65,2214,479,2
70,28,2398,474,3
71,83,3084,940,2
75,62,3174,414,3
74,67,4100,1049,0
83,84,5150,1629,3
74,65,6165,1217,1
74,62,8738,507,0
74,31,9246,1025,2
87,62,10117,443,3
74,100,10261,479,1
72,62,10998,1406,2
59,63,11348,590,3
63,62,12255,476,2
74,107,12292,511,1
69,90,12735,527,3
66,36,13342,474,1
71,62,13847,401,2
71,39,15147,474,2
69,63,15556,474,1
62,62,16131,1286,3
64,42,16930,507,2
74,42,17438,418,2
84,62,17943,919,2
74,28,18173,620,3
72,99,18524,474,2
82,63,19468,474,1
72,35,20344,476,2
78,67,20484,1049,1
79,63,21817,1014,1
76,65,22549,1014,1
61,62,25307,507,2
74,98,25804,1463,3
72,62,26135,509,1
62,41,26645,479,2
78,62,27155,1407,2
71,28,27660,1271,2
72,84,28239,875,3
60,67,28676,919,2
55,62,29218,477,1
66,63,29726,474,0
67,62,30231,479,0
59,56,0,4095,1
62,56,0,5087,1
71,68,451,4891,3
60,80,4330,3249,2
64,87,4315,3927,3
79,44,4100,3941,3
57,63,6854,1182,2
62,84,7774,1343,4
63,85,8026,1105,3
64,54,8111,4176,1
55,23,8196,4091,2
56,59,12226,1554,2
66,48,12292,1554,1
65,54,13777,2536,2
67,102,13620,2536,2
59,54,16224,5119,1
64,76,16309,4170,2
79,105,16394,5064,3
64,54,20314,3828,2
63,54,20626,3513,3
67,44,20668,3614,3
57,63,23200,1385,2
60,40,24069,506,2
60,65,24500,165,2
62,76,24194,4283,3
66,21,24507,4310,3
61,24,28916,1554,3
80,73,28676,1554,1
73,54,30533,3291,3
67,28,30231,2536,1
74,1,699,243,2
74,36,1312,231,0
86,59,1467,246,3
74,0,2332,231,1
80,36,2827,1164,2
71,36,2973,232,1
72,0,3529,243,2
74,0,4393,660,2
82,9,4598,1182,4
79,36,5869,494,1
71,0,5903,246,2
74,36,6428,494,0
74,7,6451,241,2
69,0,9456,243,3
64,12,9504,231,2
74,36,9999,246,0
71,0,10524,231,2
72,36,11342,241,1
61,36,11533,1173,2
78,36,11789,785,3
74,36,12585,233,0
61,63,13083,243,2
59,36,13217,782,3
67,6,14095,1067,2
80,36,15238,1176,3
69,36,15279,232,1
67,7,16028,308,3
69,63,17518,392,4
73,36,18001,307,3
66,36,18191,361,2
86,8,19212,231,3
58,36,19211,902,2
71,72,19626,519,3
72,36,20221,1137,1
74,36,21067,1275,2
61,65,21275,1154,3
77,59,21444,1492,4
79,36,22287,246,0
73,0,22594,494,3
74,64,23757,241,2
70,36,25634,243,2
76,36,25888,231,1
67,36,26383,246,1
74,36,26908,231,0
58,36,27403,361,2
71,36,27917,232,0
63,36,28351,243,2
74,36,28969,563,1
69,36,29730,243,1
66,36,29772,484,2
67,36,30479,246,0
