note,velocity,position,duration,anomalies
58,112,16930,507,2
69,76,17438,504,0
69,75,17943,479,0
70,78,18453,479,0
69,75,18963,232,0
65,75,19211,241,0
63,63,21026,507,0
63,95,21534,813,2
63,63,22039,509,0
54,42,22455,540,3
67,75,23059,232,0
65,75,23307,241,0
69,105,24801,425,3
72,51,25630,504,2
69,75,26135,479,0
70,78,26645,958,1
69,75,27155,232,0
65,75,27403,603,1
63,41,28165,232,1
62,75,28413,243,0
67,80,28676,871,2
63,75,29218,786,1
62,75,29467,243,0
62,98,29252,896,4
61,43,29984,1753,3
64,108,30481,605,4
77,76,31756,197,0
64,75,49398,1052,3
69,76,50206,504,0
69,75,50711,479,0
75,112,51639,629,4
69,109,51255,714,3
63,112,51979,241,2
52,27,53334,759,4
52,38,53838,433,4
63,63,54807,509,0
63,66,55317,540,0
67,75,55827,885,1
70,39,56372,891,4
69,45,57890,1028,2
65,55,58398,504,2
69,75,58903,479,0
70,78,59413,479,0
69,75,59923,232,0
65,75,60171,241,0
63,75,60933,232,0
62,75,61181,243,0
63,80,61444,541,0
63,75,61986,233,0
62,98,61998,992,3
62,102,62494,701,3
75,75,62273,1042,3
65,78,63509,202,0
77,76,64524,197,0
41,69,10,1034,1
29,40,795,104,2
40,64,1559,1021,2
41,67,2069,202,0
36,64,2827,102,0
39,64,3589,199,0
41,69,4100,716,1
36,30,4891,104,1
39,64,5655,202,0
41,67,6165,202,0
44,64,6780,660,3
39,64,7685,199,0
41,69,8202,228,0
36,64,8987,104,0
35,64,9751,202,1
41,67,10261,202,0
36,64,11019,102,0
39,64,11781,199,0
48,69,12292,234,1
24,33,13083,479,3
39,64,13847,202,0
41,67,14357,202,0
36,95,15300,102,2
39,64,15877,199,0
41,69,16388,234,0
36,64,17179,104,0
39,64,17524,202,1
27,67,18740,337,3
36,64,19211,102,0
37,64,19973,475,2
38,69,20045,234,2
36,64,21275,104,0
39,64,22039,202,0
41,67,22549,202,0
36,64,23307,102,0
39,103,23820,932,3
41,69,24580,234,0
36,64,25371,104,0
39,64,26135,202,0
41,87,26722,202,2
36,64,27403,102,0
39,64,28165,199,0
41,69,28676,370,1
36,85,29059,357,3
48,32,30013,1009,4
49,102,30741,202,2
36,64,31499,102,0
39,64,32261,199,0
41,69,32778,228,0
26,84,33563,104,2
47,43,33873,734,4
41,67,34837,202,0
36,64,35097,102,1
39,64,36357,199,0
41,69,36868,234,0
37,64,37659,20,2
38,86,38163,349,4
41,44,38933,275,2
44,96,39691,783,3
39,64,40453,199,0
40,69,40895,131,3
36,64,41755,104,0
39,64,42519,202,0
29,67,43029,202,1
36,64,43787,102,0
39,64,44549,199,0
33,69,44864,234,2
36,64,45851,104,0
41,102,46134,647,4
41,67,47125,202,0
36,64,47883,102,0
36,35,48645,199,2
41,69,49156,234,0
36,30,49475,927,3
39,64,50711,202,0
41,67,51221,202,0
31,27,51979,102,2
39,64,52741,199,0
33,49,52873,234,3
36,104,54364,448,3
33,64,54807,776,2
41,67,55317,202,0
36,94,55779,256,3
39,64,56837,199,0
50,93,56876,1003,4
36,64,58611,104,1
39,64,58903,202,0
55,67,59095,752,3
36,102,59683,23,3
47,64,60933,890,2
41,37,61444,823,2
36,64,62235,104,0
39,64,62999,202,0
41,67,63509,202,0
36,64,64267,102,0
39,64,65029,199,0
