note,velocity,position,duration,anomalies
56,5,0,1097,3
63,43,10,286,0
56,0,363,248,2
63,38,297,248,0
60,62,242,955,4
63,38,546,248,0
45,10,795,829,3
67,40,537,258,2
56,32,1054,257,0
62,77,1054,257,2
56,34,1312,246,0
63,44,1312,246,0
56,36,1559,247,0
63,46,1703,819,2
56,38,1807,261,0
63,48,1807,261,0
51,11,2409,262,3
63,50,2069,262,0
56,42,2332,246,0
61,52,2639,1161,3
45,44,2716,247,2
73,54,2579,1113,2
56,46,2827,256,0
74,35,2827,180,3
56,48,3084,256,0
56,58,3262,833,3
56,76,3341,247,1
63,60,3341,247,0
56,52,3589,247,0
63,62,3589,247,0
56,89,4126,258,2
63,64,3684,258,1
43,59,4100,292,1
63,39,4451,292,2
56,53,4393,248,0
63,95,4393,248,1
57,51,4586,452,3
66,93,5085,248,3
57,50,4891,475,2
63,60,4891,258,0
56,86,5150,257,1
63,36,5150,585,2
56,6,5590,246,2
63,56,5408,246,0
53,45,5655,247,1
69,94,5655,247,2
56,43,5903,261,0
50,53,6018,765,3
56,41,6165,262,0
75,51,6165,262,1
56,39,6428,246,0
61,87,6428,897,3
56,38,6416,247,1
63,48,6675,247,0
44,36,6923,205,2
69,46,7205,256,2
57,34,7054,386,3
63,44,7124,1010,2
52,9,7220,458,4
73,43,7104,247,2
56,31,7685,247,0
63,41,7685,247,0
56,29,7933,243,0
65,19,7652,618,4
55,0,8196,292,2
64,0,8196,701,2
69,28,8489,248,1
64,38,8489,248,0
59,30,8738,248,0
74,71,9157,560,4
59,0,8885,686,3
64,42,8987,258,0
73,13,9246,196,3
69,44,9246,1134,2
59,36,9504,246,0
76,86,9504,246,2
59,37,9751,247,0
64,47,9751,247,0
69,39,10065,434,3
64,49,9999,261,0
55,12,10261,515,3
64,51,10665,262,1
59,43,10524,246,0
64,53,10524,246,0
59,45,10771,664,1
60,55,10363,519,3
67,85,11409,256,3
64,57,11019,256,0
65,88,11517,1243,4
64,59,11276,256,0
59,26,11533,541,2
76,61,11351,247,2
71,19,11634,247,3
64,63,11781,247,0
59,55,12029,983,1
65,69,12029,328,2
61,20,12404,292,2
67,74,12292,1226,2
