note,velocity,position,duration,anomalies
61,60,10,125,0
66,60,10,125,0
68,110,10,668,2
61,55,290,98,0
66,55,290,113,0
68,90,419,98,2
66,98,505,581,4
66,67,795,196,0
68,77,795,196,0
61,67,1299,105,0
66,99,1093,105,2
68,77,1299,105,0
61,55,1559,202,0
66,55,1559,202,0
80,65,1559,202,1
61,77,2507,888,3
66,55,2069,184,0
66,94,1574,184,3
58,77,2561,203,2
66,55,2561,203,0
68,65,2225,828,2
61,60,3072,135,0
66,60,3072,36,1
63,95,3072,135,2
61,84,3615,706,3
66,55,3362,113,0
68,65,3362,98,0
61,67,3867,196,0
74,67,3798,196,2
76,77,3867,196,1
61,67,4371,105,0
66,106,4302,105,2
68,77,4371,105,0
61,55,4631,202,0
66,55,4631,202,0
79,65,4631,202,1
61,55,5141,184,0
66,55,5141,184,0
68,65,5141,184,0
61,55,5633,203,0
66,55,6088,712,2
74,105,5633,203,2
80,53,6144,1401,2
78,75,6939,564,0
77,52,7443,289,1
82,75,7886,1042,3
77,75,8213,552,0
75,75,8705,510,0
75,75,9216,603,0
77,113,9759,515,2
75,75,10011,564,0
65,75,10515,289,1
68,105,10340,1455,3
74,83,12288,707,3
66,60,12091,135,1
68,70,12288,135,0
57,55,12578,98,1
76,55,12118,396,3
68,37,12578,98,1
61,67,13083,196,0
61,67,12866,576,3
68,41,13225,196,2
61,27,14052,105,2
67,105,13143,105,3
68,77,13587,105,0
61,55,13847,202,0
66,55,13631,202,1
68,65,13697,202,1
64,55,14357,474,2
73,55,14856,788,3
68,65,14357,184,0
61,20,14382,362,3
55,55,14849,203,1
79,65,14849,203,1
70,86,15360,720,3
77,36,15760,791,4
68,70,15360,135,0
59,22,15599,98,3
66,84,15650,749,2
68,65,15650,98,0
61,67,16155,196,0
66,47,15866,513,3
68,77,16155,196,0
70,96,16659,105,2
66,67,16659,105,0
75,77,16606,105,2
61,55,16919,202,0
66,55,16919,202,0
68,65,16919,202,0
61,55,17185,649,2
66,55,17429,184,0
62,65,17630,184,2
61,55,17921,203,0
76,24,17921,203,2
68,65,17921,203,0
66,75,18432,1328,0
68,75,19731,289,0
66,108,19991,570,1
78,45,20501,552,2
70,114,20993,1077,2
71,75,21504,794,0
71,75,22299,564,0
73,75,22593,640,2
75,70,23063,1463,0
59,60,24576,395,1
64,60,24576,135,0
79,70,24576,135,1
59,88,24866,901,2
67,55,24866,113,1
66,65,24866,12,1
59,93,25613,913,3
64,67,25371,196,0
66,77,25371,196,0
59,67,25875,105,0
64,67,25875,105,0
79,77,26220,105,2
59,55,25684,1176,2
64,55,26135,202,0
76,43,26135,202,2
59,55,26645,184,0
64,55,26645,184,0
76,90,26210,184,3
63,83,27318,203,3
64,66,27137,234,0
76,97,27137,203,2
