note,velocity,position,duration,anomalies
78,80,10,503,0
39,74,10,2055,0
77,75,544,475,0
51,75,544,475,0
75,46,657,478,2
54,76,1050,478,0
73,75,1559,476,0
49,75,1483,651,3
75,78,2066,470,0
58,78,2066,470,0
54,78,2066,975,0
70,75,2567,474,0
54,75,2567,474,0
65,88,2632,789,2
44,75,3076,2061,0
56,36,3166,475,2
68,84,4122,759,0
60,76,4122,1394,1
63,112,4631,476,1
75,78,5138,470,0
60,78,5138,470,0
56,78,5138,975,0
77,75,5639,474,0
56,96,5777,1371,3
78,88,6148,789,0
47,80,6148,1045,0
51,75,6688,475,0
80,84,7194,759,0
53,76,7194,478,0
49,76,7194,1015,0
47,114,7793,697,4
85,86,8210,1550,1
54,115,8210,470,2
54,106,8210,1842,2
53,75,8711,474,0
82,75,9220,3067,0
54,80,9220,509,0
65,75,9220,2028,2
53,75,9760,475,0
51,76,10266,478,0
58,75,11009,476,2
51,114,10812,470,2
46,78,11282,975,0
46,75,11783,474,0
78,80,12292,509,0
39,74,12035,2592,2
77,75,12832,475,0
38,50,12685,475,3
75,76,13338,478,0
54,76,13338,478,0
73,75,13847,476,0
56,75,13563,476,1
75,78,14354,470,0
58,78,14354,470,0
54,78,14354,1149,1
70,75,14855,474,0
54,75,14855,474,0
72,88,15364,789,0
44,107,15176,2061,2
48,75,15904,475,0
68,84,16410,759,0
51,76,16410,478,0
54,75,16919,476,0
63,78,17426,470,0
58,78,17426,470,0
51,78,17426,1005,0
65,75,17927,474,0
56,75,17927,474,0
66,88,18436,789,0
47,50,18436,1484,2
51,75,18976,475,0
65,84,19482,759,0
56,76,19482,478,0
35,97,19482,1960,3
58,75,19991,476,0
49,63,20498,919,3
53,78,20977,470,1
46,78,20498,1005,0
49,75,20999,474,0
63,75,21878,3067,1
51,43,21278,509,3
51,35,21398,1524,2
53,75,22048,475,0
51,76,22554,478,0
49,75,23063,476,0
51,78,23570,470,0
46,78,23570,1005,0
53,75,24188,579,2
78,80,24580,509,0
39,74,24580,2061,0
77,75,25120,475,0
51,37,25120,475,1
66,44,25626,478,2
42,76,25422,478,2
73,75,26135,476,0
56,75,26135,476,0
75,78,26642,470,0
58,78,26705,1220,2
54,78,26642,975,0
70,75,27143,474,0
54,75,27143,474,0
72,88,27652,789,0
44,75,27652,2061,0
56,75,28192,475,0
81,84,28983,1045,3
60,76,28698,478,0
63,75,29207,853,1
63,117,29714,470,2
60,78,29714,470,0
56,40,30096,1468,3
73,75,30360,1218,3
56,75,30215,474,0
78,88,30724,789,0
42,102,30667,1390,4
51,107,31264,1431,2
80,84,31770,759,0
53,76,31770,845,1
62,76,31770,1015,1
54,75,32279,476,0
85,86,32786,749,0
56,78,32786,470,0
54,78,32786,1005,0
53,75,33287,474,0
82,75,33796,3067,0
54,80,33796,509,0
51,75,33796,1524,0
53,75,34336,475,0
51,76,34842,478,0
53,75,35351,1359,2
51,112,35858,470,1
46,78,35858,975,0
46,75,36359,474,0
78,80,36868,509,0
39,74,36868,2061,0
77,75,37408,475,0
51,75,37408,475,0
75,76,37914,478,0
54,76,37914,478,0
73,75,38423,476,0
68,44,38423,476,2
75,53,38930,919,2
58,78,38930,470,0
54,78,38930,975,0
69,49,39830,474,3
54,106,38980,613,3
72,125,39940,789,1
44,75,39940,2061,0
36,42,40027,1147,4
68,84,40986,759,0
51,76,40986,478,0
54,51,41495,476,1
63,78,42002,470,0
46,52,42002,1249,3
51,78,42002,1554,1
65,75,42503,474,0
44,75,42503,381,2
66,88,43012,789,0
47,50,43012,1045,1
50,75,44033,475,2
65,84,44058,759,0
56,76,44058,478,0
44,104,43767,1015,3
68,75,44567,476,1
61,86,45074,749,0
53,78,45074,470,0
46,78,45074,1670,1
49,75,45575,474,0
69,49,46084,3067,2
54,80,46084,509,0
51,75,46084,1524,0
59,75,46624,1243,2
51,76,47130,478,0
53,38,47639,476,2
51,78,48146,470,0
46,78,48146,975,0
46,75,48647,474,0
76,72,49156,509,0
80,86,49156,539,0
54,52,49156,2721,3
75,67,49696,475,0
78,81,49696,505,0
47,75,49696,475,0
73,68,50202,478,0
76,82,50202,508,0
56,76,50202,478,0
71,67,50711,476,0
75,81,50711,506,0
54,75,50711,476,0
70,70,51218,470,0
85,45,50841,1483,4
65,78,51106,1329,3
63,78,51218,1158,2
73,67,51719,474,0
76,81,51719,504,0
56,75,51719,474,0
70,80,52365,850,2
85,71,52043,789,3
54,80,52228,509,0
51,40,52228,2127,2
52,75,52639,1030,3
66,76,53274,759,0
70,90,53274,759,0
51,76,53274,478,0
53,75,53783,476,0
66,70,54290,470,0
70,84,54290,500,0
49,78,54290,880,1
42,77,54014,936,3
70,67,54791,474,0
75,81,54791,504,0
45,95,54791,384,3
76,72,55300,509,0
81,46,55012,539,3
40,74,55300,2061,0
75,67,55840,475,0
78,81,55840,505,0
54,100,55840,880,3
73,68,56346,478,0
76,82,56346,508,0
56,76,56346,478,0
67,67,57316,476,2
75,81,56855,506,0
67,109,56855,1203,3
70,90,56912,1462,3
73,84,57362,500,0
58,78,57362,470,0
49,78,57362,1005,0
73,67,57863,474,0
76,81,57863,504,0
56,75,57863,474,0
66,72,58372,2358,2
75,117,57872,1618,3
54,80,58372,1554,0
58,40,58372,2402,3
58,70,59941,627,2
63,84,60434,500,0
63,67,60935,474,0
68,81,60935,504,0
70,72,61444,509,0
73,86,61444,539,0
41,72,61368,2572,3
68,67,61984,475,0
72,81,61984,505,0
39,103,61984,475,1
66,68,62490,478,0
70,58,62490,1181,2
48,76,62490,478,0
65,67,62829,476,1
68,81,62999,506,0
46,75,63229,476,1
66,70,63506,470,0
70,84,63506,500,0
53,100,63930,751,4
44,78,63506,1005,0
68,67,64007,474,0
72,81,63782,959,2
45,75,63728,474,2
66,47,64815,1391,3
70,94,64516,789,0
51,80,64516,509,0
39,74,64516,2061,0
53,75,65056,475,0
71,45,65562,886,3
50,53,65995,759,3
62,109,65900,1067,4
48,37,65637,476,3
58,70,66578,470,0
63,84,66578,1332,1
54,78,66578,470,0
49,78,66578,1005,0
61,67,67079,474,0
65,119,67079,504,1
56,75,67079,474,0
63,80,67588,789,0
66,94,67588,789,0
58,88,67588,789,0
47,75,67588,2061,0
66,76,68634,759,0
71,90,68634,759,0
82,78,69650,749,1
75,92,69650,749,0
58,86,69650,749,0
45,78,69650,1265,1
70,67,70660,3067,0
