note,velocity,position,duration,anomalies
77,25,10,2047,3
80,31,1050,1055,1
91,63,2066,1045,1
83,36,2779,2016,3
82,49,4994,561,2
83,75,5639,565,0
85,48,6148,2341,2
76,47,7703,567,2
82,75,8210,561,0
83,48,8711,1020,3
79,70,8941,1000,2
82,75,10266,569,0
83,75,10775,1497,1
82,115,11204,734,4
87,75,11783,565,0
72,75,11981,6139,2
92,102,18436,2654,3
80,75,20498,1045,0
66,70,21220,3067,2
68,67,24580,1085,0
75,81,24580,1045,0
75,67,25626,1055,0
80,81,25626,1015,0
81,102,26751,1160,4
83,81,26642,1005,0
75,62,27652,2016,0
93,103,27652,3002,3
78,67,29714,561,0
72,81,29714,500,1
80,67,30215,565,0
83,81,30215,504,0
82,96,30562,2012,3
85,81,30477,1554,1
78,67,32279,567,0
83,81,32384,1180,2
75,67,32786,561,0
77,81,32331,500,2
73,67,33287,565,0
78,117,33188,612,4
82,41,33796,1791,3
75,76,33796,1045,0
78,93,34842,569,1
90,107,34842,950,3
80,67,35351,567,0
83,81,35644,506,1
82,67,35858,561,0
76,81,35368,1130,3
78,67,36717,565,2
87,43,36359,504,1
85,100,36584,6094,2
90,81,36868,6139,0
80,67,42875,4117,2
87,81,43176,4533,2
63,67,47130,569,0
71,81,47130,508,0
61,41,47639,567,1
70,83,47231,1190,2
66,72,48146,493,2
68,86,48146,500,0
61,97,48647,565,2
66,90,48571,504,1
56,80,49156,1374,1
65,94,49594,1265,3
59,105,50202,1990,2
55,61,50627,1015,3
66,80,51218,1045,0
71,94,50848,1005,1
59,75,52228,2160,1
68,68,52228,2918,2
74,41,54290,561,2
70,94,54290,500,0
64,80,55167,1092,2
71,94,54791,504,0
66,110,55300,1085,1
73,94,55300,1045,0
64,45,56346,1055,1
59,127,56346,1267,3
63,80,57658,561,1
69,127,57362,500,2
61,117,57863,565,1
68,94,57863,504,0
58,110,58198,1002,2
51,89,58372,1045,1
66,80,59418,802,2
70,60,59295,686,3
66,80,59927,567,0
75,94,59522,506,2
68,80,60434,561,0
73,94,60434,500,0
70,80,60935,504,0
75,94,60935,504,0
61,80,61274,6309,0
73,115,61414,6379,4
70,94,61444,6139,0
61,120,67349,1114,3
63,46,67398,727,3
69,123,67588,2870,3
63,41,70149,1552,3
81,70,69231,1698,4
56,49,70660,3067,1
63,66,70834,3627,3
64,80,73732,1085,1
63,94,74024,1045,1
59,80,74778,1055,0
68,94,74778,1015,0
66,80,75507,1958,2
71,94,75794,1005,0
51,75,76719,2856,3
68,89,76804,2061,0
63,80,78866,561,0
70,94,78866,500,0
64,80,79367,565,0
79,94,79367,852,2
66,80,80053,1179,2
73,126,79876,1247,2
64,120,80796,1055,2
71,94,80922,1015,0
63,80,81938,561,0
75,94,82272,776,3
61,80,82439,565,0
68,62,82215,866,3
58,75,82948,1002,0
59,89,82948,1045,1
63,80,83994,569,0
65,127,83735,508,3
66,111,84104,567,2
71,94,84004,704,2
66,108,85351,561,3
83,94,85293,500,2
70,80,85511,565,0
77,70,85205,1333,4
63,80,85850,6266,0
66,80,85935,6181,0
74,127,86020,6536,3
71,80,91557,2458,2
82,80,91596,2326,3
87,94,92392,2455,3
68,88,92164,3067,0
75,80,94226,1045,0
80,105,94053,1752,3
76,73,94226,1920,3
67,105,95338,3022,3
78,75,95236,3022,0
82,89,95236,3022,0
56,80,98308,1908,1
63,72,98373,1301,3
52,80,99472,1055,2
68,94,99354,1015,0
66,51,100370,1045,1
71,94,100370,1005,0
62,110,101380,2359,3
68,89,101380,2061,0
63,80,103442,561,0
69,73,103442,500,2
64,80,103943,565,0
71,94,103943,504,0
58,80,104289,1085,2
73,94,104452,1045,0
64,48,105974,1993,3
71,94,105498,1015,0
68,103,106451,561,3
70,94,106645,1152,2
48,50,107015,1314,3
68,94,106635,1243,2
58,75,107676,1002,1
63,114,107784,1045,2
73,56,108570,1184,3
83,57,108570,508,2
68,106,109469,1098,4
71,94,109079,506,0
74,116,109586,561,2
81,94,109637,893,3
70,43,110404,504,2
84,127,110087,1020,3
61,80,110902,6379,2
63,80,110511,6224,0
70,94,110596,6139,0
73,80,116417,706,3
63,80,116655,80,0
70,94,116740,2061,0
63,80,118802,1005,0
71,68,118321,1005,3
57,75,119812,3354,2
63,89,119442,3387,2
56,80,122884,1085,0
63,94,122528,1045,1
59,80,123438,1055,1
68,94,123490,1015,1
66,80,124946,1045,0
71,94,124775,1945,2
59,75,125956,2216,1
68,64,126387,2861,3
63,80,128018,561,0
70,59,128018,500,1
64,108,128519,1209,2
76,94,128519,423,2
66,80,129028,1804,1
73,94,129028,1900,1
64,80,130074,1055,0
84,68,130074,1173,3
50,80,130949,561,2
80,94,131376,500,2
75,120,131930,1150,4
77,94,131591,504,1
53,75,132100,1920,2
63,64,132100,1045,1
63,80,133146,569,0
70,94,133146,508,0
66,48,134029,1155,3
72,94,133655,506,1
65,50,134093,1101,4
60,127,134162,857,3
70,80,134663,565,0
75,94,134663,504,0
68,80,135002,6266,1
66,80,135087,6181,0
82,94,134803,6139,2
71,104,141499,2917,3
65,41,141231,2146,2
80,94,141316,2061,0
75,88,141316,4050,2
63,108,143378,1045,2
80,80,143163,1414,2
83,94,143817,1843,2
73,75,144388,3022,0
87,51,144388,3022,2
82,89,144388,3022,0
56,80,147660,1865,2
63,94,147460,1045,0
59,80,148506,1055,0
68,94,148506,1882,1
54,80,149861,1045,2
71,94,149522,1005,0
59,75,150532,2016,0
68,89,150532,2061,0
63,80,152594,561,0
70,94,152594,500,0
64,80,153095,565,0
64,58,153095,504,2
80,80,153604,1085,1
73,94,153604,1045,0
64,52,154751,1055,2
71,94,154650,1015,0
63,80,155666,561,0
70,94,155666,500,0
69,108,156360,963,4
82,94,156340,504,2
58,75,156676,1002,0
66,113,156869,1045,3
63,80,157722,569,0
70,94,157662,508,1
66,80,158231,567,0
71,120,158231,586,2
68,80,158738,561,0
85,94,159060,1343,3
70,55,159529,1141,3
71,94,159239,1424,2
61,41,159788,6309,2
63,80,159760,7089,2
63,73,159393,6723,4
73,114,165722,989,3
63,80,165807,655,1
70,94,165892,2061,0
52,80,167651,1437,3
68,94,167954,1005,0
56,75,168964,3067,0
63,89,168964,3067,0
56,100,171815,1887,3
63,94,172036,1045,0
57,80,173082,1055,1
68,69,172941,940,3
66,80,174098,1045,0
71,94,174580,1005,1
59,75,175108,2016,0
68,114,175574,2061,2
53,117,177170,561,2
70,94,176979,772,2
64,80,177671,565,0
78,63,177671,504,2
62,80,178452,1085,2
73,127,178180,1342,2
64,114,179304,1055,2
71,94,179226,1805,1
63,80,180242,561,0
59,94,179766,500,2
61,80,180743,565,0
68,127,180339,504,2
58,43,181128,1980,3
53,89,181252,1045,1
63,107,182298,628,2
76,94,182298,508,1
66,115,182935,567,2
71,94,182451,506,1
55,101,183314,843,3
73,58,183314,500,1
70,80,183815,565,0
76,115,183815,504,2
65,80,183994,6266,2
70,80,183957,6838,3
73,94,184324,6139,0
71,80,190298,2312,0
75,42,190383,2146,1
85,116,190744,3004,4
58,88,190468,3067,1
75,80,192530,1045,0
80,80,192625,1981,2
83,94,192530,1005,0
73,75,193540,3022,0
90,46,193540,3869,3
81,116,193540,3262,3
56,80,196612,1085,0
63,119,196679,1199,3
59,48,197658,1637,2
68,94,197168,1015,1
66,115,198514,1403,3
71,64,198479,1005,2
59,35,199550,2016,2
67,127,200096,2061,3
63,80,201262,561,1
70,94,201746,1064,1
