note,velocity,position,duration,anomalies
78,44,10,595,0
58,44,10,863,2
73,37,575,530,0
66,37,575,530,0
78,39,1075,537,0
69,39,1075,537,0
73,37,1582,532,0
66,37,1582,532,0
78,41,2084,520,0
69,41,2084,520,0
73,37,2574,528,0
66,37,2574,528,0
64,44,3080,1449,2
62,44,3080,597,0
73,37,3647,905,1
66,37,3647,530,0
78,39,4147,537,0
69,39,4147,537,0
73,37,4654,532,0
66,37,4654,532,0
78,41,5156,520,0
69,41,5156,520,0
73,37,5646,528,0
66,37,5646,528,0
71,44,6152,597,0
59,44,6152,597,0
69,37,6719,530,0
63,37,6719,530,0
73,51,7219,1008,0
66,39,7219,537,0
66,37,7726,532,1
69,41,8228,520,0
66,41,8228,520,0
71,37,8718,528,0
63,37,8718,528,0
76,44,9224,597,0
59,44,9224,597,0
75,37,9791,530,0
63,37,9791,530,0
76,39,10291,1025,1
66,39,10291,537,0
78,37,10798,532,0
63,37,10798,532,0
75,41,11300,520,0
66,41,11300,520,0
71,37,11790,528,0
63,37,11790,528,0
78,44,12296,597,0
55,44,12296,597,0
74,16,12863,821,3
59,37,12863,530,0
78,39,13363,537,0
62,39,13363,537,0
71,37,13870,532,0
59,37,13870,532,0
78,41,14372,520,0
62,41,14372,520,0
71,37,14862,528,0
59,37,14862,528,0
78,44,15368,597,0
55,44,15368,597,0
70,37,16037,686,2
58,37,15935,530,0
78,39,16435,537,0
62,39,16435,537,0
70,37,16942,532,0
58,37,16942,532,0
79,53,17444,987,0
62,41,17444,520,0
58,37,17934,528,0
78,56,18440,536,0
62,44,18440,597,0
74,49,19007,469,0
66,37,19007,530,0
70,71,19846,476,3
69,39,19507,537,0
74,49,20014,471,0
66,37,20014,532,0
72,53,20516,459,1
69,41,20516,520,0
78,49,21006,467,0
66,37,21006,528,0
76,56,21512,1066,0
61,44,21512,597,0
64,37,22079,530,0
74,51,22579,1008,0
69,39,22579,537,0
64,37,23086,532,0
73,53,23588,987,0
69,41,23588,520,0
64,37,24078,528,0
78,44,24586,595,0
62,44,24586,595,0
73,37,25151,530,0
66,37,25151,530,0
78,39,25651,537,0
69,39,25651,537,0
73,37,26158,532,0
66,37,26158,532,0
78,41,26660,520,0
69,41,26660,520,0
73,37,27150,528,0
66,37,27150,528,0
78,44,27656,597,0
62,44,27656,597,0
73,37,28223,530,0
66,37,28223,530,0
78,39,28723,537,0
69,39,28723,537,0
73,37,29230,532,0
66,37,29230,532,0
78,41,29732,520,0
69,41,29732,520,0
73,37,30222,528,0
66,37,30222,528,0
71,44,30728,597,0
59,44,30728,597,0
69,37,31295,530,0
63,37,31295,530,0
73,51,31795,1008,0
66,39,31795,537,0
63,37,32302,532,0
69,41,32804,520,0
66,41,32804,1292,1
71,37,33294,528,0
63,37,33294,528,0
76,44,33800,597,0
59,44,33800,597,0
75,37,34367,530,0
63,37,34367,530,0
76,39,34867,537,0
66,39,34867,537,0
78,37,35374,532,0
63,37,35374,532,0
75,41,35876,520,0
66,41,35876,520,0
71,37,36366,528,0
63,37,36366,528,0
90,9,36872,943,3
55,44,36872,597,0
71,37,37439,530,0
59,37,37439,530,0
78,39,37939,537,0
62,39,37939,537,0
71,37,38446,532,0
59,37,38446,532,0
78,41,38948,520,0
62,41,38948,520,0
71,37,39438,528,0
59,37,39670,528,1
78,44,39944,597,0
55,44,39944,597,0
70,37,40511,530,0
58,37,40511,530,0
78,39,41011,537,0
62,39,41011,537,0
70,37,41518,532,0
58,37,41518,532,0
79,53,42020,987,0
62,41,41792,985,2
58,37,42510,528,0
78,56,43336,1041,2
62,44,43016,597,0
74,49,43583,469,0
66,37,43583,530,0
78,51,44083,476,0
69,39,44083,537,0
74,49,44590,471,0
66,37,44590,532,0
76,53,45092,459,0
69,41,45092,520,0
78,49,45582,467,0
66,37,45582,528,0
76,56,46088,1066,0
61,44,46088,597,0
64,37,46655,530,0
74,51,47155,1008,0
69,39,47155,537,0
64,37,47662,532,0
73,53,48164,987,0
49,53,48164,987,0
69,41,48164,520,0
64,37,48654,528,0
78,69,49160,1573,0
50,69,49160,1573,0
61,62,49727,469,0
54,62,49727,469,0
66,64,50227,476,0
58,64,50511,958,3
61,62,50734,471,0
69,62,50734,1489,0
54,62,50734,471,0
38,61,50734,1489,0
66,66,51236,459,0
57,66,51236,459,0
61,62,51726,467,0
54,62,52022,467,1
66,69,52232,536,0
73,62,52232,2075,0
45,62,52232,2075,0
61,62,52799,469,0
54,62,52799,469,0
66,64,53299,476,0
57,64,53299,476,0
61,62,53806,471,0
54,62,53806,471,0
78,66,54308,987,0
57,66,54308,459,0
49,66,54308,987,0
61,62,54798,467,0
54,62,54798,467,0
59,69,55304,536,0
75,62,55304,3063,0
47,62,55013,4006,2
57,62,55871,469,0
51,62,55871,469,0
61,64,56371,1008,0
54,64,56371,476,0
51,62,56878,471,0
57,66,57380,459,0
54,66,57380,459,0
59,62,57550,1420,2
51,62,57870,467,0
64,69,58376,536,0
71,62,58376,3063,0
42,62,58376,3063,0
63,62,58943,469,0
51,62,58943,469,0
67,64,59443,1041,2
54,64,59443,476,0
63,62,59950,471,1
51,62,59950,471,0
63,66,60452,459,0
54,66,60452,459,0
59,62,60942,467,0
51,62,60942,467,0
66,69,61448,536,0
71,69,61448,1573,0
43,69,61448,1573,0
62,62,62015,469,0
50,62,62015,469,0
66,64,62515,476,0
59,27,62515,1275,2
78,62,63022,1489,0
55,42,63104,1354,3
50,62,63022,1489,0
52,44,63078,1176,4
59,66,63524,459,0
62,62,64014,467,0
55,62,64014,467,0
66,69,64520,536,0
78,69,64520,1573,0
50,69,64520,1573,0
62,62,65087,469,0
55,62,65087,469,0
66,64,65587,476,0
58,64,65587,476,0
62,82,66094,471,1
74,32,66094,2488,2
55,62,66094,471,0
46,62,66094,1489,0
55,44,66596,1896,3
58,66,66596,459,0
55,62,67086,467,0
66,69,67592,536,0
74,62,67592,3063,0
45,62,67592,3063,0
62,62,68159,469,0
54,62,68159,469,0
66,64,68659,476,0
57,64,68659,476,0
62,62,69166,471,0
54,62,69166,471,0
64,66,69668,459,0
57,66,69668,459,0
66,62,70158,467,0
54,62,70158,467,0
51,25,70664,1565,3
73,75,70664,1066,0
45,69,70664,1066,0
52,62,71231,469,0
62,56,71731,1008,0
71,70,71731,1008,0
57,64,71731,476,0
43,64,71731,1008,0
52,62,72238,471,0
61,58,72740,987,0
73,72,72740,987,0
57,66,72740,459,0
49,66,72740,987,0
52,62,73230,467,0
78,69,73736,1573,0
50,69,73736,1573,0
61,62,74303,469,0
54,62,74303,469,0
66,64,74803,476,0
54,64,75012,476,2
61,62,75310,471,0
69,62,75310,1489,0
54,62,75310,471,0
38,61,75310,1489,0
66,66,75812,459,0
57,66,75812,459,0
61,62,76302,467,0
54,62,76302,467,0
66,69,76808,536,0
73,62,76808,2075,0
45,62,76808,2075,0
61,62,77375,469,0
54,62,77375,469,0
66,64,77875,476,0
57,64,77875,476,0
61,62,78382,471,0
54,62,78382,471,0
78,66,78884,987,0
57,66,78884,459,0
40,103,78884,1239,3
61,62,79374,467,0
54,62,79374,467,0
59,69,79880,536,0
75,62,79880,3063,0
47,62,79880,3063,0
57,62,80447,469,0
51,62,80447,469,0
52,34,80947,1008,2
54,64,80947,476,0
51,62,81454,471,0
57,66,81956,459,0
54,66,81956,459,0
59,62,82446,467,0
51,62,82446,467,0
64,69,82952,536,0
71,62,82952,3063,0
42,62,82952,3063,0
63,62,83519,469,0
51,62,83519,469,0
64,64,84019,476,0
54,64,84019,476,0
66,62,84526,471,0
51,62,84526,471,0
63,66,85028,459,0
54,66,85028,459,0
59,62,85518,467,0
51,62,85518,467,0
66,69,86024,536,0
71,69,86024,1573,0
43,69,86024,1573,0
62,62,86591,469,0
64,62,86591,1438,2
66,26,87241,476,2
59,64,87091,476,0
78,62,87598,1489,0
55,62,87598,471,0
50,62,87598,1489,0
66,66,88100,459,0
59,66,88100,459,0
62,62,88590,467,0
55,62,88590,467,0
66,69,89096,536,0
78,69,89096,1573,0
50,69,89096,1573,0
62,62,89663,469,0
55,62,89663,469,0
66,64,90163,476,0
70,64,90163,943,2
62,62,90670,471,0
74,62,90670,1489,0
55,62,90670,471,0
46,62,90670,1489,0
67,66,91172,987,0
58,66,91172,459,0
55,62,91662,467,0
72,69,91914,1213,3
74,62,92168,5147,0
38,61,92168,5147,0
62,62,92735,469,0
54,62,92735,469,0
66,64,93235,476,0
57,64,93235,476,0
62,62,93742,471,0
54,62,93742,471,0
64,66,94244,459,0
57,66,94244,459,0
66,62,94734,467,0
54,62,94734,786,1
61,57,95240,1106,0
54,62,95807,469,0
66,52,96307,1048,0
57,64,96307,476,0
54,62,96814,471,0
61,54,97316,1027,0
57,66,97316,459,0
45,66,97316,987,0
54,62,97806,467,0
78,44,98314,595,0
62,44,98314,595,0
73,37,98879,530,0
66,37,98879,530,0
78,78,99850,537,2
69,39,99379,537,0
87,65,100367,532,3
66,37,99886,532,0
78,41,100388,520,0
69,41,100388,520,0
73,37,100878,528,0
70,69,100735,1267,4
78,44,101384,597,0
62,44,101384,597,0
73,37,101951,530,0
66,37,101951,530,0
78,39,102451,537,0
69,39,102451,537,0
73,37,102958,532,0
66,37,102958,532,0
78,41,103460,520,0
69,41,103460,520,0
73,73,103950,528,1
66,37,103950,528,0
71,44,104456,597,0
59,44,104456,597,0
69,37,105023,530,0
63,37,105023,1457,1
73,51,105523,1008,0
66,39,105523,537,0
63,37,106030,532,0
69,41,106532,520,0
66,41,106532,520,0
71,37,107022,528,0
63,37,107022,528,0
76,44,107528,1186,1
59,44,107528,597,0
75,37,108095,530,0
63,37,108095,530,0
76,39,108595,537,0
66,39,108595,537,0
78,37,109102,532,0
63,37,109102,532,0
75,41,109604,520,0
66,41,109604,520,0
71,37,110094,528,0
63,37,110094,528,0
78,81,110600,1204,2
55,44,110600,597,0
71,37,111167,530,0
59,37,111167,530,0
71,39,111949,1236,3
62,39,111667,537,0
71,37,112174,532,0
59,37,112174,532,0
66,41,112254,520,2
62,41,112676,520,0
71,37,113166,528,0
59,37,113166,528,0
78,44,113672,597,0
55,44,113672,597,0
70,37,114239,530,0
58,37,114239,530,0
78,39,114739,537,0
62,39,114739,537,0
70,37,115246,532,0
58,37,115246,532,0
79,53,115748,987,0
62,41,115748,520,0
58,37,116238,528,0
78,56,116744,536,0
62,44,116744,597,0
74,49,117311,469,0
66,37,117311,530,0
78,51,117811,476,0
69,39,117811,537,0
74,49,118318,471,0
66,37,118318,532,0
76,53,118820,459,0
69,41,118820,520,0
78,49,119310,467,0
66,37,119310,528,0
76,56,119816,1066,0
61,44,119816,597,0
64,37,120383,530,0
74,51,120883,1008,0
69,39,120883,537,0
64,37,121390,532,0
73,53,121892,987,0
49,53,121892,987,0
69,41,121892,520,0
64,37,122382,528,0
78,69,122888,1573,0
50,69,122888,1573,0
61,62,123455,469,0
54,62,123455,469,0
66,64,123955,476,0
57,64,123955,476,0
61,62,124462,471,0
69,62,124462,1489,0
54,62,124462,471,0
38,61,124462,1489,0
66,66,124964,459,0
57,66,124964,459,0
61,62,125454,467,0
54,62,125454,467,0
66,69,125960,536,0
73,62,125960,2075,0
45,62,125960,2075,0
61,62,126527,469,0
54,62,126527,469,0
66,64,127027,476,0
57,64,127027,476,0
61,62,127534,471,0
54,95,127534,471,1
78,66,128036,987,0
57,34,128157,459,2
49,66,128036,987,0
57,42,128083,467,3
65,62,128526,1260,2
59,69,129032,536,0
75,25,129032,3666,2
47,62,129032,3063,0
57,62,129599,469,0
51,62,129222,800,2
61,64,130099,1008,0
54,64,130099,476,0
51,62,130606,471,0
57,66,131108,459,0
54,66,131108,459,0
59,62,131598,467,0
51,62,131598,467,0
64,69,132104,536,0
71,62,132104,3063,0
42,62,132104,3063,0
63,62,132671,469,0
51,62,132671,469,0
64,64,133171,476,0
54,64,133171,476,0
66,62,133678,471,0
51,62,133678,471,0
63,66,134180,459,0
54,66,134180,459,0
59,62,134670,467,0
51,62,134670,467,0
66,69,135176,1093,1
71,69,135176,1573,0
43,69,135176,1573,0
62,62,135743,469,0
50,62,135743,469,0
66,64,136243,476,0
59,64,136243,476,0
78,62,136750,1489,0
55,62,136750,471,0
50,62,136750,1489,0
66,66,137252,459,0
59,66,137252,459,0
62,62,137742,467,0
65,38,137742,1399,3
66,69,138248,536,0
78,69,138248,1573,0
50,69,138248,1573,0
62,62,138815,469,0
55,62,138815,469,0
66,64,139315,476,0
58,64,139315,476,0
62,62,139822,471,0
74,87,140017,1489,2
55,62,139822,471,0
46,62,139822,1489,0
67,66,140324,987,0
58,66,140324,459,0
55,62,140814,467,0
66,69,141320,536,0
74,62,141320,5147,0
38,61,141320,5147,0
62,62,141887,469,0
54,62,141887,469,0
66,64,142387,476,0
57,28,142509,476,2
62,62,142894,471,0
54,62,142894,471,0
64,66,143396,459,0
57,66,143396,459,0
66,62,143886,467,0
54,62,143886,467,0
61,57,144392,1106,0
54,62,144959,469,0
66,52,145459,1048,0
57,64,145459,476,0
54,62,145966,471,0
61,54,146468,1027,0
57,66,146468,459,0
45,66,146468,987,0
54,62,146958,467,0
