note,velocity,position,duration,anomalies
63,78,0,505,2
48,123,433,1043,2
56,112,10,1847,2
68,68,914,477,2
70,102,1054,474,0
34,102,1141,474,2
68,68,1371,1903,3
41,104,2509,427,2
73,127,2506,474,3
48,93,2362,474,1
53,107,2879,504,1
72,122,3084,474,1
41,102,3084,1011,0
72,127,4100,511,1
77,112,3727,660,3
46,62,4100,1049,1
51,112,4100,1049,0
75,94,5150,474,0
79,108,5150,504,0
32,81,5150,937,3
71,126,5184,677,4
71,127,5749,1122,4
68,104,6165,1014,0
39,103,6165,479,0
50,93,6675,474,1
51,107,6675,504,0
77,94,7180,1011,1
71,71,7180,1565,3
36,101,7180,1305,2
68,101,8196,1089,0
44,98,8196,1049,0
49,76,8110,1049,2
70,101,9513,1072,2
37,101,9246,474,0
72,96,9646,1006,2
70,89,9751,1050,0
34,127,10336,1220,4
58,75,10771,395,2
44,93,10618,474,1
53,80,10771,1315,3
37,64,11069,1011,2
53,101,11781,476,1
77,106,12292,1106,2
44,98,12599,1049,1
49,112,12292,995,1
74,102,13342,1014,1
44,101,13342,474,1
68,104,14357,1014,0
37,103,14357,1078,1
42,55,15182,1345,4
49,107,14867,504,0
65,102,15841,1779,3
37,101,15372,1011,0
59,98,16856,1049,2
73,112,16157,1770,2
43,98,16781,1049,1
48,112,16388,1919,1
65,120,17438,1014,2
85,108,17760,1099,3
36,100,17438,474,0
70,117,18351,993,3
62,70,18453,1014,2
36,102,18453,479,0
43,93,19015,474,1
48,127,18963,504,1
72,101,19468,286,0
36,100,19468,1454,1
73,96,19725,198,0
72,89,19973,1083,0
47,60,20263,1049,3
39,112,20709,1049,2
85,101,21026,346,2
36,100,21534,474,0
84,101,22352,479,2
73,75,22549,1014,2
36,102,22549,995,1
53,127,23059,1173,3
48,107,23524,504,1
60,127,23564,1011,2
36,127,23391,1011,2
68,101,24663,1558,2
43,98,24332,1623,3
46,112,24580,1049,0
70,101,25630,287,0
34,100,25467,944,2
58,68,26354,697,4
84,89,26135,1050,1
34,102,26292,866,2
63,101,27354,395,2
41,93,26923,552,2
46,107,27155,504,0
34,100,27660,1011,0
63,72,28059,1262,3
68,106,28676,1049,0
41,98,28676,1648,1
49,112,28676,1151,2
70,81,29726,1839,2
34,100,29726,474,0
68,104,30741,1014,0
34,102,30741,479,0
41,93,31251,474,0
46,107,31251,504,0
86,74,31428,1011,3
36,127,31888,1011,3
