note,velocity,position,duration,anomalies
54,61,0,2068,0
65,96,138,2492,4
70,67,10,505,0
66,105,254,2058,2
73,42,546,507,1
73,63,1054,2534,0
54,62,2069,570,0
75,22,2346,565,3
66,62,3023,1550,2
70,62,3589,476,0
57,37,3747,603,4
52,59,3930,2234,0
54,59,4015,2149,1
72,67,4482,587,3
64,73,4100,2064,0
58,62,4642,477,1
73,63,5150,3041,0
59,92,5698,570,3
59,62,6675,565,0
54,102,7180,1538,3
56,57,7685,459,0
51,59,8026,2453,1
53,94,8390,2612,4
59,99,8196,1246,3
63,73,8196,2567,1
70,62,8738,507,0
70,63,9676,2772,2
51,22,10591,1401,3
58,62,10771,565,0
58,62,11276,565,1
80,97,11781,649,3
67,90,11880,459,3
52,59,12122,2234,0
72,37,12207,2981,3
70,67,12292,511,0
62,73,12418,2130,3
71,62,12834,477,0
68,40,13142,1583,3
64,84,14357,2645,2
60,90,14241,2026,3
73,71,14357,2990,1
72,97,14357,2026,2
54,59,16218,2234,0
61,59,16637,2415,2
70,86,16114,922,3
82,68,16388,541,0
66,36,16440,2064,2
73,22,16638,735,3
86,68,16634,752,3
78,54,17438,2012,1
85,64,17438,2029,0
54,96,18453,570,1
61,62,18963,565,0
71,90,19064,565,3
70,74,20387,1156,3
82,43,20400,506,2
53,86,19973,459,2
48,59,20622,2156,3
48,23,20632,3125,4
71,27,20357,602,2
80,108,20640,1015,4
65,73,20571,2064,2
69,54,21473,568,2
71,68,21357,507,2
73,54,21534,2012,0
85,105,21452,1974,3
52,62,22549,570,0
59,62,23059,565,0
64,62,23564,565,0
56,57,24200,635,2
51,59,24698,2565,2
58,99,24070,2149,2
66,54,24580,602,0
78,68,24758,541,1
77,104,25068,2972,4
70,22,25122,507,1
82,68,25318,1478,2
72,54,26122,2012,2
82,64,25630,2029,0
51,86,26645,570,1
58,62,27155,565,0
63,62,27660,565,0
74,94,27839,567,3
80,68,28165,506,0
58,57,28165,459,0
52,80,28506,2861,2
59,59,28591,2149,0
70,54,28949,1254,2
70,68,28676,541,1
71,49,28676,2064,2
82,54,29467,568,2
83,68,29218,507,0
68,49,29929,1425,2
80,63,29726,1560,1
52,57,30741,2923,2
68,57,30741,2026,0
73,71,30741,2026,0
57,65,30741,2217,2
53,59,32602,2626,2
61,26,32687,2149,1
64,54,32772,1322,2
82,68,32990,774,2
52,73,32506,2413,3
61,54,33314,583,2
85,68,33314,507,0
73,21,33738,2012,2
84,100,33378,2284,4
51,62,34652,1067,3
55,33,35347,1002,3
66,62,35947,685,2
83,82,36176,1409,4
87,68,36261,1289,3
58,57,36776,1323,2
52,59,36698,2234,0
59,85,36892,3013,3
71,91,36403,602,2
83,68,36868,541,0
60,37,36654,2064,3
68,54,37243,568,1
80,68,37410,507,0
73,81,37632,2250,3
72,94,37918,2197,3
52,62,38933,570,0
59,62,39678,565,1
64,62,39948,565,0
56,57,40453,459,0
51,94,40794,2234,1
58,59,40879,2149,0
61,54,40596,602,2
78,68,40964,541,0
63,73,40964,2064,0
70,54,41506,1230,1
82,68,41506,507,0
71,85,42014,2012,2
82,64,42014,2029,0
51,62,43029,570,0
58,26,43446,565,2
62,62,43724,1418,3
68,54,44549,567,0
80,68,44549,506,0
58,57,45003,459,1
53,59,44491,3145,3
59,59,44975,2149,0
70,54,45060,602,0
82,39,45060,692,2
64,73,45060,2064,0
71,54,45602,478,1
83,68,45602,507,0
74,54,45928,2012,2
80,37,46110,2636,2
52,62,47125,570,0
59,62,47635,565,0
64,62,48419,565,1
59,57,48645,459,0
63,23,49030,602,2
47,86,49156,602,1
66,62,49698,568,0
51,62,49698,568,0
57,62,50206,1548,2
65,34,49815,565,3
54,57,50711,462,0
69,32,51221,997,1
47,35,50808,484,3
51,62,51731,565,0
58,62,52236,565,0
60,62,52741,494,2
61,90,52741,1087,3
67,62,53252,1343,2
41,62,52887,602,2
66,62,53794,568,0
50,62,53794,568,0
70,62,54302,2517,0
58,35,54632,1411,3
54,57,54807,462,0
47,89,55317,570,1
50,62,55827,565,0
58,62,56332,565,0
