note,velocity,position,duration,anomalies
45,38,56,5062,3
52,62,717,306,0
59,63,1206,645,2
59,62,1730,989,0
52,62,2750,303,0
57,63,3084,645,0
59,62,3760,305,0
49,96,3815,4923,3
52,62,4813,306,0
57,63,5150,645,0
63,89,5826,989,2
52,62,6846,303,0
57,88,7180,645,1
59,62,7856,305,0
48,62,8192,8192,0
52,62,8909,306,0
57,63,9493,1006,2
64,99,9922,1252,3
55,62,11172,914,3
57,85,11166,645,2
59,62,11952,1239,1
52,34,12716,1076,3
57,35,13581,645,2
64,62,14018,2051,0
45,62,15886,4605,2
39,91,17378,1191,4
57,63,17438,645,0
59,62,18114,989,0
52,27,18802,435,3
57,63,19955,645,1
59,62,20516,931,2
49,62,20480,4096,0
52,62,21197,306,0
57,63,21098,645,1
59,62,22210,989,0
52,62,23230,303,0
57,63,23564,645,0
59,62,24240,305,0
50,62,24576,8192,0
54,62,25293,306,0
57,90,25630,1053,2
71,62,26702,1953,3
54,27,27326,1299,2
57,63,27660,645,0
59,62,28336,305,0
69,62,29389,306,0
68,85,29963,645,2
64,62,30402,989,0
57,62,31422,303,0
59,63,31756,645,0
57,62,32432,305,0
45,88,32768,4863,2
51,33,33485,1150,3
57,63,33822,645,0
59,62,34063,989,1
52,62,35518,303,0
57,93,35852,1176,2
59,62,36528,305,0
36,83,37343,4484,4
52,62,37581,306,0
64,37,37785,645,3
59,62,38594,989,0
52,85,39614,303,1
57,63,39948,645,0
59,62,40624,305,0
48,62,40960,4096,0
52,62,41677,306,0
57,63,42014,645,0
59,62,42690,989,0
64,62,43710,863,1
59,63,44044,645,0
57,26,44720,305,1
48,62,45056,1707,0
52,62,45773,306,0
53,63,46110,895,2
46,62,46763,2389,1
59,62,46786,989,0
64,62,47806,303,0
52,63,48140,645,0
57,62,48816,305,0
45,62,49152,4096,0
52,62,49869,306,0
57,63,50206,645,0
59,62,50882,989,0
52,62,51902,303,0
57,63,52236,645,0
64,40,52414,305,2
49,62,53248,4096,0
52,62,53965,306,0
57,63,53962,645,1
50,62,55343,1730,3
54,62,55998,404,2
61,63,56332,645,0
54,91,57008,305,2
48,62,57344,4096,0
52,62,58061,306,0
57,63,58398,645,0
59,62,59074,989,0
52,62,60094,303,0
57,63,60428,645,0
59,62,61104,305,0
47,62,61440,1707,0
57,62,62157,306,0
59,63,62494,645,0
57,54,63000,2221,0
64,88,63085,3125,3
40,62,63147,2389,0
64,64,63170,2051,0
39,24,65992,4096,3
64,62,65540,1786,0
52,62,66392,306,1
57,63,66590,645,0
89,33,67446,2953,4
71,62,67750,1734,3
57,62,68286,303,0
52,63,68620,1011,0
49,62,69632,4096,0
58,30,69636,4048,2
56,62,70289,509,2
59,63,70686,645,0
64,62,71362,989,0
59,62,72382,303,0
56,63,72716,1011,0
36,62,74098,4568,3
69,62,73732,1786,0
53,63,74782,645,1
76,62,75458,2446,0
46,34,75458,894,3
55,62,76478,303,0
48,63,76812,1011,0
47,62,77824,3865,1
76,57,77828,5083,2
63,23,78355,1107,4
57,63,78878,645,0
59,62,79554,308,0
52,65,79893,650,0
40,61,80574,303,0
47,63,80908,645,0
52,62,81584,305,0
45,62,81920,4096,0
64,62,81924,2145,0
59,27,82637,306,2
57,63,82974,1014,0
69,62,83989,2107,0
59,65,83989,1014,0
50,28,85004,1641,3
64,62,85684,172,1
49,62,86016,4096,0
76,21,85868,2481,3
57,63,87070,645,0
78,62,87746,2322,0
59,62,87746,989,0
57,62,88766,303,0
59,63,89100,1011,0
48,62,90112,2048,0
76,62,89705,2668,2
55,90,91306,1709,3
47,62,92160,1707,0
71,62,92181,1751,0
41,65,92597,1427,3
59,63,93196,1011,0
59,34,93867,4437,2
69,91,93872,5132,2
52,62,94925,306,0
57,63,95262,645,0
61,62,95938,308,0
59,65,96277,650,0
