note,velocity,position,duration,anomalies
79,32,0,429,3
77,73,10,429,0
63,59,10,535,0
65,59,10,535,0
70,69,10,429,0
63,54,546,477,0
65,54,546,477,0
70,64,546,507,0
63,54,1559,509,0
65,54,1559,509,0
70,64,1559,509,0
72,89,2069,400,2
89,71,2069,400,0
63,57,2069,509,0
65,57,2069,509,0
70,67,2069,509,0
63,54,2579,474,0
65,54,2579,474,0
70,64,2579,504,0
58,77,3589,506,2
65,54,3589,506,0
70,64,3589,506,0
77,59,4546,698,2
84,73,4100,435,0
63,59,4100,541,0
65,59,4100,541,0
70,69,4100,541,0
63,54,4642,477,0
65,54,4642,477,0
69,64,4224,806,3
63,54,5655,509,0
65,54,5655,509,0
70,64,5655,509,0
76,57,6013,509,2
65,57,6165,509,0
70,67,6165,509,0
63,54,6675,504,0
65,54,6675,504,0
70,64,6675,504,0
63,55,7180,474,0
65,55,7180,504,0
70,29,7180,833,2
65,54,7685,506,0
72,68,7685,506,0
74,59,8196,435,0
82,73,8196,435,0
63,59,8196,541,0
65,59,8196,541,0
70,73,8196,541,0
63,54,8738,477,0
65,54,8738,477,0
70,64,8738,507,0
63,54,9751,509,0
65,54,9751,509,0
70,64,9751,509,0
82,57,10261,400,0
89,35,10261,797,2
63,57,10261,509,0
65,57,10261,509,0
70,67,10261,509,0
63,54,10771,474,0
65,54,10771,474,0
70,64,10771,504,0
63,79,11981,1391,3
65,54,11781,506,0
70,64,11781,506,0
70,59,12292,435,0
77,73,12292,435,0
63,59,12292,541,0
65,36,12292,541,1
70,106,12238,1432,3
63,54,12834,477,0
65,54,12834,477,0
70,64,12834,507,0
63,54,13847,509,0
65,54,13517,509,1
71,29,13847,1013,3
69,57,13871,1332,3
65,57,14357,509,0
70,67,14357,509,0
59,86,14867,504,2
65,54,14867,504,0
70,64,14867,504,0
63,55,15372,474,0
65,55,15372,504,0
70,106,15372,504,1
65,54,15877,506,0
72,68,15877,506,0
69,59,16388,435,0
77,73,16388,1298,1
62,59,16388,541,0
65,59,16388,541,0
69,73,16388,435,0
62,54,16930,477,0
65,54,16930,477,0
69,64,16930,507,0
62,54,17608,509,1
65,54,17943,509,0
69,64,17943,509,0
72,57,18453,400,0
81,71,18453,400,0
62,57,18453,509,0
65,57,18453,509,0
69,67,18453,509,0
62,54,18963,474,0
65,54,18963,474,0
69,64,18963,504,0
62,54,19973,476,0
65,54,19973,476,0
69,64,19973,506,0
84,59,20484,435,0
93,73,20484,435,0
62,54,21026,477,0
65,54,21026,477,0
69,64,21026,507,0
62,54,22039,509,0
65,54,22039,509,0
69,64,22039,509,0
62,57,22549,509,0
51,57,22365,749,3
69,67,22549,509,0
62,54,23059,504,0
72,18,22753,1283,4
69,64,23059,504,0
86,22,23681,397,2
94,69,23564,397,0
73,55,23724,474,2
65,55,23564,474,0
69,69,23564,504,0
84,59,24580,435,0
93,73,24580,435,0
62,59,24580,541,0
67,73,24580,541,0
62,54,25122,477,0
67,64,25122,507,0
62,54,26135,479,0
67,68,26135,509,0
81,57,26645,400,0
89,71,26645,400,0
65,57,26645,509,0
69,71,26645,509,0
65,54,27155,474,0
69,64,27155,504,0
65,54,28165,476,0
61,64,28165,638,2
82,59,28676,435,0
86,73,28676,435,0
70,62,29218,477,0
69,93,29313,1129,3
70,62,30231,479,0
65,62,30231,479,0
69,65,30741,479,0
62,65,30741,479,0
65,62,31251,474,0
60,29,31474,1474,3
62,63,31756,474,0
58,63,31756,474,0
65,62,32261,476,0
70,59,32778,429,0
77,73,32778,429,0
63,59,32778,535,0
65,59,32778,535,0
70,69,32778,429,0
63,54,33314,477,0
65,54,33314,477,0
70,64,33314,507,0
63,54,34327,509,0
65,54,34327,509,0
70,64,34327,509,0
95,27,34363,400,3
89,71,34837,400,0
63,57,34837,509,0
65,57,34837,509,0
70,67,34837,509,0
63,54,35347,474,0
65,54,35347,474,0
70,92,35347,504,1
63,54,36357,506,0
65,54,36357,506,0
70,64,36357,506,0
77,59,36868,435,0
84,73,36868,435,0
63,59,36868,541,0
65,59,36868,541,0
70,69,36868,541,0
63,54,37410,477,0
65,54,37410,477,0
70,34,37874,507,2
63,54,38423,509,0
65,54,38423,509,0
70,64,38423,509,0
63,57,38933,509,0
65,57,38933,509,0
70,67,38933,509,0
58,31,39443,504,2
65,54,39443,504,0
70,64,39443,504,0
63,29,39948,662,2
65,55,39948,504,0
70,69,39948,504,0
65,54,40453,506,0
72,48,40453,506,1
74,59,40964,435,0
82,73,40964,435,0
63,59,40964,541,0
65,59,40964,541,0
70,73,40964,541,0
63,54,41506,477,0
65,54,41506,477,0
70,64,41506,507,0
63,54,42519,509,0
65,54,42519,509,0
70,64,42519,509,0
82,57,43029,400,0
89,71,43029,400,0
63,57,43029,509,0
65,57,43029,509,0
70,67,43029,509,0
63,54,43539,474,0
65,54,43539,474,0
70,64,43092,504,1
63,54,44549,506,0
53,14,44244,1502,4
70,64,44549,506,0
61,59,45060,435,1
77,73,45060,435,0
63,59,45060,541,0
65,59,45060,541,0
70,69,45060,435,0
63,54,45602,477,0
65,54,45602,477,0
70,64,45602,507,0
63,54,46615,509,0
65,54,46615,509,0
70,64,46615,509,0
63,57,47125,509,0
65,57,47248,596,2
70,93,47125,1134,2
63,54,47635,504,0
65,84,47178,695,3
70,64,47635,504,0
63,55,48140,474,0
65,55,48140,504,0
84,69,47715,720,3
65,54,48645,506,0
72,68,48645,506,0
69,59,49156,435,0
77,73,49156,435,0
62,59,49156,541,0
65,59,49156,541,0
69,73,48694,435,1
62,54,49698,477,0
53,14,49698,477,2
69,64,49698,507,0
62,54,50711,509,0
65,54,50711,509,0
69,64,50711,509,0
72,57,51221,400,0
81,71,51221,400,0
62,57,51221,509,0
65,57,51221,509,0
69,67,51221,509,0
62,54,51731,474,0
65,54,51731,474,0
69,64,51731,504,0
62,54,52741,476,0
65,15,52741,476,1
69,64,52741,506,0
76,59,53516,1203,3
93,103,53252,435,1
62,54,53794,477,0
65,54,53794,477,0
69,64,53794,507,0
62,54,54807,509,0
65,54,54807,509,0
69,64,54807,509,0
62,57,55317,509,0
51,57,55380,775,3
69,34,55317,509,1
62,54,55827,504,0
65,54,55827,504,0
69,64,56068,833,2
86,55,56332,397,0
94,69,56332,577,1
62,55,56332,474,0
65,55,56728,474,1
69,69,56332,504,0
84,59,57348,435,0
105,49,57348,378,3
62,59,57348,541,0
67,37,57731,541,2
62,54,57890,477,0
67,64,57890,507,0
62,54,58903,479,0
67,68,58903,509,0
81,57,59413,400,0
89,71,59413,400,0
65,57,59413,509,0
69,71,59413,509,0
65,54,59923,474,0
69,64,59923,504,0
65,54,60933,476,0
69,64,60933,506,0
82,54,61444,435,0
96,68,61185,435,2
