note,velocity,position,duration,anomalies
73,60,0,125,1
78,60,10,125,0
80,70,10,125,0
69,55,290,1062,2
82,55,437,113,2
84,103,750,98,3
73,55,795,501,1
78,55,795,111,0
80,65,870,466,2
86,55,1299,708,2
66,79,812,436,4
81,65,1675,48,3
70,55,1301,105,2
78,55,1641,871,2
80,100,1559,541,2
74,15,2274,91,3
81,87,2144,106,3
80,65,1666,91,1
73,30,3007,794,3
78,55,2561,111,0
69,85,2561,96,2
73,60,3072,135,0
91,60,3351,544,3
80,70,3127,135,1
83,95,3362,98,2
79,55,3362,113,1
80,65,3668,828,2
76,55,3867,96,1
81,55,3867,111,1
70,25,3867,96,2
73,77,4032,813,3
78,55,4371,105,0
92,65,4629,105,2
71,15,4876,105,3
78,55,4554,120,1
71,28,4631,105,2
73,32,5141,1062,2
78,55,5141,106,0
80,65,5141,91,0
73,84,5633,383,2
78,55,5633,111,0
80,65,5633,96,0
73,60,6144,365,1
78,60,6307,135,1
80,96,6089,135,2
68,75,6376,824,1
73,55,6434,98,0
81,84,6434,700,3
80,65,6434,98,0
73,55,6939,96,0
68,87,6528,564,4
77,99,6762,96,3
72,37,6939,1115,3
68,55,7821,105,2
80,22,7739,105,3
72,65,7527,1068,3
76,46,7443,456,3
71,55,7426,419,3
78,55,7563,446,2
80,65,7881,535,2
66,50,7439,1355,3
63,55,8213,1013,2
81,93,7756,106,3
80,94,8213,91,1
65,35,7824,552,2
61,23,8705,96,2
78,55,8705,111,0
94,65,8705,856,2
63,98,8705,510,1
76,60,9156,1088,3
78,60,9216,135,0
66,91,8815,592,4
63,75,9216,603,0
73,55,9599,336,2
78,55,9878,113,1
80,65,9106,1085,2
65,75,9759,281,0
83,81,10011,514,3
78,88,10474,111,2
88,65,10011,290,2
63,70,10011,1022,1
73,55,10326,948,2
78,95,10515,105,1
88,31,10723,800,4
61,75,10515,693,1
73,55,10775,105,0
84,55,10487,120,2
80,41,11160,105,2
56,103,10775,3028,1
73,55,11087,91,1
78,55,11403,491,2
80,96,11201,649,3
64,55,11723,96,2
87,55,11777,1005,2
80,65,11777,96,0
73,60,12346,135,1
78,60,12288,135,0
84,93,12288,479,3
64,95,12649,98,3
80,55,12632,255,3
87,65,12578,16,2
77,55,13083,96,1
78,55,12931,111,1
80,26,13203,22,3
73,23,13587,105,1
78,55,13587,105,0
94,65,13266,105,2
73,25,14263,476,3
78,25,13999,120,2
80,100,13847,307,2
62,33,14357,91,2
78,55,14357,662,1
80,105,14197,706,3
73,32,14849,723,2
76,35,15039,111,3
82,103,14849,819,3
59,80,15061,135,3
91,21,14982,135,3
80,92,15360,135,1
73,55,15650,604,1
70,17,15926,113,3
67,65,15650,774,2
73,55,15880,96,1
78,95,16230,207,3
94,65,16155,96,1
72,83,16659,105,2
71,55,16659,21,2
80,65,16659,105,0
74,76,16919,105,2
73,18,17162,120,3
67,65,16919,105,1
84,55,17028,1084,3
78,35,17202,972,3
80,36,17429,91,1
73,86,17921,96,1
78,84,17921,354,2
80,69,17921,96,0
71,60,18034,797,2
81,60,18432,135,1
78,74,18124,305,2
54,80,18432,1283,0
76,15,18237,98,3
67,20,18503,748,4
89,65,18311,1036,3
71,55,19227,913,1
76,55,18966,633,2
73,65,19227,206,2
66,83,19904,105,3
76,94,19731,105,1
88,65,20050,454,3
56,113,19501,618,3
71,88,19991,105,1
88,80,19595,120,3
66,30,19926,105,3
62,49,19991,436,2
68,55,20501,91,1
76,55,20501,106,0
75,42,20501,458,3
65,40,20408,552,3
63,55,20993,96,1
76,19,20993,111,1
80,65,21293,297,3
58,70,20993,638,1
69,83,21504,135,2
76,24,21291,607,3
72,102,21504,135,2
59,80,21504,794,0
80,28,21794,1058,3
76,55,21794,113,0
78,65,21554,98,1
71,17,22299,273,2
86,24,22299,111,2
77,105,22448,96,3
59,75,22299,1135,1
71,27,23111,418,3
76,55,22803,105,0
65,28,23230,105,3
63,40,22803,1091,3
77,24,23063,105,2
76,20,23063,120,1
78,85,23063,105,1
63,70,23063,1469,0
71,55,23694,91,1
76,27,23573,106,1
73,33,23573,403,3
77,18,23957,914,4
74,34,24555,985,4
78,39,24065,373,2
71,37,24145,71,3
76,60,24576,1030,1
78,70,24806,135,1
64,22,24866,298,3
76,77,24866,721,2
92,65,24545,98,2
71,92,24963,96,2
88,55,25371,374,2
73,28,25435,186,4
71,22,25549,17,3
80,55,26346,105,2
78,43,25875,105,1
71,85,26077,105,2
76,20,26135,821,2
78,98,26631,105,2
71,55,27041,995,2
76,55,26645,214,1
68,100,26645,91,2
73,55,27229,96,2
66,26,27137,404,3
71,65,27446,357,3
71,60,27162,135,1
83,60,28005,135,2
78,92,27743,930,3
71,55,27578,98,1
64,29,28246,113,3
78,65,27938,870,1
71,84,28443,96,1
76,55,27949,111,1
81,65,28443,96,1
71,55,29010,911,2
76,55,28947,811,1
78,65,28947,105,0
71,55,28796,413,2
80,55,28891,120,2
78,65,29207,105,0
71,77,29717,91,1
76,55,29717,106,0
78,25,29368,618,3
57,55,30209,538,2
83,94,30209,111,2
78,35,29748,111,2
73,60,30730,125,0
78,60,30730,125,0
80,94,30632,634,3
73,82,31010,98,1
78,35,30603,113,2
68,102,30714,827,4
71,31,31515,96,2
75,24,31515,111,2
80,65,31515,96,0
73,55,32019,198,1
78,35,31578,958,3
80,65,32019,105,0
67,20,32279,1013,3
78,55,32145,120,1
73,92,32279,105,2
73,55,32789,91,0
78,55,32393,106,1
80,39,32789,91,1
72,55,33281,96,1
78,55,33068,840,2
71,65,33281,96,1
73,31,33792,652,2
65,60,33792,624,2
67,96,34081,135,3
73,55,34082,98,0
76,76,34082,975,3
80,65,34082,494,1
69,55,34587,1093,2
78,81,34587,311,2
80,65,34210,96,1
73,55,35091,105,0
78,15,35091,599,2
80,44,35091,105,1
73,55,35117,105,1
78,89,35642,481,3
80,65,35351,105,0
87,80,35861,561,3
67,15,35604,106,3
80,65,35861,91,0
63,55,36353,8,2
78,55,36353,111,0
79,65,36353,96,1
73,23,36371,135,2
78,95,37064,135,2
80,98,36547,697,3
69,97,36864,824,2
73,92,37154,98,1
78,55,37154,113,0
