note,velocity,position,duration,anomalies
34,112,10,1060,2
37,53,546,538,1
34,75,1054,535,0
37,75,1559,540,0
34,77,2069,540,0
37,75,2579,1049,1
34,75,3084,535,0
37,75,3589,537,0
25,79,4100,572,1
37,37,4642,538,1
46,75,4653,535,2
37,75,5655,540,0
34,77,6165,540,0
37,75,6675,535,0
34,75,7180,535,0
37,75,7685,537,0
34,79,8202,566,0
37,75,8738,538,0
34,39,9246,535,1
37,75,9751,540,0
39,42,10261,540,2
37,103,10308,535,2
34,75,11276,535,0
37,75,11781,537,0
34,79,12292,572,0
37,75,12357,784,2
34,75,12952,446,2
37,75,13847,540,0
39,77,13878,807,3
37,75,15142,907,2
34,75,15774,1429,2
37,75,15877,537,0
