note,velocity,position,duration,anomalies
75,80,10,784,0
75,75,795,243,0
63,64,1054,197,0
63,63,1559,202,0
59,44,1793,757,2
59,75,2827,241,0
51,76,3084,1011,0
39,79,4100,790,0
39,74,4891,258,0
39,63,5150,197,0
39,62,5655,202,0
35,56,6260,1014,3
70,75,7808,128,0
73,75,7936,128,0
75,75,8064,128,0
76,83,8196,468,0
31,53,7990,511,4
46,88,8489,233,0
75,88,8738,233,0
47,88,8738,233,0
74,88,8987,243,0
46,88,8987,243,0
75,89,9246,474,0
39,88,9246,242,0
46,88,9504,231,0
73,88,9751,232,0
47,88,9751,232,0
71,88,9999,246,0
46,88,9999,246,0
70,91,10261,479,0
44,91,10261,247,0
51,88,10524,231,0
68,88,10771,232,0
52,88,10771,232,0
67,88,11019,241,0
51,88,11019,241,0
68,89,11276,474,0
44,89,11276,241,0
51,88,11533,232,0
63,88,11781,232,0
52,88,11781,232,0
64,88,12029,243,0
51,88,12029,243,0
63,93,12292,277,0
39,92,12292,277,0
64,88,12585,233,0
46,88,12585,233,0
63,88,12834,233,0
47,49,12834,948,2
71,127,13569,243,3
46,88,13083,243,0
63,89,13342,242,0
39,88,13342,242,0
67,88,13600,231,0
46,88,13600,231,0
71,88,13847,232,0
47,88,13847,232,0
70,88,14095,246,0
46,88,14095,246,0
74,91,14451,1159,3
44,91,14357,247,0
51,88,14620,231,0
68,88,14867,232,0
52,88,14867,232,0
73,88,15036,241,2
51,88,15115,241,0
71,89,15372,474,0
39,88,15372,241,0
46,88,15629,232,0
70,88,15877,232,0
47,88,15877,232,0
71,88,16125,243,0
46,88,16125,243,0
70,88,16128,128,0
71,88,16256,112,0
71,83,16388,470,1
39,92,16388,277,0
46,88,16681,233,0
71,88,16930,233,0
47,88,16930,233,0
70,88,17179,243,0
46,88,17179,243,0
67,89,17438,504,0
39,88,17438,242,0
46,88,17696,231,0
67,88,17943,232,0
47,88,17943,232,0
70,88,18191,246,0
46,88,18191,246,0
71,91,18453,479,0
44,91,18453,247,0
51,88,18716,231,0
70,88,18963,232,0
52,88,18963,232,0
68,88,19211,241,0
51,88,19211,241,0
63,89,19468,504,0
44,89,19468,241,0
45,115,19831,232,3
63,88,19973,232,0
52,88,19973,232,0
64,88,20221,243,0
51,88,20221,243,0
51,93,20036,434,3
39,92,20484,277,0
62,88,20777,233,0
46,88,20777,233,0
63,88,21026,233,0
47,88,21026,233,0
64,88,21275,243,0
46,88,21275,243,0
63,89,21534,242,0
39,88,21534,242,0
58,88,21792,231,0
40,122,21792,1128,3
71,88,22039,232,0
33,108,22039,232,2
70,88,22287,246,0
46,88,22287,246,0
68,91,22549,509,0
44,91,22549,247,0
51,88,22812,231,0
68,88,23059,232,0
52,88,23059,232,0
67,88,23307,241,0
51,88,23307,241,0
68,89,23564,474,0
44,89,23564,241,0
78,88,23808,128,0
51,88,23821,232,0
79,88,23936,128,0
80,105,24069,433,0
52,88,24069,232,0
70,88,24192,128,0
51,88,24317,243,0
73,88,24320,128,0
75,88,24448,128,0
76,83,24580,468,0
34,127,24580,277,2
67,66,24873,233,1
46,88,24873,233,0
75,88,25122,233,0
68,88,25122,233,0
47,88,25122,233,0
74,88,25371,243,0
70,88,25371,243,0
46,88,25371,243,0
75,89,25630,474,0
67,89,25630,504,0
39,88,25630,242,0
46,88,25888,231,0
73,88,26135,232,0
67,88,26135,232,0
47,88,26135,232,0
71,58,26636,461,3
68,88,26383,246,0
46,88,26383,246,0
62,91,26645,961,2
64,122,26288,247,3
44,60,26645,247,1
62,88,26908,231,0
51,88,26908,231,0
68,88,27155,232,0
63,88,27155,232,0
52,88,27155,232,0
67,88,27403,241,0
64,88,27403,241,0
51,88,27403,241,0
68,89,27660,474,0
63,89,27660,241,0
44,89,27660,241,0
62,88,27917,232,0
38,63,27917,232,2
63,88,28165,232,0
54,88,27814,1199,3
52,88,28165,232,0
64,88,28413,243,0
64,88,28413,243,0
51,88,28413,243,0
63,93,28930,277,1
58,93,28676,277,0
39,92,28676,277,0
