note,velocity,position,duration,anomalies
27,78,298,434,3
51,67,980,301,2
63,81,546,905,2
36,107,647,474,2
48,35,1559,331,3
57,57,1958,151,2
36,45,2218,479,2
60,101,2579,577,3
55,81,2985,58,2
22,99,3084,474,2
50,41,3314,697,3
54,58,3589,266,2
27,99,3899,1337,4
52,67,4642,149,1
45,59,4642,149,2
46,40,5579,474,3
54,40,5193,151,2
57,81,5655,151,0
36,76,6165,479,0
51,67,6675,146,0
56,46,6675,146,2
36,74,7180,1427,1
50,67,7685,148,0
53,81,7685,953,2
36,57,8196,511,1
51,37,8738,149,1
55,52,8738,149,1
32,74,8802,568,3
54,87,9645,889,3
54,115,9751,234,3
36,76,10261,479,0
64,67,10285,146,2
55,106,10383,225,3
27,48,10970,564,4
50,31,11781,148,1
54,81,11781,217,1
47,38,12292,511,2
44,67,13307,1106,3
50,117,12834,820,3
36,74,13342,474,0
54,47,13847,151,1
57,81,13847,983,1
28,42,14130,479,3
51,33,14867,146,1
55,46,15179,437,3
36,38,15372,587,2
38,67,16154,148,2
54,107,15877,983,2
33,78,16388,1410,2
71,54,16930,404,3
58,67,16930,436,2
68,81,16930,149,1
67,54,17438,1111,2
36,74,17849,1341,2
72,75,17457,151,1
54,67,17943,151,0
57,59,17539,346,3
75,115,18453,1532,2
36,76,18453,1213,1
51,67,18963,1103,1
55,81,19203,1078,2
82,95,19150,1106,4
36,74,19468,474,0
50,93,19973,148,1
46,81,19973,148,1
78,75,20484,602,1
36,78,20484,1367,1
72,70,21193,872,2
51,103,20636,149,2
54,81,21026,149,1
74,102,21534,1014,1
36,41,21597,1138,3
51,89,22039,151,2
66,81,21864,151,2
72,78,22238,889,2
22,37,22358,479,3
68,75,23059,625,2
52,96,23007,146,3
49,120,23059,146,2
63,76,23564,146,0
36,74,23486,474,1
64,98,24250,671,4
50,34,24069,730,2
54,103,24069,207,2
62,50,24580,602,1
28,38,24580,511,2
63,70,25183,426,2
51,67,24881,382,2
55,118,24865,365,3
66,76,25883,1194,2
24,54,25870,474,3
54,67,25897,151,1
65,53,26580,151,3
67,78,26998,953,2
25,76,26346,679,3
63,112,27155,146,1
51,67,27241,800,2
47,81,27101,146,2
60,76,27928,958,2
30,74,28032,474,2
57,100,28601,148,2
37,67,28165,148,1
48,104,28165,336,3
59,75,28193,602,1
36,78,28676,1233,1
70,70,29218,287,1
51,67,29218,66,1
68,47,29488,149,3
64,76,29363,1014,2
36,74,29726,474,0
52,67,30231,151,1
46,47,30231,432,3
55,113,30741,1069,3
38,76,30741,479,1
51,67,31251,146,0
55,81,31251,146,0
25,74,32118,474,2
44,38,32462,148,3
54,56,32261,148,1
47,117,32718,910,4
60,55,33043,149,2
51,67,33314,427,1
55,60,33173,149,2
67,76,33822,392,1
40,74,34318,1138,3
81,75,34086,151,2
54,67,34161,1076,2
63,81,34327,151,1
66,58,34779,1294,4
32,52,34837,479,2
50,67,35203,948,3
69,106,35347,679,3
89,75,35261,370,3
82,75,35712,850,2
80,70,35848,1548,2
36,74,36241,1339,2
54,92,36357,601,3
55,59,36357,148,2
81,44,37217,882,3
30,100,36868,999,3
79,75,37213,149,1
43,67,37346,233,3
55,81,37410,149,0
81,95,37918,1014,0
27,39,37918,1385,3
54,91,38423,151,1
60,119,38423,151,2
93,55,38933,1044,3
36,76,38933,479,0
79,75,39443,146,0
51,42,39371,478,3
59,52,39443,146,2
62,76,39948,558,2
36,35,39948,979,2
72,75,40453,148,0
40,33,40453,351,3
65,81,40453,148,1
69,80,40743,571,3
48,78,40896,932,3
72,111,41636,713,3
45,67,41759,879,3
55,48,41806,149,2
76,76,42466,1014,2
29,74,42103,474,2
54,67,42519,151,0
57,81,42519,151,0
75,78,43029,417,1
24,98,43238,479,3
72,75,43539,1069,1
42,67,43539,146,1
55,101,43133,94,3
67,76,44044,146,0
25,41,44373,474,3
63,75,44970,148,1
50,67,44549,148,0
60,119,44153,148,3
71,75,45060,602,0
27,118,45293,511,3
76,34,45250,287,3
51,45,46027,253,3
55,81,45602,149,0
81,97,46080,492,3
36,46,46110,667,2
76,75,46662,553,3
71,93,46297,1388,3
46,44,46615,529,3
68,81,47008,151,2
72,45,47125,297,1
42,44,47420,692,4
51,67,47965,828,2
55,81,47876,146,1
40,44,48140,713,3
45,94,48645,148,2
54,102,48180,148,2
41,80,49546,449,2
65,114,49698,252,2
59,106,49698,468,3
60,81,49698,940,1
76,43,50206,835,3
38,49,49832,474,3
66,105,50711,151,2
56,33,50711,151,1
72,81,50711,151,1
77,55,50768,1287,3
40,47,51607,479,3
56,36,51731,421,2
60,81,51731,65,1
72,35,52293,955,2
36,113,51990,474,2
56,45,52741,1002,2
60,118,52453,148,3
71,51,53252,742,2
38,80,53252,1053,2
74,108,53610,575,4
68,45,53610,149,3
62,57,54165,1040,3
78,76,54272,1016,2
46,43,54302,881,3
78,104,54404,226,3
63,70,54676,583,1
59,67,54317,151,1
62,81,55125,151,1
75,49,55317,151,2
43,44,54897,479,2
64,75,56113,146,2
61,44,56197,146,3
62,81,55827,511,1
77,76,56559,1082,3
38,43,56332,474,1
74,75,56837,148,0
46,42,56837,814,3
63,81,56837,148,0
84,42,57003,1887,4
44,117,57348,1143,2
60,67,57890,149,0
63,50,57807,449,3
77,75,57681,128,1
63,75,58240,581,2
75,70,58376,675,2
39,43,58398,1190,2
72,75,58903,504,1
60,67,58903,830,1
74,81,58903,151,1
77,78,59256,1856,3
49,78,59413,1309,2
71,89,60035,259,4
63,101,59923,146,1
82,76,60342,146,1
34,76,60428,1319,2
80,75,61403,1111,2
56,47,60933,969,2
58,81,60933,541,2
79,80,61668,1020,1
39,100,61444,511,1
55,33,62196,149,2
58,81,61986,933,1
74,75,62208,128,1
79,75,62336,128,0
69,47,62789,959,4
35,74,62769,1362,3
80,75,62999,151,0
56,105,62590,653,3
58,81,62999,151,0
79,78,63127,2026,1
37,97,63509,479,1
56,67,64019,146,0
61,49,64107,146,2
43,76,64524,474,0
58,44,65029,943,3
66,81,64957,1067,3
41,80,65540,511,0
52,39,66343,413,4
51,41,66082,601,3
60,55,66082,149,1
56,76,66973,615,3
52,76,67032,474,2
72,55,66687,752,3
56,44,67355,657,3
60,60,67588,151,2
84,56,68042,970,4
49,103,67171,479,3
65,67,68601,146,2
57,117,68115,67,3
77,70,68620,1446,2
41,102,68122,474,2
56,67,69125,606,1
67,81,69125,148,1
79,75,69636,1268,2
43,100,69636,632,2
72,70,70178,287,0
63,87,69862,149,3
59,81,70581,149,2
66,49,70656,226,2
49,107,70686,474,2
83,75,70660,1098,3
74,30,71262,1336,3
59,28,71191,151,1
