note,velocity,position,duration,anomalies
60,62,2579,197,0
59,63,3084,197,0
60,62,3589,199,0
59,67,4100,234,0
55,63,5150,197,0
52,65,6165,202,0
47,63,7180,197,0
55,67,8196,234,0
52,63,9246,494,1
54,62,9751,202,0
55,67,12292,234,0
52,63,13342,197,0
54,33,13847,1127,2
55,67,16388,234,0
52,63,17438,197,0
54,62,17943,202,0
60,62,23059,197,0
49,63,23837,463,3
60,62,24069,199,0
59,67,24580,234,0
55,63,25630,197,0
52,65,26424,1183,2
51,36,27220,197,3
55,67,28676,234,0
57,63,29726,197,0
54,37,30231,319,2
55,67,32772,234,0
57,63,33822,197,0
42,99,34417,202,3
55,67,36868,234,0
63,63,37679,1193,3
54,62,38423,202,0
60,62,43539,197,0
59,63,44044,197,0
60,62,44549,199,0
59,67,45060,234,0
41,63,45749,919,3
57,65,47125,202,1
47,63,48140,197,0
55,67,49156,234,0
52,63,50206,197,0
54,62,50711,526,1
55,67,53252,234,0
52,63,54302,197,0
54,62,54807,202,0
55,67,57348,234,0
52,63,58398,197,0
54,30,58712,202,2
60,62,64019,197,0
59,63,64524,197,0
60,62,65029,199,0
59,67,65540,234,0
64,63,66590,197,0
57,65,67605,202,0
55,63,68770,197,1
57,67,69636,234,0
62,62,70127,200,2
71,62,71301,524,3
55,63,72716,197,0
57,62,72839,1142,2
55,98,73732,234,2
57,62,74274,200,0
55,63,74782,197,0
64,35,75797,1149,3
47,63,77137,197,1
50,67,77828,234,0
51,62,78370,200,0
52,62,79383,202,0
