note,velocity,position,duration,anomalies
77,99,147,784,3
78,120,10,1092,1
83,127,10,784,0
29,119,10,784,1
49,127,10,1481,2
73,115,795,763,0
80,115,795,733,0
85,127,795,763,0
33,127,1096,1197,4
56,127,1237,763,3
73,127,1559,1000,3
69,127,1559,701,3
79,127,1626,772,2
37,102,1614,772,1
49,127,1936,772,2
64,115,2251,751,2
90,115,2675,1055,3
80,127,2332,751,0
46,114,2809,1430,3
49,104,2332,751,1
64,127,3529,1108,3
80,115,3256,565,2
82,106,3164,1287,4
37,114,3084,565,0
49,127,3461,504,1
48,42,3705,596,4
68,98,4088,1050,3
73,120,3280,506,2
35,112,3403,981,3
47,61,3183,506,2
67,92,4477,790,3
68,85,4100,790,2
73,87,3671,1729,4
38,127,3947,1389,4
38,95,4100,790,2
64,115,4891,733,0
84,78,4704,1296,4
66,127,5092,763,3
37,114,4891,763,0
49,125,4891,763,0
84,127,5836,671,4
76,127,5655,879,3
83,127,6061,772,1
37,124,5655,1622,2
49,73,5182,772,2
64,115,6428,751,0
73,127,6663,1070,3
76,127,6428,751,0
37,114,6428,1322,1
58,127,6881,751,3
63,115,7180,565,0
73,81,7446,565,3
68,105,6832,504,3
51,114,7180,1301,2
49,99,7557,504,2
49,75,7685,420,1
66,105,7809,420,2
71,89,8134,60,1
35,73,7685,420,0
47,89,8041,506,1
69,127,8012,847,4
78,120,8196,790,0
83,92,8278,1669,3
37,119,8196,790,0
49,88,7713,1711,3
73,115,8987,763,0
71,80,9139,1263,4
85,127,9301,1203,2
26,114,9140,763,2
50,125,8987,1757,2
66,127,9751,757,1
71,115,10179,1516,3
72,95,9327,1197,4
51,76,9751,772,2
46,84,10030,1293,4
68,115,10524,751,0
76,81,10524,751,1
67,127,10608,1624,3
37,114,10524,751,0
49,125,10804,1168,2
64,127,11276,1175,2
71,127,10903,1515,3
72,127,11276,504,2
37,127,11276,1518,2
50,103,11276,504,2
61,100,11781,420,1
68,97,11531,1075,3
73,65,11781,506,1
25,46,11781,420,2
47,89,11554,506,1
65,120,12292,912,2
76,120,12292,700,1
72,127,11812,842,3
